* Measurement data measured by REW V5.40 beta 73
* Source: 
* Format: 
* Dated: Mar 11, 2025 7:36:21 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FilterL-trimmed
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 -0.001 0.1486
0.732422 0.002 0.2710
1.098633 0.003 0.3724
1.464844 0.000 0.4829
1.831055 -0.003 0.6218
2.197265 -0.003 0.7744
2.563476 0.001 0.9097
2.929687 0.004 1.0172
3.295898 0.002 1.1196
3.662109 -0.002 1.2457
4.028320 -0.004 1.3958
4.394531 -0.001 1.5416
4.760742 0.003 1.6598
5.126953 0.003 1.7600
5.493164 -0.000 1.8732
5.859375 -0.003 2.0148
6.225585 -0.003 2.1661
6.591796 0.001 2.2967
6.958007 0.004 2.4010
7.324218 0.002 2.5044
7.690429 -0.002 2.6335
8.056640 -0.003 2.7838
8.422851 -0.000 2.9255
8.789062 0.003 3.0389
9.155273 0.003 3.1379
9.521484 -0.001 3.2535
9.887695 -0.004 3.3966
10.253905 -0.002 3.5450
10.620116 0.002 3.6701
10.986327 0.004 3.7708
11.352538 0.001 3.8752
11.718749 -0.003 4.0064
12.084960 -0.003 4.1554
12.451171 0.000 4.2916
12.817382 0.003 4.3995
13.183593 0.002 4.4973
13.549804 -0.001 4.6148
13.916015 -0.004 4.7579
14.282225 -0.002 4.9016
14.648436 0.002 5.0198
15.014647 0.003 5.1169
15.380858 0.000 5.2222
15.747069 -0.003 5.3548
16.113280 -0.003 5.5005
16.479491 0.001 5.6290
16.845702 0.003 5.7303
17.211913 0.002 5.8266
17.578124 -0.002 5.9458
17.944335 -0.003 6.0877
18.310545 -0.001 6.2245
18.676756 0.003 6.3342
19.042967 0.003 6.4267
19.409178 -0.000 6.5320
19.775389 -0.003 6.6642
20.141600 -0.002 6.8042
20.507811 0.001 6.9235
20.874022 0.003 7.0178
21.240233 0.001 7.1124
21.606444 -0.002 7.2312
21.972654 -0.003 7.3683
22.338865 -0.000 7.4948
22.705076 0.003 7.5946
23.071287 0.002 7.6830
23.437498 -0.001 7.7883
23.803709 -0.003 7.9170
24.169920 -0.001 8.0464
24.536131 0.002 8.1523
24.902342 0.003 8.2386
25.268553 0.000 8.3320
25.634764 -0.003 8.4490
26.000974 -0.002 8.5758
26.367185 0.001 8.6861
26.733396 0.003 8.7735
27.099607 0.001 8.8588
27.465818 -0.001 8.9625
27.832029 -0.002 9.0786
28.198240 0.000 9.1823
28.564451 0.001 9.2645
28.930662 -0.001 9.3462
29.296873 -0.005 9.4541
29.663084 -0.006 9.5834
30.029294 -0.001 9.6988
30.395505 0.004 9.7736
30.761716 0.005 9.8246
31.127927 -0.001 9.8949
31.494138 -0.005 10.0045
31.860349 -0.003 10.1249
32.226560 0.002 10.2117
32.592771 0.005 10.2585
32.958982 0.002 10.3057
33.325193 -0.004 10.3920
33.691404 -0.005 10.5058
34.057614 0.001 10.5970
34.423825 0.006 10.6383
34.790036 0.004 10.6606
35.156247 -0.003 10.7173
35.522458 -0.007 10.8174
35.888669 -0.002 10.9103
36.254880 0.006 10.9456
36.621091 0.006 10.9381
36.987302 -0.001 10.9538
37.353513 -0.008 11.0293
37.719724 -0.005 11.1206
38.085934 0.005 11.1508
38.452145 0.010 11.1066
38.818356 0.002 11.0620
39.184567 -0.009 11.0922
39.550778 -0.010 11.1742
39.916989 0.003 11.2016
40.283200 0.014 11.1109
40.649411 0.009 10.9705
41.015622 -0.009 10.9101
41.381833 -0.019 10.9603
41.748044 -0.006 10.9912
42.114254 0.017 10.8520
42.480465 0.021 10.5631
42.846676 -0.003 10.3172
43.212887 -0.029 10.2586
43.579098 -0.021 10.2714
43.945309 0.018 10.0609
44.311520 0.044 9.4965
44.677731 0.016 8.8160
45.043942 -0.047 8.4064
45.410153 -0.067 8.3108
45.776363 0.007 7.9594
46.142574 0.116 6.6065
46.508785 0.111 4.1007
46.874996 -0.140 1.1533
47.241207 -0.658 -0.9710
47.607418 -1.298 -1.1176
47.973629 -1.788 0.6891
48.339840 -1.968 2.6886
48.706051 -2.005 3.0166
49.072262 -2.222 1.6527
49.438473 -2.823 0.2435
49.804683 -3.769 1.0896
50.170894 -4.723 5.8821
50.537105 -5.201 13.6365
50.903316 -5.110 20.9718
51.269527 -4.808 26.4150
51.635738 -4.503 31.2236
52.001949 -4.056 36.4470
52.368160 -3.273 41.0664
52.734371 -2.249 43.2287
53.100582 -1.271 42.4821
53.466793 -0.544 39.7689
53.833003 -0.123 36.3573
54.199214 0.044 33.2389
54.565425 0.055 30.9343
54.931636 0.013 29.4891
55.297847 -0.019 28.6368
55.664058 -0.023 28.0568
56.030269 -0.008 27.5455
56.396480 0.008 27.0300
56.762691 0.016 26.5207
57.128902 0.009 26.0755
57.495113 -0.006 25.7590
57.861323 -0.015 25.5763
58.227534 -0.009 25.4425
58.593745 0.007 25.2481
58.959956 0.016 24.9730
59.326167 0.007 24.7141
59.692378 -0.011 24.5812
60.058589 -0.017 24.5664
60.424800 -0.004 24.5388
60.791011 0.014 24.3894
61.157222 0.017 24.1597
61.523433 -0.001 23.9977
61.889643 -0.018 23.9874
62.255854 -0.014 24.0433
62.622065 0.006 24.0020
62.988276 0.020 23.8148
63.354487 0.011 23.6081
63.720698 -0.012 23.5388
64.086909 -0.021 23.6084
64.453120 -0.005 23.6514
64.819331 0.018 23.5275
65.185542 0.020 23.2906
65.551753 -0.001 23.1295
65.917963 -0.022 23.1481
66.284174 -0.017 23.2352
66.650385 0.009 23.1865
67.016596 0.026 22.9486
67.382807 0.012 22.6869
67.749018 -0.017 22.5963
68.115229 -0.027 22.6685
68.481440 -0.005 22.6867
68.847651 0.024 22.4787
69.213862 0.025 22.1263
69.580072 -0.004 21.8766
69.946283 -0.031 21.8553
70.312494 -0.021 21.9019
70.678705 0.015 21.7428
71.044916 0.036 21.3191
71.411127 0.014 20.8660
71.777338 -0.027 20.6487
72.143549 -0.038 20.6405
72.509760 -0.003 20.5188
72.875971 0.039 20.0350
73.242182 0.038 19.3205
73.608392 -0.011 18.7539
73.974603 -0.053 18.5261
74.340814 -0.033 18.3608
74.707025 0.033 17.7754
75.073236 0.068 16.6467
75.439447 0.022 15.3878
75.805658 -0.067 14.5204
76.171869 -0.089 14.0058
76.538080 0.011 13.0143
76.904291 0.141 10.6189
77.270502 0.115 6.6773
77.636712 -0.226 1.9550
78.002923 -0.946 -2.2399
78.369134 -1.977 -4.4497
78.735345 -3.105 -3.6360
79.101556 -4.032 -0.0738
79.467767 -4.606 4.5454
79.833978 -4.931 8.7955
80.200189 -5.156 12.6080
80.566400 -5.299 16.3605
80.932611 -5.329 19.9059
81.298822 -5.285 22.8500
81.665032 -5.251 25.3043
82.031243 -5.239 27.8317
82.397454 -5.165 30.6739
82.763665 -4.962 33.2907
83.129876 -4.684 34.9468
83.496087 -4.467 35.6100
83.862298 -4.387 35.9956
84.228509 -4.403 36.9073
84.594720 -4.396 38.5626
84.960931 -4.282 40.4480
85.327142 -4.084 41.9124
85.693352 -3.878 42.7948
86.059563 -3.711 43.3548
86.425774 -3.575 43.8241
86.791985 -3.456 44.2018
87.158196 -3.368 44.4447
87.524407 -3.336 44.7061
87.890618 -3.350 45.2703
88.256829 -3.373 46.2769
88.623040 -3.374 47.6329
88.989251 -3.361 49.3121
89.355462 -3.323 51.6220
89.721672 -3.154 54.8289
90.087883 -2.700 58.2805
90.454094 -1.945 60.3676
90.820305 -1.095 59.9486
91.186516 -0.397 57.2609
91.552727 0.008 53.4347
91.918938 0.119 49.7521
92.285149 0.043 47.1392
92.651360 -0.056 45.7718
93.017571 -0.065 45.0205
93.383781 0.001 44.0805
93.749992 0.053 42.7254
94.116203 0.035 41.3315
94.482414 -0.021 40.3212
94.848625 -0.046 39.6735
95.214836 -0.012 38.9612
95.581047 0.034 37.8642
95.947258 0.035 36.5181
96.313469 -0.010 35.3048
96.679680 -0.043 34.3603
97.045891 -0.015 33.3280
97.412101 0.045 31.6759
97.778312 0.047 29.2453
98.144523 -0.086 26.4039
98.510734 -0.362 23.7366
98.876945 -0.724 21.6071
99.243156 -1.109 19.9103
99.609367 -1.513 18.2630
99.975578 -2.002 16.5174
100.341789 -2.643 15.0712
100.708000 -3.432 14.6896
101.074211 -4.268 15.9692
101.440421 -5.006 18.7867
101.806632 -5.579 22.3799
102.172843 -6.040 26.2202
102.539054 -6.440 30.5100
102.905265 -6.723 35.5878
103.271476 -6.791 41.1080
103.637687 -6.637 46.2151
104.003898 -6.351 50.4822
104.370109 -5.996 54.1031
104.736320 -5.551 57.1934
105.102531 -4.999 59.3577
105.468741 -4.412 60.1002
105.834952 -3.909 59.4305
106.201163 -3.581 57.9023
106.567374 -3.440 56.2414
106.933585 -3.440 54.9792
107.299796 -3.512 54.2861
107.666007 -3.615 54.0705
108.032218 -3.740 54.2532
108.398429 -3.881 54.9281
108.764640 -4.001 56.2248
109.130851 -4.040 58.0249
109.497061 -3.967 59.8873
109.863272 -3.811 61.3480
110.229483 -3.642 62.2770
110.595694 -3.513 62.9199
110.961905 -3.426 63.6644
111.328116 -3.338 64.7589
111.694327 -3.190 66.1300
112.060538 -2.952 67.4039
112.426749 -2.649 68.1670
112.792960 -2.348 68.2853
113.159171 -2.106 68.0202
113.525381 -1.927 67.8578
113.891592 -1.746 68.1344
114.257803 -1.468 68.6517
114.624014 -1.060 68.6788
114.990225 -0.594 67.5274
115.356436 -0.203 65.1230
115.722647 0.018 62.0144
116.088858 0.058 58.9994
116.455069 -0.006 56.6763
116.821280 -0.058 55.0566
117.187490 -0.025 53.5150
117.553701 0.052 51.3091
117.919912 0.062 48.2114
118.286123 -0.093 44.6205
118.652334 -0.438 41.2349
119.018545 -0.923 38.6441
119.384756 -1.459 37.0173
119.750967 -1.982 36.0637
120.117178 -2.499 35.3871
120.483389 -3.063 34.9387
120.849600 -3.702 35.0983
121.215810 -4.373 36.3299
121.582021 -4.981 38.7213
121.948232 -5.452 41.8373
122.314443 -5.786 45.1037
122.680654 -6.031 48.2597
123.046865 -6.217 51.3263
123.413076 -6.349 54.3029
123.779287 -6.441 57.0968
124.145498 -6.527 59.7313
124.511709 -6.624 62.4495
124.877920 -6.705 65.5067
125.244130 -6.719 68.8734
125.610341 -6.643 72.2337
125.976552 -6.505 75.3314
126.342763 -6.345 78.2242
126.708974 -6.163 81.1352
127.075185 -5.924 84.1217
127.441396 -5.602 86.9672
127.807607 -5.213 89.4100
128.173818 -4.791 91.3958
128.540029 -4.350 93.0413
128.906240 -3.878 94.4023
129.272450 -3.360 95.3399
129.638661 -2.811 95.6227
130.004872 -2.272 95.1297
130.371083 -1.786 93.9360
130.737294 -1.382 92.2447
131.103505 -1.068 90.2786
131.469716 -0.838 88.2172
131.835927 -0.681 86.1893
132.202138 -0.585 84.2809
132.568349 -0.531 82.5320
132.934560 -0.507 80.9261
133.300770 -0.504 79.4030
133.666981 -0.525 77.9044
134.033192 -0.580 76.4200
134.399403 -0.674 74.9914
134.765614 -0.809 73.6745
135.131825 -0.985 72.5033
135.498036 -1.204 71.5013
135.864247 -1.477 70.7402
136.230458 -1.811 70.3906
136.596669 -2.194 70.7092
136.962880 -2.588 71.9436
137.329090 -2.928 74.1895
137.695301 -3.140 77.2743
138.061512 -3.171 80.7537
138.427723 -3.014 84.0493
138.793934 -2.706 86.6511
139.160145 -2.315 88.2714
139.526356 -1.914 88.8890
139.892567 -1.558 88.6908
140.258778 -1.278 87.9581
140.624989 -1.077 86.9543
140.991199 -0.948 85.8562
141.357410 -0.880 84.7512
141.723621 -0.871 83.6911
142.089832 -0.925 82.7599
142.456043 -1.042 82.1123
142.822254 -1.211 81.9619
143.188465 -1.399 82.5208
143.554676 -1.546 83.8873
143.920887 -1.580 85.9000
144.287098 -1.449 88.0620
144.653309 -1.160 89.7008
145.019519 -0.787 90.3220
145.385730 -0.429 89.8553
145.751941 -0.164 88.6163
146.118152 -0.021 87.0988
146.484363 0.018 85.7526
146.850574 0.002 84.8157
147.216785 -0.017 84.2548
