* Measurement data measured by REW V5.30 beta 5
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -22.3 dBFS, measurement signal peak level -19.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jan 12, 2025 1:25:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; LEFT+RIGHT 120cm DRC Speakers@120cm from front wall Sofa @P6 Mic higher than usual: circa on tweeter axis -38.5  Delay -0.0343 ms (-12 mm, -0.46 in) using estimated IR delay relative to Acoustic reference played from Bryston Audio 2.0 Output L with no timing offset Clock adjustment: -5.3 ppm
* Measurement: L
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 5.126953 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.126953 53.946 -12.2282
5.164105 53.822 -11.7011
5.201526 53.691 -11.1032
5.239219 53.555 -10.4277
5.277184 53.413 -9.6675
5.315425 53.264 -8.8157
5.353943 53.111 -7.8658
5.392740 52.952 -6.8120
5.431818 52.789 -5.6495
5.471179 52.621 -4.3748
5.510825 52.449 -2.9868
5.550759 52.274 -1.4864
5.590982 52.096 0.1224
5.631497 51.916 1.8321
5.672305 51.733 3.6317
5.713409 51.549 5.5065
5.754810 51.364 7.4379
5.796512 51.179 9.4040
5.838516 50.993 11.3803
5.880824 50.809 13.3401
5.923439 50.625 15.2553
5.966363 50.443 17.0973
6.009598 50.262 18.8369
6.053146 50.085 20.4442
6.097009 49.910 21.8870
6.141191 49.740 23.1278
6.185692 49.575 24.1175
6.230516 49.415 24.7822
6.275665 49.262 24.9955
6.321141 49.117 24.5086
6.366947 48.981 22.7474
6.413084 48.855 18.0429
6.459556 48.742 3.2505
6.506365 48.642 -59.8005
6.553513 48.557 -112.4977
6.601002 48.489 -124.8670
6.648836 48.438 -129.3112
6.697016 48.407 -131.3655
6.745545 48.395 -132.4171
6.794426 48.403 -132.9590
6.843661 48.432 -133.2051
6.893253 48.481 -133.2595
6.943205 48.550 -133.1771
6.993518 48.638 -132.9874
7.044196 48.745 -132.7063
7.095241 48.868 -132.3420
7.146656 49.007 -131.8983
7.198444 49.160 -131.3764
7.250607 49.326 -130.7760
7.303148 49.503 -130.0966
7.356069 49.690 -129.3378
7.409374 49.886 -128.4996
7.463066 50.089 -127.5830
7.517146 50.297 -126.5904
7.571618 50.511 -125.5253
7.626485 50.728 -124.3929
7.681750 50.948 -123.2000
7.737415 51.171 -121.9547
7.793484 51.394 -120.6668
7.849959 51.618 -119.3470
7.906843 51.843 -118.0072
7.964139 52.066 -116.6599
8.021850 52.289 -115.3179
8.079980 52.511 -113.9943
8.138531 52.731 -112.7015
8.197506 52.949 -111.4518
8.256908 53.165 -110.2566
8.316741 53.379 -109.1263
8.377008 53.591 -108.0706
8.437711 53.800 -107.0979
8.498854 54.008 -106.2158
8.560441 54.213 -105.4309
8.622473 54.417 -104.7487
8.684955 54.618 -104.1743
8.747890 54.818 -103.7115
8.811281 55.017 -103.3637
8.875131 55.214 -103.1334
8.939444 55.410 -103.0226
9.004223 55.606 -103.0323
9.069471 55.800 -103.1631
9.135192 55.994 -103.4142
9.201389 56.186 -103.7844
9.268066 56.379 -104.2712
9.335227 56.570 -104.8711
9.402873 56.761 -105.5794
9.471011 56.950 -106.3904
9.539641 57.139 -107.2971
9.608770 57.326 -108.2916
9.678399 57.512 -109.3651
9.748532 57.696 -110.5079
9.819174 57.877 -111.7101
9.890328 58.057 -112.9857
9.961997 58.233 -114.9336
10.034186 58.407 -116.9106
10.106898 58.577 -118.9073
10.180137 58.744 -120.9152
10.253906 58.907 -122.9267
10.328210 59.066 -124.5736
10.403053 59.221 -126.2119
10.478438 59.372 -127.8375
10.554369 59.519 -129.4466
10.630850 59.662 -131.0171
10.707885 59.800 -132.4459
10.785479 59.934 -133.8525
10.863635 60.064 -135.2362
10.942358 60.190 -136.5963
11.021650 60.312 -137.8945
11.101518 60.431 -139.1205
11.181964 60.546 -140.3211
11.262993 60.658 -141.4951
11.344609 60.767 -142.6412
11.426817 60.874 -143.7037
11.509621 60.979 -144.7287
11.593024 61.083 -145.7195
11.677032 61.185 -146.6732
11.761648 61.287 -147.5649
11.846878 61.388 -148.3922
11.932726 61.490 -149.1743
12.019195 61.593 -149.9089
12.106291 61.698 -150.5854
12.194018 61.804 -151.1844
12.282381 61.912 -151.7333
12.371384 62.022 -152.2330
12.461032 62.136 -152.6827
12.551330 62.252 -153.0641
12.642282 62.372 -153.4070
12.733894 62.495 -153.7174
12.826169 62.621 -154.0005
12.919112 62.750 -154.2465
13.012730 62.883 -154.4844
13.107025 63.019 -154.7236
13.202004 63.157 -154.9703
13.297671 63.298 -155.2231
13.394032 63.441 -155.5061
13.491090 63.587 -155.8282
13.588852 63.733 -156.1908
13.687323 63.882 -156.5977
13.786507 64.031 -157.0648
13.886409 64.182 -157.5970
13.987036 64.333 -158.1896
14.088392 64.485 -158.8495
14.190482 64.637 -159.5808
14.293312 64.790 -160.3817
14.396888 64.943 -161.2421
14.501213 65.097 -162.1687
14.606295 65.251 -163.1577
14.712138 65.405 -164.1995
14.818749 65.559 -165.2902
14.926131 65.714 -166.4275
15.034292 65.870 -167.6039
15.143237 66.027 -168.8088
15.252971 66.184 -170.0418
15.363500 66.342 -171.2972
15.474831 66.502 -172.5651
15.586968 66.663 -173.8443
15.699917 66.825 -175.1314
15.813685 66.988 -176.4202
15.928278 67.152 -177.7086
16.043701 67.318 -178.9965
16.159960 67.486 179.7188
16.277062 67.655 178.4386
16.395012 67.825 177.1611
16.513817 67.997 175.8866
16.633483 68.169 174.6155
16.754016 68.343 173.3446
16.875422 68.517 172.0730
16.997709 68.693 170.7998
17.120881 68.868 169.5221
17.244946 69.044 168.2385
17.369910 69.220 166.9480
17.495780 69.396 165.6478
17.622561 69.571 164.3364
17.750262 69.746 163.0124
17.878887 69.920 161.6747
18.008445 70.093 160.3225
18.138942 70.264 158.9550
18.270384 70.434 157.5717
18.402779 70.602 156.1728
18.536133 70.767 154.7580
18.670453 70.931 153.3275
18.805747 71.092 151.8806
18.942021 71.251 150.4189
19.079283 71.406 148.9427
19.217539 71.559 147.4522
19.356797 71.708 145.9487
19.497065 71.853 144.4314
19.638349 71.995 142.9012
19.780656 72.133 141.3591
19.923995 72.267 139.8036
20.068372 72.396 138.2365
20.213796 72.521 136.6572
20.360274 72.640 135.0656
20.507813 72.755 133.4622
20.656421 72.864 131.8451
20.806106 72.968 130.2160
20.956875 73.067 128.5734
21.108737 73.159 126.9175
21.261700 73.246 125.2496
21.415771 73.327 123.5681
21.570958 73.401 121.8755
21.727270 73.469 120.1702
21.884715 73.531 118.4545
22.043301 73.586 116.7290
22.203036 73.635 114.9946
22.363928 73.678 113.2536
22.525986 73.714 111.5052
22.689219 73.743 109.7539
22.853634 73.766 107.9993
23.019241 73.783 106.2452
23.186048 73.793 104.4920
23.354064 73.797 102.7428
23.523297 73.794 100.9993
23.693756 73.785 99.2636
23.865451 73.770 97.5388
24.038390 73.748 95.8264
24.212582 73.721 94.1301
24.388037 73.687 92.4508
24.564762 73.647 90.7932
24.742769 73.601 89.1579
24.922065 73.550 87.5502
25.102661 73.492 85.9705
25.284565 73.430 84.4245
25.467787 73.361 82.9124
25.652337 73.288 81.4399
25.838225 73.210 80.0075
26.025459 73.128 78.6206
26.214050 73.041 77.2794
26.404008 72.951 75.9887
26.595342 72.858 74.7483
26.788063 72.761 73.5620
26.982181 72.663 72.4297
27.177705 72.564 71.3533
27.374645 72.464 70.3325
27.573013 72.364 69.3666
27.772819 72.264 68.4546
27.974072 72.167 67.5934
28.176784 72.073 66.7814
28.380964 71.982 66.0135
28.586625 71.896 65.2867
28.793775 71.815 64.5931
29.002427 71.740 63.9289
29.212590 71.671 63.2869
29.424277 71.610 62.6604
29.637497 71.556 62.0434
29.852263 71.510 61.4274
30.068584 71.472 60.8082
30.286474 71.440 60.1787
30.505942 71.416 59.5342
30.727001 71.398 58.8704
30.949661 71.386 58.1827
31.173935 71.379 57.4700
31.399834 71.376 56.7289
31.627370 71.376 55.9599
31.856555 71.378 55.1632
32.087401 71.382 54.3381
32.319920 71.387 53.4880
32.554123 71.391 52.6148
32.790024 71.394 51.7208
33.027634 71.395 50.8107
33.266966 71.393 49.8876
33.508032 71.389 48.9559
33.750845 71.382 48.0212
33.995417 71.371 47.0878
34.241762 71.357 46.1610
34.489892 71.340 45.2464
34.739820 71.319 44.3484
34.991559 71.296 43.4683
35.245122 71.270 42.6192
35.500523 71.243 41.8103
35.757774 71.215 41.0499
36.016890 71.189 40.3354
36.277883 71.164 39.6702
36.540768 71.143 39.0566
36.805557 71.127 38.4967
37.072265 71.118 37.9921
37.340906 71.118 37.5429
37.611494 71.129 37.1473
37.884042 71.151 36.8049
38.158566 71.187 36.5128
38.435078 71.239 36.2661
38.713595 71.306 36.0573
38.994130 71.389 35.8811
39.276697 71.489 35.7290
39.561312 71.606 35.5914
39.847990 71.738 35.4559
40.136745 71.885 35.3134
40.427592 72.044 35.1526
40.720547 72.216 34.9619
41.015625 72.397 34.7300
41.312841 72.587 34.4464
41.612211 72.783 34.1028
41.913750 72.984 33.6909
42.217475 73.187 33.2033
42.523400 73.393 32.6341
42.831542 73.598 31.9787
43.141917 73.802 31.2336
43.454541 74.004 30.3958
43.769430 74.202 29.4637
44.086602 74.395 28.4359
44.406072 74.583 27.3120
44.727856 74.766 26.0928
45.051973 74.941 24.7792
45.378438 75.109 23.3728
45.707269 75.268 21.8749
46.038482 75.419 20.2877
46.372096 75.561 18.6139
46.708128 75.694 16.8561
47.046594 75.817 15.0172
47.387513 75.929 13.0997
47.730902 76.031 11.1069
48.076780 76.122 9.0419
48.425164 76.201 6.9084
48.776073 76.269 4.7095
49.129525 76.326 2.4482
49.485537 76.371 0.1285
49.844130 76.404 -2.2457
50.205321 76.426 -4.6715
50.569130 76.435 -7.1448
50.935574 76.432 -9.6617
51.304674 76.418 -12.2184
51.676449 76.392 -14.8110
52.050918 76.354 -17.4360
52.428101 76.306 -20.0902
52.808016 76.246 -22.7701
53.190685 76.175 -25.4730
53.576126 76.095 -28.1959
53.964361 76.004 -30.9370
54.355409 75.904 -33.6942
54.749291 75.796 -36.4656
55.146027 75.679 -39.2506
55.545638 75.555 -42.0493
55.948144 75.423 -44.8619
56.353568 75.285 -47.6897
56.761929 75.142 -50.5346
57.173249 74.993 -53.3999
57.587550 74.841 -56.2914
58.004853 74.685 -59.2177
58.425180 74.527 -62.1908
58.848553 74.367 -65.2274
59.274994 74.206 -68.3527
59.704525 74.045 -71.6047
60.137169 73.886 -75.0420
60.572947 73.730 -78.7598
61.011884 73.577 -82.9189
61.454001 73.429 -87.8146
61.899322 73.287 -94.0406
62.347870 73.154 -102.9487
62.799669 73.029 -118.1018
63.254741 72.916 -148.7482
63.713111 72.816 164.4358
64.174802 72.730 133.8526
64.639839 72.659 118.9329
65.108246 72.607 110.4073
65.580047 72.573 104.7005
66.055268 72.559 100.4553
66.533931 72.565 97.0735
67.016064 72.592 94.2559
67.501690 72.639 91.8364
67.990835 72.706 89.7139
68.483524 72.790 87.8228
68.979784 72.892 86.1161
69.479640 73.009 84.5585
69.983118 73.139 83.1207
70.490245 73.281 81.7773
71.001046 73.431 80.5070
71.515549 73.587 79.2883
72.033780 73.749 78.1031
72.555766 73.913 76.9344
73.081535 74.079 75.7653
73.611114 74.243 74.5828
74.144531 74.406 73.3728
74.681813 74.565 72.1267
75.222988 74.720 70.8347
75.768085 74.868 69.4915
76.317131 75.011 68.0915
76.870157 75.146 66.6331
77.427190 75.273 65.1149
77.988259 75.392 63.5391
78.553394 75.502 61.9072
79.122624 75.604 60.2238
79.695980 75.695 58.4930
80.273489 75.778 56.7206
80.855184 75.851 54.9130
81.441094 75.914 53.0770
82.031250 75.969 51.2194
82.625682 76.015 49.3476
83.224422 76.052 47.4683
83.827500 76.081 45.5886
84.434949 76.103 43.7153
85.046800 76.117 41.8542
85.663084 76.126 40.0112
86.283834 76.129 38.1916
86.909082 76.127 36.3997
87.538861 76.121 34.6390
