* Measurement data measured by REW V5.40 beta 73
* Source: 
* Format: 
* Dated: Mar 11, 2025 7:27:56 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of L1 Cal file effects included No LF tail No HF tail
* Measurement: L1-MP
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 37.783 32.2567
0.368865 37.775 32.2837
0.371538 37.767 32.3123
0.374230 37.759 32.3428
0.376942 37.750 32.3750
0.379673 37.741 32.4090
0.382424 37.731 32.4449
0.385196 37.721 32.4827
0.387987 37.711 32.5223
0.390798 37.700 32.5639
0.393630 37.689 32.6073
0.396483 37.677 32.6526
0.399356 37.665 32.6998
0.402250 37.653 32.7489
0.405165 37.640 32.8000
0.408101 37.627 32.8529
0.411058 37.614 32.9078
0.414037 37.601 32.9646
0.417037 37.587 33.0233
0.420059 37.573 33.0839
0.423103 37.558 33.1465
0.426169 37.544 33.2110
0.429257 37.529 33.2774
0.432368 37.514 33.3458
0.435501 37.498 33.4162
0.438656 37.483 33.4886
0.441835 37.467 33.5629
0.445037 37.451 33.6393
0.448262 37.435 33.7177
0.451510 37.418 33.7982
0.454782 37.402 33.8808
0.458077 37.385 33.9656
0.461397 37.368 34.0524
0.464740 37.351 34.1415
0.468108 37.334 34.2328
0.471500 37.317 34.3264
0.474917 37.299 34.4223
0.478358 37.282 34.5205
0.481825 37.264 34.6212
0.485316 37.246 34.7243
0.488833 37.228 34.8299
0.492375 37.210 34.9381
0.495943 37.191 35.0490
0.499537 37.173 35.1625
0.503157 37.154 35.2788
0.506803 37.135 35.3979
0.510475 37.117 35.5199
0.514175 37.098 35.6449
0.517900 37.078 35.7730
0.521653 37.059 35.9043
0.525434 37.040 36.0389
0.529241 37.020 36.1768
0.533076 37.001 36.3183
0.536939 36.981 36.4634
0.540830 36.961 36.6122
0.544749 36.941 36.7650
0.548696 36.921 36.9218
0.552673 36.901 37.0829
0.556677 36.881 37.2485
0.560711 36.861 37.4186
0.564774 36.841 37.5937
0.568867 36.821 37.7738
0.572989 36.801 37.9594
0.577141 36.780 38.1506
0.581324 36.760 38.3478
0.585536 36.740 38.5514
0.589779 36.721 38.7617
0.594053 36.701 38.9791
0.598358 36.681 39.2041
0.602694 36.662 39.4373
0.607061 36.643 39.6791
0.611460 36.624 39.9301
0.615891 36.606 40.1910
0.620354 36.589 40.4625
0.624849 36.572 40.7452
0.629377 36.555 41.0401
0.633938 36.540 41.3479
0.638532 36.525 41.6695
0.643159 36.511 42.0060
0.647819 36.499 42.3584
0.652514 36.488 42.7276
0.657242 36.478 43.1149
0.662005 36.469 43.5214
0.666802 36.463 43.9482
0.671634 36.458 44.3967
0.676501 36.456 44.8680
0.681403 36.456 45.3633
0.686341 36.458 45.8838
0.691314 36.463 46.4308
0.696324 36.471 47.0053
0.701370 36.482 47.6084
0.706452 36.496 48.2410
0.711571 36.514 48.9039
0.716728 36.535 49.5977
0.721921 36.560 50.3231
0.727153 36.588 51.0802
0.732422 36.621 51.8691
0.737729 36.658 52.6897
0.743075 36.699 53.5415
0.748460 36.745 54.4240
0.753883 36.794 55.3361
0.759346 36.848 56.2766
0.764849 36.907 57.2440
0.770391 36.970 58.2366
0.775974 37.037 59.2522
0.781597 37.109 60.2887
0.787261 37.184 61.3434
0.792966 37.264 62.4137
0.798712 37.348 63.4966
0.804500 37.436 64.5892
0.810329 37.528 65.6883
0.816201 37.624 66.7906
0.822116 37.723 67.8929
0.828073 37.826 68.9919
0.834074 37.933 70.0844
0.840118 38.042 71.1671
0.846206 38.155 72.2370
0.852338 38.271 73.2910
0.858514 38.389 74.3264
0.864735 38.511 75.3405
0.871001 38.635 76.3307
0.877313 38.761 77.2948
0.883670 38.890 78.2306
0.890074 39.022 79.1362
0.896524 39.155 80.0100
0.903020 39.291 80.8504
0.909564 39.429 81.6561
0.916155 39.568 82.4261
0.922794 39.710 83.1594
0.929481 39.853 83.8552
0.936216 39.997 84.5131
0.943000 40.144 85.1326
0.949834 40.292 85.7133
0.956717 40.441 86.2553
0.963649 40.592 86.7585
0.970632 40.744 87.2230
0.977666 40.897 87.6490
0.984750 41.051 88.0369
0.991886 41.207 88.3870
0.999074 41.364 88.6999
1.006314 41.522 88.9761
1.013606 41.681 89.2162
1.020951 41.840 89.4209
1.028349 42.001 89.5911
1.035801 42.163 89.7275
1.043307 42.325 89.8310
1.050867 42.488 89.9024
1.058482 42.652 89.9428
1.066152 42.817 89.9531
1.073878 42.982 89.9343
1.081660 43.147 89.8875
1.089498 43.314 89.8136
1.097393 43.480 89.7139
1.105345 43.647 89.5893
1.113355 43.814 89.4409
1.121423 43.981 89.2698
1.129549 44.148 89.0771
1.137734 44.315 88.8639
1.145979 44.482 88.6311
1.154283 44.649 88.3797
1.162647 44.815 88.1108
1.171072 44.980 87.8252
1.179558 45.145 87.5239
1.188106 45.309 87.2076
1.196715 45.473 86.8772
1.205387 45.635 86.5334
1.214122 45.796 86.1769
1.222920 45.956 85.8083
1.231782 46.114 85.4280
1.240708 46.271 85.0367
1.249699 46.427 84.6347
1.258754 46.581 84.2225
1.267876 46.732 83.8002
1.277063 46.882 83.3682
1.286318 47.030 82.9266
1.295639 47.176 82.4756
1.305027 47.319 82.0153
1.314484 47.460 81.5456
1.324009 47.599 81.0666
1.333604 47.735 80.5783
1.343268 47.868 80.0805
1.353002 47.999 79.5731
1.362806 48.128 79.0561
1.372681 48.253 78.5293
1.382628 48.375 77.9925
1.392647 48.495 77.4455
1.402739 48.612 76.8884
1.412904 48.726 76.3208
1.423142 48.836 75.7427
1.433455 48.944 75.1540
1.443843 49.049 74.5547
1.454305 49.150 73.9446
1.464844 49.249 73.3240
1.475459 49.344 72.6927
1.486150 49.437 72.0510
1.496920 49.526 71.3989
1.507767 49.612 70.7369
1.518693 49.695 70.0650
1.529698 49.775 69.3836
1.540783 49.852 68.6932
1.551948 49.925 67.9942
1.563194 49.996 67.2869
1.574521 50.064 66.5720
1.585931 50.129 65.8499
1.597423 50.190 65.1213
1.608999 50.249 64.3867
1.620658 50.305 63.6466
1.632402 50.357 62.9017
1.644232 50.407 62.1525
1.656146 50.454 61.3997
1.668147 50.498 60.6436
1.680235 50.539 59.8850
1.692411 50.577 59.1241
1.704675 50.613 58.3615
1.717028 50.645 57.5975
1.729470 50.675 56.8326
1.742003 50.701 56.0670
1.754626 50.725 55.3010
1.767341 50.746 54.5348
1.780147 50.764 53.7686
1.793047 50.779 53.0025
1.806040 50.791 52.2368
1.819128 50.801 51.4715
1.832310 50.807 50.7067
1.845587 50.810 49.9425
1.858961 50.811 49.1791
1.872432 50.809 48.4164
1.886001 50.803 47.6546
1.899667 50.795 46.8940
1.913433 50.783 46.1346
1.927299 50.769 45.3766
1.941265 50.751 44.6205
1.955332 50.731 43.8664
1.969501 50.707 43.1147
1.983773 50.680 42.3659
1.998148 50.650 41.6204
2.012627 50.617 40.8788
2.027212 50.581 40.1417
2.041902 50.541 39.4097
2.056698 50.499 38.6836
2.071602 50.453 37.9641
2.086614 50.404 37.2521
2.101734 50.351 36.5485
2.116964 50.295 35.8543
2.132304 50.236 35.1704
2.147756 50.174 34.4981
2.163320 50.108 33.8385
2.178996 50.039 33.1928
2.194786 49.966 32.5626
2.210690 49.890 31.9493
2.226710 49.811 31.3544
2.242845 49.728 30.7798
2.259098 49.641 30.2274
2.275468 49.551 29.6992
2.291957 49.458 29.1976
2.308566 49.360 28.7250
2.325295 49.260 28.2843
2.342145 49.156 27.8783
2.359117 49.048 27.5105
2.376212 48.938 27.1845
2.393431 48.824 26.9043
2.410775 48.707 26.6743
2.428244 48.587 26.4992
2.445840 48.464 26.3844
2.463564 48.339 26.3355
2.481416 48.213 26.3589
2.499397 48.085 26.4612
2.517509 47.957 26.6497
2.535752 47.828 26.9321
2.554127 47.701 27.3167
2.572635 47.576 27.8119
2.591277 47.454 28.4266
2.610055 47.337 29.1695
2.628968 47.227 30.0491
2.648019 47.125 31.0733
2.667208 47.033 32.2488
2.686535 46.954 33.5804
2.706003 46.889 35.0707
2.725612 46.840 36.7187
2.745363 46.810 38.5194
2.765257 46.800 40.4630
2.785295 46.810 42.5342
2.805478 46.842 44.7121
2.825808 46.896 46.9709
2.846285 46.972 49.2797
2.866910 47.067 51.6051
2.887685 47.182 53.9117
2.908611 47.314 56.1651
2.929688 47.462 58.3330
2.950917 47.622 60.3870
2.972301 47.793 62.3039
2.993839 47.973 64.0659
3.015534 48.160 65.6609
3.037386 48.350 67.0821
3.059396 48.544 68.3269
3.081565 48.739 69.3970
3.103896 48.933 70.2968
3.126388 49.125 71.0330
3.149043 49.315 71.6139
3.171862 49.501 72.0486
3.194847 49.683 72.3469
3.217998 49.859 72.5189
3.241317 50.029 72.5747
3.264805 50.193 72.5239
3.288463 50.350 72.3761
3.312293 50.500 72.1405
3.336295 50.643 71.8258
3.360471 50.777 71.4404
3.384822 50.904 70.9922
3.409350 51.023 70.4886
3.434056 51.134 69.9368
3.458940 51.236 69.3435
3.484005 51.331 68.7151
3.509252 51.417 68.0576
3.534681 51.495 67.3767
3.560295 51.564 66.6777
3.586094 51.626 65.9658
3.612081 51.680 65.2458
3.638255 51.727 64.5222
3.664620 51.766 63.7994
3.691175 51.798 63.0813
3.717923 51.823 62.3719
3.744864 51.842 61.6746
3.772001 51.855 60.9928
3.799335 51.863 60.3294
3.826866 51.866 59.6871
3.854597 51.864 59.0683
3.882529 51.859 58.4749
3.910664 51.851 57.9085
3.939002 51.840 57.3702
3.967546 51.829 56.8605
3.996296 51.816 56.3797
4.025255 51.804 55.9271
4.054423 51.792 55.5017
4.083804 51.782 55.1021
4.113396 51.775 54.7259
4.143204 51.770 54.3706
4.173227 51.769 54.0331
4.203468 51.772 53.7098
4.233928 51.780 53.3969
4.264609 51.792 53.0903
4.295512 51.808 52.7860
4.326639 51.829 52.4798
4.357992 51.853 52.1677
4.389572 51.882 51.8460
4.421380 51.913 51.5111
4.453419 51.947 51.1600
4.485691 51.982 50.7903
4.518196 52.018 50.3999
4.550936 52.054 49.9875
4.583914 52.089 49.5524
4.617131 52.121 49.0945
4.650589 52.151 48.6144
4.684289 52.177 48.1132
4.718233 52.198 47.5927
4.752424 52.214 47.0554
4.786862 52.223 46.5042
4.821549 52.226 45.9424
4.856488 52.222 45.3741
4.891680 52.210 44.8034
4.927127 52.189 44.2352
4.962831 52.161 43.6743
4.998794 52.123 43.1260
5.035017 52.077 42.5957
5.071503 52.022 42.0891
5.108253 51.958 41.6116
5.145270 51.884 41.1692
5.182555 51.802 40.7674
5.220110 51.712 40.4118
5.257937 51.613 40.1078
5.296038 51.506 39.8607
5.334415 51.392 39.6754
5.373071 51.270 39.5567
5.412006 51.142 39.5087
5.451224 51.007 39.5353
5.490725 50.867 39.6400
5.530514 50.723 39.8256
5.570590 50.574 40.0947
5.610957 50.421 40.4491
5.651616 50.266 40.8904
5.692570 50.109 41.4198
5.733821 49.950 42.0379
5.775370 49.792 42.7454
5.817221 49.633 43.5427
5.859375 49.476 44.4302
5.901834 49.321 45.4082
5.944602 49.169 46.4774
5.987679 49.022 47.6383
6.031068 48.878 48.8917
6.074771 48.741 50.2383
6.118792 48.610 51.6790
6.163131 48.488 53.2139
6.207792 48.374 54.8430
6.252776 48.270 56.5654
6.298086 48.177 58.3788
6.343725 48.096 60.2799
6.389694 48.028 62.2634
6.435996 47.975 64.3224
6.482634 47.937 66.4478
6.529610 47.914 68.6290
6.576926 47.908 70.8537
6.624585 47.919 73.1084
6.672590 47.946 75.3790
6.720942 47.991 77.6512
6.769645 48.051 79.9114
6.818700 48.128 82.1469
6.868111 48.220 84.3465
6.917881 48.327 86.5009
6.968010 48.447 88.6027
7.018504 48.580 90.6465
7.069362 48.725 92.6286
7.120590 48.880 94.5469
7.172189 49.045 96.4004
7.224161 49.220 98.1890
7.276511 49.402 99.9134
7.329239 49.592 101.5742
7.382350 49.788 103.1721
7.435845 49.990 104.7077
7.489729 50.197 106.1812
7.544002 50.408 107.5924
7.598669 50.622 108.9407
