* Measurement data measured by REW V5.40 beta 73
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Mar 11, 2025 7:22:31 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = L B = XOfix 
* Measurement: L1
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 37.891 -151.3956
0.368865 37.885 -151.5106
0.371538 37.879 -151.6337
0.374230 37.872 -151.7652
0.376942 37.865 -151.9054
0.379673 37.858 -152.0545
0.382424 37.850 -152.2127
0.385196 37.842 -152.3803
0.387987 37.834 -152.5574
0.390798 37.825 -152.7444
0.393630 37.816 -152.9414
0.396483 37.807 -153.1486
0.399356 37.797 -153.3662
0.402250 37.787 -153.5943
0.405165 37.777 -153.8332
0.408101 37.767 -154.0830
0.411058 37.756 -154.3439
0.414037 37.745 -154.6161
0.417037 37.734 -154.8997
0.420059 37.723 -155.1949
0.423103 37.711 -155.5020
0.426169 37.700 -155.8210
0.429257 37.688 -156.1522
0.432368 37.675 -156.4957
0.435501 37.663 -156.8518
0.438656 37.651 -157.2206
0.441835 37.638 -157.6024
0.445037 37.625 -157.9972
0.448262 37.612 -158.4055
0.451510 37.599 -158.8272
0.454782 37.586 -159.2627
0.458077 37.573 -159.7122
0.461397 37.559 -160.1758
0.464740 37.546 -160.6538
0.468108 37.532 -161.1463
0.471500 37.518 -161.6536
0.474917 37.504 -162.1758
0.478358 37.490 -162.7132
0.481825 37.476 -163.2658
0.485316 37.461 -163.8339
0.488833 37.447 -164.4176
0.492375 37.432 -165.0171
0.495943 37.418 -165.6324
0.499537 37.403 -166.2637
0.503157 37.388 -166.9110
0.506803 37.373 -167.5745
0.510475 37.358 -168.2541
0.514175 37.343 -168.9498
0.517900 37.327 -169.6616
0.521653 37.312 -170.3895
0.525434 37.297 -171.1334
0.529241 37.281 -171.8931
0.533076 37.265 -172.6685
0.536939 37.250 -173.4593
0.540830 37.234 -174.2653
0.544749 37.218 -175.0862
0.548696 37.202 -175.9216
0.552673 37.186 -176.7711
0.556677 37.170 -177.6343
0.560711 37.154 -178.5106
0.564774 37.137 -179.3995
0.568867 37.121 179.6997
0.572989 37.105 178.7877
0.577141 37.089 177.8651
0.581324 37.073 176.9328
0.585536 37.056 175.9917
0.589779 37.040 175.0427
0.594053 37.024 174.0867
0.598358 37.009 173.1248
0.602694 36.993 172.1581
0.607061 36.977 171.1876
0.611460 36.962 170.2145
0.615891 36.947 169.2401
0.620354 36.933 168.2656
0.624849 36.918 167.2922
0.629377 36.905 166.3214
0.633938 36.891 165.3545
0.638532 36.879 164.3928
0.643159 36.867 163.4377
0.647819 36.855 162.4906
0.652514 36.845 161.5529
0.657242 36.835 160.6260
0.662005 36.827 159.7114
0.666802 36.820 158.8103
0.671634 36.814 157.9241
0.676501 36.809 157.0542
0.681403 36.806 156.2018
0.686341 36.805 155.3682
0.691314 36.805 154.5545
0.696324 36.807 153.7619
0.701370 36.811 152.9914
0.706452 36.818 152.2438
0.711571 36.827 151.5202
0.716728 36.838 150.8212
0.721921 36.851 150.1475
0.727153 36.867 149.4996
0.732422 36.886 148.8781
0.737729 36.908 148.2830
0.743075 36.933 147.7147
0.748460 36.960 147.1733
0.753883 36.991 146.6587
0.759346 37.025 146.1707
0.764849 37.061 145.7091
0.770391 37.101 145.2736
0.775974 37.145 144.8637
0.781597 37.191 144.4789
0.787261 37.241 144.1186
0.792966 37.294 143.7822
0.798712 37.350 143.4689
0.804500 37.410 143.1779
0.810329 37.473 142.9086
0.816201 37.539 142.6601
0.822116 37.609 142.4315
0.828073 37.681 142.2221
0.834074 37.757 142.0309
0.840118 37.837 141.8570
0.846206 37.919 141.6997
0.852338 38.005 141.5580
0.858514 38.094 141.4312
0.864735 38.187 141.3184
0.871001 38.282 141.2188
0.877313 38.381 141.1315
0.883670 38.483 141.0559
0.890074 38.589 140.9911
0.896524 38.698 140.9366
0.903020 38.810 140.8914
0.909564 38.925 140.8550
0.916155 39.044 140.8267
0.922794 39.166 140.8058
0.929481 39.291 140.7918
0.936216 39.420 140.7841
0.943000 39.552 140.7822
0.949834 39.687 140.7854
0.956717 39.826 140.7934
0.963649 39.968 140.8056
0.970632 40.114 140.8217
0.977666 40.262 140.8411
0.984750 40.414 140.8636
0.991886 40.569 140.8888
0.999074 40.727 140.9163
1.006314 40.888 140.9459
1.013606 41.052 140.9772
1.020951 41.219 141.0101
1.028349 41.389 141.0443
1.035801 41.562 141.0796
1.043307 41.737 141.1159
1.050867 41.914 141.1529
1.058482 42.094 141.1906
1.066152 42.276 141.2288
1.073878 42.460 141.2675
1.081660 42.646 141.3065
1.089498 42.833 141.3458
1.097393 43.022 141.3853
1.105345 43.211 141.4250
1.113355 43.402 141.4648
1.121423 43.594 141.5046
1.129549 43.786 141.5446
1.137734 43.979 141.5845
1.145979 44.171 141.6244
1.154283 44.364 141.6642
1.162647 44.556 141.7040
1.171072 44.748 141.7437
1.179558 44.939 141.7833
1.188106 45.128 141.8226
1.196715 45.317 141.8618
1.205387 45.505 141.9008
1.214122 45.690 141.9395
1.222920 45.874 141.9778
1.231782 46.056 142.0159
1.240708 46.236 142.0536
1.249699 46.413 142.0909
1.258754 46.588 142.1277
1.267876 46.761 142.1641
1.277063 46.930 142.1999
1.286318 47.097 142.2352
1.295639 47.260 142.2700
1.305027 47.420 142.3042
1.314484 47.577 142.3378
1.324009 47.730 142.3707
1.333604 47.880 142.4031
1.343268 48.026 142.4348
1.353002 48.168 142.4658
1.362806 48.307 142.4961
1.372681 48.441 142.5258
1.382628 48.572 142.5548
1.392647 48.698 142.5832
1.402739 48.821 142.6110
1.412904 48.939 142.6381
1.423142 49.054 142.6646
1.433455 49.164 142.6905
1.443843 49.270 142.7159
1.454305 49.372 142.7407
1.464844 49.469 142.7651
1.475459 49.563 142.7890
1.486150 49.653 142.8124
1.496920 49.738 142.8355
1.507767 49.820 142.8582
1.518693 49.898 142.8806
1.529698 49.971 142.9027
1.540783 50.041 142.9246
1.551948 50.107 142.9463
1.563194 50.170 142.9678
1.574521 50.229 142.9893
1.585931 50.284 143.0106
1.597423 50.336 143.0319
1.608999 50.384 143.0532
1.620658 50.429 143.0745
1.632402 50.471 143.0958
1.644232 50.510 143.1171
1.656146 50.546 143.1384
1.668147 50.578 143.1598
1.680235 50.608 143.1811
1.692411 50.635 143.2024
1.704675 50.660 143.2235
1.717028 50.681 143.2445
1.729470 50.700 143.2652
1.742003 50.717 143.2855
1.754626 50.731 143.3053
1.767341 50.743 143.3243
1.780147 50.752 143.3425
1.793047 50.759 143.3594
1.806040 50.764 143.3749
1.819128 50.766 143.3887
1.832310 50.766 143.4004
1.845587 50.763 143.4096
1.858961 50.759 143.4158
1.872432 50.752 143.4186
1.886001 50.743 143.4174
1.899667 50.731 143.4117
1.913433 50.717 143.4008
1.927299 50.700 143.3840
1.941265 50.681 143.3607
1.955332 50.660 143.3300
1.969501 50.636 143.2911
1.983773 50.609 143.2433
1.998148 50.580 143.1857
2.012627 50.548 143.1173
2.027212 50.513 143.0373
2.041902 50.475 142.9447
2.056698 50.435 142.8387
2.071602 50.391 142.7182
2.086614 50.344 142.5825
2.101734 50.295 142.4305
2.116964 50.242 142.2616
2.132304 50.186 142.0748
2.147756 50.127 141.8693
2.163320 50.064 141.6446
2.178996 49.998 141.3999
2.194786 49.928 141.1348
2.210690 49.856 140.8489
2.226710 49.779 140.5417
2.242845 49.699 140.2133
2.259098 49.616 139.8635
2.275468 49.529 139.4924
2.291957 49.438 139.1003
2.308566 49.344 138.6878
2.325295 49.246 138.2554
2.342145 49.144 137.8040
2.359117 49.039 137.3346
2.376212 48.931 136.8485
2.393431 48.820 136.3473
2.410775 48.705 135.8326
2.428244 48.588 135.3064
2.445840 48.468 134.7709
2.463564 48.346 134.2286
2.481416 48.223 133.6820
2.499397 48.098 133.1341
2.517509 47.974 132.5880
2.535752 47.850 132.0469
2.554127 47.727 131.5143
2.572635 47.607 130.9939
2.591277 47.492 130.4893
2.610055 47.382 130.0042
2.628968 47.279 129.5423
2.648019 47.186 129.1074
2.667208 47.104 128.7029
2.686535 47.036 128.3320
2.706003 46.982 127.9975
2.725612 46.946 127.7018
2.745363 46.929 127.4468
2.765257 46.932 127.2335
2.785295 46.956 127.0622
2.805478 47.001 126.9326
2.825808 47.068 126.8434
2.846285 47.155 126.7925
2.866910 47.262 126.7770
2.887685 47.386 126.7935
2.908611 47.526 126.8378
2.929688 47.680 126.9055
2.950917 47.846 126.9918
2.972301 48.021 127.0918
2.993839 48.203 127.2008
3.015534 48.391 127.3142
3.037386 48.581 127.4279
3.059396 48.774 127.5381
3.081565 48.966 127.6414
3.103896 49.157 127.7354
3.126388 49.345 127.8176
3.149043 49.530 127.8867
3.171862 49.710 127.9414
3.194847 49.884 127.9813
3.217998 50.053 128.0062
3.241317 50.216 128.0164
3.264805 50.371 128.0123
3.288463 50.519 127.9948
3.312293 50.659 127.9648
3.336295 50.791 127.9236
3.360471 50.915 127.8722
3.384822 51.030 127.8119
3.409350 51.137 127.7438
3.434056 51.235 127.6690
3.458940 51.324 127.5883
3.484005 51.405 127.5024
3.509252 51.477 127.4118
3.534681 51.540 127.3165
3.560295 51.596 127.2163
3.586094 51.643 127.1107
3.612081 51.682 126.9985
3.638255 51.714 126.8783
3.664620 51.738 126.7481
3.691175 51.755 126.6054
3.717923 51.767 126.4472
3.744864 51.772 126.2698
3.772001 51.772 126.0690
3.799335 51.767 125.8399
3.826866 51.759 125.5769
3.854597 51.748 125.2737
3.882529 51.734 124.9235
3.910664 51.718 124.5182
3.939002 51.702 124.0494
3.967546 51.686 123.5074
3.996296 51.671 122.8815
4.025255 51.658 122.1602
4.054423 51.647 121.3303
4.083804 51.640 120.3777
4.113396 51.636 119.2864
4.143204 51.637 118.0389
4.173227 51.643 116.6157
4.203468 51.654 114.9957
4.233928 51.671 113.1553
4.264609 51.693 111.0698
4.295512 51.720 108.7125
4.326639 51.752 106.0564
4.357992 51.788 103.0754
4.389572 51.829 99.7463
4.421380 51.873 96.0525
4.453419 51.921 91.9875
4.485691 51.970 87.5603
4.518196 52.020 82.8002
4.550936 52.071 77.7598
4.583914 52.122 72.5157
4.617131 52.172 67.1639
4.650589 52.219 61.8117
4.684289 52.264 56.5666
4.718233 52.304 51.5241
4.752424 52.341 46.7609
4.786862 52.372 42.3301
4.821549 52.398 38.2622
4.856488 52.417 34.5685
4.891680 52.429 31.2460
4.927127 52.433 28.2822
4.962831 52.430 25.6589
4.998794 52.418 23.3561
5.035017 52.398 21.3530
5.071503 52.369 19.6302
5.108253 52.331 18.1702
5.145270 52.284 16.9574
5.182555 52.228 15.9784
5.220110 52.164 15.2220
5.257937 52.091 14.6785
5.296038 52.010 14.3396
5.334415 51.921 14.1980
5.373071 51.824 14.2469
5.412006 51.721 14.4796
5.451224 51.611 14.8889
5.490725 51.495 15.4668
5.530514 51.374 16.2037
5.570590 51.247 17.0887
5.610957 51.117 18.1085
5.651616 50.983 19.2477
5.692570 50.846 20.4890
5.733821 50.706 21.8127
5.775370 50.564 23.1979
5.817221 50.420 24.6220
5.859375 50.276 26.0624
5.901834 50.131 27.4960
5.944602 49.986 28.9008
5.987679 49.841 30.2553
6.031068 49.697 31.5393
6.074771 49.555 32.7328
6.118792 49.415 33.8158
6.163131 49.279 34.7650
6.207792 49.146 35.5503
6.252776 49.018 36.1246
6.298086 48.896 36.4026
6.343725 48.782 36.2017
6.389694 48.676 35.0415
6.435996 48.580 31.1404
6.482634 48.495 9.5886
6.529610 48.423 -108.7845
6.576926 48.366 -124.9988
6.624585 48.324 -128.5409
6.672590 48.300 -129.8550
6.720942 48.293 -130.4048
6.769645 48.304 -130.6040
6.818700 48.334 -130.6102
6.868111 48.384 -130.4933
6.917881 48.452 -130.2866
6.968010 48.538 -130.0059
7.018504 48.642 -129.6583
7.069362 48.762 -129.2457
7.120590 48.897 -128.7675
7.172189 49.047 -128.2217
7.224161 49.209 -127.6057
7.276511 49.383 -126.9170
