* Measurement data measured by REW V5.30.9
* Source: Vector average
* Format: Vector average
* Dated: Sep 22, 2025 4:25:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Vector average of L2, R2
* Measurement: L2R2(oca 120)
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.098633 47.399 -170.9418
1.106594 47.510 -171.2233
1.114613 47.626 -171.5182
1.122690 47.745 -171.8260
1.130825 47.868 -172.1463
1.139020 47.995 -172.4785
1.147273 48.124 -172.8221
1.155587 48.256 -173.1764
1.163961 48.390 -173.5407
1.172395 48.526 -173.9145
1.180891 48.663 -174.2970
1.189448 48.802 -174.6876
1.198068 48.942 -175.0856
1.206749 49.082 -175.4904
1.215494 49.223 -175.9013
1.224302 49.364 -176.3179
1.233174 49.505 -176.7397
1.242110 49.645 -177.1663
1.251111 49.785 -177.5971
1.260177 49.924 -178.0320
1.269308 50.061 -178.4706
1.278506 50.197 -178.9128
1.287771 50.331 -179.3585
1.297103 50.464 -179.8074
1.306502 50.594 179.7403
1.315969 50.723 179.2847
1.325505 50.848 178.8257
1.335111 50.971 178.3632
1.344785 51.092 177.8969
1.354530 51.209 177.4268
1.364346 51.323 176.9525
1.374232 51.434 176.4738
1.384191 51.541 175.9904
1.394221 51.645 175.5020
1.404324 51.745 175.0083
1.414500 51.841 174.5090
1.424750 51.933 174.0038
1.435075 52.021 173.4923
1.445474 52.105 172.9744
1.455948 52.185 172.4497
1.466499 52.260 171.9180
1.477126 52.331 171.3790
1.487830 52.397 170.8327
1.498611 52.459 170.2789
1.509471 52.517 169.7174
1.520409 52.569 169.1483
1.531426 52.618 168.5714
1.542524 52.661 167.9870
1.553701 52.700 167.3950
1.564960 52.734 166.7955
1.576301 52.764 166.1888
1.587723 52.789 165.5749
1.599228 52.809 164.9541
1.610817 52.825 164.3266
1.622490 52.836 163.6926
1.634247 52.843 163.0524
1.646089 52.844 162.4062
1.658018 52.841 161.7543
1.670032 52.834 161.0967
1.682134 52.822 160.4337
1.694323 52.805 159.7655
1.706601 52.783 159.0920
1.718968 52.757 158.4133
1.731424 52.726 157.7294
1.743971 52.691 157.0402
1.756608 52.651 156.3454
1.769338 52.606 155.6448
1.782159 52.557 154.9381
1.795073 52.503 154.2248
1.808081 52.444 153.5045
1.821183 52.381 152.7764
1.834380 52.312 152.0399
1.847673 52.240 151.2941
1.861062 52.162 150.5383
1.874548 52.080 149.7713
1.888132 51.993 148.9922
1.901814 51.902 148.1997
1.915595 51.806 147.3926
1.929476 51.705 146.5696
1.943458 51.600 145.7291
1.957541 51.490 144.8698
1.971726 51.376 143.9899
1.986014 51.257 143.0878
2.000406 51.134 142.1615
2.014901 51.006 141.2091
2.029502 50.874 140.2286
2.044209 50.738 139.2177
2.059022 50.598 138.1742
2.073943 50.453 137.0954
2.088971 50.305 135.9788
2.104109 50.153 134.8214
2.119356 49.997 133.6202
2.134714 49.837 132.3719
2.150183 49.674 131.0731
2.165764 49.507 129.7201
2.181458 49.337 128.3090
2.197266 49.164 126.8356
2.213188 48.987 125.2957
2.229226 48.808 123.6848
2.245379 48.625 121.9985
2.261650 48.441 120.2322
2.278039 48.253 118.3814
2.294547 48.064 116.4421
2.311174 47.872 114.4105
2.327922 47.679 112.2835
2.344791 47.484 110.0590
2.361782 47.288 107.7361
2.378897 47.090 105.3156
2.396135 46.892 102.8002
2.413499 46.694 100.1947
2.430988 46.496 97.5071
2.448604 46.298 94.7480
2.466347 46.102 91.9312
2.484219 45.907 89.0737
2.502221 45.715 86.1955
2.520353 45.526 83.3192
2.538617 45.340 80.4695
2.557013 45.160 77.6725
2.575542 44.985 74.9549
2.594205 44.817 72.3434
2.613004 44.656 69.8638
2.631939 44.505 67.5405
2.651011 44.364 65.3962
2.670221 44.234 63.4515
2.689571 44.117 61.7251
2.709061 44.014 60.2336
2.728691 43.927 58.9921
2.748465 43.856 58.0139
2.768381 43.802 57.3112
2.788442 43.767 56.8946
2.808648 43.750 56.7738
2.829001 43.752 56.9567
2.849501 43.773 57.4490
2.870150 43.813 58.2539
2.890948 43.871 59.3707
2.911897 43.947 60.7938
2.932998 44.039 62.5113
2.954251 44.146 64.5044
2.975659 44.267 66.7459
2.997222 44.400 69.2007
3.018941 44.544 71.8263
3.040818 44.698 74.5746
3.062853 44.859 77.3949
3.085047 45.027 80.2360
3.107403 45.200 83.0504
3.129920 45.377 85.7964
3.152601 45.556 88.4400
3.175446 45.737 90.9559
3.198457 45.919 93.3271
3.221634 46.100 95.5446
3.244979 46.279 97.6057
3.268494 46.456 99.5129
3.292179 46.631 101.2728
3.316035 46.802 102.8944
3.340064 46.970 104.3883
3.364268 47.133 105.7661
3.388647 47.292 107.0395
3.413202 47.446 108.2199
3.437936 47.595 109.3183
3.462849 47.738 110.3449
3.487942 47.877 111.3089
3.513217 48.010 112.2185
3.538675 48.139 113.0811
3.564318 48.263 113.9026
3.590146 48.382 114.6881
3.616162 48.497 115.4415
3.642366 48.609 116.1655
3.668760 48.717 116.8619
3.695346 48.823 117.5312
3.722124 48.927 118.1730
3.749096 49.029 118.7856
3.776263 49.130 119.3666
3.803627 49.231 119.9125
3.831190 49.333 120.4189
3.858953 49.435 120.8806
3.886916 49.539 121.2915
3.915082 49.645 121.6451
3.943453 49.752 121.9338
3.972028 49.862 122.1501
4.000811 49.974 122.2855
4.029803 50.089 122.3313
4.059005 50.205 122.2784
4.088418 50.324 122.1174
4.118044 50.444 121.8385
4.147885 50.566 121.4315
4.177942 50.689 120.8860
4.208218 50.812 120.1907
4.238712 50.935 119.3342
4.269427 51.058 118.3041
4.300366 51.180 117.0876
4.331528 51.300 115.6709
4.362916 51.419 114.0393
4.394531 51.536 112.1774
4.426376 51.649 110.0692
4.458451 51.760 107.6981
4.490759 51.867 105.0477
4.523301 51.971 102.1026
4.556079 52.070 98.8495
4.589094 52.165 95.2790
4.622348 52.255 91.3875
4.655844 52.340 87.1798
4.689582 52.419 82.6717
4.723564 52.493 77.8916
4.757793 52.560 72.8821
4.792270 52.621 67.6989
4.826997 52.674 62.4084
4.861975 52.721 57.0827
4.897207 52.760 51.7940
4.932695 52.791 46.6087
4.968439 52.815 41.5825
5.004442 52.829 36.7576
5.040706 52.835 32.1623
5.077234 52.832 27.8114
5.114025 52.820 23.7089
5.151084 52.798 19.8496
5.188410 52.767 16.2227
5.226008 52.726 12.8129
5.263878 52.675 9.6027
5.302022 52.614 6.5731
5.340442 52.543 3.7047
5.379142 52.463 0.9783
5.418121 52.373 -1.6254
5.457383 52.273 -4.1255
5.496929 52.164 -6.5407
5.536762 52.046 -8.8899
5.576884 51.919 -11.1921
5.617296 51.784 -13.4666
5.658002 51.641 -15.7328
5.699002 51.492 -18.0107
5.740299 51.336 -20.3201
5.781896 51.174 -22.6805
5.823794 51.008 -25.1104
5.865995 50.838 -27.6258
5.908503 50.665 -30.2399
5.951318 50.491 -32.9606
5.994444 50.318 -35.7895
6.037882 50.145 -38.7206
6.081635 49.976 -41.7391
6.125705 49.811 -44.8220
6.170095 49.652 -47.9382
6.214806 49.501 -51.0518
6.259841 49.360 -54.1243
6.305202 49.229 -57.1182
6.350892 49.109 -59.9996
6.396913 49.003 -62.7413
6.443268 48.911 -65.3232
6.489959 48.834 -67.7328
6.536988 48.772 -69.9646
6.584357 48.725 -72.0189
6.632070 48.693 -73.9005
6.680129 48.676 -75.6169
6.728536 48.673 -77.1777
6.777294 48.684 -78.5933
6.826405 48.709 -79.8739
6.875872 48.746 -81.0296
6.925697 48.796 -82.0697
6.975884 48.857 -83.0026
7.026434 48.930 -83.8357
7.077350 49.014 -84.5756
7.128635 49.110 -85.2278
7.180293 49.215 -85.7974
7.232324 49.331 -86.2886
7.284732 49.458 -86.7055
7.337520 49.595 -87.0518
7.390691 49.741 -87.3308
7.444247 49.897 -87.5465
7.498191 50.061 -87.7026
7.552526 50.235 -87.8033
7.607255 50.415 -87.8534
7.662380 50.603 -87.8578
7.717905 50.797 -87.8223
7.773832 50.997 -87.7527
7.830165 51.201 -87.6556
7.886905 51.409 -87.5375
7.944057 51.619 -87.4050
8.001623 51.831 -87.2649
8.059606 52.044 -87.1234
8.118009 52.258 -86.9866
8.176836 52.471 -86.8600
8.236088 52.684 -86.7489
8.295770 52.895 -86.6577
8.355885 53.104 -86.5905
8.416435 53.312 -86.5508
8.477424 53.517 -86.5419
8.538855 53.720 -86.5669
8.600731 53.921 -86.6284
8.663055 54.119 -86.7293
8.725832 54.315 -86.8721
8.789063 54.509 -87.0596
8.852752 54.701 -87.2945
8.916902 54.891 -87.5798
8.981518 55.080 -87.9183
9.046602 55.268 -88.3129
9.112157 55.456 -88.7664
9.178188 55.642 -89.2814
9.244696 55.828 -89.8602
9.311687 56.014 -90.5045
9.379164 56.201 -91.2156
9.447129 56.387 -91.9940
9.515587 56.573 -92.8392
9.584541 56.760 -93.7501
9.653994 56.947 -94.7241
9.723951 57.134 -95.7582
9.794415 57.321 -96.8477
9.865389 57.508 -97.9876
9.936878 57.695 -99.6238
10.008884 57.881 -101.5034
10.081413 58.065 -103.4136
10.154467 58.248 -105.3472
10.228051 58.430 -107.2971
10.302167 58.609 -109.0214
10.376821 58.785 -110.6223
10.452016 58.958 -112.2207
10.527755 59.128 -113.8120
10.604044 59.295 -115.3919
10.680885 59.457 -116.8464
10.758283 59.614 -118.2549
10.836242 59.767 -119.6450
10.914766 59.915 -121.0161
10.993859 60.059 -122.3596
11.073525 60.198 -123.6066
11.153768 60.332 -124.8342
11.234593 60.461 -126.0427
11.316003 60.587 -127.2324
11.398004 60.708 -128.3704
11.480599 60.826 -129.4628
11.563792 60.941 -130.5358
11.647588 61.054 -131.5887
11.731991 61.166 -132.6134
11.817006 61.277 -133.5784
11.902637 61.387 -134.5196
11.988888 61.499 -135.4355
12.075764 61.613 -136.3251
12.163270 61.728 -137.1550
12.251411 61.847 -137.9535
12.340189 61.970 -138.7247
12.429611 62.096 -139.4696
12.519681 62.227 -140.1691
12.610404 62.363 -140.8403
12.701784 62.503 -141.4941
12.793827 62.648 -142.1348
12.886536 62.796 -142.7515
12.979917 62.949 -143.3609
13.073975 63.104 -143.9747
13.168715 63.263 -144.5996
13.264140 63.424 -145.2266
13.360258 63.586 -145.8745
13.457072 63.750 -146.5519
13.554587 63.914 -147.2634
13.652809 64.078 -147.9990
13.751743 64.243 -148.7783
13.851394 64.406 -149.6044
13.951767 64.569 -150.4758
14.052867 64.731 -151.3904
14.154700 64.891 -152.3563
14.257271 65.050 -153.3730
14.360585 65.208 -154.4313
14.464648 65.364 -155.5347
14.569465 65.520 -156.6832
14.675041 65.674 -157.8716
14.781382 65.827 -159.0920
14.888494 65.979 -160.3466
14.996382 66.131 -161.6309
15.105052 66.282 -162.9349
15.214510 66.433 -164.2587
15.324760 66.583 -165.5992
15.435810 66.734 -166.9498
15.547664 66.884 -168.3070
15.660329 67.035 -169.6700
15.773810 67.185 -171.0350
15.888114 67.337 -172.3971
16.003246 67.489 -173.7581
16.119212 67.641 -175.1165
16.236018 67.794 -176.4684
16.353671 67.947 -177.8164
16.472176 68.101 -179.1605
16.591541 68.256 179.5016
16.711770 68.411 178.1672
16.832870 68.566 176.8354
16.954848 68.722 175.5071
17.077710 68.878 174.1799
17.201462 69.035 172.8527
17.326111 69.191 171.5258
17.451663 69.347 170.1970
17.578125 69.503 168.8651
17.705503 69.658 167.5290
17.833805 69.813 166.1880
17.963036 69.967 164.8410
18.093203 70.120 163.4873
18.224314 70.272 162.1262
18.356375 70.422 160.7570
18.489393 70.572 159.3790
18.623375 70.719 157.9920
18.758327 70.865 156.5945
18.894258 71.009 155.1865
19.031174 71.151 153.7681
19.169081 71.291 152.3381
19.307988 71.428 150.8970
19.447902 71.563 149.4439
19.588829 71.695 147.9778
19.730778 71.825 146.4995
19.873756 71.951 145.0073
20.017769 72.074 143.5016
20.162826 72.193 141.9824
20.308934 72.309 140.4481
20.456101 72.421 138.8998
20.604334 72.529 137.3359
20.753642 72.632 135.7567
20.904031 72.731 134.1624
