* Measurement data measured by REW V5.40 beta 100
* Source: Vector average
* Format: Vector average
* Dated: Sep 23, 2025 2:39:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 69.5 dB
* Note: ; Vector average of L.120.Blue, R.120.Blue
* Measurement: LR120.blue
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 5.126953 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.126953 48.639 93.9291
5.164105 48.621 93.7682
5.201526 48.610 93.5791
5.239219 48.606 93.3543
5.277184 48.611 93.0840
5.315425 48.625 92.7559
5.353943 48.649 92.3546
5.392740 48.684 91.8611
5.431818 48.732 91.2523
5.471179 48.791 90.5014
5.510825 48.862 89.5787
5.550759 48.946 88.4539
5.590982 49.041 87.0995
5.631497 49.148 85.4972
5.672305 49.266 83.6445
5.713409 49.393 81.5628
5.754810 49.530 79.3011
5.796512 49.674 76.9353
5.838516 49.826 74.5583
5.880824 49.983 72.2653
5.923439 50.145 70.1371
5.966363 50.311 68.2291
6.009598 50.480 66.5671
6.053146 50.651 65.1506
6.097009 50.823 63.9599
6.141191 50.996 62.9641
6.185692 51.168 62.1277
6.230516 51.339 61.4152
6.275665 51.509 60.7936
6.321141 51.677 60.2335
6.366947 51.842 59.7094
6.413084 52.005 59.1992
6.459556 52.164 58.6836
6.506365 52.321 58.1450
6.553513 52.474 57.5672
6.601002 52.624 56.9344
6.648836 52.770 56.2302
6.697016 52.913 55.4372
6.745545 53.054 54.5360
6.794426 53.191 53.5043
6.843661 53.326 52.3160
6.893253 53.458 50.9395
6.943205 53.588 49.3366
6.993518 53.716 47.4602
7.044196 53.843 45.2518
7.095241 53.967 42.6384
7.146656 54.091 39.5294
7.198444 54.212 35.8132
7.250607 54.333 31.3565
7.303148 54.452 26.0088
7.356069 54.570 19.6212
7.409374 54.687 12.0872
7.463066 54.802 3.4143
7.517146 54.915 -6.1946
7.571618 55.027 -16.3067
7.626485 55.137 -26.3445
7.681750 55.245 -35.7681
7.737415 55.351 -44.2306
7.793484 55.455 -51.6128
7.849959 55.557 -57.9608
7.906843 55.658 -63.4034
7.964139 55.758 -68.0927
8.021850 55.857 -72.1724
8.079980 55.956 -75.7660
8.138531 56.057 -78.9747
8.197506 56.159 -81.8795
8.256908 56.264 -84.5440
8.316741 56.373 -87.0183
8.377008 56.488 -89.3409
8.437711 56.608 -91.5417
8.498854 56.737 -93.6429
8.560441 56.873 -95.6614
8.622473 57.018 -97.6090
8.684955 57.174 -99.4939
8.747890 57.339 -101.3216
8.811281 57.514 -103.0952
8.875131 57.699 -104.8168
8.939444 57.894 -106.4873
9.004223 58.098 -108.1078
9.069471 58.311 -109.6796
9.135192 58.531 -111.2047
9.201389 58.758 -112.6861
9.268066 58.991 -114.1279
9.335227 59.228 -115.5353
9.402873 59.470 -116.9144
9.471011 59.715 -118.2724
9.539641 59.962 -119.6168
9.608770 60.212 -120.9552
9.678399 60.462 -122.2954
9.748532 60.713 -123.6442
9.819174 60.964 -125.0074
9.890328 61.215 -126.4136
9.961997 61.465 -128.4746
10.034186 61.713 -130.5572
10.106898 61.960 -132.6594
10.180137 62.205 -134.7767
10.253906 62.447 -136.9022
10.328210 62.687 -138.6653
10.403053 62.923 -140.4174
10.478438 63.155 -142.1472
10.554369 63.383 -143.8432
10.630850 63.607 -145.4747
10.707885 63.825 -146.9309
10.785479 64.038 -148.3245
10.863635 64.244 -149.6497
10.942358 64.444 -150.9031
11.021650 64.637 -152.0453
11.101518 64.822 -153.0676
11.181964 65.000 -154.0198
11.262993 65.169 -154.9056
11.344609 65.331 -155.7296
11.426817 65.483 -156.4432
11.509621 65.626 -157.0999
11.593024 65.761 -157.7108
11.677032 65.886 -158.2812
11.761648 66.003 -158.7932
11.846878 66.111 -159.2519
11.932726 66.210 -159.6827
12.019195 66.301 -160.0891
12.106291 66.385 -160.4652
12.194018 66.461 -160.7952
12.282381 66.530 -161.1088
12.371384 66.594 -161.4084
12.461032 66.652 -161.6932
12.551330 66.706 -161.9437
12.642282 66.757 -162.1874
12.733894 66.805 -162.4269
12.826169 66.851 -162.6628
12.919112 66.896 -162.8805
13.012730 66.941 -163.1031
13.107025 66.987 -163.3337
13.202004 67.033 -163.5722
13.297671 67.081 -163.8109
13.394032 67.131 -164.0676
13.491090 67.183 -164.3453
13.588852 67.238 -164.6402
13.687323 67.295 -164.9516
13.786507 67.355 -165.2915
13.886409 67.417 -165.6618
13.987036 67.483 -166.0560
14.088392 67.551 -166.4796
14.190482 67.621 -166.9366
14.293312 67.695 -167.4262
14.396888 67.771 -167.9397
14.501213 67.850 -168.4862
14.606295 67.931 -169.0649
14.712138 68.014 -169.6700
14.818749 68.100 -170.3016
14.926131 68.188 -170.9617
15.034292 68.278 -171.6478
15.143237 68.370 -172.3540
15.252971 68.464 -173.0850
15.363500 68.560 -173.8399
15.474831 68.657 -174.6142
15.586968 68.755 -175.4114
15.699917 68.855 -176.2332
15.813685 68.957 -177.0781
15.928278 69.059 -177.9489
16.043701 69.163 -178.8500
16.159960 69.267 -179.7832
16.277062 69.373 179.2488
16.395012 69.480 178.2402
16.513817 69.589 177.1879
16.633483 69.698 176.0892
16.754016 69.808 174.9384
16.875422 69.920 173.7327
16.997709 70.033 172.4698
17.120881 70.147 171.1463
17.244946 70.262 169.7610
17.369910 70.378 168.3138
17.495780 70.495 166.8036
17.622561 70.613 165.2312
17.750262 70.731 163.5984
17.878887 70.850 161.9078
18.008445 70.970 160.1625
18.138942 71.090 158.3668
18.270384 71.210 156.5250
18.402779 71.330 154.6425
18.536133 71.449 152.7246
18.670453 71.569 150.7770
18.805747 71.687 148.8042
18.942021 71.805 146.8131
19.079283 71.922 144.8092
19.217539 72.037 142.7975
19.356797 72.151 140.7834
19.497065 72.263 138.7703
19.638349 72.374 136.7628
19.780656 72.482 134.7645
19.923995 72.588 132.7766
20.068372 72.692 130.8031
20.213796 72.794 128.8445
20.360274 72.892 126.9019
20.507813 72.988 124.9763
20.656421 73.081 123.0656
20.806106 73.170 121.1713
20.956875 73.257 119.2908
21.108737 73.340 117.4233
21.261700 73.420 115.5683
21.415771 73.497 113.7225
21.570958 73.571 111.8863
21.727270 73.641 110.0558
21.884715 73.707 108.2310
22.043301 73.770 106.4099
22.203036 73.829 104.5907
22.363928 73.885 102.7733
22.525986 73.937 100.9544
22.689219 73.986 99.1360
22.853634 74.030 97.3154
23.019241 74.071 95.4944
23.186048 74.107 93.6711
23.354064 74.139 91.8468
23.523297 74.166 90.0215
23.693756 74.189 88.1958
23.865451 74.207 86.3712
24.038390 74.220 84.5478
24.212582 74.227 82.7281
24.388037 74.229 80.9117
24.564762 74.225 79.1020
24.742769 74.214 77.2983
24.922065 74.198 75.5048
25.102661 74.174 73.7205
25.284565 74.144 71.9498
25.467787 74.107 70.1918
25.652337 74.062 68.4511
25.838225 74.010 66.7268
26.025459 73.950 65.0234
26.214050 73.883 63.3404
26.404008 73.809 61.6818
26.595342 73.727 60.0471
26.788063 73.637 58.4402
26.982181 73.540 56.8616
27.177705 73.436 55.3143
27.374645 73.325 53.7995
27.573013 73.208 52.3191
27.772819 73.084 50.8751
27.974072 72.955 49.4684
28.176784 72.821 48.1022
28.380964 72.683 46.7766
28.586625 72.540 45.4946
28.793775 72.395 44.2547
29.002427 72.247 43.0597
29.212590 72.098 41.9088
29.424277 71.949 40.8017
29.637497 71.800 39.7379
29.852263 71.652 38.7140
30.068584 71.507 37.7296
30.286474 71.365 36.7804
30.505942 71.227 35.8631
30.727001 71.094 34.9736
30.949661 70.966 34.1066
31.173935 70.845 33.2585
31.399834 70.730 32.4230
31.627370 70.622 31.5962
31.856555 70.521 30.7740
32.087401 70.426 29.9503
32.319920 70.338 29.1232
32.554123 70.255 28.2891
32.790024 70.177 27.4449
33.027634 70.103 26.5901
33.266966 70.033 25.7230
33.508032 69.965 24.8435
33.750845 69.898 23.9529
33.995417 69.832 23.0523
34.241762 69.764 22.1437
34.489892 69.695 21.2300
34.739820 69.623 20.3136
34.991559 69.548 19.3938
35.245122 69.468 18.4827
35.500523 69.384 17.5884
35.757774 69.294 16.7188
36.016890 69.198 15.8711
36.277883 69.096 15.0489
36.540768 68.988 14.2552
36.805557 68.873 13.4937
37.072265 68.752 12.7671
37.340906 68.625 12.0782
37.611494 68.491 11.4282
37.884042 68.351 10.8206
38.158566 68.206 10.2568
38.435078 68.055 9.7377
38.713595 67.899 9.2623
38.994130 67.739 8.8328
39.276697 67.576 8.4489
39.561312 67.409 8.1102
39.847990 67.240 7.8140
40.136745 67.069 7.5612
40.427592 66.897 7.3507
40.720547 66.725 7.1810
41.015625 66.555 7.0504
41.312841 66.387 6.9568
41.612211 66.222 6.8994
41.913750 66.062 6.8763
42.217475 65.909 6.8848
42.523400 65.762 6.9218
