* Measurement data measured by REW V5.40 beta 100
* Source: 
* Format: 
* Dated: Sep 23, 2025 2:19:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 69.5 dB
* Note: ; Minimum phase copy of LX Cal file effects included No LF tail No HF tail
* Measurement: LX-MP
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.098633 45.140 32.5935
1.106594 45.233 32.8360
1.114613 45.329 33.0879
1.122690 45.428 33.3485
1.130825 45.532 33.6168
1.139020 45.638 33.8918
1.147273 45.747 34.1724
1.155587 45.859 34.4574
1.163961 45.973 34.7456
1.172395 46.089 35.0355
1.180891 46.208 35.3259
1.189448 46.327 35.6152
1.198068 46.449 35.9020
1.206749 46.571 36.1849
1.215494 46.694 36.4624
1.224302 46.818 36.7332
1.233174 46.942 36.9959
1.242110 47.066 37.2490
1.251111 47.190 37.4914
1.260177 47.314 37.7218
1.269308 47.438 37.9390
1.278506 47.561 38.1420
1.287771 47.683 38.3297
1.297103 47.804 38.5012
1.306502 47.923 38.6555
1.315969 48.041 38.7920
1.325505 48.158 38.9098
1.335111 48.273 39.0084
1.344785 48.386 39.0871
1.354530 48.497 39.1454
1.364346 48.606 39.1830
1.374232 48.713 39.1994
1.384191 48.817 39.1944
1.394221 48.919 39.1677
1.404324 49.019 39.1194
1.414500 49.115 39.0492
1.424750 49.209 38.9573
1.435075 49.300 38.8437
1.445474 49.388 38.7086
1.455948 49.473 38.5523
1.466499 49.555 38.3751
1.477126 49.634 38.1774
1.487830 49.710 37.9597
1.498611 49.783 37.7225
1.509471 49.853 37.4665
1.520409 49.920 37.1924
1.531426 49.984 36.9010
1.542524 50.044 36.5930
1.553701 50.102 36.2695
1.564960 50.156 35.9312
1.576301 50.208 35.5792
1.587723 50.257 35.2145
1.599228 50.303 34.8381
1.610817 50.345 34.4511
1.622490 50.386 34.0546
1.634247 50.423 33.6496
1.646089 50.458 33.2372
1.658018 50.489 32.8184
1.670032 50.519 32.3943
1.682134 50.546 31.9658
1.694323 50.570 31.5339
1.706601 50.592 31.0995
1.718968 50.611 30.6635
1.731424 50.628 30.2265
1.743971 50.642 29.7894
1.756608 50.655 29.3527
1.769338 50.664 28.9172
1.782159 50.672 28.4833
1.795073 50.678 28.0514
1.808081 50.681 27.6220
1.821183 50.683 27.1954
1.834380 50.682 26.7719
1.847673 50.679 26.3516
1.861062 50.675 25.9349
1.874548 50.668 25.5217
1.888132 50.660 25.1121
1.901814 50.650 24.7063
1.915595 50.638 24.3043
1.929476 50.624 23.9060
1.943458 50.609 23.5115
1.957541 50.592 23.1208
1.971726 50.574 22.7338
1.986014 50.554 22.3505
2.000406 50.533 21.9709
2.014901 50.511 21.5951
2.029502 50.488 21.2230
2.044209 50.463 20.8547
2.059022 50.437 20.4902
2.073943 50.411 20.1296
2.088971 50.383 19.7729
2.104109 50.355 19.4204
2.119356 50.326 19.0721
2.134714 50.296 18.7282
2.150183 50.265 18.3888
2.165764 50.233 18.0542
2.181458 50.201 17.7245
2.197266 50.168 17.4002
2.213188 50.134 17.0813
2.229226 50.099 16.7682
2.245379 50.064 16.4612
2.261650 50.027 16.1606
2.278039 49.989 15.8669
2.294547 49.951 15.5804
2.311174 49.911 15.3015
2.327922 49.869 15.0307
2.344791 49.827 14.7685
2.361782 49.782 14.5153
2.378897 49.736 14.2718
2.396135 49.689 14.0386
2.413499 49.639 13.8162
2.430988 49.587 13.6055
2.448604 49.533 13.4070
2.466347 49.476 13.2218
2.484219 49.417 13.0505
2.502221 49.356 12.8943
2.520353 49.291 12.7540
2.538617 49.225 12.6309
2.557013 49.155 12.5260
2.575542 49.082 12.4407
2.594205 49.007 12.3762
2.613004 48.929 12.3340
2.631939 48.848 12.3156
2.651011 48.765 12.3226
2.670221 48.679 12.3565
2.689571 48.591 12.4191
2.709061 48.500 12.5121
2.728691 48.407 12.6372
2.748465 48.313 12.7962
2.768381 48.217 12.9907
2.788442 48.120 13.2224
2.808648 48.022 13.4927
2.829001 47.923 13.8032
2.849501 47.825 14.1550
2.870150 47.726 14.5490
2.890948 47.629 14.9859
2.911897 47.533 15.4662
2.932998 47.439 15.9897
2.954251 47.348 16.5561
2.975659 47.260 17.1644
2.997222 47.175 17.8132
3.018941 47.094 18.5006
3.040818 47.019 19.2240
3.062853 46.949 19.9804
3.085047 46.884 20.7663
3.107403 46.826 21.5775
3.129920 46.774 22.4097
3.152601 46.730 23.2577
3.175446 46.693 24.1165
3.198457 46.663 24.9807
3.221634 46.641 25.8446
3.244979 46.626 26.7027
3.268494 46.618 27.5495
3.292179 46.617 28.3799
3.316035 46.623 29.1889
3.340064 46.635 29.9718
3.364268 46.653 30.7246
3.388647 46.676 31.4436
3.413202 46.704 32.1258
3.437936 46.735 32.7685
3.462849 46.770 33.3699
3.487942 46.808 33.9285
3.513217 46.847 34.4435
3.538675 46.888 34.9145
3.564318 46.929 35.3416
3.590146 46.971 35.7254
3.616162 47.012 36.0669
3.642366 47.052 36.3675
3.668760 47.091 36.6288
3.695346 47.128 36.8530
3.722124 47.162 37.0422
3.749096 47.193 37.1992
3.776263 47.222 37.3266
3.803627 47.247 37.4276
3.831190 47.268 37.5054
3.858953 47.286 37.5633
3.886916 47.299 37.6051
3.915082 47.308 37.6345
3.943453 47.312 37.6556
3.972028 47.312 37.6726
4.000811 47.308 37.6898
4.029803 47.299 37.7118
4.059005 47.285 37.7433
4.088418 47.267 37.7891
4.118044 47.244 37.8544
4.147885 47.217 37.9443
4.177942 47.186 38.0639
4.208218 47.152 38.2187
4.238712 47.114 38.4139
4.269427 47.073 38.6548
4.300366 47.030 38.9466
4.331528 46.985 39.2942
4.362916 46.939 39.7024
4.394531 46.892 40.1755
4.426376 46.847 40.7171
4.458451 46.802 41.3304
4.490759 46.761 42.0178
4.523301 46.723 42.7807
4.556079 46.690 43.6197
4.589094 46.662 44.5339
4.622348 46.642 45.5217
4.655844 46.629 46.5801
4.689582 46.625 47.7050
4.723564 46.631 48.8914
4.757793 46.647 50.1333
4.792270 46.673 51.4242
4.826997 46.710 52.7573
4.861975 46.758 54.1257
4.897207 46.817 55.5228
4.932695 46.887 56.9426
4.968439 46.966 58.3800
5.004442 47.055 59.8307
5.040706 47.154 61.2917
5.077234 47.261 62.7612
5.114025 47.376 64.2384
5.151084 47.498 65.7234
5.188410 47.627 67.2172
5.226008 47.763 68.7208
5.263878 47.905 70.2357
5.302022 48.053 71.7627
5.340442 48.205 73.3021
5.379142 48.363 74.8529
5.418121 48.525 76.4129
5.457383 48.691 77.9781
5.496929 48.860 79.5426
5.536762 49.033 81.0991
5.576884 49.208 82.6384
5.617296 49.385 84.1500
5.658002 49.563 85.6226
5.699002 49.742 87.0446
5.740299 49.921 88.4045
5.781896 50.099 89.6915
5.823794 50.275 90.8962
5.865995 50.450 92.0107
5.908503 50.622 93.0294
5.951318 50.790 93.9485
5.994444 50.954 94.7666
6.037882 51.114 95.4843
6.081635 51.269 96.1040
6.125705 51.418 96.6303
6.170095 51.562 97.0688
6.214806 51.700 97.4266
6.259841 51.832 97.7116
6.305202 51.959 97.9326
6.350892 52.079 98.0988
6.396913 52.195 98.2196
6.443268 52.305 98.3044
6.489959 52.410 98.3627
6.536988 52.511 98.4036
6.584357 52.609 98.4356
6.632070 52.704 98.4670
6.680129 52.796 98.5050
6.728536 52.887 98.5563
6.777294 52.978 98.6262
6.826405 53.069 98.7194
6.875872 53.161 98.8392
6.925697 53.254 98.9876
6.975884 53.350 99.1657
7.026434 53.448 99.3731
7.077350 53.550 99.6082
7.128635 53.656 99.8686
7.180293 53.765 100.1509
7.232324 53.878 100.4509
7.284732 53.995 100.7641
7.337520 54.115 101.0858
7.390691 54.239 101.4113
7.444247 54.366 101.7366
7.498191 54.495 102.0580
7.552526 54.627 102.3728
7.607255 54.761 102.6795
7.662380 54.897 102.9773
7.717905 55.035 103.2671
7.773832 55.175 103.5508
7.830165 55.317 103.8313
7.886905 55.461 104.1127
7.944057 55.607 104.4002
8.001623 55.757 104.6995
8.059606 55.910 105.0169
8.118009 56.067 105.3592
8.176836 56.229 105.7332
8.236088 56.396 106.1456
8.295770 56.569 106.6029
8.355885 56.749 107.1107
8.416435 56.937 107.6740
8.477424 57.131 108.2965
8.538855 57.334 108.9807
8.600731 57.544 109.7275
8.663055 57.762 110.5359
8.725832 57.987 111.4032
8.789063 58.219 112.3247
8.852752 58.458 113.2935
8.916902 58.702 114.3012
8.981518 58.952 115.3373
9.046602 59.206 116.3901
9.112157 59.463 117.4465
9.178188 59.723 118.4928
9.244696 59.984 119.5151
9.311687 60.247 120.4994
9.379164 60.509 121.4324
9.447129 60.772 122.3020
9.515587 61.033 123.0972
9.584541 61.292 123.8085
9.653994 61.549 124.4284
