* Measurement data measured by REW V5.40 beta 100
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 23, 2025 2:08:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 69.5 dB
* Note: ; Trace Arithmetic A times B A = L.120.Blue B = X801 (revised) 
* Measurement: LX
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.098633 44.977 -6.9923
1.106594 45.098 -5.1035
1.114613 45.224 -2.6220
1.122690 45.353 0.7237
1.130825 45.486 5.3764
1.139020 45.623 12.0755
1.147273 45.763 22.0256
1.155587 45.906 36.8356
1.163961 46.051 57.0595
1.172395 46.199 79.0886
1.180891 46.348 97.2485
1.189448 46.499 109.8732
1.198068 46.652 118.2811
1.206749 46.805 123.9739
1.215494 46.959 127.9497
1.224302 47.113 130.8086
1.233174 47.268 132.9127
1.242110 47.422 134.4866
1.251111 47.576 135.6752
1.260177 47.730 136.5750
1.269308 47.883 137.2526
1.278506 48.034 137.7549
1.287771 48.185 138.1158
1.297103 48.334 138.3607
1.306502 48.482 138.5082
1.315969 48.628 138.5730
1.325505 48.772 138.5663
1.335111 48.914 138.4966
1.344785 49.054 138.3711
1.354530 49.191 138.1951
1.364346 49.326 137.9732
1.374232 49.458 137.7090
1.384191 49.587 137.4054
1.394221 49.714 137.0650
1.404324 49.837 136.6897
1.414500 49.958 136.2814
1.424750 50.075 135.8418
1.435075 50.189 135.3720
1.445474 50.299 134.8737
1.455948 50.406 134.3479
1.466499 50.509 133.7959
1.477126 50.608 133.2191
1.487830 50.704 132.6187
1.498611 50.796 131.9961
1.509471 50.884 131.3528
1.520409 50.968 130.6904
1.531426 51.048 130.0103
1.542524 51.124 129.3146
1.553701 51.195 128.6049
1.564960 51.263 127.8833
1.576301 51.326 127.1519
1.587723 51.385 126.4126
1.599228 51.439 125.6678
1.610817 51.489 124.9196
1.622490 51.534 124.1704
1.634247 51.575 123.4224
1.646089 51.612 122.6778
1.658018 51.643 121.9389
1.670032 51.670 121.2079
1.682134 51.692 120.4869
1.694323 51.709 119.7778
1.706601 51.721 119.0826
1.718968 51.728 118.4029
1.731424 51.730 117.7405
1.743971 51.728 117.0967
1.756608 51.720 116.4729
1.769338 51.707 115.8701
1.782159 51.689 115.2894
1.795073 51.666 114.7316
1.808081 51.638 114.1972
1.821183 51.605 113.6867
1.834380 51.567 113.2005
1.847673 51.524 112.7387
1.861062 51.476 112.3014
1.874548 51.424 111.8884
1.888132 51.368 111.4996
1.901814 51.307 111.1347
1.915595 51.242 110.7932
1.929476 51.174 110.4747
1.943458 51.103 110.1786
1.957541 51.028 109.9043
1.971726 50.951 109.6513
1.986014 50.872 109.4187
2.000406 50.791 109.2058
2.014901 50.709 109.0120
2.029502 50.627 108.8365
2.044209 50.545 108.6784
2.059022 50.463 108.5371
2.073943 50.382 108.4116
2.088971 50.304 108.3014
2.104109 50.228 108.2055
2.119356 50.156 108.1233
2.134714 50.087 108.0540
2.150183 50.022 107.9970
2.165764 49.962 107.9514
2.181458 49.907 107.9168
2.197266 49.857 107.8923
2.213188 49.812 107.8776
2.229226 49.773 107.8719
2.245379 49.739 107.8749
2.261650 49.710 107.8860
2.278039 49.685 107.9048
2.294547 49.665 107.9310
2.311174 49.648 107.9643
2.327922 49.634 108.0045
2.344791 49.622 108.0515
2.361782 49.612 108.1051
2.378897 49.602 108.1653
2.396135 49.593 108.2324
2.413499 49.583 108.3064
2.430988 49.571 108.3878
2.448604 49.557 108.4768
2.466347 49.540 108.5740
2.484219 49.520 108.6801
2.502221 49.496 108.7958
2.520353 49.468 108.9220
2.538617 49.434 109.0596
2.557013 49.396 109.2098
2.575542 49.353 109.3736
2.594205 49.304 109.5525
2.613004 49.249 109.7478
2.631939 49.189 109.9609
2.651011 49.124 110.1931
2.670221 49.053 110.4460
2.689571 48.977 110.7210
2.709061 48.896 111.0192
2.728691 48.811 111.3420
2.748465 48.723 111.6903
2.768381 48.631 112.0648
2.788442 48.536 112.4658
2.808648 48.439 112.8936
2.829001 48.340 113.3477
2.849501 48.241 113.8273
2.870150 48.142 114.3310
2.890948 48.044 114.8569
2.911897 47.948 115.4025
2.932998 47.854 115.9648
2.954251 47.763 116.5400
2.975659 47.676 117.1242
2.997222 47.594 117.7127
3.018941 47.517 118.3004
3.040818 47.445 118.8821
3.062853 47.380 119.4522
3.085047 47.321 120.0051
3.107403 47.268 120.5352
3.129920 47.222 121.0368
3.152601 47.182 121.5048
3.175446 47.150 121.9338
3.198457 47.123 122.3192
3.221634 47.103 122.6565
3.244979 47.090 122.9417
3.268494 47.082 123.1709
3.292179 47.081 123.3407
3.316035 47.085 123.4477
3.340064 47.096 123.4886
3.364268 47.111 123.4597
3.388647 47.132 123.3568
3.413202 47.159 123.1745
3.437936 47.190 122.9052
3.462849 47.227 122.5382
3.487942 47.268 122.0570
3.513217 47.313 121.4354
3.538675 47.363 120.6301
3.564318 47.416 119.5648
3.590146 47.472 118.0944
3.616162 47.531 115.9097
3.642366 47.591 112.2297
3.668760 47.654 104.4263
3.695346 47.716 77.6325
3.722124 47.779 -7.6686
3.749096 47.840 -36.5918
3.776263 47.900 -44.7898
3.803627 47.958 -48.6405
3.831190 48.012 -50.9559
3.858953 48.063 -52.5571
3.886916 48.109 -53.7660
3.915082 48.151 -54.7328
3.943453 48.186 -55.5367
3.972028 48.216 -56.2223
4.000811 48.240 -56.8165
4.029803 48.256 -57.3359
4.059005 48.266 -57.7915
4.088418 48.269 -58.1900
4.118044 48.265 -58.5363
4.147885 48.254 -58.8332
4.177942 48.236 -59.0830
4.208218 48.211 -59.2872
4.238712 48.179 -59.4470
4.269427 48.141 -59.5638
4.300366 48.098 -59.6389
4.331528 48.049 -59.6738
4.362916 47.996 -59.6706
4.394531 47.938 -59.6318
4.426376 47.877 -59.5605
4.458451 47.814 -59.4605
4.490759 47.749 -59.3361
4.523301 47.683 -59.1925
4.556079 47.618 -59.0356
4.589094 47.554 -58.8720
4.622348 47.492 -58.7091
4.655844 47.435 -58.5550
4.689582 47.382 -58.4187
4.723564 47.336 -58.3099
4.757793 47.298 -58.2393
4.792270 47.269 -58.2190
4.826997 47.250 -58.2630
4.861975 47.242 -58.3880
4.897207 47.247 -58.6148
4.932695 47.266 -58.9716
4.968439 47.299 -59.4987
5.004442 47.346 -60.2589
5.040706 47.409 -61.3596
5.077234 47.487 -63.0048
5.114025 47.580 -65.6443
5.151084 47.688 -70.5004
5.188410 47.810 -82.3012
5.226008 47.946 -130.8810
5.263878 48.094 157.5872
5.302022 48.254 140.0615
5.340442 48.425 133.5720
5.379142 48.605 129.9900
5.418121 48.793 127.5293
5.457383 48.988 125.5928
5.496929 49.189 123.9276
5.536762 49.395 122.4091
5.576884 49.604 120.9702
5.617296 49.815 119.5721
5.658002 50.028 118.1920
5.699002 50.241 116.8162
5.740299 50.454 115.4372
5.781896 50.665 114.0511
5.823794 50.873 112.6569
5.865995 51.078 111.2554
5.908503 51.280 109.8489
5.951318 51.476 108.4408
5.994444 51.668 107.0351
6.037882 51.854 105.6367
6.081635 52.034 104.2504
6.125705 52.208 102.8816
6.170095 52.374 101.5358
6.214806 52.534 100.2181
6.259841 52.687 98.9340
6.305202 52.833 97.6883
6.350892 52.972 96.4860
6.396913 53.104 95.3315
6.443268 53.229 94.2288
6.489959 53.348 93.1815
6.536988 53.462 92.1929
6.584357 53.570 91.2657
6.632070 53.673 90.4019
6.680129 53.772 89.6033
6.728536 53.868 88.8711
6.777294 53.962 88.2060
6.826405 54.054 87.6082
6.875872 54.145 87.0775
6.925697 54.236 86.6134
6.975884 54.327 86.2152
7.026434 54.421 85.8821
7.077350 54.516 85.6138
7.128635 54.613 85.4110
7.180293 54.714 85.2767
7.232324 54.817 85.2188
7.284732 54.924 85.2562
7.337520 55.034 85.4360
7.390691 55.147 85.8945
7.444247 55.262 87.1957
7.498191 55.380 96.9040
7.552526 55.501 -102.0786
7.607255 55.623 -98.5039
7.662380 55.747 -97.5960
7.717905 55.873 -97.1855
7.773832 56.000 -96.9573
7.830165 56.128 -96.8208
7.886905 56.257 -96.7417
7.944057 56.387 -96.7056
8.001623 56.519 -96.7067
8.059606 56.653 -96.7433
8.118009 56.790 -96.8162
8.176836 56.930 -96.9276
8.236088 57.074 -97.0809
8.295770 57.222 -97.2803
8.355885 57.376 -97.5307
8.416435 57.536 -97.8372
8.477424 57.703 -98.2052
8.538855 57.877 -98.6399
8.600731 58.059 -99.1460
8.663055 58.250 -99.7272
8.725832 58.448 -100.3860
8.789063 58.655 -101.1230
8.852752 58.869 -101.9365
8.916902 59.090 -102.8224
8.981518 59.319 -103.7736
9.046602 59.553 -104.7807
9.112157 59.792 -105.8313
9.178188 60.036 -106.9112
