* Measurement data measured by REW V5.30 beta 5
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -22.0 dBFS, measurement signal peak level -18.2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Jan 12, 2025 1:26:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; LEFT+RIGHT 120cm DRC Speakers@120cm from front wall Sofa @P6 Mic higher than usual: circa on tweeter axis -38.5  Delay -0.0089 ms (-3.1 mm, -0.12 in) using estimated IR delay relative to Acoustic reference played from Bryston Audio 2.0 Output L with no timing offset Clock adjustment: -5.3 ppm
* Measurement: R
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 5.126953 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
5.126953 55.806 24.9597
5.493164 56.653 -53.5592
5.859375 52.082 -125.9709
6.225586 35.970 92.3242
6.591797 50.846 -56.1396
6.958008 52.757 -81.3287
7.324219 53.080 -67.9537
7.690429 49.806 -78.9164
8.056640 45.311 31.2858
8.422851 52.400 -30.5191
8.789062 55.614 -103.3995
9.155273 51.646 -103.1418
9.521484 58.452 -62.5940
9.887695 57.728 -87.1496
10.253906 44.509 -48.1260
10.620117 53.746 -69.1696
10.986328 58.235 -121.3118
11.352539 60.617 -105.9597
11.718749 65.834 -113.3507
12.084960 63.734 -157.6335
12.451171 56.691 80.1180
12.817382 58.907 -33.8190
13.183593 60.922 -136.8171
13.549804 58.921 -167.1396
13.916015 63.651 -113.0991
14.282226 68.022 -133.6545
14.648437 65.718 -156.5997
15.014648 63.114 -152.1353
15.380859 65.981 -159.8069
15.747069 67.307 -174.8547
16.113280 67.652 -177.4103
16.479491 67.875 178.9668
16.845702 67.100 175.7434
17.211913 67.629 174.9219
17.578124 68.811 166.2731
17.944335 69.273 161.0226
18.310546 70.017 159.1050
18.676757 70.243 153.8276
19.042968 70.184 152.1362
19.409179 71.098 148.0454
19.775389 71.403 139.3442
20.141600 71.045 137.0419
20.507811 71.224 136.8290
20.874022 71.169 135.8064
21.240233 72.109 137.5405
21.606444 73.841 129.1414
21.972655 74.223 116.6292
22.338866 73.865 110.8958
22.705077 73.903 105.8567
23.071288 73.358 98.9288
23.437499 72.986 98.6873
23.803709 73.892 96.4464
24.169920 74.322 90.0181
24.536131 74.379 86.9497
24.902342 74.611 82.4940
25.268553 74.347 76.7891
25.634764 74.363 73.7333
26.000975 74.837 66.7858
26.367186 74.595 58.5352
26.733397 74.229 55.4999
27.099608 74.470 51.5461
27.465818 74.500 44.1744
27.832029 74.316 36.3386
28.198240 73.814 27.1774
28.564451 72.643 21.3073
28.930662 71.979 21.6522
29.296873 71.948 17.8881
29.663084 71.096 11.8783
30.029295 70.073 10.2914
30.395506 69.558 7.1046
30.761717 68.679 2.0895
31.127928 67.694 1.5814
31.494138 67.173 4.4768
31.860349 67.013 7.9427
32.226560 66.889 9.0314
32.592771 66.399 9.7975
32.958982 66.281 11.9714
33.325193 66.405 10.8879
33.691404 66.153 10.3878
34.057615 66.225 10.1542
34.423826 66.133 4.6184
34.790037 65.517 -0.7328
35.156248 65.191 -3.6910
35.522458 64.580 -5.7358
35.888669 63.664 -0.0891
36.254880 63.800 4.8856
36.621091 63.368 -0.2151
36.987302 61.661 -4.8004
37.353513 59.785 -0.2373
37.719724 58.808 14.8223
38.085935 59.345 29.3385
38.452146 59.306 37.3281
38.818357 59.761 51.0721
39.184568 62.691 52.9220
39.550778 64.965 41.5634
39.916989 65.625 32.5693
40.283200 65.398 31.2878
40.649411 65.153 33.0969
41.015622 65.247 34.1044
41.381833 66.332 31.5750
41.748044 67.557 22.1172
42.114255 67.476 12.9484
42.480466 66.972 12.6562
42.846677 67.699 9.0308
43.212888 67.757 -4.3125
43.579098 66.710 -10.5502
43.945309 67.036 -8.7899
44.311520 67.608 -17.4705
44.677731 67.064 -27.5387
45.043942 67.464 -34.1816
45.410153 68.285 -44.9631
45.776364 68.084 -52.0938
46.142575 68.200 -57.8676
46.508786 68.319 -74.9689
46.874997 68.438 -89.2819
47.241208 70.712 -94.4496
47.607418 72.811 -108.5922
47.973629 71.867 -125.2241
48.339840 69.206 -129.6842
48.706051 69.432 -133.2385
49.072262 70.615 -149.2761
49.438473 71.262 -156.7340
49.804684 72.674 -161.2684
50.170895 73.525 -177.1522
50.537106 73.456 162.4987
50.903317 73.802 146.2058
51.269527 74.536 133.7589
51.635738 74.721 123.3978
52.001949 74.420 112.7222
52.368160 73.784 98.3917
52.734371 72.860 84.8097
53.100582 72.192 76.8986
53.466793 71.516 70.1517
53.833004 69.842 64.8693
54.199215 68.008 64.7462
54.565426 66.806 63.3845
54.931637 65.558 65.4178
55.297847 65.687 73.2848
55.664058 66.127 73.4401
56.030269 65.553 73.9807
56.396480 65.508 76.2938
56.762691 65.404 73.7990
57.128902 64.738 76.0067
57.495113 64.849 80.7842
57.861324 64.583 81.0007
58.227535 64.068 86.9740
58.593746 65.183 91.1357
58.959957 65.783 86.3925
59.326167 64.832 87.9791
59.692378 64.631 101.5754
60.058589 65.575 109.9656
60.424800 66.249 116.6827
60.791011 68.012 123.7444
61.157222 70.282 122.3884
61.523433 71.909 117.3214
61.889644 73.267 111.8125
62.255855 74.423 103.0016
62.622066 74.878 92.1047
62.988277 74.720 83.9565
63.354487 74.564 79.4752
63.720698 74.510 75.5372
64.086909 74.336 72.1605
64.453120 74.285 69.8868
64.819331 74.357 66.9120
65.185542 74.260 63.8799
65.551753 74.176 61.8892
65.917964 74.251 58.5701
66.284175 74.101 53.4277
66.650386 73.624 50.0536
67.016597 73.262 50.1688
67.382807 73.237 51.3624
67.749018 73.400 51.8287
68.115229 73.656 50.6627
68.481440 73.813 47.9094
68.847651 73.807 44.7361
69.213862 73.587 40.9724
69.580073 72.944 37.6204
69.946284 72.198 37.1345
70.312495 71.797 37.5505
70.678706 71.286 38.4215
71.044917 70.842 43.9319
71.411127 71.047 49.7476
71.777338 71.129 52.5890
72.143549 71.128 56.6946
72.509760 71.664 60.5978
72.875971 72.436 62.6449
73.242182 73.264 64.2588
73.608393 74.092 65.0673
73.974604 74.888 65.1146
74.340815 75.800 63.9963
74.707026 76.786 61.3639
75.073236 77.745 57.9851
75.439447 78.587 54.1064
75.805658 79.254 49.8884
76.171869 79.863 44.9875
76.538080 80.446 38.5798
76.904291 80.932 31.2517
77.270502 81.331 23.6180
77.636713 81.521 15.3790
78.002924 81.362 7.1803
78.369135 81.012 -0.3469
78.735346 80.613 -7.9690
79.101556 80.081 -15.5231
79.467767 79.445 -22.0087
79.833978 78.734 -27.7325
80.200189 77.850 -32.5594
80.566400 76.908 -35.9484
80.932611 75.986 -38.9275
81.298822 74.944 -41.5531
81.665033 73.873 -43.2156
82.031244 72.873 -44.9001
82.397455 71.794 -46.8628
82.763666 70.394 -47.1630
83.129876 68.846 -41.1240
83.496087 68.198 -31.0026
83.862298 67.768 -24.9690
84.228509 67.164 -17.5372
84.594720 67.498 -12.9464
84.960931 67.597 -13.2897
85.327142 68.107 -8.3369
85.693353 69.682 -9.5344
86.059564 69.715 -17.6600
86.425775 68.150 -16.9053
86.791986 67.816 -9.3552
87.158196 67.801 -11.0325
87.524407 67.031 -12.3557
87.890618 66.482 -12.5942
88.256829 64.926 -14.7026
88.623040 61.933 -5.7172
88.989251 59.839 17.0001
89.355462 59.878 47.9905
89.721673 63.474 66.6631
90.087884 66.756 67.6971
90.454095 69.232 65.2767
90.820306 71.135 61.0160
91.186516 72.367 56.4463
91.552727 73.334 52.2557
91.918938 74.211 46.8468
92.285149 74.932 40.7471
92.651360 75.507 34.5022
93.017571 75.790 28.6740
93.383782 75.921 24.3521
93.749993 76.102 19.6262
94.116204 76.039 14.0674
94.482415 75.864 10.1803
94.848626 75.862 6.2552
95.214836 75.585 1.6088
95.581047 75.129 -0.3616
95.947258 74.991 -1.7377
96.313469 74.721 -4.4406
96.679680 74.303 -5.6210
97.045891 73.995 -7.0128
97.412102 73.379 -8.4094
97.778313 72.844 -6.6198
98.144524 72.715 -5.3457
98.510735 72.374 -4.0912
98.876945 72.184 0.0205
99.243156 72.267 3.4222
99.609367 72.326 6.8793
99.975578 72.719 9.4143
100.341789 73.017 9.1564
100.708000 73.181 10.1826
101.074211 73.770 11.4512
101.440422 74.403 10.4948
101.806633 74.873 9.5930
102.172844 75.361 8.4026
102.539055 75.672 6.0675
102.905265 75.760 3.7781
103.271476 75.790 1.6901
103.637687 75.792 -0.4883
104.003898 75.725 -2.4309
104.370109 75.577 -3.2112
104.736320 75.534 -2.5757
105.102531 75.636 -2.3204
105.468742 75.659 -2.6371
105.834953 75.664 -2.3700
106.201164 75.766 -1.9496
106.567375 75.942 -1.5807
106.933585 76.222 -1.7723
107.299796 76.472 -2.9431
107.666007 76.668 -4.0771
108.032218 76.877 -5.2971
108.398429 76.937 -6.2860
108.764640 76.947 -5.5559
109.130851 77.161 -4.0260
109.497062 77.558 -2.7693
109.863273 78.181 -2.0309
110.229484 78.944 -2.7489
110.595695 79.693 -4.4906
110.961905 80.470 -7.4525
111.328116 81.140 -12.4484
111.694327 81.572 -18.3911
112.060538 81.861 -24.3762
112.426749 81.991 -30.4976
112.792960 81.890 -36.1420
113.159171 81.655 -40.9484
113.525382 81.356 -45.2467
113.891593 81.055 -48.7958
114.257804 80.852 -51.9158
114.624015 80.649 -55.1859
114.990225 80.379 -58.0112
115.356436 80.156 -60.6107
115.722647 79.926 -63.7020
116.088858 79.616 -66.5259
116.455069 79.317 -68.7299
116.821280 79.008 -70.9326
117.187491 78.618 -72.9906
117.553702 78.233 -74.6542
117.919913 77.911 -76.2462
118.286124 77.605 -77.7327
118.652335 77.311 -78.7787
119.018545 77.076 -79.7914
119.384756 76.848 -81.4688
119.750967 76.564 -83.5511
120.117178 76.255 -85.6895
120.483389 75.890 -88.0784
120.849600 75.397 -90.7615
121.215811 74.731 -93.9156
121.582022 73.791 -96.9055
121.948233 72.647 -97.6841
122.314444 71.526 -95.5135
122.680654 70.407 -90.5288
123.046865 69.437 -81.7883
123.413076 69.054 -71.0461
123.779287 69.333 -61.6604
124.145498 70.055 -55.1624
124.511709 71.003 -50.7708
124.877920 72.148 -48.6394
125.244131 73.130 -49.5688
125.610342 73.776 -51.2805
125.976553 74.452 -53.3645
126.342764 75.078 -57.6165
126.708974 75.389 -62.2305
127.075185 75.611 -65.9043
127.441396 75.744 -70.4414
127.807607 75.527 -75.2477
128.173818 75.141 -78.7146
128.540029 74.759 -81.4502
128.906240 74.336 -83.4296
129.272451 73.927 -84.9604
129.638662 73.353 -86.3588
130.004873 72.713 -85.4849
130.371084 72.421 -83.6907
130.737294 72.126 -82.5641
131.103505 71.853 -79.3245
131.469716 71.975 -76.4908
131.835927 71.985 -75.7012
132.202138 71.934 -74.0168
132.568349 72.133 -72.7065
132.934560 72.344 -71.9250
133.300771 72.698 -70.8558
133.666982 73.061 -71.2015
134.033193 73.201 -71.2214
134.399404 73.536 -70.3827
134.765614 74.056 -71.5427
135.131825 74.456 -73.8566
135.498036 74.868 -76.1864
135.864247 75.281 -79.4489
136.230458 75.527 -83.5938
136.596669 75.548 -88.3364
136.962880 75.297 -93.1827
137.329091 74.869 -97.2318
137.695302 74.369 -100.4448
138.061513 73.782 -102.1869
138.427724 73.336 -101.9774
138.793934 73.132 -102.0803
139.160145 72.902 -103.1523
139.526356 72.690 -103.9664
139.892567 72.592 -105.0042
140.258778 72.452 -106.1121
140.624989 72.279 -106.7235
140.991200 72.065 -107.8727
141.357411 71.657 -109.7030
141.723622 71.125 -110.9695
142.089833 70.703 -111.3508
142.456044 70.355 -111.5735
142.822254 69.816 -110.6062
143.188465 69.285 -106.4451
143.554676 69.180 -101.7356
143.920887 69.161 -98.9808
144.287098 69.211 -95.7294
144.653309 69.739 -93.2579
145.019520 70.333 -93.9380
145.385731 70.598 -95.4670
145.751942 70.709 -96.1683
146.118153 70.835 -96.8402
146.484363 70.899 -98.2161
146.850574 70.796 -99.2981
147.216785 70.754 -98.9677
147.582996 70.961 -99.3397
147.949207 71.048 -101.3823
