* Measurement data measured by REW V5.40 beta 73
* Source: 
* Format: 
* Dated: Mar 11, 2025 7:28:00 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of R1 Cal file effects included No LF tail No HF tail
* Measurement: R1-MP
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 44.610 21.4309
0.732422 33.924 31.9250
1.098633 51.380 86.5949
1.464844 56.038 40.2186
1.831055 54.205 -2.0168
2.197265 46.877 -0.6764
2.563476 49.691 20.8044
2.929687 47.559 -1.1624
3.295898 42.904 38.8217
3.662109 45.523 43.5469
4.028320 43.673 90.1615
4.394531 52.440 94.3553
4.760742 55.333 71.3295
5.126953 56.216 53.6782
5.493164 56.308 30.1418
5.859375 52.487 -2.1119
6.225585 33.975 56.5321
6.591796 50.679 90.4754
6.958007 52.690 71.9081
7.324218 53.033 58.9716
7.690429 49.847 34.8673
8.056640 41.920 137.3748
8.422851 54.122 118.9628
8.789062 54.291 92.2166
9.155273 53.280 111.1940
9.521484 57.880 102.5386
9.887695 56.949 69.4146
10.253905 45.487 76.8683
10.620116 54.342 144.6272
10.986327 57.485 138.7475
11.352538 61.586 139.5074
11.718749 64.934 114.3615
12.084960 64.045 80.5023
12.451171 56.772 70.7923
12.817382 59.329 123.6279
13.183593 61.559 103.4307
13.549804 57.284 118.1024
13.916015 64.183 143.0665
14.282225 67.517 115.9883
14.648436 65.959 92.6346
15.014647 63.023 105.2972
15.380858 65.904 116.5548
15.747069 67.372 107.0984
16.113280 67.646 101.2686
16.479491 67.789 95.9179
16.845702 67.180 94.5423
17.211913 67.576 100.4768
17.578124 68.780 99.1544
17.944335 69.317 95.8442
18.310545 69.966 93.1338
18.676756 70.234 88.1081
19.042967 70.207 87.6735
19.409178 71.051 86.6689
19.775389 71.408 80.1042
20.141600 71.052 77.6379
20.507811 71.178 77.8492
20.874022 71.192 78.3828
21.240233 72.086 82.9986
21.606444 73.821 77.9016
21.972654 74.230 66.8555
22.338865 73.847 61.3596
22.705076 73.883 57.3825
23.071287 73.369 52.5978
23.437498 72.956 55.6296
23.803709 73.887 56.0096
24.169920 74.320 50.1336
24.536131 74.356 46.6710
24.902342 74.605 42.2486
25.268553 74.345 37.6225
25.634764 74.337 37.0908
26.000974 74.839 32.6209
26.367185 74.583 25.9886
26.733396 74.210 24.2783
27.099607 74.472 21.4876
27.465818 74.485 15.6665
27.832029 74.300 9.9561
28.198240 73.816 2.6567
28.564451 72.622 -1.6687
28.930662 71.970 -0.1102
29.296873 71.946 -3.3145
29.663084 71.075 -8.5114
30.029294 70.066 -8.3690
30.395505 69.556 -8.8311
30.761716 68.651 -10.1609
31.127927 67.699 -7.7476
31.494138 67.158 -4.0059
31.860349 66.993 -0.7347
32.226560 66.897 -0.3354
32.592771 66.374 0.7869
32.958982 66.273 4.5070
33.325193 66.406 4.4954
33.691404 66.127 4.8050
34.057614 66.225 5.7518
34.423825 66.127 2.8414
34.790036 65.490 2.0474
35.156247 65.202 2.4421
35.522458 64.553 0.6163
35.888669 63.662 4.0971
36.254880 63.788 6.6920
36.621091 63.358 2.2281
36.987302 61.650 1.0261
37.353513 59.775 8.8151
37.719724 58.807 23.8628
38.085934 59.313 36.5000
38.452145 59.332 43.9868
38.818356 59.708 61.9233
39.184567 62.707 71.9414
39.550778 64.952 65.9973
39.916989 65.598 57.8319
40.283200 65.411 53.9497
40.649411 65.128 54.7085
41.015622 65.232 59.4110
41.381833 66.341 63.1730
41.748044 67.528 58.7161
42.114254 67.470 51.9204
42.480465 66.977 52.9818
42.846676 67.663 54.1172
43.212887 67.768 47.8861
43.579098 66.698 48.1510
43.945309 67.005 55.1441
44.311520 67.628 52.6485
44.677731 67.033 52.7272
45.043942 67.452 59.1600
45.410153 68.300 57.1184
45.776363 68.046 55.4661
46.142574 68.189 58.7705
46.508785 68.361 58.8999
46.874996 68.326 66.9025
47.241207 70.810 72.0778
47.607418 72.716 58.1392
47.973629 71.893 41.1147
48.339840 69.201 41.5496
48.706051 69.400 56.8483
49.072262 70.638 57.7891
49.438473 71.229 59.2927
49.804683 72.663 58.6030
50.170894 73.533 50.4502
50.537105 73.426 44.9619
50.903316 73.798 43.5302
51.269527 74.537 37.5202
51.635738 74.693 28.7245
52.001949 74.419 20.5516
52.368160 73.783 12.9010
52.734371 72.826 8.1270
53.100582 72.207 5.2138
53.466793 71.495 -1.0870
53.833003 69.822 -6.1522
54.199214 68.020 -3.6498
54.565425 66.777 0.8386
54.931636 65.548 8.9319
55.297847 65.696 19.1753
55.664058 66.083 20.3836
56.030269 65.574 22.0987
56.396480 65.486 26.7934
56.762691 65.379 27.7284
57.128902 64.759 31.6025
57.495113 64.808 37.2448
57.861323 64.589 39.1878
58.227534 64.060 47.8161
58.593745 65.158 55.9036
58.959956 65.788 53.1472
59.326167 64.816 54.4351
59.692378 64.612 66.9489
60.058589 65.582 74.7675
60.424800 66.223 82.6381
60.791011 68.009 92.0172
61.157222 70.276 92.2689
61.523433 71.889 88.2427
61.889643 73.263 83.4026
62.255854 74.412 75.5987
62.622065 74.862 66.2199
62.988276 74.715 59.3164
63.354487 74.552 55.4956
63.720698 74.496 52.1206
64.086909 74.334 49.3590
64.453120 74.270 47.8989
64.819331 74.346 45.7461
65.185542 74.256 43.1831
65.551753 74.159 41.8990
65.917963 74.244 39.9545
66.284174 74.095 36.5463
66.650385 73.605 34.8770
67.016596 73.258 35.9022
67.382807 73.225 37.2404
67.749018 73.386 37.9078
68.115229 73.653 37.0887
68.481440 73.798 34.8398
68.847651 73.795 32.1159
69.213862 73.582 28.5966
69.580072 72.928 25.9719
69.946283 72.190 27.0006
70.312494 71.792 28.9703
70.678705 71.266 30.8220
71.044916 70.842 36.0755
71.411127 71.032 40.9545
71.777338 71.117 43.6180
72.143549 71.125 48.5571
72.509760 71.647 54.2109
72.875971 72.429 57.7434
73.242182 73.255 59.8247
73.608392 74.077 60.7662
73.974603 74.882 61.2783
74.340814 75.789 61.2796
74.707025 76.773 59.9650
75.073236 77.738 57.1137
75.439447 78.575 52.9135
75.805658 79.243 48.2340
76.171869 79.855 43.4274
76.538080 80.433 37.9081
76.904291 80.922 31.6456
77.270502 81.323 24.4903
77.636712 81.509 16.1513
78.002923 81.352 7.8109
78.369134 81.002 0.6441
78.735345 80.600 -5.9664
79.101556 80.072 -12.3619
79.467767 79.435 -18.0770
79.833978 78.721 -23.4718
80.200189 77.842 -28.2658
80.566400 76.898 -31.7196
80.932611 75.973 -34.6416
81.298822 74.937 -37.0688
81.665032 73.861 -38.1190
82.031243 72.861 -38.5515
82.397454 71.789 -39.1789
82.763665 70.378 -38.7620
83.129876 68.840 -33.2623
83.496087 68.185 -24.8429
83.862298 67.758 -20.1057
84.228509 67.152 -12.3635
84.594720 67.493 -4.8872
84.960931 67.578 -1.3256
85.327142 68.104 6.5102
85.693352 69.672 5.0003
86.059563 69.692 -5.2402
86.425774 68.163 -7.4553
86.791985 67.782 -1.4644
87.158196 67.806 -2.8535
87.524407 67.022 -3.5515
87.890618 66.456 -3.6053
88.256829 64.938 -7.1434
88.623040 61.902 -0.2320
88.989251 59.841 22.4714
89.355462 59.861 54.5601
89.721672 63.459 77.1733
90.087883 66.760 81.0555
90.454094 69.210 80.0145
90.820305 71.128 75.4816
91.186516 72.361 70.0308
91.552727 73.317 65.8058
91.918938 74.205 61.2782
92.285149 74.923 56.2639
92.651360 75.492 50.7656
93.017571 75.784 45.0307
93.383781 75.910 40.5919
93.749992 76.089 36.1841
94.116203 76.034 31.2900
94.482414 75.851 28.2223
94.848625 75.851 25.0393
95.214836 75.578 20.8251
95.581047 75.115 19.1969
95.947258 74.981 18.1349
96.313469 74.713 15.5770
96.679680 74.288 14.5685
97.045891 73.988 13.4703
97.412101 73.370 12.5723
97.778312 72.830 15.2029
98.144523 72.710 17.1163
98.510734 72.360 18.5343
98.876945 72.173 22.3491
99.243156 72.260 25.1325
99.609367 72.312 28.3032
99.975578 72.710 31.2290
100.341789 73.009 31.8970
100.708000 73.165 34.2746
101.074211 73.765 36.6770
101.440421 74.390 36.3124
101.806632 74.861 35.4921
102.172843 75.354 33.8628
102.539054 75.658 31.0701
102.905265 75.751 28.6752
103.271476 75.782 26.8924
103.637687 75.778 25.3966
104.003898 75.716 24.0937
104.370109 75.568 23.5738
104.736320 75.520 24.2311
105.102531 75.629 24.4084
105.468741 75.648 24.1417
105.834952 75.652 24.7168
106.201163 75.759 25.4909
106.567374 75.929 26.3002
106.933585 76.212 26.7210
107.299796 76.464 26.2738
107.666007 76.655 25.9621
108.032218 76.869 25.3474
108.398429 76.927 24.5915
108.764640 76.934 25.4275
109.130851 77.154 27.1232
109.497061 77.546 28.7711
109.863272 78.170 30.0210
110.229483 78.936 29.5998
110.595694 79.680 27.9660
110.961905 80.461 25.1237
111.328116 81.131 20.4580
111.694327 81.560 15.0906
112.060538 81.852 9.6095
112.426749 81.981 3.6647
112.792960 81.879 -1.9961
113.159171 81.646 -6.7346
113.525381 81.346 -10.6543
113.891592 81.043 -13.5580
114.257803 80.843 -16.1183
114.624014 80.638 -19.0647
114.990225 80.368 -21.6585
115.356436 80.148 -23.9628
115.722647 79.914 -26.6137
116.088858 79.606 -29.0465
116.455069 79.308 -31.1359
116.821280 78.995 -33.3404
117.187490 78.610 -35.2717
117.553701 78.223 -36.5426
117.919912 77.898 -37.5457
118.286123 77.597 -38.6251
118.652334 77.300 -39.5496
119.018545 77.065 -40.4810
119.384756 76.840 -41.9618
119.750967 76.552 -43.6612
120.117178 76.245 -45.4317
120.483389 75.881 -47.6880
120.849600 75.384 -50.1625
121.215810 74.723 -52.6873
121.582021 73.782 -54.6402
121.948232 72.633 -54.3347
122.314443 71.520 -51.8289
122.680654 70.395 -47.4184
123.046865 69.426 -39.5011
123.413076 69.048 -29.2359
123.779287 69.318 -19.3195
124.145498 70.048 -11.6866
124.511709 70.991 -6.3702
124.877920 72.135 -3.7924
125.244130 73.124 -4.6930
125.610341 73.764 -6.1963
125.976552 74.440 -7.5718
126.342763 75.070 -11.0017
126.708974 75.376 -15.0419
127.075185 75.602 -18.5893
127.441396 75.735 -23.2507
127.807607 75.514 -27.9514
128.173818 75.132 -31.0156
128.540029 74.749 -33.2915
128.906240 74.323 -34.8801
129.272450 73.919 -36.1623
129.638661 73.342 -37.2491
130.004872 72.701 -35.8107
130.371083 72.414 -33.5179
130.737294 72.112 -32.1325
131.103505 71.844 -28.9261
131.469716 71.966 -26.2694
131.835927 71.972 -25.2652
132.202138 71.927 -22.9033
132.568349 72.122 -20.6810
132.934560 72.332 -19.0489
133.300770 72.691 -17.5941
133.666981 73.048 -17.8731
134.033192 73.191 -17.7995
134.399403 73.527 -16.6675
134.765614 74.043 -17.1691
135.131825 74.448 -18.7275
135.498036 74.859 -20.5714
135.864247 75.269 -23.6932
136.230458 75.519 -28.0072
136.596669 75.537 -32.9160
136.962880 75.286 -37.5590
137.329090 74.861 -41.0693
137.695301 74.357 -43.6062
138.061512 73.771 -44.7586
138.427723 73.328 -44.1998
138.793934 73.119 -43.8650
139.160145 72.893 -44.1512
139.526356 72.682 -43.9708
139.892567 72.579 -44.1124
140.258778 72.444 -44.9083
140.624989 72.269 -45.7979
140.991199 72.052 -47.1521
141.357410 71.651 -48.6150
141.723621 71.112 -48.7383
142.089832 70.691 -47.6511
142.456043 70.348 -47.0694
142.822254 69.801 -46.1566
143.188465 69.278 -42.6051
143.554676 69.169 -38.4067
143.920887 69.148 -35.3526
144.287098 69.204 -31.2120
144.653309 69.726 -27.7302
145.019519 70.322 -27.7213
145.385730 70.591 -29.1061
145.751941 70.696 -29.8434
146.118152 70.825 -30.4353
146.484363 70.890 -31.6091
146.850574 70.783 -32.3023
147.216785 70.747 -31.5317
147.582996 70.951 -31.3794
147.949207 71.035 -32.6409
148.315418 70.982 -32.8593
148.681629 71.164 -32.7934
149.047839 71.342 -34.7131
149.414050 71.235 -36.7572
149.780261 71.083 -37.5882
150.146472 70.982 -38.1879
150.512683 70.899 -38.4521
