* Measurement data measured by REW V5.30.9
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 22, 2025 3:45:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 69.5 dB
* Note: ; RIGHT as Filter * Xover 801 A = R.120.Blue B = FRX
* Measurement: R1X
* Smoothing: Variable
* Frequency Step: 96 ppo
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.098633 53.244 87.3348
1.106594 52.943 87.4236
1.114613 52.517 87.5376
1.122690 52.048 87.6480
1.130825 51.578 87.7425
1.139020 51.108 87.8219
1.147273 50.634 87.8880
1.155587 50.155 87.9413
1.163961 49.674 87.9822
1.172395 49.189 88.0117
1.180891 48.701 88.0303
1.189448 48.209 88.0388
1.198068 47.713 88.0381
1.206749 47.214 88.0291
1.215494 46.712 88.0128
1.224302 46.205 87.9905
1.233174 45.695 87.9638
1.242110 45.182 87.9342
1.251111 44.664 87.9040
1.260177 44.143 87.8759
1.269308 43.618 87.8530
1.278506 43.089 87.8395
1.287771 42.557 87.8402
1.297103 42.020 87.8617
1.306502 41.480 87.9118
1.315969 40.936 88.0008
1.325505 40.388 88.1415
1.335111 39.836 88.3506
1.344785 39.280 88.6494
1.354530 38.719 89.0655
1.364346 38.155 89.6345
1.374232 37.587 90.4028
1.384191 37.014 91.4302
1.394221 36.438 92.7940
1.404324 35.857 94.5918
1.414500 35.272 96.9438
1.424750 34.683 99.9892
1.435075 34.088 103.8698
1.445474 33.492 108.6912
1.455948 32.944 114.4835
1.466499 32.558 121.1942
1.477126 32.419 128.6738
1.487830 32.485 136.6009
1.498611 32.661 144.4650
1.509471 32.906 151.7326
1.520409 33.219 158.0524
1.531426 33.598 163.3078
1.542524 34.040 167.5468
1.553701 34.540 170.8973
1.564960 35.097 173.5075
1.576301 35.705 175.5160
1.587723 36.360 177.0407
1.599228 37.059 178.1770
1.610817 37.797 179.0006
1.622490 38.569 179.5706
1.634247 39.371 179.9331
1.646089 40.197 -179.8763
1.658018 41.042 -179.8300
1.670032 41.900 -179.9067
1.682134 42.766 179.9099
1.694323 43.634 179.6322
1.706601 44.497 179.2690
1.718968 45.349 178.8266
1.731424 46.184 178.3091
1.743971 46.993 177.7184
1.756608 47.771 177.0546
1.769338 48.509 176.3159
1.782159 49.200 175.4986
1.795073 49.835 174.5979
1.808081 50.407 173.6071
1.821183 50.910 172.5039
1.834380 51.352 171.2368
1.847673 51.750 169.7375
1.861062 52.117 167.9595
1.874548 52.460 165.8964
1.888132 52.781 163.5677
1.901814 53.080 161.0003
1.915595 53.356 158.2239
1.929476 53.611 155.2726
1.943458 53.844 152.1850
1.957541 54.056 149.0029
1.971726 54.247 145.7704
1.986014 54.418 142.5318
2.000406 54.570 139.3294
2.014901 54.702 136.2022
2.029502 54.815 133.1838
2.044209 54.910 130.3021
2.059022 54.988 127.5788
2.073943 55.049 125.0297
2.088971 55.093 122.6657
2.104109 55.122 120.4933
2.119356 55.136 118.5161
2.134714 55.137 116.7354
2.150183 55.124 115.1523
2.165764 55.100 113.7693
2.181458 55.062 112.5789
2.197266 55.005 111.5410
2.213188 54.915 110.5796
2.229226 54.779 109.6180
2.245379 54.592 108.6154
2.261650 54.357 107.5639
2.278039 54.079 106.4673
2.294547 53.764 105.3295
2.311174 53.417 104.1551
2.327922 53.043 102.9513
2.344791 52.648 101.7273
2.361782 52.239 100.4958
2.378897 51.823 99.2731
2.396135 51.405 98.0805
2.413499 50.993 96.9448
2.430988 50.596 95.9000
2.448604 50.220 94.9885
2.466347 49.874 94.2626
2.484219 49.566 93.7868
2.502221 49.307 93.6390
2.520353 49.105 93.9121
2.538617 48.970 94.7185
2.557013 48.911 96.1983
2.575542 48.930 98.5215
2.594205 49.025 101.8633
2.613004 49.189 106.3590
2.631939 49.417 112.0587
2.651011 49.701 118.8854
2.670221 50.035 126.5916
2.689571 50.413 134.7516
2.709061 50.828 142.8427
2.728691 51.273 150.3920
2.748465 51.739 157.0922
2.768381 52.219 162.8237
2.788442 52.705 167.6064
2.808648 53.188 171.5339
2.829001 53.659 174.7230
2.849501 54.109 177.2876
2.870150 54.529 179.3345
2.890948 54.908 -179.0790
2.911897 55.240 -178.0188
2.932998 55.531 -177.6017
2.954251 55.796 -177.7691
2.975659 56.051 -178.2353
2.997222 56.302 -178.7219
3.018941 56.546 -179.1303
3.040818 56.781 -179.4687
3.062853 57.004 -179.7479
3.085047 57.209 -179.9702
3.107403 57.395 179.8604
3.129920 57.556 179.7401
3.152601 57.690 179.6659
3.175446 57.792 179.6353
3.198457 57.857 179.6469
3.221634 57.882 179.6995
3.244979 57.862 179.7927
3.268494 57.791 179.9374
3.292179 57.660 -179.8347
3.316035 57.457 -179.4827
3.340064 57.171 -178.9805
3.364268 56.804 -178.3218
3.388647 56.363 -177.5034
3.413202 55.861 -176.5142
3.437936 55.309 -175.3378
3.462849 54.719 -173.9550
3.487942 54.107 -172.3442
3.513217 53.485 -170.4831
3.538675 52.869 -168.3509
3.564318 52.275 -165.9330
3.590146 51.719 -163.2299
3.616162 51.219 -160.2665
3.642366 50.791 -157.0658
3.668760 50.441 -153.5757
3.695346 50.161 -149.6350
3.722124 49.939 -145.0562
3.749096 49.762 -139.7378
3.776263 49.626 -133.6945
3.803627 49.523 -127.0309
3.831190 49.448 -119.9296
3.858953 49.393 -112.6358
3.886916 49.353 -105.4167
3.915082 49.319 -98.5054
3.943453 49.285 -92.0618
3.972028 49.243 -86.1610
4.000811 49.186 -80.7852
4.029803 49.109 -75.8185
4.059005 49.016 -71.0805
4.088418 48.912 -66.4035
4.118044 48.803 -61.6821
4.147885 48.691 -56.8618
4.177942 48.581 -51.9077
4.208218 48.476 -46.7912
4.238712 48.380 -41.4924
4.269427 48.296 -35.9991
4.300366 48.228 -30.3083
4.331528 48.181 -24.4267
4.362916 48.158 -18.3400
4.394531 48.159 -11.9181
4.426376 48.178 -4.8438
4.458451 48.212 3.2836
4.490759 48.258 12.6956
4.523301 48.322 23.2335
4.556079 48.406 34.2934
4.589094 48.515 44.9987
4.622348 48.655 54.5519
4.655844 48.829 62.5017
4.689582 49.042 68.7495
4.723564 49.304 73.4434
4.757793 49.640 76.9019
4.792270 50.088 79.5151
4.826997 50.664 81.5978
4.861975 51.350 83.3068
4.897207 52.103 84.6914
4.932695 52.872 85.7768
4.968439 53.606 86.5907
5.004442 54.255 87.1572
5.040706 54.768 87.4907
5.077234 55.090 87.5839
5.114025 55.165 87.3746
5.151084 54.943 86.7272
5.188410 54.403 85.4618
5.226008 53.568 83.3981
5.263878 52.502 80.3383
5.302022 51.296 75.9833
5.340442 50.052 69.8245
5.379142 48.881 61.0347
5.418121 47.910 48.4147
5.457383 47.280 30.4977
5.496929 47.126 5.9817
5.536762 47.511 -23.3867
5.576884 48.379 -49.4885
5.617296 49.592 -67.1373
5.658002 50.992 -78.0755
5.699002 52.429 -85.0061
5.740299 53.753 -89.5721
5.781896 54.825 -92.6346
5.823794 55.528 -94.6865
5.865995 55.788 -96.1042
5.908503 55.592 -97.2204
5.951318 54.981 -98.2692
5.994444 54.041 -99.3376
6.037882 52.880 -100.3963
6.081635 51.623 -101.3481
6.125705 50.412 -102.0187
6.170095 49.409 -102.0778
6.214806 48.761 -100.9077
6.259841 48.529 -97.3776
6.305202 48.662 -89.1801
6.350892 49.060 -71.0072
6.396913 49.628 -36.5033
6.443268 50.283 -2.0878
6.489959 50.938 16.6406
6.536988 51.516 26.3116
6.584357 51.975 32.1786
6.632070 52.317 36.4422
6.680129 52.577 39.9708
6.728536 52.787 43.0361
6.777294 52.963 45.6730
6.826405 53.116 47.8456
6.875872 53.257 49.4968
6.925697 53.396 50.5962
6.975884 53.538 51.1984
7.026434 53.683 51.4210
7.077350 53.824 51.3418
7.128635 53.954 50.9329
7.180293 54.064 50.0827
7.232324 54.147 48.6127
7.284732 54.189 46.1903
7.337520 54.172 42.1769
7.390691 54.078 35.5544
7.444247 53.915 25.0752
7.498191 53.716 9.9797
7.552526 53.530 -8.3239
7.607255 53.415 -25.9672
7.662380 53.445 -40.2903
7.717905 53.693 -51.5733
7.773832 54.180 -60.9662
7.830165 54.835 -69.0236
7.886905 55.516 -75.7729
7.944057 56.070 -81.1713
8.001623 56.361 -85.2746
8.059606 56.301 -88.2449
8.118009 55.861 -90.3460
8.176836 55.073 -91.8932
8.236088 54.010 -93.1851
8.295770 52.764 -94.4965
8.355885 51.424 -96.1187
8.416435 50.033 -98.3810
8.477424 48.553 -101.6923
8.538855 46.918 -106.7602
8.600731 45.161 -115.0435
8.663055 43.503 -129.2190
8.725832 42.326 -151.7944
8.789063 42.083 -178.2170
8.852752 43.047 161.3782
8.916902 44.980 148.9931
8.981518 47.254 142.3016
9.046602 49.268 139.5894
9.112157 50.654 140.2727
