* Measurement data measured by REW V5.40 beta 100
* Source: 
* Format: 
* Dated: Sep 23, 2025 2:57:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of RX-MP-INV+0dB Cal file effects not included No LF tail No HF tail
* Measurement: RFilterb
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.098633 0.012 -0.1197
1.106594 0.012 -0.1205
1.114613 0.012 -0.1214
1.122690 0.012 -0.1223
1.130825 0.012 -0.1232
1.139020 0.012 -0.1241
1.147273 0.012 -0.1250
1.155587 0.012 -0.1259
1.163961 0.012 -0.1268
1.172395 0.011 -0.1277
1.180891 0.011 -0.1286
1.189448 0.011 -0.1295
1.198068 0.011 -0.1304
1.206749 0.011 -0.1313
1.215494 0.011 -0.1322
1.224302 0.011 -0.1332
1.233174 0.011 -0.1341
1.242110 0.011 -0.1350
1.251111 0.011 -0.1360
1.260177 0.011 -0.1369
1.269308 0.010 -0.1379
1.278506 0.010 -0.1388
1.287771 0.010 -0.1398
1.297103 0.010 -0.1407
1.306502 0.010 -0.1417
1.315969 0.010 -0.1427
1.325505 0.010 -0.1437
1.335111 0.010 -0.1447
1.344785 0.010 -0.1457
1.354530 0.010 -0.1467
1.364346 0.009 -0.1477
1.374232 0.009 -0.1487
1.384191 0.009 -0.1498
1.394221 0.009 -0.1508
1.404324 0.009 -0.1519
1.414500 0.009 -0.1529
1.424750 0.009 -0.1540
1.435075 0.009 -0.1551
1.445474 0.009 -0.1562
1.455948 0.009 -0.1573
1.466499 0.008 -0.1584
1.477126 0.008 -0.1596
1.487830 0.008 -0.1607
1.498611 0.009 -0.1618
1.509471 0.009 -0.1630
1.520409 0.009 -0.1642
1.531426 0.009 -0.1654
1.542524 0.009 -0.1665
1.553701 0.009 -0.1677
1.564960 0.009 -0.1689
1.576301 0.009 -0.1702
1.587723 0.009 -0.1714
1.599228 0.010 -0.1726
1.610817 0.010 -0.1739
1.622490 0.010 -0.1751
1.634247 0.010 -0.1764
1.646089 0.010 -0.1777
1.658018 0.010 -0.1790
1.670032 0.011 -0.1803
1.682134 0.011 -0.1816
1.694323 0.011 -0.1829
1.706601 0.011 -0.1842
1.718968 0.011 -0.1855
1.731424 0.012 -0.1869
1.743971 0.012 -0.1882
1.756608 0.012 -0.1896
1.769338 0.012 -0.1910
1.782159 0.012 -0.1923
1.795073 0.012 -0.1937
1.808081 0.012 -0.1951
1.821183 0.012 -0.1965
1.834380 0.012 -0.1980
1.847673 0.012 -0.1994
1.861062 0.012 -0.2008
1.874548 0.012 -0.2023
1.888132 0.012 -0.2037
1.901814 0.012 -0.2052
1.915595 0.012 -0.2067
1.929476 0.012 -0.2082
1.943458 0.011 -0.2097
1.957541 0.011 -0.2112
1.971726 0.011 -0.2127
1.986014 0.011 -0.2143
2.000406 0.011 -0.2158
2.014901 0.010 -0.2174
2.029502 0.010 -0.2190
2.044209 0.010 -0.2205
2.059022 0.010 -0.2221
2.073943 0.009 -0.2238
2.088971 0.009 -0.2254
2.104109 0.009 -0.2270
2.119356 0.009 -0.2286
2.134714 0.009 -0.2303
2.150183 0.009 -0.2320
2.165764 0.008 -0.2337
2.181458 0.008 -0.2353
2.197266 0.008 -0.2370
2.213188 0.008 -0.2388
2.229226 0.008 -0.2405
2.245379 0.009 -0.2422
2.261650 0.009 -0.2440
2.278039 0.009 -0.2458
2.294547 0.009 -0.2476
2.311174 0.009 -0.2494
2.327922 0.010 -0.2512
2.344791 0.010 -0.2530
2.361782 0.010 -0.2548
2.378897 0.010 -0.2567
2.396135 0.011 -0.2585
2.413499 0.011 -0.2604
2.430988 0.011 -0.2623
2.448604 0.011 -0.2642
2.466347 0.012 -0.2661
2.484219 0.012 -0.2681
2.502221 0.012 -0.2700
2.520353 0.012 -0.2720
2.538617 0.012 -0.2740
2.557013 0.012 -0.2760
2.575542 0.012 -0.2780
2.594205 0.012 -0.2800
2.613004 0.012 -0.2820
2.631939 0.012 -0.2841
2.651011 0.012 -0.2862
2.670221 0.011 -0.2883
2.689571 0.011 -0.2904
2.709061 0.011 -0.2925
2.728691 0.011 -0.2946
2.748465 0.010 -0.2968
2.768381 0.010 -0.2990
2.788442 0.010 -0.3011
2.808648 0.009 -0.3033
2.829001 0.009 -0.3056
2.849501 0.009 -0.3078
2.870150 0.009 -0.3100
2.890948 0.009 -0.3123
2.911897 0.008 -0.3146
2.932998 0.008 -0.3168
2.954251 0.008 -0.3192
2.975659 0.009 -0.3215
2.997222 0.009 -0.3238
3.018941 0.009 -0.3261
3.040818 0.009 -0.3285
3.062853 0.010 -0.3309
3.085047 0.010 -0.3333
3.107403 0.010 -0.3357
3.129920 0.011 -0.3381
3.152601 0.011 -0.3406
3.175446 0.011 -0.3431
3.198457 0.012 -0.3455
3.221634 0.012 -0.3480
3.244979 0.012 -0.3506
3.268494 0.012 -0.3531
3.292179 0.012 -0.3557
3.316035 0.012 -0.3583
3.340064 0.012 -0.3609
3.364268 0.012 -0.3635
3.388647 0.012 -0.3662
3.413202 0.011 -0.3688
3.437936 0.011 -0.3715
3.462849 0.011 -0.3743
3.487942 0.010 -0.3770
3.513217 0.010 -0.3797
3.538675 0.009 -0.3825
3.564318 0.009 -0.3853
3.590146 0.009 -0.3881
3.616162 0.009 -0.3910
3.642366 0.008 -0.3938
3.668760 0.008 -0.3967
3.695346 0.008 -0.3996
3.722124 0.009 -0.4025
3.749096 0.009 -0.4054
3.776263 0.009 -0.4084
3.803627 0.010 -0.4113
3.831190 0.010 -0.4143
3.858953 0.011 -0.4173
3.886916 0.011 -0.4204
3.915082 0.011 -0.4234
3.943453 0.012 -0.4265
3.972028 0.012 -0.4296
4.000811 0.012 -0.4327
4.029803 0.012 -0.4359
4.059005 0.012 -0.4391
4.088418 0.012 -0.4423
4.118044 0.012 -0.4455
4.147885 0.011 -0.4487
4.177942 0.011 -0.4520
4.208218 0.010 -0.4553
4.238712 0.010 -0.4586
4.269427 0.009 -0.4620
4.300366 0.009 -0.4654
4.331528 0.009 -0.4688
4.362916 0.008 -0.4722
4.394531 0.008 -0.4756
4.426376 0.008 -0.4791
4.458451 0.009 -0.4826
4.490759 0.009 -0.4861
4.523301 0.009 -0.4897
4.556079 0.010 -0.4932
4.589094 0.010 -0.4968
4.622348 0.011 -0.5005
4.655844 0.011 -0.5041
4.689582 0.012 -0.5078
4.723564 0.012 -0.5115
4.757793 0.012 -0.5152
4.792270 0.012 -0.5190
4.826997 0.012 -0.5228
4.861975 0.012 -0.5266
4.897207 0.011 -0.5304
4.932695 0.010 -0.5343
4.968439 0.010 -0.5382
5.004442 0.009 -0.5422
5.040706 0.009 -0.5461
5.077234 0.009 -0.5501
5.114025 0.008 -0.5541
5.151084 0.008 -0.5582
5.188410 0.009 -0.5623
5.226008 0.009 -0.5664
5.263878 0.010 -0.5705
5.302022 0.010 -0.5747
5.340442 0.011 -0.5789
5.379142 0.011 -0.5831
5.418121 0.012 -0.5874
5.457383 0.012 -0.5917
5.496929 0.012 -0.5960
5.536762 0.012 -0.6004
5.576884 0.012 -0.6048
5.617296 0.011 -0.6092
5.658002 0.011 -0.6137
5.699002 0.010 -0.6182
5.740299 0.009 -0.6227
5.781896 0.009 -0.6272
5.823794 0.008 -0.6318
5.865995 0.008 -0.6365
5.908503 0.009 -0.6411
5.951318 0.009 -0.6458
5.994444 0.010 -0.6506
6.037882 0.010 -0.6553
6.081635 0.011 -0.6601
6.125705 0.012 -0.6650
6.170095 0.012 -0.6699
6.214806 0.012 -0.6748
6.259841 0.012 -0.6797
6.305202 0.012 -0.6847
6.350892 0.011 -0.6897
6.396913 0.010 -0.6948
6.443268 0.010 -0.6999
6.489959 0.009 -0.7050
6.536988 0.009 -0.7102
6.584357 0.008 -0.7154
6.632070 0.008 -0.7207
6.680129 0.009 -0.7260
6.728536 0.010 -0.7313
6.777294 0.010 -0.7367
6.826405 0.011 -0.7421
6.875872 0.012 -0.7476
6.925697 0.012 -0.7531
6.975884 0.012 -0.7586
7.026434 0.012 -0.7642
7.077350 0.011 -0.7698
7.128635 0.010 -0.7755
7.180293 0.010 -0.7812
7.232324 0.009 -0.7870
7.284732 0.008 -0.7928
7.337520 0.008 -0.7986
7.390691 0.009 -0.8045
7.444247 0.009 -0.8104
7.498191 0.010 -0.8164
7.552526 0.011 -0.8224
7.607255 0.012 -0.8285
7.662380 0.012 -0.8346
7.717905 0.012 -0.8408
7.773832 0.012 -0.8470
7.830165 0.011 -0.8532
7.886905 0.010 -0.8596
7.944057 0.009 -0.8659
8.001623 0.008 -0.8723
8.059606 0.008 -0.8788
8.118009 0.009 -0.8853
8.176836 0.009 -0.8918
8.236088 0.010 -0.8984
8.295770 0.011 -0.9051
8.355885 0.012 -0.9118
8.416435 0.012 -0.9185
8.477424 0.012 -0.9253
8.538855 0.011 -0.9322
8.600731 0.010 -0.9391
8.663055 0.009 -0.9461
8.725832 0.008 -0.9531
8.789063 0.008 -0.9602
8.852752 0.008 -0.9673
8.916902 0.009 -0.9745
8.981518 0.011 -0.9818
9.046602 0.012 -0.9891
9.112157 0.012 -0.9964
9.178188 0.012 -1.0039
9.244696 0.012 -1.0113
9.311687 0.011 -1.0189
9.379164 0.010 -1.0264
9.447129 0.008 -1.0341
9.515587 0.008 -1.0418
9.584541 0.008 -1.0496
9.653994 0.009 -1.0574
9.723951 0.011 -1.0653
9.794415 0.012 -1.0733
9.865389 0.013 -1.0813
9.936878 0.012 -1.0894
10.008884 0.011 -1.0976
10.081413 0.010 -1.1058
10.154467 0.009 -1.1141
10.228051 0.008 -1.1224
10.302167 0.008 -1.1308
10.376821 0.009 -1.1393
10.452016 0.011 -1.1479
10.527755 0.012 -1.1566
10.604044 0.013 -1.1653
10.680885 0.012 -1.1740
10.758283 0.011 -1.1828
10.836242 0.010 -1.1917
10.914766 0.008 -1.2007
10.993859 0.008 -1.2097
11.073525 0.009 -1.2189
11.153768 0.010 -1.2281
11.234593 0.012 -1.2374
11.316003 0.013 -1.2468
11.398004 0.013 -1.2563
11.480599 0.011 -1.2658
11.563792 0.010 -1.2754
11.647588 0.008 -1.2850
11.731991 0.008 -1.2947
11.817006 0.009 -1.3046
11.902637 0.010 -1.3144
11.988888 0.012 -1.3244
12.075764 0.013 -1.3345
12.163270 0.012 -1.3448
12.251411 0.011 -1.3552
12.340189 0.008 -1.3656
12.429611 0.007 -1.3761
12.519681 0.008 -1.3866
12.610404 0.010 -1.3969
12.701784 0.012 -1.4073
12.793827 0.013 -1.4180
12.886536 0.013 -1.4290
12.979917 0.011 -1.4403
13.073975 0.008 -1.4518
13.168715 0.007 -1.4632
13.264140 0.008 -1.4746
13.360258 0.010 -1.4859
13.457072 0.013 -1.4972
13.554587 0.014 -1.5085
13.652809 0.013 -1.5196
13.751743 0.009 -1.5306
13.851394 0.007 -1.5421
13.951767 0.007 -1.5549
14.052867 0.009 -1.5694
14.154700 0.013 -1.5846
14.257271 0.015 -1.5992
14.360585 0.014 -1.6124
14.464648 0.011 -1.6250
14.569465 0.007 -1.6367
14.675041 0.005 -1.6474
14.781382 0.006 -1.6560
14.888494 0.008 -1.6638
14.996382 0.010 -1.6732
15.105052 0.011 -1.6860
15.214510 0.012 -1.7009
15.324760 0.012 -1.7169
15.435810 0.011 -1.7329
15.547664 0.011 -1.7498
15.660329 0.010 -1.7667
15.773810 0.010 -1.7822
15.888114 0.010 -1.7956
16.003246 0.010 -1.8082
16.119212 0.010 -1.8216
16.236018 0.010 -1.8366
16.353671 0.011 -1.8524
16.472176 0.011 -1.8681
16.591541 0.011 -1.8836
16.711770 0.010 -1.8991
16.832870 0.009 -1.9142
16.954848 0.009 -1.9281
17.077710 0.009 -1.9412
17.201462 0.010 -1.9554
17.326111 0.010 -1.9715
17.451663 0.011 -1.9889
17.578125 0.011 -2.0069
17.705503 0.011 -2.0258
17.833805 0.011 -2.0452
17.963036 0.010 -2.0640
18.093203 0.010 -2.0817
18.224314 0.011 -2.0990
18.356375 0.010 -2.1164
18.489393 0.010 -2.1337
