* Measurement data measured by REW V5.40 beta 100
* Source: RMS + phase average
* Format: RMS + phase average
* Dated: Sep 23, 2025 2:20:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 70.0 dB
* Note: ; RMS + phase average of LX, RX
* Measurement: RMS + phase average
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.098633 49.262 93.7477
1.106594 49.244 94.0327
1.114613 49.226 94.3386
1.122690 49.207 94.6662
1.130825 49.187 95.0162
1.139020 49.167 95.3894
1.147273 49.145 95.7866
1.155587 49.123 96.2082
1.163961 49.101 96.6550
1.172395 49.078 97.1275
1.180891 49.055 97.6261
1.189448 49.032 98.1513
1.198068 49.009 98.7033
1.206749 48.986 99.2824
1.215494 48.963 99.8887
1.224302 48.941 100.5224
1.233174 48.920 101.1833
1.242110 48.899 101.8711
1.251111 48.880 102.5857
1.260177 48.863 103.3265
1.269308 48.847 104.0930
1.278506 48.834 104.8842
1.287771 48.823 105.6993
1.297103 48.815 106.5372
1.306502 48.810 107.3965
1.315969 48.808 108.2756
1.325505 48.811 109.1730
1.335111 48.818 110.0867
1.344785 48.830 111.0146
1.354530 48.847 111.9546
1.364346 48.870 112.9041
1.374232 48.899 113.8607
1.384191 48.933 114.8217
1.394221 48.974 115.7842
1.404324 49.021 116.7454
1.414500 49.075 117.7023
1.424750 49.136 118.6521
1.435075 49.203 119.5918
1.445474 49.277 120.5183
1.455948 49.357 121.4290
1.466499 49.443 122.3209
1.477126 49.535 123.1915
1.487830 49.633 124.0382
1.498611 49.735 124.8585
1.509471 49.841 125.6504
1.520409 49.952 126.4117
1.531426 50.066 127.1405
1.542524 50.182 127.8352
1.553701 50.301 128.4943
1.564960 50.421 129.1164
1.576301 50.543 129.7004
1.587723 50.665 130.2454
1.599228 50.786 130.7504
1.610817 50.908 131.2149
1.622490 51.028 131.6382
1.634247 51.147 132.0200
1.646089 51.264 132.3599
1.658018 51.378 132.6576
1.670032 51.490 132.9131
1.682134 51.599 133.1263
1.694323 51.704 133.2972
1.706601 51.806 133.4257
1.718968 51.904 133.5121
1.731424 51.998 133.5566
1.743971 52.087 133.5592
1.756608 52.172 133.5204
1.769338 52.252 133.4404
1.782159 52.327 133.3197
1.795073 52.398 133.1586
1.808081 52.463 132.9579
1.821183 52.524 132.7180
1.834380 52.579 132.4398
1.847673 52.629 132.1240
1.861062 52.674 131.7716
1.874548 52.714 131.3838
1.888132 52.748 130.9617
1.901814 52.778 130.5067
1.915595 52.803 130.0204
1.929476 52.822 129.5044
1.943458 52.837 128.9607
1.957541 52.846 128.3913
1.971726 52.852 127.7985
1.986014 52.852 127.1846
2.000406 52.848 126.5523
2.014901 52.840 125.9044
2.029502 52.827 125.2439
2.044209 52.810 124.5739
2.059022 52.790 123.8977
2.073943 52.766 123.2189
2.088971 52.738 122.5411
2.104109 52.707 121.8681
2.119356 52.673 121.2040
2.134714 52.636 120.5528
2.150183 52.596 119.9190
2.165764 52.555 119.3070
2.181458 52.511 118.7214
2.197266 52.466 118.1672
2.213188 52.420 117.6493
2.229226 52.372 117.1730
2.245379 52.325 116.7438
2.261650 52.278 116.3671
2.278039 52.231 116.0488
2.294547 52.185 115.7950
2.311174 52.141 115.6119
2.327922 52.100 115.5058
2.344791 52.061 115.4831
2.361782 52.026 115.5505
2.378897 51.995 115.7145
2.396135 51.969 115.9817
2.413499 51.949 116.3586
2.430988 51.934 116.8512
2.448604 51.926 117.4652
2.466347 51.924 118.2058
2.484219 51.930 119.0773
2.502221 51.943 120.0829
2.520353 51.963 121.2246
2.538617 51.991 122.5028
2.557013 52.026 123.9161
2.575542 52.068 125.4610
2.594205 52.117 127.1317
2.613004 52.171 128.9201
2.631939 52.232 130.8158
2.651011 52.298 132.8058
2.670221 52.368 134.8756
2.689571 52.441 137.0087
2.709061 52.518 139.1877
2.728691 52.596 141.3947
2.748465 52.676 143.6120
2.768381 52.757 145.8226
2.788442 52.837 148.0110
2.808648 52.916 150.1633
2.829001 52.994 152.2679
2.849501 53.069 154.3154
2.870150 53.142 156.2986
2.890948 53.211 158.2126
2.911897 53.276 160.0549
2.932998 53.336 161.8243
2.954251 53.391 163.5218
2.975659 53.440 165.1493
2.997222 53.483 166.7102
3.018941 53.520 168.2088
3.040818 53.550 169.6499
3.062853 53.573 171.0391
3.085047 53.588 172.3823
3.107403 53.596 173.6859
3.129920 53.596 174.9566
3.152601 53.587 176.2013
3.175446 53.570 177.4271
3.198457 53.544 178.6413
3.221634 53.510 179.8516
3.244979 53.467 -178.9341
3.268494 53.416 -177.7075
3.292179 53.356 -176.4601
3.316035 53.287 -175.1828
3.340064 53.210 -173.8659
3.364268 53.125 -172.4993
3.388647 53.032 -171.0720
3.413202 52.931 -169.5722
3.437936 52.824 -167.9872
3.462849 52.709 -166.3035
3.487942 52.589 -164.5060
3.513217 52.464 -162.5789
3.538675 52.333 -160.5050
3.564318 52.199 -158.2658
3.590146 52.062 -155.8418
3.616162 51.922 -153.2129
3.642366 51.781 -150.3583
3.668760 51.641 -147.2579
3.695346 51.501 -143.8927
3.722124 51.363 -140.2469
3.749096 51.228 -136.3088
3.776263 51.098 -132.0739
3.803627 50.972 -127.5461
3.831190 50.853 -122.7399
3.858953 50.741 -117.6815
3.886916 50.636 -112.4083
3.915082 50.540 -106.9666
3.943453 50.453 -101.4080
3.972028 50.375 -95.7840
4.000811 50.306 -90.1408
4.029803 50.247 -84.5142
4.059005 50.197 -78.9263
4.088418 50.156 -73.3840
4.118044 50.124 -67.8788
4.147885 50.100 -62.3883
4.177942 50.085 -56.8783
4.208218 50.076 -51.3055
4.238712 50.075 -45.6216
4.269427 50.080 -39.7766
4.300366 50.092 -33.7246
4.331528 50.109 -27.4316
4.362916 50.132 -20.8827
4.394531 50.159 -14.0920
4.426376 50.191 -7.1096
4.458451 50.227 -0.0228
4.490759 50.267 7.0491
4.523301 50.310 13.9701
4.556079 50.356 20.6073
4.589094 50.404 26.8488
4.622348 50.455 32.6155
4.655844 50.507 37.8646
4.689582 50.560 42.5844
4.723564 50.613 46.7875
4.757793 50.667 50.5017
4.792270 50.720 53.7634
4.826997 50.772 56.6119
4.861975 50.823 59.0857
4.897207 50.873 61.2214
4.932695 50.920 63.0519
4.968439 50.966 64.6061
5.004442 51.009 65.9093
5.040706 51.051 66.9833
5.077234 51.090 67.8463
5.114025 51.128 68.5137
5.151084 51.165 68.9985
5.188410 51.200 69.3114
5.226008 51.235 69.4612
5.263878 51.271 69.4556
5.302022 51.307 69.3010
5.340442 51.346 69.0042
