* Measurement data measured by REW V5.40 beta 100
* Source: Trace Arithmetic result A / B
* Format: Trace Arithmetic result A / B
* Dated: Sep 23, 2025 2:25:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A over B A = Target RMS + phase average B = RX-MP Maximum gain 0.0 dB Lower frequency limit 20 Hz Upper frequency limit 225 Hz 
* Measurement: RX-MP-INV+0dB
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.098633 0.011 0.0000
1.106594 0.011 0.0000
1.114613 0.011 0.0000
1.122690 0.011 0.0000
1.130825 0.011 0.0000
1.139020 0.011 0.0000
1.147273 0.011 0.0000
1.155587 0.011 0.0000
1.163961 0.011 0.0000
1.172395 0.011 0.0000
1.180891 0.011 0.0000
1.189448 0.011 0.0000
1.198068 0.011 0.0000
1.206749 0.011 0.0000
1.215494 0.011 0.0000
1.224302 0.011 0.0000
1.233174 0.011 0.0000
1.242110 0.010 0.0000
1.251111 0.010 0.0000
1.260177 0.010 0.0000
1.269308 0.010 0.0000
1.278506 0.010 0.0000
1.287771 0.010 0.0000
1.297103 0.010 0.0000
1.306502 0.010 0.0000
1.315969 0.010 0.0000
1.325505 0.010 -0.0000
1.335111 0.010 -0.0000
1.344785 0.010 -0.0000
1.354530 0.010 -0.0000
1.364346 0.010 -0.0000
1.374232 0.010 -0.0000
1.384191 0.010 -0.0000
1.394221 0.010 -0.0000
1.404324 0.010 -0.0000
1.414500 0.010 -0.0000
1.424750 0.010 -0.0000
1.435075 0.010 -0.0000
1.445474 0.010 -0.0000
1.455948 0.010 -0.0000
1.466499 0.010 -0.0000
1.477126 0.010 -0.0000
1.487830 0.010 -0.0000
1.498611 0.010 -0.0000
1.509471 0.010 -0.0000
1.520409 0.010 -0.0000
1.531426 0.010 -0.0000
1.542524 0.010 -0.0000
1.553701 0.010 -0.0000
1.564960 0.010 -0.0000
1.576301 0.010 -0.0000
1.587723 0.010 -0.0000
1.599228 0.010 -0.0000
1.610817 0.010 -0.0000
1.622490 0.010 -0.0000
1.634247 0.010 -0.0000
1.646089 0.010 -0.0000
1.658018 0.010 0.0000
1.670032 0.010 0.0000
1.682134 0.011 0.0000
1.694323 0.011 0.0000
1.706601 0.011 0.0000
1.718968 0.011 0.0000
1.731424 0.011 0.0000
1.743971 0.011 0.0000
1.756608 0.011 0.0000
1.769338 0.011 0.0000
1.782159 0.011 0.0000
1.795073 0.011 0.0000
1.808081 0.011 0.0000
1.821183 0.011 0.0000
1.834380 0.011 0.0000
1.847673 0.011 0.0000
1.861062 0.011 0.0000
1.874548 0.011 0.0000
1.888132 0.011 0.0000
1.901814 0.011 0.0000
1.915595 0.011 0.0000
1.929476 0.011 0.0000
1.943458 0.011 0.0000
1.957541 0.011 0.0000
1.971726 0.011 0.0000
1.986014 0.010 0.0000
2.000406 0.010 0.0000
2.014901 0.010 0.0000
2.029502 0.010 0.0000
2.044209 0.010 -0.0000
2.059022 0.010 -0.0000
2.073943 0.010 -0.0000
2.088971 0.010 -0.0000
2.104109 0.010 -0.0000
2.119356 0.010 -0.0000
2.134714 0.010 -0.0000
2.150183 0.010 -0.0000
2.165764 0.010 -0.0000
2.181458 0.010 -0.0000
2.197266 0.010 -0.0000
2.213188 0.010 -0.0000
2.229226 0.010 -0.0000
2.245379 0.010 -0.0000
2.261650 0.010 -0.0000
2.278039 0.010 -0.0000
2.294547 0.010 -0.0000
2.311174 0.010 -0.0000
2.327922 0.010 -0.0000
2.344791 0.010 -0.0000
2.361782 0.010 -0.0000
2.378897 0.010 -0.0000
2.396135 0.010 -0.0000
2.413499 0.011 -0.0000
2.430988 0.011 -0.0000
2.448604 0.011 0.0000
2.466347 0.011 0.0000
2.484219 0.011 0.0000
2.502221 0.011 0.0000
2.520353 0.011 0.0000
2.538617 0.011 0.0000
2.557013 0.011 0.0000
2.575542 0.011 0.0000
2.594205 0.011 0.0000
2.613004 0.011 0.0000
2.631939 0.011 0.0000
2.651011 0.011 0.0000
2.670221 0.011 0.0000
2.689571 0.011 0.0000
2.709061 0.011 0.0000
2.728691 0.010 0.0000
2.748465 0.010 0.0000
2.768381 0.010 0.0000
2.788442 0.010 0.0000
2.808648 0.010 0.0000
2.829001 0.010 0.0000
2.849501 0.010 0.0000
2.870150 0.010 -0.0000
2.890948 0.010 -0.0000
2.911897 0.010 -0.0000
2.932998 0.010 -0.0000
2.954251 0.010 -0.0000
2.975659 0.010 -0.0000
2.997222 0.010 -0.0000
3.018941 0.010 -0.0000
3.040818 0.010 -0.0000
3.062853 0.010 -0.0000
3.085047 0.010 -0.0000
3.107403 0.010 0.0000
3.129920 0.010 0.0000
3.152601 0.011 0.0000
3.175446 0.011 0.0000
3.198457 0.011 0.0000
3.221634 0.011 0.0000
3.244979 0.011 0.0000
3.268494 0.011 0.0000
3.292179 0.011 0.0000
3.316035 0.011 0.0000
3.340064 0.011 0.0000
3.364268 0.011 0.0000
3.388647 0.011 0.0000
3.413202 0.011 0.0000
3.437936 0.011 0.0000
3.462849 0.010 0.0000
3.487942 0.010 0.0000
3.513217 0.010 0.0000
3.538675 0.010 0.0000
3.564318 0.010 0.0000
3.590146 0.010 0.0000
3.616162 0.010 0.0000
3.642366 0.010 0.0000
3.668760 0.010 0.0000
3.695346 0.010 0.0000
3.722124 0.010 0.0000
3.749096 0.010 0.0000
3.776263 0.010 0.0000
3.803627 0.010 0.0000
3.831190 0.010 0.0000
3.858953 0.010 0.0000
3.886916 0.011 0.0000
3.915082 0.011 0.0000
3.943453 0.011 0.0000
3.972028 0.011 0.0000
4.000811 0.011 0.0000
4.029803 0.011 0.0000
4.059005 0.011 0.0000
4.088418 0.011 0.0000
4.118044 0.011 0.0000
4.147885 0.011 0.0000
4.177942 0.011 0.0000
4.208218 0.010 0.0000
4.238712 0.010 0.0000
4.269427 0.010 0.0000
4.300366 0.010 0.0000
4.331528 0.010 0.0000
4.362916 0.010 -0.0000
4.394531 0.010 -0.0000
4.426376 0.010 -0.0000
4.458451 0.010 -0.0000
4.490759 0.010 -0.0000
4.523301 0.010 0.0000
4.556079 0.010 0.0000
4.589094 0.010 0.0000
4.622348 0.011 0.0000
4.655844 0.011 0.0000
4.689582 0.011 0.0000
4.723564 0.011 0.0000
4.757793 0.011 0.0000
4.792270 0.011 0.0000
4.826997 0.011 0.0000
4.861975 0.011 0.0000
4.897207 0.011 0.0000
4.932695 0.010 0.0000
4.968439 0.010 0.0000
5.004442 0.010 0.0000
5.040706 0.010 0.0000
5.077234 0.010 0.0000
5.114025 0.010 0.0000
5.151084 0.010 0.0000
5.188410 0.010 0.0000
5.226008 0.010 0.0000
5.263878 0.010 -0.0000
5.302022 0.010 -0.0000
5.340442 0.010 -0.0000
5.379142 0.011 -0.0000
5.418121 0.011 -0.0000
5.457383 0.011 -0.0000
5.496929 0.011 -0.0000
5.536762 0.011 -0.0000
5.576884 0.011 0.0000
5.617296 0.011 0.0000
5.658002 0.010 0.0000
5.699002 0.010 0.0000
5.740299 0.010 0.0000
5.781896 0.010 0.0000
5.823794 0.010 0.0000
5.865995 0.010 0.0000
5.908503 0.010 0.0000
5.951318 0.010 0.0000
5.994444 0.010 -0.0000
6.037882 0.010 -0.0000
6.081635 0.011 -0.0000
6.125705 0.011 -0.0000
6.170095 0.011 -0.0000
6.214806 0.011 -0.0000
6.259841 0.011 -0.0000
6.305202 0.011 -0.0000
6.350892 0.011 -0.0000
6.396913 0.010 0.0000
6.443268 0.010 0.0000
6.489959 0.010 0.0000
6.536988 0.010 0.0000
6.584357 0.010 0.0000
6.632070 0.010 0.0000
6.680129 0.010 0.0000
6.728536 0.010 -0.0000
6.777294 0.010 -0.0000
6.826405 0.011 -0.0000
6.875872 0.011 -0.0000
6.925697 0.011 -0.0001
6.975884 0.011 -0.0001
7.026434 0.011 -0.0000
7.077350 0.011 -0.0000
7.128635 0.010 0.0000
7.180293 0.010 0.0000
7.232324 0.010 0.0001
7.284732 0.010 0.0001
7.337520 0.010 0.0001
7.390691 0.010 0.0001
7.444247 0.010 0.0000
7.498191 0.010 -0.0000
7.552526 0.011 -0.0001
7.607255 0.011 -0.0001
7.662380 0.011 -0.0001
7.717905 0.011 -0.0001
7.773832 0.011 -0.0001
7.830165 0.011 -0.0000
7.886905 0.010 0.0000
7.944057 0.010 0.0001
8.001623 0.010 0.0001
8.059606 0.010 0.0001
8.118009 0.010 0.0001
8.176836 0.010 0.0001
8.236088 0.010 -0.0000
8.295770 0.011 -0.0001
8.355885 0.011 -0.0001
8.416435 0.011 -0.0001
8.477424 0.011 -0.0001
8.538855 0.011 -0.0001
8.600731 0.010 -0.0000
8.663055 0.010 0.0000
8.725832 0.010 0.0001
8.789063 0.010 0.0001
8.852752 0.010 0.0001
8.916902 0.010 0.0001
8.981518 0.010 0.0000
9.046602 0.011 0.0000
9.112157 0.011 -0.0000
9.178188 0.011 -0.0001
9.244696 0.011 -0.0001
9.311687 0.010 -0.0001
9.379164 0.010 -0.0001
9.447129 0.010 -0.0001
9.515587 0.010 -0.0001
9.584541 0.010 -0.0000
9.653994 0.010 0.0001
9.723951 0.010 0.0003
9.794415 0.011 0.0004
9.865389 0.011 0.0004
9.936878 0.011 0.0003
10.008884 0.011 -0.0000
10.081413 0.010 -0.0004
10.154467 0.010 -0.0007
10.228051 0.010 -0.0009
10.302167 0.010 -0.0007
10.376821 0.010 -0.0001
10.452016 0.010 0.0006
10.527755 0.011 0.0012
10.604044 0.011 0.0015
10.680885 0.011 0.0011
10.758283 0.011 0.0002
10.836242 0.010 -0.0010
10.914766 0.010 -0.0019
10.993859 0.010 -0.0022
11.073525 0.010 -0.0014
11.153768 0.010 -0.0001
11.234593 0.011 0.0014
11.316003 0.011 0.0024
11.398004 0.011 0.0024
11.480599 0.011 0.0015
11.563792 0.010 0.0003
11.647588 0.010 -0.0010
11.731991 0.010 -0.0018
11.817006 0.010 -0.0023
11.902637 0.010 -0.0028
11.988888 0.011 -0.0027
12.075764 0.011 -0.0019
12.163270 0.011 0.0008
12.251411 0.010 0.0054
12.340189 0.010 0.0094
12.429611 0.010 0.0105
12.519681 0.010 0.0051
12.610404 0.010 -0.0067
12.701784 0.011 -0.0187
12.793827 0.011 -0.0244
12.886536 0.011 -0.0167
12.979917 0.010 0.0029
13.073975 0.010 0.0243
13.168715 0.010 0.0368
13.264140 0.010 0.0349
13.360258 0.010 0.0243
13.457072 0.011 0.0065
13.554587 0.011 -0.0172
13.652809 0.011 -0.0425
13.751743 0.010 -0.0727
13.851394 0.010 -0.1170
13.951767 0.010 -0.1739
14.052867 0.010 -0.1658
14.154700 0.010 -0.1994
14.257271 0.011 -0.4345
14.360585 0.011 -0.9764
14.464648 0.010 -1.7527
14.569465 0.010 -2.7425
14.675041 0.010 -3.9406
14.781382 0.010 -5.5103
14.888494 0.010 -7.2613
14.996382 0.011 -8.8540
15.105052 0.010 -10.1096
15.214510 0.010 -11.1833
15.324760 0.010 -12.0656
15.435810 0.010 -12.7233
15.547664 0.010 -13.0993
15.660329 0.010 -13.3407
15.773810 0.010 -13.6234
15.888114 0.010 -13.9513
16.003246 0.010 -14.2631
16.119212 0.010 -14.5307
16.236018 0.010 -14.6922
16.353671 0.010 -14.8113
16.472176 0.010 -15.0355
16.591541 0.010 -15.4125
16.711770 0.010 -15.9006
16.832870 0.010 -16.5553
16.954848 0.010 -17.4798
17.077710 0.010 -18.6104
17.201462 0.010 -19.6808
17.326111 0.010 -20.5680
17.451663 0.010 -21.3644
17.578125 0.010 -22.0527
17.705503 0.010 -22.6043
17.833805 0.010 -23.0463
17.963036 0.010 -23.4433
18.093203 0.010 -23.8036
18.224314 0.010 -24.1123
18.356375 0.010 -24.3617
18.489393 0.010 -24.4832
18.623375 0.010 -24.6564
18.758327 0.010 -25.0689
18.894258 0.010 -25.6570
19.031174 0.010 -26.4807
19.169081 0.010 -27.6548
19.307988 0.010 -29.0818
19.447902 0.010 -30.4923
19.588829 0.010 -31.9667
19.730778 0.011 -33.3026
19.873756 0.010 -34.2321
