* Measurement data measured by REW V5.40 beta 100
* Source: 
* Format: 
* Dated: Sep 23, 2025 2:19:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 69.5 dB
* Note: ; Minimum phase copy of RX Cal file effects included No LF tail No HF tail
* Measurement: RX-MP
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.098633 53.736 -11.8761
1.106594 53.627 -11.9218
1.114613 53.511 -11.9663
1.122690 53.389 -12.0086
1.130825 53.260 -12.0478
1.139020 53.124 -12.0829
1.147273 52.981 -12.1125
1.155587 52.830 -12.1353
1.163961 52.673 -12.1496
1.172395 52.509 -12.1537
1.180891 52.338 -12.1455
1.189448 52.160 -12.1227
1.198068 51.976 -12.0828
1.206749 51.785 -12.0228
1.215494 51.588 -11.9398
1.224302 51.385 -11.8300
1.233174 51.176 -11.6895
1.242110 50.962 -11.5140
1.251111 50.743 -11.2987
1.260177 50.520 -11.0382
1.269308 50.294 -10.7267
1.278506 50.065 -10.3577
1.287771 49.834 -9.9244
1.297103 49.603 -9.4193
1.306502 49.374 -8.8344
1.315969 49.147 -8.1613
1.325505 48.925 -7.3914
1.335111 48.712 -6.5157
1.344785 48.509 -5.5255
1.354530 48.320 -4.4124
1.364346 48.149 -3.1691
1.374232 48.000 -1.7893
1.384191 47.877 -0.2688
1.394221 47.784 1.3939
1.404324 47.723 3.1970
1.414500 47.699 5.1347
1.424750 47.711 7.1967
1.435075 47.762 9.3679
1.445474 47.849 11.6286
1.455948 47.970 13.9545
1.466499 48.123 16.3182
1.477126 48.304 18.6903
1.487830 48.509 21.0406
1.498611 48.733 23.3400
1.509471 48.974 25.5621
1.520409 49.227 27.6837
1.531426 49.489 29.6862
1.542524 49.757 31.5556
1.553701 50.029 33.2824
1.564960 50.303 34.8613
1.576301 50.577 36.2904
1.587723 50.849 37.5711
1.599228 51.119 38.7066
1.610817 51.386 39.7021
1.622490 51.648 40.5637
1.634247 51.904 41.2981
1.646089 52.156 41.9125
1.658018 52.401 42.4139
1.670032 52.639 42.8091
1.682134 52.871 43.1047
1.694323 53.095 43.3070
1.706601 53.311 43.4217
1.718968 53.520 43.4542
1.731424 53.721 43.4094
1.743971 53.913 43.2918
1.756608 54.097 43.1056
1.769338 54.272 42.8549
1.782159 54.439 42.5431
1.795073 54.597 42.1739
1.808081 54.746 41.7506
1.821183 54.885 41.2764
1.834380 55.016 40.7546
1.847673 55.137 40.1883
1.861062 55.249 39.5811
1.874548 55.351 38.9360
1.888132 55.444 38.2568
1.901814 55.528 37.5470
1.915595 55.602 36.8104
1.929476 55.667 36.0510
1.943458 55.722 35.2727
1.957541 55.768 34.4799
1.971726 55.804 33.6768
1.986014 55.831 32.8680
2.000406 55.849 32.0580
2.014901 55.857 31.2514
2.029502 55.856 30.4527
2.044209 55.845 29.6667
2.059022 55.826 28.8979
2.073943 55.797 28.1508
2.088971 55.760 27.4299
2.104109 55.713 26.7394
2.119356 55.658 26.0835
2.134714 55.595 25.4664
2.150183 55.524 24.8920
2.165764 55.444 24.3640
2.181458 55.357 23.8860
2.197266 55.263 23.4617
2.213188 55.161 23.0943
2.229226 55.054 22.7869
2.245379 54.940 22.5427
2.261650 54.822 22.3644
2.278039 54.699 22.2546
2.294547 54.573 22.2156
2.311174 54.445 22.2494
2.327922 54.316 22.3575
2.344791 54.188 22.5409
2.361782 54.061 22.8000
2.378897 53.938 23.1344
2.396135 53.821 23.5427
2.413499 53.712 24.0225
2.430988 53.613 24.5705
2.448604 53.525 25.1816
2.466347 53.452 25.8500
2.484219 53.394 26.5681
2.502221 53.354 27.3272
2.520353 53.332 28.1176
2.538617 53.329 28.9286
2.557013 53.346 29.7487
2.575542 53.382 30.5661
2.594205 53.435 31.3692
2.613004 53.505 32.1465
2.631939 53.590 32.8872
2.651011 53.689 33.5815
2.670221 53.798 34.2205
2.689571 53.916 34.7968
2.709061 54.041 35.3045
2.728691 54.170 35.7387
2.748465 54.302 36.0963
2.768381 54.434 36.3751
2.788442 54.566 36.5743
2.808648 54.696 36.6940
2.829001 54.823 36.7353
2.849501 54.945 36.7001
2.870150 55.061 36.5909
2.890948 55.172 36.4106
2.911897 55.275 36.1629
2.932998 55.371 35.8515
2.954251 55.459 35.4807
2.975659 55.539 35.0548
2.997222 55.610 34.5784
3.018941 55.672 34.0562
3.040818 55.724 33.4930
3.062853 55.768 32.8936
3.085047 55.802 32.2629
3.107403 55.827 31.6058
3.129920 55.842 30.9272
3.152601 55.848 30.2317
3.175446 55.844 29.5242
3.198457 55.831 28.8091
3.221634 55.808 28.0912
3.244979 55.777 27.3746
3.268494 55.736 26.6638
3.292179 55.687 25.9630
3.316035 55.628 25.2760
3.340064 55.562 24.6071
3.364268 55.487 23.9600
3.388647 55.404 23.3387
3.413202 55.313 22.7469
3.437936 55.215 22.1885
3.462849 55.109 21.6674
3.487942 54.997 21.1874
3.513217 54.879 20.7524
3.538675 54.755 20.3665
3.564318 54.625 20.0338
3.590146 54.490 19.7585
3.616162 54.351 19.5448
3.642366 54.208 19.3972
3.668760 54.062 19.3201
3.695346 53.913 19.3182
3.722124 53.763 19.3958
3.749096 53.611 19.5577
3.776263 53.459 19.8084
3.803627 53.307 20.1521
3.831190 53.157 20.5930
3.858953 53.009 21.1350
3.886916 52.864 21.7812
3.915082 52.724 22.5344
3.943453 52.590 23.3962
3.972028 52.464 24.3672
4.000811 52.345 25.4470
4.029803 52.237 26.6330
4.059005 52.139 27.9212
4.088418 52.054 29.3054
4.118044 51.982 30.7772
4.147885 51.925 32.3261
4.177942 51.884 33.9391
4.208218 51.858 35.6015
4.238712 51.848 37.2967
4.269427 51.854 39.0073
4.300366 51.876 40.7151
4.331528 51.913 42.4019
4.362916 51.964 44.0504
4.394531 52.028 45.6446
4.426376 52.103 47.1703
4.458451 52.188 48.6154
4.490759 52.280 49.9704
4.523301 52.380 51.2281
4.556079 52.484 52.3838
4.589094 52.592 53.4352
4.622348 52.702 54.3817
4.655844 52.812 55.2247
4.689582 52.923 55.9671
4.723564 53.032 56.6130
4.757793 53.138 57.1673
4.792270 53.242 57.6356
4.826997 53.342 58.0241
4.861975 53.439 58.3394
4.897207 53.531 58.5880
4.932695 53.618 58.7766
4.968439 53.701 58.9120
5.004442 53.779 59.0006
5.040706 53.852 59.0491
5.077234 53.920 59.0636
5.114025 53.984 59.0503
5.151084 54.044 59.0151
5.188410 54.100 58.9637
5.226008 54.152 58.9019
5.263878 54.200 58.8351
5.302022 54.245 58.7686
5.340442 54.288 58.7079
5.379142 54.328 58.6583
5.418121 54.366 58.6249
5.457383 54.402 58.6131
5.496929 54.436 58.6282
5.536762 54.470 58.6753
5.576884 54.503 58.7597
5.617296 54.536 58.8866
5.658002 54.570 59.0609
5.699002 54.604 59.2874
5.740299 54.639 59.5706
5.781896 54.675 59.9144
5.823794 54.714 60.3222
5.865995 54.755 60.7965
5.908503 54.799 61.3387
5.951318 54.847 61.9490
5.994444 54.898 62.6263
6.037882 54.954 63.3678
6.081635 55.015 64.1691
6.125705 55.080 65.0238
6.170095 55.151 65.9241
6.214806 55.227 66.8603
6.259841 55.307 67.8217
6.305202 55.393 68.7964
6.350892 55.483 69.7718
6.396913 55.577 70.7357
6.443268 55.675 71.6757
6.489959 55.776 72.5808
6.536988 55.879 73.4408
6.584357 55.984 74.2474
6.632070 56.091 74.9939
6.680129 56.198 75.6755
6.728536 56.305 76.2891
6.777294 56.411 76.8336
6.826405 56.516 77.3093
6.875872 56.620 77.7180
6.925697 56.723 78.0627
6.975884 56.823 78.3474
7.026434 56.921 78.5767
7.077350 57.017 78.7560
7.128635 57.111 78.8910
7.180293 57.202 78.9876
7.232324 57.292 79.0522
7.284732 57.379 79.0908
7.337520 57.465 79.1099
7.390691 57.549 79.1156
7.444247 57.632 79.1142
7.498191 57.714 79.1119
7.552526 57.796 79.1148
7.607255 57.878 79.1290
7.662380 57.960 79.1603
7.717905 58.043 79.2146
7.773832 58.127 79.2977
7.830165 58.214 79.4151
7.886905 58.303 79.5721
7.944057 58.396 79.7737
8.001623 58.494 80.0245
8.059606 58.596 80.3285
8.118009 58.703 80.6892
8.176836 58.817 81.1091
8.236088 58.937 81.5897
8.295770 59.064 82.1316
8.355885 59.198 82.7338
8.416435 59.339 83.3942
8.477424 59.488 84.1091
8.538855 59.644 84.8733
8.600731 59.807 85.6801
8.663055 59.975 86.5215
8.725832 60.150 87.3886
8.789063 60.330 88.2713
8.852752 60.514 89.1592
8.916902 60.701 90.0417
8.981518 60.892 90.9084
9.046602 61.085 91.7497
9.112157 61.279 92.5569
9.178188 61.475 93.3223
9.244696 61.671 94.0400
9.311687 61.866 94.7053
9.379164 62.062 95.3152
9.447129 62.257 95.8682
9.515587 62.450 96.3640
