* Measurement data measured by REW V5.40 beta 100
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 23, 2025 2:08:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 69.5 dB
* Note: ; Trace Arithmetic A times B A = R.120.Blue B = X801 (revised) 
* Measurement: RX
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 1.0986328 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.098633 53.753 93.0260
1.106594 53.659 92.9642
1.114613 53.560 92.8980
1.122690 53.454 92.8273
1.130825 53.342 92.7522
1.139020 53.225 92.6728
1.147273 53.101 92.5892
1.155587 52.971 92.5019
1.163961 52.835 92.4112
1.172395 52.694 92.3177
1.180891 52.546 92.2223
1.189448 52.392 92.1259
1.198068 52.232 92.0298
1.206749 52.067 91.9354
1.215494 51.896 91.8446
1.224302 51.719 91.7597
1.233174 51.538 91.6833
1.242110 51.351 91.6188
1.251111 51.160 91.5700
1.260177 50.965 91.5415
1.269308 50.765 91.5388
1.278506 50.562 91.5685
1.287771 50.357 91.6382
1.297103 50.149 91.7571
1.306502 49.940 91.9360
1.315969 49.730 92.1879
1.325505 49.520 92.5279
1.335111 49.313 92.9741
1.344785 49.109 93.5479
1.354530 48.910 94.2744
1.364346 48.719 95.1836
1.374232 48.537 96.3103
1.384191 48.367 97.6951
1.394221 48.212 99.3845
1.404324 48.076 101.4306
1.414500 47.959 103.8893
1.424750 47.867 106.8168
1.435075 47.801 110.2629
1.445474 47.763 114.2602
1.455948 47.754 118.8097
1.466499 47.776 123.8639
1.477126 47.829 129.3154
1.487830 47.910 134.9968
1.498611 48.018 140.7007
1.509471 48.152 146.2133
1.520409 48.308 151.3512
1.531426 48.483 155.9870
1.542524 48.674 160.0541
1.553701 48.879 163.5388
1.564960 49.094 166.4636
1.576301 49.317 168.8723
1.587723 49.546 170.8176
1.599228 49.779 172.3534
1.610817 50.013 173.5305
1.622490 50.249 174.3944
1.634247 50.483 174.9844
1.646089 50.717 175.3343
1.658018 50.947 175.4723
1.670032 51.174 175.4221
1.682134 51.397 175.2033
1.694323 51.616 174.8322
1.706601 51.829 174.3221
1.718968 52.038 173.6843
1.731424 52.240 172.9281
1.743971 52.437 172.0612
1.756608 52.628 171.0907
1.769338 52.812 170.0222
1.782159 52.989 168.8614
1.795073 53.160 167.6132
1.808081 53.324 166.2827
1.821183 53.481 164.8751
1.834380 53.631 163.3956
1.847673 53.774 161.8501
1.861062 53.909 160.2445
1.874548 54.037 158.5857
1.888132 54.157 156.8808
1.901814 54.270 155.1375
1.915595 54.375 153.3640
1.929476 54.472 151.5687
1.943458 54.561 149.7604
1.957541 54.643 147.9482
1.971726 54.716 146.1407
1.986014 54.782 144.3467
2.000406 54.839 142.5747
2.014901 54.888 140.8326
2.029502 54.929 139.1278
2.044209 54.962 137.4674
2.059022 54.987 135.8574
2.073943 55.003 134.3035
2.088971 55.011 132.8108
2.104109 55.011 131.3838
2.119356 55.004 130.0264
2.134714 54.988 128.7423
2.150183 54.964 127.5349
2.165764 54.933 126.4074
2.181458 54.895 125.3631
2.197266 54.849 124.4052
2.213188 54.798 123.5374
2.229226 54.740 122.7637
2.245379 54.677 122.0886
2.261650 54.609 121.5172
2.278039 54.537 121.0552
2.294547 54.463 120.7095
2.311174 54.386 120.4876
2.327922 54.310 120.3981
2.344791 54.233 120.4505
2.361782 54.159 120.6555
2.378897 54.089 121.0244
2.396135 54.024 121.5694
2.413499 53.967 122.3032
2.430988 53.918 123.2385
2.448604 53.880 124.3875
2.466347 53.853 125.7611
2.484219 53.840 127.3678
2.502221 53.841 129.2125
2.520353 53.856 131.2954
2.538617 53.887 133.6100
2.557013 53.932 136.1423
2.575542 53.992 138.8698
2.594205 54.065 141.7611
2.613004 54.150 144.7773
2.631939 54.246 147.8730
2.651011 54.351 151.0001
2.670221 54.464 154.1098
2.689571 54.582 157.1571
2.709061 54.705 160.1026
2.728691 54.830 162.9148
2.748465 54.957 165.5707
2.768381 55.083 168.0558
2.788442 55.207 170.3633
2.808648 55.328 172.4927
2.829001 55.446 174.4484
2.849501 55.558 176.2387
2.870150 55.666 177.8741
2.890948 55.767 179.3669
2.911897 55.861 -179.2702
2.932998 55.948 -178.0240
2.954251 56.027 -176.8815
2.975659 56.098 -175.8304
2.997222 56.161 -174.8586
3.018941 56.216 -173.9547
3.040818 56.261 -173.1082
3.062853 56.298 -172.3088
3.085047 56.326 -171.5475
3.107403 56.345 -170.8153
3.129920 56.355 -170.1040
3.152601 56.356 -169.4058
3.175446 56.347 -168.7136
3.198457 56.330 -168.0204
3.221634 56.304 -167.3199
3.244979 56.269 -166.6059
3.268494 56.225 -165.8726
3.292179 56.173 -165.1145
3.316035 56.111 -164.3264
3.340064 56.042 -163.5033
3.364268 55.964 -162.6402
3.388647 55.878 -161.7325
3.413202 55.784 -160.7756
3.437936 55.683 -159.7650
3.462849 55.573 -158.6964
3.487942 55.457 -157.5652
3.513217 55.334 -156.3672
3.538675 55.204 -155.0977
3.564318 55.067 -153.7520
3.590146 54.925 -152.3253
3.616162 54.778 -150.8123
3.642366 54.625 -149.2072
3.668760 54.468 -147.5042
3.695346 54.308 -145.6961
3.722124 54.144 -143.7754
3.749096 53.979 -141.7330
3.776263 53.812 -139.5586
3.803627 53.645 -137.2397
3.831190 53.479 -134.7612
3.858953 53.315 -132.1044
3.886916 53.155 -129.2456
3.915082 53.000 -126.1538
3.943453 52.852 -122.7877
3.972028 52.711 -119.0913
4.000811 52.581 -114.9855
4.029803 52.462 -110.3570
4.059005 52.356 -105.0383
4.088418 52.264 -98.7769
4.118044 52.187 -91.1869
4.147885 52.127 -81.6867
4.177942 52.083 -69.4708
4.208218 52.057 -53.7290
4.238712 52.047 -34.5501
4.269427 52.055 -14.1191
4.300366 52.078 4.2866
4.331528 52.117 19.0094
4.362916 52.170 30.2975
4.394531 52.236 39.0092
4.426376 52.313 45.9026
4.458451 52.400 51.5090
4.490759 52.496 56.1786
4.523301 52.598 60.1415
4.556079 52.706 63.5511
4.589094 52.818 66.5125
4.622348 52.933 69.0991
4.655844 53.049 71.3636
4.689582 53.166 73.3450
4.723564 53.282 75.0717
4.757793 53.397 76.5654
4.792270 53.509 77.8424
4.826997 53.617 78.9141
4.861975 53.722 79.7885
4.897207 53.822 80.4700
4.932695 53.916 80.9592
4.968439 54.006 81.2532
5.004442 54.089 81.3447
5.040706 54.166 81.2212
5.077234 54.238 80.8639
5.114025 54.303 80.2460
5.151084 54.363 79.3303
5.188410 54.416 78.0660
5.226008 54.465 76.3845
5.263878 54.508 74.1933
5.302022 54.546 71.3706
5.340442 54.580 67.7588
5.379142 54.611 63.1644
5.418121 54.638 57.3746
5.457383 54.662 50.2117
5.496929 54.684 41.6483
5.536762 54.704 31.9655
5.576884 54.722 21.8316
5.617296 54.740 12.1364
5.658002 54.757 3.6382
5.699002 54.774 -3.2716
5.740299 54.792 -8.5437
5.781896 54.811 -12.3170
5.823794 54.831 -14.7874
5.865995 54.854 -16.1394
5.908503 54.880 -16.5245
5.951318 54.910 -16.0605
5.994444 54.944 -14.8401
6.037882 54.983 -12.9420
6.081635 55.027 -10.4421
6.125705 55.077 -7.4236
6.170095 55.133 -3.9838
6.214806 55.196 -0.2366
6.259841 55.266 3.6897
6.305202 55.342 7.6610
6.350892 55.424 11.5485
6.396913 55.512 15.2396
6.443268 55.605 18.6449
6.489959 55.703 21.7013
6.536988 55.805 24.3699
6.584357 55.910 26.6313
6.632070 56.018 28.4807
6.680129 56.128 29.9215
6.728536 56.238 30.9614
6.777294 56.349 31.6093
6.826405 56.460 31.8723
6.875872 56.569 31.7549
6.925697 56.678 31.2578
6.975884 56.785 30.3780
7.026434 56.889 29.1083
7.077350 56.992 27.4384
7.128635 57.093 25.3555
7.180293 57.191 22.8461
7.232324 57.288 19.8983
7.284732 57.382 16.5046
7.337520 57.475 12.6664
7.390691 57.567 8.3977
7.444247 57.657 3.7296
7.498191 57.748 -1.2874
7.552526 57.838 -6.5836
7.607255 57.929 -12.0737
7.662380 58.021 -17.6637
7.717905 58.115 -23.2612
7.773832 58.211 -28.7842
7.830165 58.311 -34.1674
7.886905 58.414 -39.3663
7.944057 58.521 -44.3556
8.001623 58.634 -49.1270
8.059606 58.752 -53.6842
8.118009 58.876 -58.0388
8.176836 59.007 -62.2057
8.236088 59.145 -66.2003
8.295770 59.289 -70.0363
8.355885 59.442 -73.7238
8.416435 59.601 -77.2694
8.477424 59.768 -80.6752
8.538855 59.941 -83.9402
8.600731 60.121 -87.0609
8.663055 60.307 -90.0321
8.725832 60.498 -92.8490
8.789063 60.694 -95.5078
8.852752 60.895 -98.0073
8.916902 61.099 -100.3496
8.981518 61.306 -102.5406
9.046602 61.515 -104.5911
