* Measurement data measured by REW V5.40 beta 100
* Source: /home/giacomo/DRC/DRC-120.blue/X801.wav
* Format: Imported Impulse Response, 48000.0 Hz sampling
* Dated: Sep 23, 2025 9:57:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Impulse Response imported from /home/giacomo/DRC/DRC-120.blue/X801.wav 131072 samples (2.73 s) of 32-bit Float data at 48 kHz
* Measurement: X801 (revised)
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 -0.000 0.1704
0.732422 0.000 0.3412
1.098633 0.000 0.5120
1.464844 -0.000 0.6828
1.831055 -0.000 0.8534
2.197265 -0.000 1.0237
2.563476 -0.000 1.1944
2.929687 0.000 1.3652
3.295898 0.000 1.5360
3.662109 -0.000 1.7068
4.028320 -0.000 1.8772
4.394531 -0.000 2.0476
4.760742 0.000 2.2184
5.126953 0.000 2.3893
5.493164 -0.000 2.5601
5.859375 -0.000 2.7308
6.225585 -0.000 2.9011
6.591796 -0.000 3.0718
6.958007 0.000 3.2427
7.324218 0.000 3.4135
7.690429 -0.000 3.5844
8.056640 -0.000 3.7548
8.422851 -0.000 3.9253
8.789062 0.000 4.0962
9.155273 0.000 4.2671
9.521484 -0.000 4.4380
9.887695 -0.000 4.6087
10.253905 -0.000 4.7791
10.620116 0.000 4.9499
10.986327 0.000 5.1208
11.352538 0.000 5.2918
11.718749 -0.000 5.4627
12.084960 -0.000 5.6332
12.451171 -0.000 5.8038
12.817382 0.000 5.9748
13.183593 0.000 6.1458
13.549804 -0.000 6.3168
13.916015 -0.000 6.4876
14.282225 -0.000 6.6581
14.648436 0.000 6.8290
15.014647 0.000 7.0001
15.380858 0.000 7.1712
15.747069 -0.000 7.3422
16.113280 -0.000 7.5128
16.479491 -0.000 7.6836
16.845702 0.000 7.8547
17.211913 0.000 8.0258
17.578124 -0.000 8.1970
17.944335 -0.000 8.3678
18.310545 -0.000 8.5385
18.676756 0.000 8.7096
19.042967 0.000 8.8808
19.409178 0.000 9.0521
19.775389 -0.000 9.2232
20.141600 -0.000 9.3940
20.507811 -0.000 9.5650
20.874022 0.000 9.7362
21.240233 0.000 9.9075
21.606444 -0.000 10.0789
21.972654 -0.000 10.2499
22.338865 -0.000 10.4208
22.705076 0.000 10.5921
23.071287 0.000 10.7634
23.437498 0.000 10.9349
23.803709 -0.000 11.1062
24.169920 -0.000 11.2772
24.536131 -0.000 11.4484
24.902342 0.000 11.6199
25.268553 0.000 11.7914
25.634764 -0.000 11.9630
26.000974 -0.000 12.1341
26.367185 -0.000 12.3053
26.733396 0.000 12.4768
27.099607 0.000 12.6484
27.465818 0.000 12.8201
27.832029 -0.000 12.9916
28.198240 -0.000 13.1628
28.564451 -0.000 13.3343
28.930662 0.000 13.5060
29.296873 0.000 13.6777
29.663084 -0.000 13.8496
30.029294 -0.000 14.0209
30.395505 -0.000 14.1924
30.761716 0.000 14.3642
31.127927 0.000 14.5360
31.494138 -0.000 14.7080
31.860349 -0.000 14.8797
32.226560 -0.000 15.0512
32.592771 -0.000 15.2230
32.958982 0.000 15.3949
33.325193 0.000 15.5670
33.691404 -0.000 15.7391
34.057614 -0.000 15.9107
34.423825 -0.000 16.0824
34.790036 0.000 16.2545
35.156247 0.000 16.4267
35.522458 -0.000 16.5990
35.888669 -0.000 16.7709
36.254880 -0.000 16.9427
36.621091 -0.000 17.1148
36.987302 0.000 17.2871
37.353513 0.000 17.4595
37.719724 -0.000 17.6319
38.085934 -0.000 17.8038
38.452145 -0.000 17.9759
38.818356 0.000 18.1483
39.184567 0.000 18.3208
39.550778 -0.000 18.4934
39.916989 -0.000 18.6657
40.283200 -0.000 18.8378
40.649411 0.000 19.0103
41.015622 0.000 19.1829
41.381833 0.000 19.3556
41.748044 -0.000 19.5284
42.114254 -0.000 19.7006
42.480465 -0.000 19.8731
42.846676 0.000 20.0459
43.212887 0.000 20.2187
43.579098 -0.000 20.3917
43.945309 -0.000 20.5643
44.311520 -0.000 20.7369
44.677731 0.000 20.9097
45.043942 0.000 21.0827
45.410153 0.000 21.2559
45.776363 -0.000 21.4289
46.142574 -0.000 21.6016
46.508785 -0.000 21.7745
46.874996 0.000 21.9476
47.241207 0.000 22.1209
47.607418 -0.000 22.2943
47.973629 -0.000 22.4673
48.339840 -0.000 22.6402
48.706051 0.000 22.8135
49.072262 0.000 22.9868
49.438473 0.000 23.1605
49.804683 -0.000 23.3339
50.170894 -0.000 23.5069
50.537105 -0.000 23.6803
50.903316 0.000 23.8539
51.269527 0.000 24.0276
51.635738 -0.000 24.2014
52.001949 -0.000 24.3748
52.368160 -0.000 24.5482
52.734371 0.000 24.7219
53.100582 0.000 24.8957
53.466793 0.000 25.0698
53.833003 -0.000 25.2437
54.199214 -0.000 25.4172
54.565425 -0.000 25.5910
54.931636 0.000 25.7650
55.297847 0.000 25.9392
55.664058 -0.000 26.1135
56.030269 -0.000 26.2873
56.396480 -0.000 26.4612
56.762691 0.000 26.6354
57.128902 0.000 26.8097
57.495113 0.000 26.9843
57.861323 -0.000 27.1586
58.227534 -0.000 27.3326
58.593745 -0.000 27.5069
58.959956 0.000 27.6814
59.326167 0.000 27.8561
59.692378 -0.000 28.0309
60.058589 -0.000 28.2052
60.424800 -0.000 28.3796
60.791011 0.000 28.5543
61.157222 0.000 28.7291
61.523433 0.000 28.9042
61.889643 -0.000 29.0789
62.255854 -0.000 29.2535
62.622065 -0.000 29.4284
62.988276 0.000 29.6034
63.354487 0.000 29.7786
63.720698 -0.000 29.9539
64.086909 -0.000 30.1287
64.453120 -0.000 30.3037
64.819331 0.000 30.4789
65.185542 0.000 30.6543
65.551753 0.000 30.8299
65.917963 -0.000 31.0052
66.284174 -0.000 31.1803
66.650385 -0.000 31.3557
67.016596 0.000 31.5313
67.382807 0.000 31.7071
67.749018 -0.000 31.8829
68.115229 -0.000 32.0583
