* Measurement data measured by REW V5.40 beta 73
* Source: C:\Users\Ronin\Desktop\XOfix.wav
* Format: Imported Impulse Response, 48000.0 Hz sampling
* Dated: Mar 11, 2025 7:20:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Impulse Response imported from C:\Users\Ronin\Desktop\XOfix.wav 131072 samples (2.73 s) of 64-bit Float data at 48 kHz
* Measurement: XOfix
* Smoothing: Psychoacoustic
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 -0.000 0.1878
0.368865 -0.000 0.1882
0.371538 -0.000 0.1886
0.374230 -0.000 0.1890
0.376942 -0.000 0.1895
0.379673 -0.000 0.1900
0.382424 -0.000 0.1905
0.385196 -0.000 0.1910
0.387987 -0.000 0.1916
0.390798 -0.000 0.1922
0.393630 -0.000 0.1928
0.396483 -0.000 0.1934
0.399356 -0.000 0.1941
0.402250 -0.000 0.1948
0.405165 -0.000 0.1955
0.408101 -0.000 0.1962
0.411058 -0.000 0.1970
0.414037 -0.000 0.1978
0.417037 -0.000 0.1986
0.420059 -0.000 0.1994
0.423103 -0.000 0.2003
0.426169 -0.000 0.2011
0.429257 -0.000 0.2021
0.432368 -0.000 0.2030
0.435501 -0.000 0.2039
0.438656 -0.000 0.2049
0.441835 -0.000 0.2059
0.445037 -0.000 0.2069
0.448262 -0.000 0.2080
0.451510 -0.000 0.2090
0.454782 -0.000 0.2101
0.458077 -0.000 0.2112
0.461397 -0.000 0.2124
0.464740 -0.000 0.2135
0.468108 -0.000 0.2147
0.471500 -0.000 0.2159
0.474917 -0.000 0.2171
0.478358 -0.000 0.2184
0.481825 -0.000 0.2197
0.485316 -0.000 0.2209
0.488833 -0.000 0.2223
0.492375 -0.000 0.2236
0.495943 -0.000 0.2249
0.499537 -0.000 0.2263
0.503157 -0.000 0.2277
0.506803 -0.000 0.2292
0.510475 -0.000 0.2306
0.514175 -0.000 0.2321
0.517900 -0.000 0.2336
0.521653 -0.000 0.2351
0.525434 -0.000 0.2366
0.529241 -0.000 0.2382
0.533076 -0.000 0.2397
0.536939 -0.000 0.2413
0.540830 -0.000 0.2430
0.544749 -0.000 0.2446
0.548696 -0.000 0.2463
0.552673 -0.000 0.2480
0.556677 -0.000 0.2497
0.560711 -0.000 0.2514
0.564774 -0.000 0.2532
