* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:3,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -28.8 dBFS, measurement signal peak level -13.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 10, 2026, 4:41:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; L -12dBFS OKTO@-29dB mic - speakers 3.44m mic - front wall 4.31 MIC centered Screen panels prolong the 1.75 half wall 3 left screen panels Foam panels moved back into the room Delay -0.0043 ms (-1.5 mm, -0.06 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO R with no timing offset Clock adjustment: -14.8 ppm
* Measurement: L 120.trad
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
15.014648	66.500	-174.6523
15.380859	67.230	-177.6167
15.747070	68.655	-172.0670
16.113281	70.960	-170.5219
16.479492	71.773	-177.6733
16.845703	71.466	-178.3743
17.211914	72.539	-176.6760
17.578125	73.422	177.8778
17.944336	73.586	174.3246
18.310547	74.085	167.8670
18.676758	74.133	156.9512
19.042968	74.281	152.4690
19.409179	75.289	149.5156
19.775390	75.481	145.1101
20.141601	75.260	144.4578
20.507812	75.340	138.4671
20.874023	74.585	130.5108
21.240234	74.447	133.4941
21.606445	75.844	133.5334
21.972656	76.408	128.6017
22.338867	76.674	125.3631
22.705077	77.240	119.3694
23.071288	77.781	113.3370
23.437499	78.628	107.4283
23.803710	78.993	98.0453
24.169921	78.692	89.5940
24.536132	78.679	80.5908
24.902343	78.096	69.3328
25.268554	76.605	68.3977
25.634765	76.505	71.5175
26.000976	75.217	59.1994
26.367187	69.891	53.0326
26.733397	68.922	85.9648
27.099608	72.625	78.6387
27.465819	73.719	66.3311
27.832030	74.016	62.5837
28.198241	74.288	60.0106
28.564452	74.492	54.2802
28.930663	74.061	44.4179
29.296874	72.653	39.0237
29.663085	71.829	37.2567
30.029296	69.877	28.7338
30.395507	66.281	50.8787
30.761717	69.932	71.4796
31.127928	69.729	80.4741
31.494139	73.841	114.5204
31.860350	77.839	101.8186
32.226561	76.604	79.2013
32.592772	72.594	74.2894
32.958983	73.448	76.5055
33.325194	74.912	60.0102
33.691405	74.859	57.3026
34.057616	76.108	60.8472
34.423827	76.565	54.0422
34.790037	76.108	49.6054
35.156248	76.720	44.7208
35.522459	77.172	35.0859
35.888670	76.824	28.9739
36.254881	76.357	25.7244
36.621092	75.768	21.9159
36.987303	75.323	17.4702
37.353514	74.625	10.8511
37.719725	73.062	8.7778
38.085936	72.041	13.0162
38.452147	71.491	11.9755
38.818357	70.659	11.2869
39.184568	70.535	12.8768
39.550779	70.170	14.8950
39.916990	69.944	22.1606
40.283201	70.005	21.9601
40.649412	68.596	18.9464
41.015623	68.036	26.7581
41.381834	69.405	27.8354
41.748045	69.650	25.4360
42.114256	69.352	29.0993
42.480467	69.224	30.9030
42.846677	68.800	29.9550
43.212888	68.612	29.6557
43.579099	68.599	31.1819
43.945310	68.594	36.3544
44.311521	68.651	43.2507
44.677732	69.240	49.2282
45.043943	70.389	47.4557
45.410154	70.901	42.0386
45.776365	70.949	44.0245
46.142576	71.551	51.5861
46.508786	72.506	58.7276
46.874997	73.990	61.4534
47.241208	75.270	55.4534
47.607419	75.666	48.3878
47.973630	76.069	46.7290
48.339841	76.991	44.5103
48.706052	77.630	39.4451
49.072263	78.192	33.7567
49.438474	78.819	24.7676
49.804685	78.803	15.0031
50.170896	78.493	11.8925
50.537106	79.109	11.2290
50.903317	79.785	4.7590
51.269528	79.742	-2.7314
51.635739	79.613	-8.6971
52.001950	79.458	-16.4072
