* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:3,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -29.5 dBFS, measurement signal peak level -14.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 10, 2026, 4:25:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; L -12dBFS OKTO@-29dB mic - speakers 3.48m mic - front wall 4.34 Screen panels prolong the 1.75 half wall LEFT Screen panels both close to each other Foam panels moved back into the room Delay -0.0018 ms (-0.63 mm, -0.02 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO R with no timing offset Clock adjustment: -14.7 ppm
* Measurement: R 120.Rscreen.2L
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
15.014648	69.306	-149.2199
15.380859	70.728	-155.0563
15.747070	71.132	-161.4136
16.113281	71.271	-165.3445
16.479492	72.116	-172.4696
16.845703	73.063	176.8627
17.211914	73.167	168.7235
17.578125	72.422	169.3832
17.944336	72.697	172.9222
18.310547	73.462	160.6783
18.676758	73.033	140.6666
19.042968	71.985	135.6115
19.409179	73.276	144.4701
19.775390	75.052	142.6399
20.141601	75.313	137.0589
20.507812	74.920	131.6869
20.874023	74.291	126.2212
21.240234	74.013	125.2972
21.606445	74.778	124.7578
21.972656	75.439	120.8788
22.338867	75.742	118.5122
22.705077	76.290	116.1804
23.071288	76.859	111.2650
23.437499	77.302	104.6294
23.803710	77.485	96.6544
24.169921	77.343	90.1050
24.536132	77.342	85.2272
24.902343	77.205	78.5911
25.268554	76.452	73.6246
25.634765	75.968	72.7476
26.000976	75.920	70.0208
26.367187	75.633	68.4628
26.733397	75.933	69.9241
27.099608	76.546	67.2008
27.465819	76.720	63.5254
27.832030	77.183	60.6002
28.198241	77.774	54.2514
28.564452	77.940	47.2258
28.930663	78.008	40.3507
29.296874	77.743	30.5696
29.663085	76.768	21.3837
30.029296	75.838	16.9626
30.395507	75.339	13.4756
30.761717	74.584	11.0997
31.127928	74.016	12.3196
31.494139	73.955	11.5654
31.860350	73.823	8.4681
32.226561	73.696	5.1000
32.592772	73.311	0.8439
32.958983	72.533	-1.2234
33.325194	72.135	-1.9732
33.691405	71.891	-5.7026
34.057616	71.383	-7.5535
34.423827	71.328	-5.9259
34.790037	71.513	-6.7722
35.156248	71.335	-9.4176
35.522459	71.058	-12.6792
35.888670	70.637	-16.9541
36.254881	69.895	-20.2496
36.621092	68.848	-23.0713
36.987303	67.358	-26.5243
37.353514	65.952	-30.4100
37.719725	64.896	-36.0398
38.085936	63.477	-35.1462
38.452147	62.940	-20.6190
38.818357	63.455	-8.4433
39.184568	63.852	1.3036
39.550779	64.961	2.7717
39.916990	65.567	-5.3125
40.283201	65.921	-11.3062
40.649412	66.756	-18.4963
41.015623	66.784	-30.9255
41.381834	65.957	-42.2122
41.748045	65.218	-54.3124
42.114256	62.932	-70.8237
42.480467	56.099	-77.6943
42.846677	45.462	-3.4386
43.212888	55.067	61.1043
43.579099	61.038	43.0486
43.945310	62.595	11.6143
44.311521	60.954	2.7833
44.677732	62.925	25.4502
45.043943	65.899	21.9743
45.410154	66.190	15.6179
45.776365	66.925	13.4501
46.142576	68.746	6.6016
46.508786	70.902	-1.6956
46.874997	72.853	-14.8066
47.241208	73.544	-33.4114
47.607419	73.325	-51.3679
47.973630	73.591	-66.3724
48.339841	74.234	-82.2441
48.706052	74.187	-97.1077
49.072263	73.779	-107.5681
49.438474	73.882	-116.9379
49.804685	74.317	-128.6965
50.170896	74.543	-142.1293
50.537106	74.253	-155.5786
50.903317	73.942	-166.7999
51.269528	74.462	-178.6725
51.635739	75.096	165.8043
52.001950	74.962	151.5825
52.368161	74.522	141.0908
52.734372	74.188	129.1548
53.100583	73.583	115.3448
53.466794	72.888	103.8110
53.833005	72.142	93.8802
54.199216	70.859	87.2844
54.565426	69.828	86.3211
54.931637	69.225	83.0827
55.297848	67.882	81.2197
55.664059	67.053	85.6511
56.030270	66.661	84.3885
56.396481	65.578	84.2736
56.762692	65.756	86.3743
57.128903	65.988	79.7858
57.495114	65.029	76.2803
57.861325	64.385	76.1313
58.227536	62.775	70.8063
58.593746	59.494	81.5709
58.959957	59.828	107.1356
59.326168	60.753	123.0861
59.692379	62.705	143.6735
60.058590	65.313	151.4248
60.424801	67.116	152.6448
60.791012	68.691	149.9697
61.157223	69.903	146.9550
61.523434	71.386	147.9515
61.889645	73.311	147.3117
62.255856	74.889	143.3832
62.622066	76.194	137.5878
62.988277	77.351	128.7213
63.354488	78.125	118.1049
63.720699	78.528	108.6133
64.086910	78.750	101.0099
64.453121	78.933	94.3933
64.819332	79.089	87.6619
65.185543	79.110	81.0631
65.551754	79.075	75.8486
65.917965	79.159	70.9074
66.284176	79.143	64.7214
66.650386	78.900	58.5165
67.016597	78.591	52.4923
67.382808	78.013	46.1655
67.749019	77.005	42.5076
68.115230	76.189	43.0684
68.481441	75.878	43.4223
68.847652	75.630	42.3987
69.213863	75.454	41.4878
69.580074	75.375	39.7362
69.946285	75.195	36.9014
70.312495	74.793	33.3603
70.678706	74.056	30.9358
71.044917	73.394	31.9414
71.411128	73.101	32.8517
71.777339	72.415	33.2729
72.143550	71.656	38.4215
72.509761	71.570	42.5870
72.875972	71.091	43.4830
73.242183	70.533	48.0025
73.608394	70.555	51.1683
73.974605	70.032	54.4827
74.340815	69.933	65.5875
74.707026	70.762	74.2773
75.073237	71.339	83.2789
75.439448	72.914	93.0235
75.805659	74.801	94.7877
76.171870	76.291	94.2798
76.538081	77.931	92.8118
76.904292	79.447	88.6294
77.270503	80.657	83.7411
77.636714	81.747	78.2068
78.002925	82.663	71.8842
78.369135	83.540	65.7969
78.735346	84.503	58.8240
79.101557	85.318	50.2861
79.467768	85.925	40.9638
79.833979	86.373	30.5298
80.200190	86.521	19.2275
80.566401	86.356	8.6075
80.932612	86.010	-1.2300
81.298823	85.407	-10.9564
81.665034	84.509	-19.5439
82.031245	83.563	-26.2321
82.397455	82.666	-31.8108
82.763666	81.693	-36.3808
83.129877	80.629	-39.8193
83.496088	79.545	-42.2596
83.862299	78.649	-44.1436
84.228510	77.880	-46.4426
84.594721	77.012	-47.2778
84.960932	76.312	-46.2632
85.327143	75.552	-46.6516
85.693354	74.410	-45.8246
86.059565	73.717	-42.3378
86.425775	73.478	-41.0599
86.791986	72.935	-40.4645
87.158197	71.940	-38.0799
87.524408	70.742	-31.1255
87.890619	70.924	-24.2923
88.256830	71.673	-30.7833
88.623041	71.360	-41.4480
88.989252	70.686	-44.5485
89.355463	70.410	-45.4443
89.721674	69.258	-48.0652
90.087885	67.294	-46.9161
90.454095	65.221	-46.2857
90.820306	61.953	-42.0768
91.186517	59.851	-16.2261
91.552728	61.016	5.4611
91.918939	62.308	22.5204
92.285150	64.389	35.3130
92.651361	66.366	38.9457
93.017572	67.721	37.2825
93.383783	68.602	35.4929
93.749994	69.658	34.8973
94.116205	70.621	31.5146
94.482415	70.776	28.1885
94.848626	70.784	28.3826
95.214837	71.158	27.0433
95.581048	71.392	24.1614
95.947259	71.802	22.9687
96.313470	72.371	21.2972
96.679681	72.614	20.8703
97.045892	72.966	22.4205
97.412103	73.373	21.1646
97.778314	73.307	18.4913
98.144524	73.176	17.7455
98.510735	73.360	16.9978
98.876946	73.505	14.8900
99.243157	73.333	12.5976
99.609368	72.856	11.5687
99.975579	72.423	12.5156
100.341790	72.285	13.3265
100.708001	72.102	13.2543
101.074212	71.756	14.9083
101.440423	71.588	18.6919
101.806634	71.663	22.4956
102.172844	71.847	26.4039
102.539055	72.327	30.8845
102.905266	73.118	33.9007
103.271477	73.842	34.8726
103.637688	74.428	35.0516
104.003899	75.014	34.1208
104.370110	75.531	31.7392
104.736321	75.893	29.0042
105.102532	76.097	27.1132
105.468743	76.255	26.6497
105.834954	76.500	26.4719
106.201164	76.675	25.5682
106.567375	76.717	25.6578
106.933586	76.949	27.1974
107.299797	77.364	28.1781
107.666008	77.741	28.6937
108.032219	78.181	28.9451
108.398430	78.653	27.9465
108.764641	79.020	26.6051
109.130852	79.420	26.0654
109.497063	79.945	25.4930
109.863274	80.461	24.3674
110.229484	80.962	23.2094
110.595695	81.575	21.6159
110.961906	82.242	18.7256
111.328117	82.815	14.7998
111.694328	83.246	10.5245
112.060539	83.537	6.1738
112.426750	83.683	1.8962
112.792961	83.687	-1.9966
113.159172	83.605	-4.9312
113.525383	83.594	-6.8890
113.891594	83.691	-8.9537
114.257804	83.752	-11.0881
114.624015	83.894	-12.2788
114.990226	84.327	-13.8085
115.356437	84.845	-17.2563
115.722648	85.228	-21.7296
116.088859	85.515	-26.3986
116.455070	85.727	-31.5496
116.821281	85.799	-37.2057
117.187492	85.702	-42.9409
117.553703	85.459	-48.2071
117.919914	85.143	-52.6379
118.286124	84.802	-56.4860
118.652335	84.400	-59.9701
119.018546	83.951	-62.8248
119.384757	83.551	-65.1155
119.750968	83.232	-67.1869
120.117179	82.976	-69.0225
120.483390	82.782	-70.6530
120.849601	82.639	-72.4447
121.215812	82.527	-74.7786
121.582023	82.424	-77.9443
121.948233	82.254	-81.7717
122.314444	81.979	-85.4151
