* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Aug 25, 2026, 11:03:29 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of FR8 Cal file effects not included LF tail from 16 Hz at 24 dB/octave No HF tail
* Measurement: FilterR
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 -92.943 -3.6510
0.732422 -95.545 177.8994
1.098633 -84.759 -14.2274
1.464844 -81.136 -22.0921
1.831055 -70.580 -22.4741
2.197266 -65.346 -26.8250
2.563477 -59.400 -29.7620
2.929688 -55.090 -33.8018
3.295899 -50.791 -37.2790
3.662110 -47.265 -41.2942
4.028321 -43.862 -44.9955
4.394532 -40.904 -49.0392
4.760743 -38.076 -52.8838
5.126954 -35.536 -56.9759
5.493164 -33.113 -60.9315
5.859375 -30.892 -65.0841
6.225586 -28.769 -69.1446
6.591797 -26.796 -73.3711
6.958008 -24.908 -77.5379
7.324219 -23.134 -81.8523
7.690430 -21.433 -86.1355
8.056641 -19.822 -90.5558
8.422852 -18.274 -94.9712
8.789063 -16.799 -99.5192
9.155274 -15.378 -104.0893
9.521485 -14.017 -108.7937
9.887696 -12.705 -113.5503
10.253907 -11.443 -118.4500
10.620118 -10.223 -123.4380
10.986329 -9.046 -128.5876
11.352540 -7.906 -133.8755
11.718751 -6.804 -139.3601
12.084962 -5.734 -145.0607
12.451173 -4.698 -151.0297
12.817384 -3.690 -157.3700
13.183595 -2.713 -164.1659
13.549806 -1.765 -171.9694
13.916017 -1.047 178.9939
14.282228 -0.620 170.3048
14.648439 -0.333 162.3287
15.014650 -0.162 155.0040
15.380861 -0.053 148.3051
15.747072 -0.009 142.1475
16.113283 0.005 136.5599
16.479493 -0.005 131.4946
16.845704 0.006 126.7739
17.211915 -0.011 122.2084
17.578126 -0.006 118.0094
17.944337 -0.005 113.5194
18.310548 -0.074 109.0887
18.676759 -0.212 104.7952
19.042970 -0.416 101.0412
19.409181 -0.643 97.7278
19.775392 -0.886 95.0704
20.141603 -1.085 92.7853
20.507814 -1.269 90.7661
20.874025 -1.423 88.8608
21.240236 -1.579 87.1292
21.606447 -1.713 85.4793
21.972658 -1.858 83.9567
22.338869 -1.992 82.5071
22.705080 -2.157 81.2256
23.071291 -2.313 80.2433
23.437502 -2.470 79.5700
23.803713 -2.582 79.1492
24.169924 -2.673 78.8583
24.536135 -2.720 78.6423
24.902346 -2.760 78.4476
25.268557 -2.759 78.3373
25.634768 -2.746 78.1524
26.000979 -2.708 77.9455
26.367190 -2.679 77.6568
26.733401 -2.641 77.4400
27.099612 -2.613 77.2976
27.465823 -2.556 77.3488
27.832033 -2.485 77.4333
28.198244 -2.372 77.6773
28.564455 -2.219 77.8600
28.930666 -2.018 77.9583
29.296877 -1.787 77.8161
29.663088 -1.521 77.4581
30.029299 -1.246 76.7130
30.395510 -0.968 75.6993
30.761721 -0.704 74.3246
31.127932 -0.459 72.7087
31.494143 -0.245 70.7519
31.860354 -0.087 68.5253
32.226565 -0.018 66.2578
32.592776 -0.003 64.3535
32.958987 -0.000 62.6854
33.325198 -0.000 61.2300
33.691409 0.000 59.8520
34.057620 -0.000 58.5966
34.423831 0.000 57.3727
34.790042 -0.000 56.2402
35.156253 0.000 55.1202
35.522464 -0.000 54.0752
35.888675 0.001 53.0334
36.254886 -0.001 52.0550
36.621097 0.001 51.0752
36.987308 -0.001 50.1504
37.353519 0.001 49.2221
37.719730 -0.001 48.3416
38.085941 0.001 47.4572
38.452152 -0.001 46.6135
38.818363 0.001 45.7664
39.184573 -0.001 44.9540
39.550784 0.001 44.1398
39.916995 -0.001 43.3550
40.283206 0.001 42.5695
40.649417 -0.001 41.8083
41.015628 0.001 41.0479
41.381839 -0.001 40.3081
41.748050 0.001 39.5698
42.114261 -0.001 38.8484
42.480472 0.001 38.1295
42.846683 -0.001 37.4252
43.212894 0.001 36.7228
43.579105 -0.001 36.0334
43.945316 0.001 35.3458
44.311527 -0.001 34.6693
44.677738 0.001 33.9944
45.043949 -0.001 33.3295
45.410160 0.001 32.6654
45.776371 -0.001 32.0101
46.142582 0.001 31.3556
46.508793 -0.001 30.7081
46.875004 0.001 30.0618
47.241215 -0.001 29.4204
47.607426 0.001 28.7806
47.973637 -0.001 28.1441
48.339848 0.001 27.5092
48.706059 -0.001 26.8759
49.072270 0.001 26.2443
49.438481 -0.000 25.6127
49.804692 0.000 24.9829
50.170902 -0.000 24.3513
50.537113 0.000 23.7216
50.903324 -0.000 23.0885
51.269535 0.000 22.4568
51.635746 -0.000 21.8206
52.001957 0.000 21.1848
52.368168 -0.000 20.5437
52.734379 0.000 19.9012
53.100590 -0.000 19.2533
53.466801 0.000 18.6016
53.833012 -0.000 17.9441
54.199223 0.000 17.2807
54.565434 -0.000 16.6100
54.931645 0.000 15.9323
55.297856 -0.000 15.2436
55.664067 0.000 14.5482
56.030278 -0.000 13.8363
56.396489 0.000 13.1179
56.762700 -0.000 12.3772
57.128911 0.000 11.6270
57.495122 -0.000 10.8503
57.861333 0.000 10.0557
58.227544 -0.000 9.2290
58.593755 0.000 8.3716
58.959966 -0.002 7.4641
59.326177 -0.004 6.5066
59.692388 -0.013 5.4705
60.058599 -0.031 4.3787
60.424810 -0.065 3.2473
60.791021 -0.111 2.1240
61.157232 -0.168 1.0150
61.523442 -0.231 -0.0682
61.889653 -0.300 -1.1479
62.255864 -0.373 -2.2153
62.622075 -0.450 -3.3006
62.988286 -0.530 -4.4146
63.354497 -0.616 -5.6036
63.720708 -0.715 -6.8971
64.086919 -0.843 -8.3328
64.453130 -1.021 -9.8184
64.819341 -1.264 -11.1566
65.185552 -1.551 -12.0895
65.551763 -1.848 -12.5662
65.917974 -2.127 -12.6301
66.284185 -2.372 -12.4185
66.650396 -2.579 -12.0179
67.016607 -2.749 -11.5320
67.382818 -2.884 -11.0003
67.749029 -2.986 -10.4915
68.115240 -3.060 -10.0241
68.481451 -3.110 -9.6475
68.847662 -3.139 -9.3647
69.213873 -3.152 -9.2157
69.580084 -3.153 -9.1990
69.946295 -3.146 -9.3451
70.312506 -3.138 -9.6415
70.678717 -3.133 -10.1068
71.044928 -3.136 -10.7203
71.411139 -3.152 -11.4877
71.777350 -3.186 -12.3741
72.143561 -3.243 -13.3721
72.509771 -3.326 -14.4347
72.875982 -3.438 -15.5426
73.242193 -3.580 -16.6417
73.608404 -3.751 -17.7080
73.974615 -3.952 -18.6878
74.340826 -4.179 -19.5608
74.707037 -4.430 -20.2803
75.073248 -4.699 -20.8373
75.439459 -4.984 -21.1988
75.805670 -5.277 -21.3685
76.171881 -5.575 -21.3276
76.538092 -5.872 -21.0923
76.904303 -6.166 -20.6526
77.270514 -6.451 -20.0347
77.636725 -6.725 -19.2350
78.002936 -6.985 -18.2844
78.369147 -7.229 -17.1819
78.735358 -7.454 -15.9602
79.101569 -7.661 -14.6182
79.467780 -7.846 -13.1894
79.833991 -8.010 -11.6718
80.200202 -8.151 -10.0982
80.566413 -8.271 -8.4646
80.932624 -8.367 -6.8027
81.298835 -8.442 -5.1068
81.665046 -8.494 -3.4075
82.031257 -8.523 -1.6982
82.397468 -8.531 -0.0087
82.763679 -8.517 1.6687
83.129890 -8.481 3.3052
83.496101 -8.425 4.9087
83.862311 -8.348 6.4513
84.228522 -8.251 7.9402
84.594733 -8.134 9.3483
84.960944 -7.999 10.6813
85.327155 -7.846 11.9128
85.693366 -7.676 13.0478
86.059577 -7.490 14.0599
86.425788 -7.289 14.9528
86.791999 -7.073 15.6999
87.158210 -6.846 16.3031
87.524421 -6.609 16.7373
87.890632 -6.364 17.0048
88.256843 -6.114 17.0837
88.623054 -5.862 16.9780
88.989265 -5.610 16.6703
89.355476 -5.363 16.1680
89.721687 -5.125 15.4620
90.087898 -4.900 14.5673
90.454109 -4.690 13.4854
90.820320 -4.502 12.2399
91.186531 -4.337 10.8427
91.552742 -4.198 9.3243
91.918953 -4.087 7.7040
92.285164 -4.006 6.0159
92.651375 -3.955 4.2821
93.017586 -3.934 2.5358
93.383797 -3.940 0.7972
93.750008 -3.975 -0.9067
94.116219 -4.033 -2.5610
94.482430 -4.114 -4.1478
94.848641 -4.215 -5.6589
95.214851 -4.334 -7.0851
95.581062 -4.467 -8.4237
95.947273 -4.614 -9.6713
96.313484 -4.771 -10.8289
96.679695 -4.938 -11.8968
97.045906 -5.113 -12.8782
97.412117 -5.294 -13.7762
97.778328 -5.481 -14.5941
98.144539 -5.673 -15.3362
98.510750 -5.869 -16.0043
98.876961 -6.069 -16.6021
99.243172 -6.273 -17.1301
99.609383 -6.479 -17.5914
99.975594 -6.688 -17.9864
100.341805 -6.900 -18.3175
100.708016 -7.113 -18.5850
101.074227 -7.328 -18.7909
101.440438 -7.545 -18.9341
101.806649 -7.763 -19.0156
102.172860 -7.982 -19.0338
102.539071 -8.203 -18.9894
102.905282 -8.423 -18.8813
103.271493 -8.643 -18.7101
103.637704 -8.863 -18.4757
104.003915 -9.083 -18.1788
104.370126 -9.300 -17.8193
104.736337 -9.517 -17.3976
105.102548 -9.731 -16.9142
105.468759 -9.943 -16.3690
105.834970 -10.151 -15.7639
106.201180 -10.357 -15.0993
106.567391 -10.558 -14.3774
106.933602 -10.756 -13.5999
107.299813 -10.948 -12.7682
107.666024 -11.137 -11.8840
108.032235 -11.319 -10.9487
108.398446 -11.497 -9.9647
108.764657 -11.668 -8.9323
109.130868 -11.834 -7.8558
109.497079 -11.992 -6.7349
109.863290 -12.145 -5.5750
110.229501 -12.290 -4.3750
110.595712 -12.428 -3.1403
110.961923 -12.559 -1.8689
111.328134 -12.683 -0.5667
111.694345 -12.799 0.7694
112.060556 -12.908 2.1326
112.426767 -13.008 3.5244
112.792978 -13.099 4.9388
113.159189 -13.182 6.3729
113.525400 -13.256 7.8226
113.891611 -13.320 9.2833
114.257822 -13.377 10.7509
114.624033 -13.424 12.2242
114.990244 -13.464 13.6992
115.356455 -13.495 15.1753
115.722666 -13.519 16.6494
116.088877 -13.534 18.1206
116.455088 -13.542 19.5862
116.821299 -13.542 21.0450
117.187510 -13.535 22.4950
117.553720 -13.521 23.9344
117.919931 -13.499 25.3622
118.286142 -13.470 26.7767
118.652353 -13.435 28.1761
119.018564 -13.392 29.5586
119.384775 -13.343 30.9226
119.750986 -13.287 32.2669
120.117197 -13.225 33.5884
120.483408 -13.157 34.8879
120.849619 -13.084 36.1623
121.215830 -13.004 37.4118
121.582041 -12.919 38.6348
121.948252 -12.829 39.8300
122.314463 -12.734 40.9972
122.680674 -12.634 42.1339
123.046885 -12.529 43.2408
123.413096 -12.420 44.3153
123.779307 -12.307 45.3575
124.145518 -12.190 46.3672
124.511729 -12.069 47.3423
124.877940 -11.945 48.2845
125.244151 -11.817 49.1916
125.610362 -11.686 50.0640
125.976573 -11.553 50.9013
126.342784 -11.417 51.7020
126.708995 -11.278 52.4672
127.075206 -11.137 53.1946
127.441417 -10.994 53.8850
127.807628 -10.849 54.5383
128.173839 -10.703 55.1528
128.540049 -10.556 55.7306
128.906260 -10.407 56.2693
129.272471 -10.257 56.7700
129.638682 -10.107 57.2323
130.004893 -9.956 57.6544
130.371104 -9.805 58.0386
130.737315 -9.654 58.3819
131.103526 -9.504 58.6855
131.469737 -9.354 58.9506
131.835948 -9.205 59.1740
132.202159 -9.057 59.3598
132.568370 -8.911 59.5061
132.934581 -8.767 59.6128
133.300792 -8.624 59.6836
133.667003 -8.485 59.7149
134.033214 -8.349 59.7106
134.399425 -8.215 59.6720
134.765636 -8.085 59.5968
135.131847 -7.960 59.4917
135.498058 -7.838 59.3551
135.864269 -7.722 59.1891
136.230480 -7.610 58.9992
136.596691 -7.503 58.7841
136.962902 -7.402 58.5486
137.329113 -7.306 58.2961
137.695324 -7.217 58.0274
138.061535 -7.133 57.7474
138.427746 -7.054 57.4591
138.793957 -6.982 57.1646
139.160168 -6.916 56.8681
139.526379 -6.856 56.5732
139.892589 -6.801 56.2822
140.258800 -6.752 55.9981
140.625011 -6.709 55.7261
140.991222 -6.670 55.4661
