* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:3,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -29.1 dBFS, measurement signal peak level -15.4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 10, 2026, 4:36:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; L -12dBFS OKTO@-29dB mic - speakers 3.44m mic - front wall 4.31 MIC centered Screen panels prolong the 1.75 half wall 3 left screen panels Foam panels moved back into the room Delay -0.0036 ms (-1.2 mm, -0.05 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO R with no timing offset Clock adjustment: -14.9 ppm
* Measurement: L 120.Rscreen.3L
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
15.014648	68.722	-160.3519
15.380859	69.979	-160.5374
15.747070	71.496	-164.5645
16.113281	71.675	-167.3990
16.479492	72.059	-168.3869
16.845703	72.503	-178.4062
17.211914	71.949	172.0074
17.578125	72.013	174.1108
17.944336	73.431	173.8501
18.310547	74.143	167.7017
18.676758	74.287	162.0765
19.042968	74.658	156.6227
19.409179	75.194	151.2481
19.775390	75.618	146.7441
20.141601	75.638	142.6183
20.507812	75.303	138.2302
20.874023	74.811	132.8622
21.240234	74.571	130.2946
21.606445	75.545	129.9196
21.972656	76.785	124.4634
22.338867	76.959	118.7948
22.705077	76.928	118.3922
23.071288	77.660	115.9257
23.437499	78.355	107.4836
23.803710	78.632	96.9478
24.169921	78.478	86.7182
24.536132	77.979	78.7130
24.902343	77.406	72.4672
25.268554	76.480	67.2520
25.634765	75.442	67.1961
26.000976	75.294	66.6877
26.367187	74.734	60.1635
26.733397	73.521	59.8600
27.099608	73.801	63.2621
27.465819	73.953	59.6688
27.832030	73.441	62.5201
28.198241	74.433	64.4315
28.564452	74.887	54.1767
28.930663	73.939	44.2934
29.296874	72.973	37.5162
29.663085	71.349	26.9883
30.029296	67.527	25.9086
30.395507	65.590	54.1546
30.761717	67.454	72.4288
31.127928	69.526	83.2043
31.494139	71.611	85.6292
31.860350	72.597	83.1639
32.226561	73.068	81.0776
32.592772	73.704	78.1812
32.958983	74.536	74.0878
33.325194	75.280	69.2676
33.691405	75.625	65.4583
34.057616	75.888	62.8537
34.423827	76.198	58.4185
34.790037	76.436	53.2560
35.156248	76.925	48.2699
35.522459	77.372	41.1023
35.888670	77.276	33.2088
36.254881	76.892	26.0896
36.621092	76.363	18.8042
36.987303	75.561	13.4658
37.353514	74.747	11.3915
37.719725	73.857	10.0723
38.085936	72.825	9.4824
38.452147	72.058	8.3491
38.818357	71.525	7.3906
39.184568	71.571	8.1818
39.550779	71.484	5.9354
39.916990	70.125	6.9432
40.283201	69.393	15.8295
40.649412	69.658	15.8611
41.015623	69.201	12.8138
41.381834	69.078	13.9895
41.748045	68.856	13.9117
42.114256	68.194	19.7157
42.480467	68.714	24.5114
42.846677	68.792	22.2604
43.212888	68.575	26.2382
43.579099	69.145	31.9507
43.945310	69.395	39.6534
44.311521	70.619	47.5981
44.677732	71.429	42.5469
45.043943	70.539	36.7653
45.410154	70.296	38.0555
45.776365	70.909	32.2251
46.142576	69.930	26.1774
46.508786	68.455	37.5739
46.874997	69.626	54.2675
47.241208	71.498	59.7404
