* Measurement data measured by REW V5.40 beta 132
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Aug 11, 2026, 4:04:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 71.2 dB
* Note: ; Trace Arithmetic A times B A = L 120.Rscreen.orig B = FLX 
* Measurement: L-filtered.diff
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 39.896 158.5042
2.563477 38.512 -39.7564
2.929687 36.420 159.2461
3.295898 39.936 -21.9950
3.662109 39.133 137.5401
4.028320 36.189 -27.2164
4.394531 39.949 157.6965
4.760742 39.824 -44.4980
5.126953 36.147 144.9068
5.493164 39.900 -22.5252
5.859375 40.558 134.2185
6.225586 36.432 -44.1229
6.591797 39.756 157.1143
6.958007 41.303 -46.3086
7.324218 37.147 126.6209
7.690429 39.483 -23.7484
8.056640 42.030 133.8200
8.422851 38.273 -61.6606
8.789062 39.055 154.3368
9.155273 42.714 -45.5786
9.521484 39.681 111.7340
9.887695 38.453 -29.4057
10.253906 43.110 131.9228
10.620117 40.584 -78.1154
10.986327 36.662 138.5403
11.352538 42.612 -49.8518
11.718749 41.179 96.1097
12.084960 34.611 -52.1707
12.451171 42.438 130.9408
12.817382 42.118 -90.0907
13.183593 30.318 109.5390
13.549804 42.809 -45.9297
13.916015 44.324 73.7241
14.282226 39.195 137.6727
14.648436 46.687 -179.5532
15.014647 65.287 -153.4641
15.380858 69.782 170.8027
15.747069 69.798 171.3984
16.113280 70.438 167.6301
16.479491 69.557 -173.9700
16.845702 71.317 174.8928
17.211913 69.578 167.8130
17.578124 70.994 157.6562
17.944335 70.969 155.5333
18.310546 72.165 148.7664
18.676756 70.889 156.7213
19.042967 73.227 136.8628
19.409178 69.355 121.2460
19.775389 75.128 125.6318
20.141600 73.673 91.8231
20.507811 73.115 139.8213
20.874022 74.089 115.9813
21.240233 70.219 153.4082
21.606444 73.225 135.4099
21.972655 71.114 131.7554
22.338866 73.555 122.8853
22.705076 73.268 117.9172
23.071287 74.312 114.7729
23.437498 74.173 111.6717
23.803709 74.948 101.4709
24.169920 73.786 96.1050
24.536131 74.405 95.4783
24.902342 73.719 90.5485
25.268553 73.476 85.8409
25.634764 71.894 83.0002
26.000975 72.660 86.7247
26.367186 72.860 81.4781
26.733396 72.550 76.9756
27.099607 71.048 80.0711
27.465818 72.460 82.5385
27.832029 72.516 76.6616
28.198240 73.569 80.0555
28.564451 74.525 74.6801
28.930662 74.285 61.9932
29.296873 70.586 47.3065
29.663084 66.115 80.3165
30.029295 72.645 100.6140
