* Measurement data measured by REW V5.40 beta 132
* Source: Vector average
* Format: Vector average
* Dated: Aug 11, 2026, 4:06:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 71.2 dB
* Note: ; Vector average of L-filtered, R-filtered
* Measurement: LR.filtered.diff
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
2.197266 37.171 148.2085
2.563477 36.870 -20.4562
2.929687 38.648 155.7767
3.295898 37.876 -35.3743
3.662109 36.541 153.8830
4.028320 38.611 -23.5531
4.394531 38.633 142.7876
4.760742 36.542 -33.4240
5.126953 38.411 156.5486
5.493164 39.349 -37.6256
5.859375 36.993 138.8039
6.225586 38.059 -24.4916
6.591797 39.974 142.9856
6.958007 37.870 -47.9941
7.324218 37.589 152.5831
7.690429 40.478 -35.7436
8.056640 39.033 127.0313
8.422851 37.094 -33.1530
8.789062 40.845 145.8915
9.155273 40.339 -56.0503
9.521484 36.769 137.3280
9.887695 41.052 -32.2844
10.253906 41.472 119.0702
10.620117 36.302 -61.2043
10.986327 40.038 144.3314
11.352538 41.810 -63.9099
11.718749 36.373 100.0752
12.084960 38.690 -32.4888
12.451171 42.591 116.9105
12.817382 38.064 -100.4800
13.183593 36.013 160.7693
13.549804 44.023 -58.7131
13.916015 42.891 55.0226
14.282226 39.283 95.0565
14.648436 47.542 162.5145
15.014647 65.492 -155.0210
15.380858 70.089 171.8999
15.747069 69.202 174.5507
16.113280 70.247 175.6746
16.479491 69.953 -175.1340
16.845702 71.233 172.2133
17.211913 69.871 167.6633
17.578124 71.458 157.8826
17.944335 70.680 155.4073
18.310546 72.435 148.0927
18.676756 70.442 143.3104
19.042967 72.635 134.7531
19.409178 69.067 114.5909
19.775389 72.855 138.4221
20.141600 73.067 111.4069
20.507811 72.534 137.1956
20.874022 73.775 118.3772
21.240233 70.253 134.3083
21.606444 72.860 128.1646
21.972655 71.960 122.9454
22.338866 73.449 117.1331
22.705076 73.124 114.9982
23.071287 74.143 111.6351
23.437498 73.877 107.2144
23.803709 74.606 99.0347
24.169920 73.768 91.5389
24.536131 73.933 89.8884
24.902342 73.339 86.5403
25.268553 73.337 83.1981
25.634764 72.154 79.5649
26.000975 72.548 81.9589
26.367186 72.676 78.0389
26.733396 72.772 74.7192
27.099607 71.888 74.4005
27.465818 72.770 76.3638
27.832029 72.964 70.7903
28.198240 73.475 70.2018
28.564451 73.860 66.3903
28.930662 74.105 58.7235
29.296873 72.355 47.6527
29.663084 70.067 55.9910
30.029295 71.590 72.0757
30.395506 74.744 61.2958
30.761716 74.033 35.7292
31.127927 69.027 28.1206
