* Measurement data measured by REW V5.40 beta 121
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Aug 12, 2026, 3:13:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = L 120.Rscreen B = X801 
* Measurement: LX
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 61.018 -140.6631
15.380859 68.718 -156.3005
15.747070 70.766 -165.9213
16.113281 70.981 -164.9526
16.479492 71.419 -164.3950
16.845703 71.547 -169.1932
17.211914 71.747 -173.5190
17.578125 72.391 -178.2556
17.944336 72.855 176.5588
18.310547 73.263 172.0267
18.676758 73.878 165.4865
19.042968 74.595 157.6432
19.409179 75.492 150.8574
19.775390 76.355 145.0244
20.141601 76.833 140.7319
20.507812 76.965 138.2875
20.874023 76.820 136.6883
21.240234 76.492 135.8990
21.606445 76.265 135.1324
21.972656 76.201 132.8792
22.338867 76.293 129.3928
22.705077 76.571 124.7875
23.071288 76.865 119.3899
23.437499 77.075 114.1172
23.803710 77.191 108.7699
24.169921 77.130 103.2920
24.536132 76.940 98.2182
24.902343 76.681 93.4047
25.268554 76.307 89.0500
25.634765 75.888 85.4960
26.000976 75.478 82.2508
26.367187 75.067 79.4869
26.733397 74.745 77.4180
27.099608 74.493 75.5598
27.465819 74.238 74.1533
27.832030 74.022 72.9842
28.198241 73.770 71.6635
28.564452 73.463 70.7964
28.930663 73.160 70.2639
29.296874 72.795 70.0004
29.663085 72.427 70.3589
30.029296 72.115 70.7456
30.395507 71.816 71.4061
30.761717 71.637 72.7495
31.127928 71.587 74.3001
31.494139 71.658 76.2550
31.860350 71.943 77.9325
32.226561 72.352 78.5632
32.592772 72.846 78.4079
32.958983 73.393 77.1334
33.325194 73.879 74.9017
33.691405 74.314 72.0952
34.057616 74.701 68.5078
34.423827 74.998 64.5154
34.790037 75.245 60.4304
35.156248 75.417 56.1241
35.522459 75.475 51.9406
35.888670 75.467 47.9477
36.254881 75.372 44.0494
36.621092 75.185 40.6551
36.987303 74.940 37.7603
37.353514 74.601 35.2704
37.719725 74.184 33.4439
38.085936 73.736 32.0343
38.452147 73.227 31.0474
38.818357 72.699 30.7110
39.184568 72.167 30.6223
39.550779 71.604 30.8932
39.916990 71.084 31.5647
40.283201 70.601 32.3094
40.649412 70.146 33.6010
41.015623 69.786 35.2938
41.381834 69.461 37.1690
41.748045 69.207 39.5766
42.114256 69.069 41.9806
42.480467 68.981 44.4955
42.846677 69.004 47.2618
43.212888 69.093 49.7062
43.579099 69.203 52.1593
43.945310 69.398 54.4046
44.311521 69.620 56.2671
44.677732 69.891 58.2485
45.043943 70.241 60.0076
45.410154 70.613 61.6109
45.776365 71.065 63.1456
46.142576 71.587 64.1349
46.508786 72.147 64.7693
46.874997 72.773 64.9138
47.241208 73.404 64.3105
47.607419 74.019 63.1690
47.973630 74.628 61.3115
48.339841 75.189 58.7802
48.706052 75.709 55.8430
49.072263 76.189 52.4077
49.438474 76.597 48.6105
49.804685 76.955 44.5978
50.170896 77.263 40.2884
50.537106 77.505 35.8730
50.903317 77.700 31.4351
51.269528 77.836 26.8865
51.635739 77.908 22.3697
52.001950 77.940 17.8796
52.368161 77.923 13.3718
52.734372 77.857 9.0072
53.100583 77.765 4.7180
53.466794 77.630 0.4570
53.833005 77.469 -3.6553
54.199216 77.300 -7.7227
54.565426 77.106 -11.7292
54.931637 76.901 -15.5959
55.297848 76.693 -19.4980
55.664059 76.467 -23.3998
56.030270 76.249 -27.2579
56.396481 76.033 -31.2211
56.762692 75.802 -35.1912
57.128903 75.578 -39.2042
57.495114 75.348 -43.4067
57.861325 75.104 -47.6514
58.227536 74.862 -52.0026
58.593746 74.594 -56.5588
58.959957 74.293 -61.2066
59.326168 73.974 -66.1317
59.692379 73.605 -71.4146
60.058590 73.194 -76.9608
60.424801 72.747 -83.0372
60.791012 72.237 -89.7452
61.157223 71.695 -97.0950
61.523434 71.151 -105.4062
61.889645 70.602 -114.6401
62.255856 70.110 -124.6713
62.622066 69.715 -135.6508
62.988277 69.425 -147.2122
63.354488 69.294 -158.8573
63.720699 69.307 -170.4354
64.086910 69.398 178.4828
64.453121 69.565 168.1309
64.819332 69.770 158.3112
65.185543 69.957 149.1946
65.551754 70.135 140.8148
65.917965 70.278 132.8519
66.284176 70.358 125.3921
66.650386 70.407 118.4161
67.016597 70.406 111.6981
67.382808 70.336 105.4124
67.749019 70.224 99.4813
68.115230 70.051 93.6802
68.481441 69.809 88.2200
68.847652 69.531 83.0079
69.213863 69.177 77.9115
69.580074 68.745 73.1548
69.946285 68.257 68.5193
70.312495 67.665 63.9456
70.678706 66.977 59.7321
71.044917 66.190 55.6188
71.411128 65.216 51.6748
71.777339 64.054 48.1801
72.143550 62.646 44.7825
72.509761 60.807 42.0004
72.875972 58.399 40.6564
73.242183 54.877 41.6530
73.608394 48.745 54.9244
73.974605 44.618 136.3503
74.340815 52.665 174.5179
74.707026 57.612 179.2313
75.073237 60.845 178.7744
75.439448 63.304 177.0554
75.805659 65.285 174.3957
76.171870 66.912 171.4753
76.538081 68.337 168.4108
76.904292 69.589 165.0626
77.270503 70.695 161.7411
77.636714 71.710 158.3687
78.002925 72.623 154.8554
78.369135 73.453 151.3640
78.735346 74.228 147.7783
79.101557 74.932 144.1072
79.467768 75.580 140.4617
79.833979 76.181 136.7224
80.200190 76.721 132.9272
80.566401 77.219 129.1343
80.932612 77.675 125.2633
81.298823 78.079 121.3952
81.665034 78.446 117.5471
82.031245 78.771 113.6541
82.397455 79.052 109.8005
82.763666 79.303 105.9816
83.129877 79.515 102.1712
83.496088 79.688 98.4497
83.862299 79.835 94.7750
84.228510 79.945 91.1391
84.594721 80.027 87.6107
84.960932 80.086 84.1387
85.327143 80.113 80.7413
85.693354 80.116 77.4547
86.059565 80.099 74.2122
86.425775 80.056 71.0560
86.791986 79.995 68.0046
87.158197 79.915 65.0009
87.524408 79.813 62.0998
87.890619 79.697 59.2827
88.256830 79.563 56.5120
88.623041 79.410 53.8622
88.989252 79.247 51.2954
89.355463 79.062 48.8018
89.721674 78.862 46.4440
90.087885 78.649 44.1622
90.454095 78.417 41.9916
90.820306 78.172 39.9860
91.186517 77.913 38.0778
91.552728 77.631 36.3302
91.918939 77.341 34.7571
92.285150 77.036 33.3072
92.651361 76.715 32.0833
93.017572 76.391 31.0568
93.383783 76.051 30.2008
93.749994 75.704 29.6133
94.116205 75.361 29.2183
94.482415 75.011 29.0521
94.848626 74.670 29.1879
95.214837 74.340 29.5105
95.581048 74.014 30.0958
95.947259 73.717 30.9329
96.313470 73.441 31.9178
96.679681 73.190 33.1644
97.045892 72.980 34.5585
97.412103 72.795 36.0385
97.778314 72.651 37.6737
98.144524 72.551 39.2847
98.510735 72.478 40.9163
98.876946 72.451 42.5694
99.243157 72.453 44.0799
99.609368 72.475 45.5540
99.975579 72.533 46.9036
100.341790 72.603 48.0740
100.708001 72.689 49.1976
101.074212 72.794 50.1467
101.440423 72.893 50.9675
101.806634 73.003 51.7276
102.172844 73.117 52.3119
102.539055 73.223 52.8543
102.905266 73.337 53.3521
103.271477 73.444 53.7405
103.637688 73.545 54.1536
104.003899 73.655 54.5116
104.370110 73.757 54.8292
104.736321 73.864 55.2101
105.102532 73.978 55.5408
105.468743 74.089 55.8850
105.834954 74.214 56.2559
106.201164 74.349 56.5496
106.567375 74.489 56.8655
106.933586 74.650 57.1456
107.299797 74.815 57.3298
107.666008 74.990 57.4941
108.032219 75.181 57.5312
108.398430 75.373 57.4554
108.764641 75.576 57.3157
109.130852 75.782 57.0112
109.497063 75.983 56.6036
109.863274 76.188 56.0883
110.229484 76.386 55.4061
110.595695 76.575 54.6511
110.961906 76.760 53.7874
111.328117 76.930 52.8019
111.694328 77.088 51.7719
112.060539 77.236 50.6381
112.426750 77.366 49.4391
112.792961 77.484 48.2288
113.159172 77.589 46.9468
113.525383 77.673 45.6555
113.891594 77.748 44.3636
114.257804 77.806 43.0319
114.624015 77.849 41.7416
114.990226 77.884 40.4669
115.356437 77.900 39.1930
115.722648 77.906 37.9866
116.088859 77.904 36.7953
116.455070 77.888 35.6448
116.821281 77.867 34.5803
117.187492 77.839 33.5377
117.553703 77.799 32.5642
117.919914 77.759 31.6641
118.286124 77.715 30.7876
118.652335 77.665 30.0031
119.018546 77.619 29.2744
119.384757 77.569 28.5735
119.750968 77.518 27.9570
120.117179 77.474 27.3604
120.483390 77.426 26.7993
120.849601 77.384 26.3071
121.215812 77.345 25.8068
121.582023 77.305 25.3408
121.948233 77.274 24.9026
122.314444 77.244 24.4378
122.680655 77.213 24.0125
123.046866 77.191 23.5814
123.413077 77.165 23.1210
123.779288 77.141 22.6884
124.145499 77.122 22.2189
124.511710 77.099 21.7390
124.877921 77.077 21.2822
125.244132 77.056 20.7785
125.610343 77.028 20.2837
125.976553 77.004 19.7935
126.342764 76.975 19.2667
126.708975 76.942 18.7781
127.075186 76.912 18.2853
127.441397 76.873 17.7781
127.807608 76.832 17.3187
128.173819 76.794 16.8456
128.540030 76.747 16.3960
128.906241 76.703 16.0009
129.272452 76.658 15.5929
129.638663 76.605 15.2335
130.004873 76.560 14.9117
130.371084 76.513 14.5886
130.737295 76.465 14.3374
131.103506 76.424 14.1041
131.469717 76.380 13.8808
131.835928 76.341 13.7211
132.202139 76.309 13.5535
132.568350 76.276 13.4158
132.934561 76.252 13.3233
133.300772 76.232 13.2025
133.666983 76.213 13.1141
134.033193 76.205 13.0302
134.399404 76.199 12.9137
134.765615 76.197 12.8316
135.131826 76.205 12.7173
135.498037 76.211 12.5717
135.864248 76.223 12.4388
136.230459 76.242 12.2460
136.596670 76.258 12.0403
136.962881 76.281 11.8264
137.329092 76.304 11.5410
137.695303 76.325 11.2502
138.061513 76.352 10.9216
138.427724 76.376 10.5334
138.793935 76.398 10.1512
139.160146 76.424 9.7110
139.526357 76.441 9.2281
139.892568 76.460 8.7429
140.258779 76.478 8.1920
140.624990 76.487 7.6298
140.991201 76.498 7.0573
141.357412 76.503 6.4230
141.723623 76.501 5.7956
142.089833 76.500 5.1431
142.456044 76.490 4.4534
142.822255 76.474 3.7903
143.188466 76.457 3.0931
143.554677 76.429 2.3845
143.920888 76.399 1.7035
144.287099 76.364 0.9911
144.653310 76.320 0.3054
145.019521 76.274 -0.3548
145.385732 76.221 -1.0369
145.751942 76.162 -1.6696
146.118153 76.102 -2.2868
146.484364 76.034 -2.8979
146.850575 75.962 -3.4398
147.216786 75.891 -3.9775
147.582997 75.809 -4.4853
147.949208 75.731 -4.9269
148.315419 75.652 -5.3669
148.681630 75.567 -5.7450
149.047841 75.487 -6.0718
149.414052 75.405 -6.3989
149.780262 75.322 -6.6536
150.146473 75.246 -6.8833
150.512684 75.168 -7.0979
150.878895 75.094 -7.2394
151.245106 75.027 -7.3874
151.611317 74.958 -7.5117
151.977528 74.898 -7.5873
152.343739 74.843 -7.6877
152.709950 74.788 -7.7484
153.076161 74.744 -7.7968
153.442372 74.702 -7.8831
153.808582 74.662 -7.9340
154.174793 74.633 -8.0112
154.541004 74.604 -8.1149
154.907215 74.580 -8.1937
155.273426 74.563 -8.3330
155.639637 74.543 -8.4890
156.005848 74.532 -8.6472
156.372059 74.523 -8.8749
156.738270 74.510 -9.0992
157.104481 74.505 -9.3558
157.470692 74.496 -9.6804
157.836902 74.486 -9.9971
158.203113 74.481 -10.3698
158.569324 74.469 -10.7828
158.935535 74.457 -11.1885
159.301746 74.447 -11.6669
159.667957 74.427 -12.1622
160.034168 74.410 -12.6641
160.400379 74.388 -13.2306
160.766590 74.359 -13.7836
161.132801 74.332 -14.3626
161.499012 74.295 -14.9927
161.865222 74.255 -15.5969
162.231433 74.215 -16.2402
162.597644 74.163 -16.8995
162.963855 74.111 -17.5302
163.330066 74.054 -18.2114
163.696277 73.988 -18.8811
164.062488 73.922 -19.5327
164.428699 73.850 -20.2235
164.794910 73.769 -20.8721
165.161121 73.690 -21.5237
165.527332 73.600 -22.2005
165.893542 73.508 -22.8228
