* Measurement data measured by REW V5.40 beta 121
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Aug 12, 2026, 4:18:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 71.2 dB
* Note: ; Trace Arithmetic A times B A = L120 [FDW8] B = X801 
* Measurement: LX8
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 61.140 -140.0128
15.380859 68.758 -155.3852
15.747070 70.727 -165.3850
16.113281 70.873 -165.2767
16.479492 71.286 -165.7937
16.845703 71.451 -171.5092
17.211914 71.701 -176.1552
17.578125 72.378 179.1132
17.944336 72.855 173.6483
18.310547 73.267 168.7803
18.676758 73.872 162.5242
19.042968 74.480 155.8914
19.409179 75.141 150.9069
19.775390 75.750 146.6103
20.141601 76.088 143.0716
20.507812 76.292 140.4333
20.874023 76.408 137.7173
21.240234 76.397 135.3701
21.606445 76.393 133.2198
21.972656 76.370 130.2552
22.338867 76.333 126.8105
22.705077 76.398 122.7755
23.071288 76.476 118.1644
23.437499 76.517 113.7976
23.803710 76.540 109.3730
24.169921 76.458 104.7347
24.536132 76.320 100.4173
24.902343 76.173 96.2110
25.268554 75.941 92.3187
25.634765 75.670 89.0501
26.000976 75.389 85.8344
26.367187 75.068 82.8957
26.733397 74.795 80.5209
27.099608 74.543 78.3399
27.465819 74.250 76.7106
27.832030 73.986 75.4356
28.198241 73.709 74.0945
28.564452 73.426 73.2589
28.930663 73.197 72.7263
29.296874 72.938 72.3996
29.663085 72.690 72.6217
30.029296 72.506 72.7670
30.395507 72.342 73.0143
30.761717 72.293 73.6103
31.127928 72.330 73.9916
31.494139 72.401 74.4127
31.860350 72.576 74.5241
32.226561 72.794 73.9035
32.592772 73.052 73.0315
32.958983 73.365 71.6443
33.325194 73.639 69.7455
33.691405 73.890 67.6301
34.057616 74.130 64.9580
34.423827 74.310 62.0253
34.790037 74.471 59.1388
35.156248 74.583 56.0642
35.522459 74.605 53.1067
35.888670 74.595 50.2765
36.254881 74.530 47.3990
36.621092 74.403 44.8943
36.987303 74.249 42.6891
37.353514 74.018 40.6470
37.719725 73.731 39.0386
38.085936 73.432 37.6024
38.452147 73.079 36.4330
38.818357 72.715 35.8247
39.184568 72.341 35.4064
39.550779 71.922 35.3435
39.916990 71.534 35.6727
40.283201 71.165 36.0854
40.649412 70.806 37.0389
41.015623 70.518 38.3441
41.381834 70.241 39.7643
41.748045 70.015 41.6172
42.114256 69.884 43.4238
42.480467 69.793 45.3456
42.846677 69.800 47.5657
43.212888 69.873 49.5442
43.579099 69.974 51.5581
