* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:3,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -29.3 dBFS, measurement signal peak level -14.7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 10, 2026, 4:41:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; L -12dBFS OKTO@-29dB mic - speakers 3.44m mic - front wall 4.31 MIC centered Screen panels prolong the 1.75 half wall 3 left screen panels Foam panels moved back into the room Delay -0.0095 ms (-3.3 mm, -0.13 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO R with no timing offset Clock adjustment: -17.3 ppm
* Measurement: R 120.trad
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
15.014648	69.209	-154.1115
15.380859	69.453	-157.7764
15.747070	70.194	-161.9670
16.113281	70.982	-168.6708
16.479492	71.578	-174.7998
16.845703	72.145	178.5470
17.211914	72.247	171.7820
17.578125	72.289	169.8738
17.944336	73.128	168.0571
18.310547	73.780	161.5230
18.676758	73.884	156.0749
19.042968	74.293	151.9560
19.409179	74.699	145.3322
19.775390	74.627	140.3885
20.141601	74.748	138.1429
20.507812	74.931	133.0066
20.874023	74.575	127.6648
21.240234	74.460	126.6864
21.606445	75.098	125.4260
21.972656	75.657	122.1805
22.338867	75.981	119.7130
22.705077	76.408	117.1616
23.071288	77.032	112.8741
23.437499	77.719	106.1499
23.803710	78.020	97.7986
24.169921	77.733	90.7216
24.536132	77.313	85.5878
24.902343	77.027	79.3421
25.268554	76.576	72.5671
25.634765	76.014	69.5232
26.000976	75.787	70.4194
26.367187	75.924	70.8419
26.733397	76.024	68.4494
27.099608	75.993	65.2949
27.465819	76.264	62.9782
27.832030	76.768	59.2267
28.198241	76.947	54.9321
28.564452	77.173	51.3711
28.930663	77.645	43.3696
29.296874	77.471	31.3425
29.663085	76.478	23.3786
30.029296	75.661	21.1635
30.395507	74.958	17.5548
30.761717	73.825	15.4565
31.127928	73.483	16.9467
31.494139	73.733	15.2097
31.860350	73.646	15.0304
32.226561	73.916	15.8421
32.592772	73.843	10.6915
32.958983	72.853	5.9766
33.325194	72.359	5.8181
33.691405	72.422	3.5375
34.057616	72.053	3.1276
34.423827	72.156	5.6811
34.790037	72.508	2.0610
35.156248	72.226	-4.4473
35.522459	71.904	-8.7319
35.888670	71.730	-13.3698
36.254881	71.104	-18.0665
36.621092	70.285	-20.8551
36.987303	69.650	-24.4025
37.353514	68.857	-29.0127
37.719725	67.660	-31.1679
38.085936	66.224	-28.0381
38.452147	65.320	-20.8551
38.818357	65.001	-16.8009
39.184568	64.395	-12.2882
