* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:3,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -29.0 dBFS, measurement signal peak level -14.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 10, 2026, 4:22:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; L -12dBFS OKTO@-29dB mic - speakers 3.48m mic - front wall 4.34 MIC centered Screen panels prolong the 1.75 half wall LEFT Screen panels as traditional Foam panels moved back into the room Delay -0.0009 ms (-0.31 mm, -0.01 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO R with no timing offset Clock adjustment: -14.8 ppm
* Measurement: R.120.Rscreen
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 68.540 -161.6764
15.123451 68.758 -162.6772
15.233042 69.024 -163.5009
15.343426 69.293 -164.2380
15.454611 69.555 -164.9303
15.566602 69.811 -165.5345
15.679404 70.056 -166.1422
15.793023 70.284 -166.8329
15.907466 70.500 -167.5577
16.022738 70.701 -168.3587
16.138845 70.887 -169.3009
16.255794 71.061 -170.3740
16.373590 71.222 -171.5723
16.492240 71.372 -172.9117
16.611750 71.512 -174.4072
16.732125 71.644 -176.0404
16.853373 71.767 -177.7803
16.975500 71.884 -179.6434
17.098511 71.994 178.3804
17.222414 72.099 176.3428
17.347215 72.198 174.2283
17.472920 72.293 172.0420
17.599536 72.384 169.8376
17.727069 72.472 167.5927
17.855527 72.558 165.3223
17.984915 72.644 163.0791
18.115241 72.731 160.8382
18.246512 72.821 158.6266
18.378734 72.916 156.4910
18.511914 73.016 154.4115
18.646058 73.122 152.4119
18.781175 73.236 150.5161
18.917272 73.357 148.7126
19.054354 73.482 146.9966
19.192430 73.611 145.3735
19.331506 73.742 143.8281
19.471590 73.870 142.3304
19.612689 73.995 140.8837
19.754811 74.112 139.4665
19.897962 74.221 138.0556
20.042151 74.322 136.6533
20.187385 74.412 135.2525
20.333671 74.493 133.8412
20.481017 74.568 132.4288
20.629431 74.638 131.0193
20.778920 74.707 129.6079
20.929493 74.779 128.2073
21.081157 74.856 126.8198
21.233919 74.941 125.4379
21.387789 75.036 124.0676
21.542774 75.141 122.7010
21.698882 75.255 121.3121
21.856121 75.378 119.9123
22.014499 75.506 118.4565
22.174025 75.637 116.9470
22.334708 75.767 115.3607
22.496554 75.893 113.6699
22.659573 76.011 111.8828
22.823774 76.119 109.9763
22.989164 76.217 107.9527
23.155753 76.300 105.8328
23.323549 76.369 103.5952
23.492562 76.424 101.3053
23.662798 76.464 98.9355
23.834269 76.489 96.5602
24.006982 76.500 94.1729
24.180946 76.499 91.8209
24.356171 76.485 89.5244
24.532666 76.461 87.2951
24.710440 76.430 85.1608
24.889502 76.395 83.1110
25.069862 76.358 81.1593
25.251528 76.322 79.2889
25.434511 76.293 77.4906
25.618820 76.272 75.7484
25.804465 76.263 74.0358
25.991454 76.267 72.3380
26.179799 76.286 70.6212
26.369509 76.318 68.8711
26.560593 76.362 67.0559
26.753062 76.415 65.1644
26.946926 76.476 63.1725
27.142194 76.538 61.0780
27.338878 76.600 58.8642
27.536987 76.655 56.5468
27.736531 76.701 54.1122
27.937521 76.733 51.5977
28.139968 76.748 48.9930
28.343882 76.742 46.3478
28.549273 76.712 43.6617
28.756153 76.656 40.9738
28.964532 76.574 38.3047
29.174421 76.462 35.6673
29.385831 76.324 33.0988
29.598773 76.158 30.5950
29.813258 75.968 28.1864
30.029297 75.757 25.8658
30.246902 75.529 23.6467
30.466083 75.290 21.5187
30.686853 75.042 19.4863
30.909222 74.792 17.5312
31.133203 74.543 15.6536
31.358807 74.298 13.8391
31.586046 74.058 12.0786
31.814932 73.824 10.3728
32.045476 73.593 8.7086
32.277691 73.365 7.0896
32.511588 73.138 5.5137
32.747180 72.909 3.9767
32.984480 72.677 2.4794
33.223499 72.441 1.0174
33.464250 72.201 -0.4176
33.706746 71.957 -1.8290
33.950999 71.708 -3.2267
34.197022 71.455 -4.6198
34.444828 71.195 -6.0114
34.694429 70.927 -7.4094
34.945839 70.649 -8.8131
35.199071 70.356 -10.2107
35.454138 70.047 -11.5822
35.711054 69.719 -12.8956
35.969831 69.373 -14.1219
36.230483 69.008 -15.2228
36.493024 68.624 -16.1411
36.757467 68.226 -16.8288
37.023827 67.816 -17.2408
37.292117 67.404 -17.3369
37.562351 67.001 -17.1178
37.834543 66.621 -16.6096
38.108708 66.274 -15.8665
38.384859 65.973 -14.9957
38.663012 65.720 -14.1479
38.943180 65.512 -13.4514
39.225378 65.336 -13.0226
39.509622 65.175 -12.9554
39.795925 65.006 -13.2819
40.084302 64.807 -13.9689
40.374770 64.558 -14.9504
40.667342 64.246 -16.1249
40.962034 63.861 -17.3378
41.258862 63.405 -18.3765
41.557841 62.889 -19.0139
41.858986 62.342 -18.9900
42.162313 61.812 -18.0353
42.467839 61.375 -15.9548
42.775578 61.127 -12.8021
43.085548 61.151 -9.0145
43.397763 61.476 -5.3319
43.712242 62.062 -2.5126
44.028998 62.820 -1.0479
44.348051 63.657 -1.0977
44.669415 64.496 -2.6042
44.993108 65.287 -5.4270
45.319147 66.002 -9.4124
45.647548 66.629 -14.4302
45.978329 67.166 -20.3821
46.311507 67.617 -27.1932
46.647099 67.992 -34.8018
46.985123 68.301 -43.1476
47.325597 68.561 -52.1606
47.668537 68.785 -61.7493
48.013963 68.990 -71.7929
48.361892 69.186 -82.1409
48.712342 69.378 -92.6261
49.065332 69.564 -103.0879
49.420880 69.733 -113.3976
49.779004 69.868 -123.4835
50.139723 69.954 -133.3408
50.503056 69.977 -143.0227
50.869022 69.929 -152.6268
51.237640 69.813 -162.2657
51.608929 69.640 -172.0325
51.982909 69.431 178.0414
52.359598 69.210 168.0218
52.739018 69.000 158.0828
53.121186 68.812 148.4777
53.506124 68.644 139.4805
53.893852 68.480 131.3209
54.284389 68.303 124.1537
54.677756 68.094 118.0617
55.073973 67.841 113.0816
55.473062 67.540 109.2354
55.875043 67.199 106.5535
56.279936 66.836 105.0846
56.687764 66.484 104.8859
57.098547 66.189 105.9851
57.512306 66.014 108.3116
57.929064 66.024 111.6121
58.348842 66.269 115.4064
58.771662 66.761 119.0685
59.197546 67.465 122.0153
59.626515 68.318 123.8702
60.058594 69.249 124.5004
60.493803 70.201 123.9552
60.932166 71.132 122.3698
61.373706 72.012 119.9010
61.818445 72.825 116.7030
62.266407 73.561 112.9167
62.717615 74.214 108.6658
63.172093 74.784 104.0592
63.629864 75.269 99.2000
64.090952 75.671 94.1852
64.555381 75.990 89.0972
65.023176 76.228 84.0109
65.494361 76.387 79.0034
65.968960 76.470 74.1446
66.446998 76.480 69.4871
66.928501 76.419 65.0911
67.413492 76.292 61.0160
67.901998 76.105 57.3125
68.394044 75.863 54.0388
68.889655 75.574 51.2582
69.388858 75.247 49.0370
69.891679 74.894 47.4515
70.398142 74.531 46.5820
70.908276 74.182 46.5070
71.422107 73.881 47.2723
71.939661 73.668 48.8587
72.460965 73.589 51.1278
72.986047 73.682 53.7813
73.514934 73.966 56.4075
74.047654 74.431 58.5393
74.584234 75.036 59.8175
75.124702 75.731 60.0138
75.669086 76.461 59.0745
76.217416 77.183 57.0424
76.769719 77.864 54.0286
77.326024 78.477 50.1691
77.886360 79.008 45.6010
78.450757 79.445 40.4685
79.019243 79.780 34.8951
79.591849 80.009 29.0172
80.168605 80.129 22.9436
80.749539 80.139 16.7960
81.334684 80.041 10.6768
81.924068 79.835 4.6818
82.517724 79.526 -1.0932
83.115681 79.119 -6.5753
83.717972 78.618 -11.6908
84.324627 78.028 -16.3823
84.935678 77.355 -20.5978
85.551157 76.601 -24.2875
86.171096 75.768 -27.3945
86.795527 74.855 -29.8343
87.424483 73.861 -31.4767
88.057997 72.784 -32.1113
88.696102 71.635 -31.4099
89.338830 70.447 -28.9110
89.986216 69.304 -24.0922
90.638293 68.363 -16.6704
91.295096 67.829 -7.1948
91.956658 67.826 2.6620
92.623013 68.286 11.0098
93.294198 69.006 16.9470
93.970246 69.796 20.6117
94.651193 70.545 22.5664
95.337075 71.205 23.3887
96.027927 71.763 23.5414
96.723785 72.227 23.3672
97.424685 72.613 23.1096
98.130664 72.945 22.9332
98.841760 73.246 22.9363
99.558008 73.541 23.1531
100.279446 73.856 23.5549
101.006112 74.210 24.0554
101.738044 74.615 24.5253
102.475280 75.076 24.8187
103.217858 75.590 24.8005
103.965817 76.145 24.3688
104.719197 76.728 23.4628
105.478035 77.324 22.0607
106.242372 77.919 20.1689
107.012248 78.504 17.8110
107.787703 79.068 15.0186
108.568777 79.604 11.8260
109.355511 80.105 8.2687
110.147947 80.565 4.3811
110.946124 80.980 0.1974
111.750085 81.347 -4.2473
112.559873 81.660 -8.9180
113.375528 81.918 -13.7787
114.197094 82.116 -18.7918
115.024613 82.253 -23.9175
115.858129 82.326 -29.1151
116.697684 82.334 -34.3400
117.543324 82.276 -39.5450
118.395091 82.155 -44.6816
119.253031 81.971 -49.7001
120.117188 81.727 -54.5499
120.987606 81.429 -59.1830
121.864332 81.080 -63.5552
122.747411 80.689 -67.6267
123.636890 80.263 -71.3682
124.532814 79.812 -74.7637
125.435230 79.345 -77.8153
126.344185 78.871 -80.5455
127.259727 78.395 -82.9932
128.181904 77.920 -85.2049
129.110763 77.444 -87.2213
130.046352 76.963 -89.0634
130.988722 76.470 -90.7195
131.937920 75.959 -92.1382
132.893997 75.429 -93.2290
133.857001 74.883 -93.8687
134.826984 74.336 -93.9211
135.803996 73.815 -93.2716
136.788088 73.359 -91.8821
137.779311 73.013 -89.8544
138.777717 72.815 -87.4637
139.783357 72.781 -85.1187
140.796285 72.897 -83.2365
141.816553 73.121 -82.1150
142.844214 73.407 -81.8793
143.879322 73.709 -82.5074
144.921931 73.995 -83.8895
145.972095 74.242 -85.8818
147.029869 74.441 -88.3406
148.095308 74.585 -91.1385
149.168468 74.678 -94.1716
150.249404 74.722 -97.3632
151.338173 74.725 -100.6656
152.434832 74.692 -104.0599
153.539437 74.628 -107.5545
154.652047 74.536 -111.1787
155.772720 74.418 -114.9720
156.901513 74.271 -118.9719
158.038486 74.089 -123.2021
159.183698 73.865 -127.6663
160.337209 73.593 -132.3479
161.499079 73.266 -137.2122
162.669367 72.882 -142.2126
163.848137 72.437 -147.3003
165.035448 71.934 -152.4290
166.231363 71.377 -157.5654
167.435944 70.776 -162.6959
168.649254 70.142 -167.8344
169.871356 69.491 -173.0322
171.102314 68.841 -178.3862
172.342191 68.213 175.9575
173.591054 67.627 169.8049
174.848966 67.106 162.9282
176.115994 66.673 155.0967
177.392203 66.353 146.1212
178.677660 66.177 135.9109
179.972432 66.172 124.5303
181.276587 66.359 112.2231
182.590191 66.737 99.3796
183.913315 67.281 86.4370
185.246027 67.944 73.7661
186.588396 68.675 61.6113
187.940492 69.422 50.0896
189.302387 70.146 39.2297
190.674150 70.818 29.0160
192.055853 71.422 19.4169
193.447569 71.949 10.4011
194.849370 72.396 1.9421
196.261329 72.766 -5.9818
197.683519 73.065 -13.3906
199.116016 73.301 -20.3066
200.558892 73.484 -26.7563
202.012225 73.622 -32.7720
203.476089 73.723 -38.3923
204.950560 73.796 -43.6604
206.435716 73.848 -48.6244
207.931635 73.883 -53.3361
209.438393 73.906 -57.8474
210.956070 73.919 -62.2091
212.484745 73.922 -66.4684
214.024497 73.917 -70.6689
215.575406 73.899 -74.8500
217.137555 73.867 -79.0458
218.711023 73.814 -83.2832
220.295893 73.734 -87.5787
221.892248 73.618 -91.9363
223.500171 73.457 -96.3428
225.119745 73.240 -100.7675
226.751056 72.957 -105.1576
228.394187 72.599 -109.4375
230.049226 72.158 -113.5043
231.716257 71.629 -117.2228
233.395369 71.011 -120.4191
235.086648 70.309 -122.8777
236.790182 69.543 -124.3417
238.506062 68.748 -124.5336
240.234375 67.987 -123.2241
241.975212 67.354 -120.3752
243.728664 66.950 -116.3259
245.494823 66.845 -111.8527
247.273780 67.033 -107.9119
249.065627 67.434 -105.2134
250.870459 67.945 -104.0120
