* Measurement data measured by REW V5.40 beta 121
* Source: 
* Format: 
* Dated: Aug 12, 2026, 4:15:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Copy of R 120.Rscreen.orig
* Measurement: R120 [FDW8]
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 68.693 -160.6821
15.123451 68.863 -161.9742
15.233042 69.072 -163.1695
15.343426 69.285 -164.3097
15.454611 69.496 -165.4137
15.566602 69.705 -166.4618
15.679404 69.909 -167.4993
15.793023 70.103 -168.5664
15.907466 70.291 -169.6407
16.022738 70.471 -170.7463
16.138845 70.640 -171.9184
16.255794 70.801 -173.1521
16.373590 70.953 -174.4500
16.492240 71.095 -175.8263
16.611750 71.230 -177.2888
16.732125 71.357 -178.8325
16.853373 71.477 179.5518
16.975500 71.592 177.8533
17.098511 71.702 176.0768
17.222414 71.809 174.2491
17.347215 71.913 172.3600
17.472920 72.015 170.4146
17.599536 72.117 168.4485
17.727069 72.218 166.4488
17.855527 72.320 164.4267
17.984915 72.424 162.4176
18.115241 72.530 160.4064
18.246512 72.637 158.4099
18.378734 72.747 156.4540
18.511914 72.860 154.5249
18.646058 72.974 152.6387
18.781175 73.090 150.8060
18.917272 73.208 149.0178
19.054354 73.326 147.2825
19.192430 73.444 145.5989
19.331506 73.561 143.9618
19.471590 73.676 142.3679
19.612689 73.788 140.8135
19.754811 73.898 139.2920
19.897962 74.005 137.7959
20.042151 74.109 136.3228
20.187385 74.210 134.8640
20.333671 74.308 133.4161
20.481017 74.403 131.9744
20.629431 74.498 130.5325
20.778920 74.591 129.0896
20.929493 74.683 127.6385
21.081157 74.777 126.1785
21.233919 74.870 124.7047
21.387789 74.965 123.2119
21.542774 75.059 121.6997
21.698882 75.154 120.1581
21.856121 75.249 118.5876
22.014499 75.342 116.9812
22.174025 75.434 115.3333
22.334708 75.523 113.6448
22.496554 75.607 111.9052
22.659573 75.687 110.1193
22.823774 75.760 108.2857
22.989164 75.828 106.4006
23.155753 75.889 104.4780
23.323549 75.942 102.5059
23.492562 75.988 100.5097
23.662798 76.027 98.4764
23.834269 76.059 96.4319
24.006982 76.084 94.3702
24.180946 76.103 92.3086
24.356171 76.117 90.2493
24.532666 76.126 88.1994
24.710440 76.132 86.1650
24.889502 76.135 84.1457
25.069862 76.137 82.1456
25.251528 76.138 80.1609
25.434511 76.140 78.1897
25.618820 76.143 76.2281
25.804465 76.148 74.2683
25.991454 76.155 72.3070
26.179799 76.164 70.3333
26.369509 76.176 68.3449
26.560593 76.188 66.3302
26.753062 76.201 64.2897
26.946926 76.213 62.2132
27.142194 76.223 60.1054
27.338878 76.229 57.9573
27.536987 76.230 55.7795
27.736531 76.224 53.5634
27.937521 76.208 51.3256
28.139968 76.183 49.0589
28.343882 76.146 46.7826
28.549273 76.095 44.4943
28.756153 76.030 42.2064
28.964532 75.950 39.9269
29.174421 75.855 37.6578
29.385831 75.745 35.4153
29.598773 75.619 33.1952
29.813258 75.479 31.0120
30.029297 75.326 28.8636
30.246902 75.159 26.7568
30.466083 74.982 24.6935
30.686853 74.794 22.6747
30.909222 74.599 20.7024
31.133203 74.396 18.7772
31.358807 74.188 16.8987
31.586046 73.975 15.0662
31.814932 73.758 13.2820
32.045476 73.537 11.5415
32.277691 73.313 9.8460
32.511588 73.087 8.1952
32.747180 72.857 6.5846
32.984480 72.623 5.0159
33.223499 72.386 3.4862
33.464250 72.145 1.9932
33.706746 71.899 0.5382
33.950999 71.648 -0.8805
34.197022 71.391 -2.2626
34.444828 71.128 -3.6049
34.694429 70.857 -4.9065
34.945839 70.579 -6.1649
35.199071 70.292 -7.3700
35.454138 69.996 -8.5047
35.711054 69.692 -9.5596
35.969831 69.381 -10.5280
36.230483 69.063 -11.3998
36.493024 68.741 -12.1669
36.757467 68.414 -12.8224
37.023827 68.085 -13.3597
37.292117 67.756 -13.7778
37.562351 67.430 -14.0859
37.834543 67.108 -14.2927
38.108708 66.793 -14.4115
38.384859 66.487 -14.4661
38.663012 66.190 -14.4833
38.943180 65.901 -14.4835
39.225378 65.619 -14.4861
39.509622 65.344 -14.5092
39.795925 65.072 -14.5594
40.084302 64.803 -14.6307
40.374770 64.537 -14.7114
40.667342 64.275 -14.7831
40.962034 64.021 -14.8218
41.258862 63.781 -14.8010
41.557841 63.564 -14.7079
41.858986 63.380 -14.5449
42.162313 63.242 -14.3356
42.467839 63.159 -14.1304
42.775578 63.140 -14.0142
43.085548 63.186 -14.0930
43.397763 63.294 -14.4778
43.712242 63.454 -15.2721
44.028998 63.655 -16.5635
44.348051 63.880 -18.4182
44.669415 64.114 -20.8809
44.993108 64.343 -23.9774
45.319147 64.555 -27.7184
45.647548 64.743 -32.1038
45.978329 64.901 -37.1285
46.311507 65.029 -42.7826
46.647099 65.130 -49.0492
46.985123 65.208 -55.9023
47.325597 65.269 -63.3022
47.668537 65.322 -71.1925
48.013963 65.372 -79.5000
48.361892 65.425 -88.1371
48.712342 65.484 -97.0104
49.065332 65.548 -106.0309
49.420880 65.614 -115.1212
49.779004 65.679 -124.2252
50.139723 65.737 -133.3097
50.503056 65.786 -142.3566
50.869022 65.827 -151.3568
51.237640 65.863 -160.2967
51.608929 65.900 -169.1475
51.982909 65.944 -177.8566
52.359598 66.001 173.6547
52.739018 66.076 165.4866
53.121186 66.168 157.7486
53.506124 66.275 150.5464
53.893852 66.390 143.9688
54.284389 66.510 138.0805
54.677756 66.630 132.9217
55.073973 66.746 128.5074
55.473062 66.861 124.8320
55.875043 66.981 121.8702
56.279936 67.113 119.5769
56.687764 67.270 117.8852
57.098547 67.463 116.7029
57.512306 67.702 115.9138
57.929064 67.996 115.3839
58.348842 68.347 114.9685
58.771662 68.754 114.5272
59.197546 69.209 113.9369
59.626515 69.700 113.1028
60.058594 70.215 111.9626
60.493803 70.740 110.4866
60.932166 71.263 108.6703
61.373706 71.773 106.5268
61.818445 72.261 104.0831
62.266407 72.721 101.3759
62.717615 73.146 98.4464
63.172093 73.533 95.3367
63.629864 73.880 92.0922
64.090952 74.184 88.7588
64.555381 74.445 85.3793
65.023176 74.662 81.9941
65.494361 74.837 78.6465
65.968960 74.969 75.3784
66.446998 75.063 72.2245
66.928501 75.119 69.2228
67.413492 75.143 66.4099
67.901998 75.137 63.8163
68.394044 75.108 61.4721
68.889655 75.062 59.4032
69.388858 75.008 57.6270
69.891679 74.954 56.1519
70.398142 74.911 54.9723
70.908276 74.889 54.0677
71.422107 74.899 53.3942
71.939661 74.950 52.8886
72.460965 75.047 52.4699
72.986047 75.195 52.0389
73.514934 75.391 51.5004
74.047654 75.630 50.7576
74.584234 75.902 49.7379
75.124702 76.196 48.3839
75.669086 76.500 46.6658
76.217416 76.801 44.5747
76.769719 77.088 42.1201
77.326024 77.351 39.3284
77.886360 77.580 36.2332
78.450757 77.769 32.8799
79.019243 77.913 29.3124
79.591849 78.006 25.5844
80.168605 78.045 21.7429
80.749539 78.029 17.8422
81.334684 77.955 13.9318
81.924068 77.822 10.0610
82.517724 77.632 6.2819
83.115681 77.383 2.6407
83.717972 77.076 -0.8110
84.324627 76.713 -4.0226
84.935678 76.296 -6.9414
85.551157 75.827 -9.5081
86.171096 75.310 -11.6587
86.795527 74.749 -13.3203
87.424483 74.152 -14.4116
88.057997 73.531 -14.8461
88.696102 72.902 -14.5358
89.338830 72.288 -13.4065
89.986216 71.718 -11.4238
90.638293 71.229 -8.6228
91.295096 70.855 -5.1353
91.956658 70.625 -1.1981
92.623013 70.551 2.8830
93.294198 70.626 6.8006
93.970246 70.825 10.3168
94.651193 71.117 13.2968
95.337075 71.472 15.7026
96.027927 71.863 17.5646
96.723785 72.273 18.9476
97.424685 72.690 19.9247
98.130664 73.111 20.5621
98.841760 73.533 20.9116
99.558008 73.955 21.0081
100.279446 74.379 20.8702
101.006112 74.807 20.5034
101.738044 75.238 19.9033
102.475280 75.673 19.0613
103.217858 76.109 17.9677
103.965817 76.545 16.6139
104.719197 76.976 14.9952
105.478035 77.400 13.1111
106.242372 77.811 10.9662
107.012248 78.208 8.5695
107.787703 78.585 5.9330
108.568777 78.940 3.0717
109.355511 79.269 0.0038
110.147947 79.570 -3.2521
110.946124 79.840 -6.6758
111.750085 80.076 -10.2464
112.559873 80.277 -13.9423
113.375528 80.442 -17.7420
114.197094 80.569 -21.6230
115.024613 80.658 -25.5625
115.858129 80.707 -29.5378
116.697684 80.716 -33.5259
117.543324 80.686 -37.5039
118.395091 80.618 -41.4492
119.253031 80.512 -45.3392
120.117188 80.370 -49.1518
120.987606 80.194 -52.8663
121.864332 79.984 -56.4637
122.747411 79.745 -59.9259
123.636890 79.477 -63.2371
124.532814 79.185 -66.3830
125.435230 78.871 -69.3516
126.344185 78.536 -72.1321
127.259727 78.186 -74.7151
128.181904 77.822 -77.0910
129.110763 77.447 -79.2502
130.046352 77.064 -81.1827
130.988722 76.678 -82.8773
131.937920 76.292 -84.3231
132.893997 75.912 -85.5112
133.857001 75.544 -86.4380
134.826984 75.197 -87.1095
135.803996 74.877 -87.5450
136.788088 74.593 -87.7815
137.779311 74.353 -87.8741
138.777717 74.160 -87.8942
139.783357 74.016 -87.9241
140.796285 73.920 -88.0474
141.816553 73.866 -88.3393
142.844214 73.846 -88.8594
143.879322 73.849 -89.6476
144.921931 73.867 -90.7247
145.972095 73.890 -92.0937
147.029869 73.908 -93.7451
148.095308 73.914 -95.6611
149.168468 73.905 -97.8199
150.249404 73.875 -100.1993
151.338173 73.822 -102.7786
152.434832 73.743 -105.5394
153.539437 73.635 -108.4671
154.652047 73.498 -111.5506
155.772720 73.330 -114.7813
156.901513 73.129 -118.1528
158.038486 72.895 -121.6596
159.183698 72.624 -125.2976
160.337209 72.316 -129.0645
161.499079 71.970 -132.9590
162.669367 71.583 -136.9838
163.848137 71.154 -141.1453
165.035448 70.681 -145.4572
166.231363 70.164 -149.9425
167.435944 69.601 -154.6372
168.649254 68.990 -159.5940
169.871356 68.329 -164.8875
171.102314 67.618 -170.6211
172.342191 66.856 -176.9346
173.591054 66.046 175.9868
174.848966 65.198 167.8999
176.115994 64.334 158.5056
177.392203 63.499 147.4753
178.677660 62.774 134.5465
179.972432 62.275 119.7394
181.276587 62.121 103.6068
182.590191 62.371 87.2339
183.913315 62.974 71.7686
185.246027 63.810 57.8911
186.588396 64.753 45.7264
187.940492 65.711 35.0765
189.302387 66.631 25.6501
190.674150 67.486 17.1782
192.055853 68.264 9.4480
193.447569 68.963 2.3016
194.849370 69.583 -4.3752
196.261329 70.130 -10.6648
197.683519 70.608 -16.6266
199.116016 71.023 -22.3036
200.558892 71.381 -27.7292
202.012225 71.686 -32.9304
203.476089 71.944 -37.9298
204.950560 72.159 -42.7469
206.435716 72.334 -47.3997
207.931635 72.474 -51.9052
209.438393 72.581 -56.2789
210.956070 72.658 -60.5347
212.484745 72.705 -64.6848
214.024497 72.724 -68.7393
215.575406 72.716 -72.7052
217.137555 72.680 -76.5862
218.711023 72.615 -80.3815
220.295893 72.521 -84.0859
221.892248 72.396 -87.6888
223.500171 72.240 -91.1748
225.119745 72.053 -94.5217
226.751056 71.833 -97.7009
228.394187 71.581 -100.6786
230.049226 71.300 -103.4158
231.716257 70.994 -105.8699
233.395369 70.668 -107.9977
235.086648 70.330 -109.7610
236.790182 69.992 -111.1311
238.506062 69.667 -112.0970
240.234375 69.370 -112.6748
241.975212 69.115 -112.9139
243.728664 68.915 -112.8989
245.494823 68.779 -112.7430
247.273780 68.710 -112.5745
249.065627 68.702 -112.5170
250.870459 68.747 -112.6727
252.688370 68.831 -113.1112
254.519454 68.940 -113.8661
256.363807 69.060 -114.9406
258.221525 69.179 -116.3152
260.092705 69.289 -117.9569
261.977444 69.382 -119.8267
263.875840 69.454 -121.8843
265.787993 69.502 -124.0928
267.714003 69.524 -126.4192
269.653969 69.519 -128.8353
271.607992 69.487 -131.3174
273.576176 69.425 -133.8440
275.558622 69.334 -136.3943
277.555433 69.211 -138.9469
279.566714 69.057 -141.4780
281.592570 68.870 -143.9594
