* Measurement data measured by REW V5.40 beta 121
* Source: 
* Format: 
* Dated: Aug 12, 2026, 3:22:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of FR Cal file effects not included LF tail from 16 Hz at 24 dB/octave No HF tail
* Measurement: RFilter
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 -83.497 178.1682
0.732422 -82.679 -5.1754
1.098633 -89.264 -174.0686
1.464844 -74.946 -15.3960
1.831055 -73.748 -27.6176
2.197266 -63.959 -24.7643
2.563477 -60.186 -31.2167
2.929688 -54.621 -32.9094
3.295899 -51.079 -37.9649
3.662110 -47.061 -40.8010
4.028321 -43.989 -45.3954
4.394532 -40.798 -48.7316
4.760743 -38.138 -53.1499
5.126954 -35.475 -56.7640
5.493164 -33.144 -61.1243
5.859375 -30.852 -64.9305
6.225586 -28.784 -69.2921
6.591797 -26.769 -73.2541
6.958008 -24.914 -77.6555
7.324219 -23.114 -81.7610
7.690430 -21.433 -86.2314
8.056641 -19.806 -90.4828
8.422852 -18.270 -95.0504
8.789063 -16.786 -99.4600
9.155274 -15.372 -104.1552
9.521485 -14.007 -108.7451
9.887696 -12.697 -113.6049
10.253907 -11.434 -118.4092
10.620118 -10.214 -123.4823
10.986329 -9.038 -128.5531
11.352540 -7.896 -133.9100
11.718751 -6.797 -139.3301
12.084962 -5.724 -145.0856
12.451173 -4.691 -151.0028
12.817384 -3.679 -157.3849
13.183595 -2.707 -164.1411
13.549806 -1.753 -171.9736
13.916017 -1.042 179.0160
14.282228 -0.608 170.3117
14.648439 -0.329 162.3538
15.014650 -0.152 155.0288
15.380861 -0.051 148.3451
15.747072 0.000 142.2017
16.113283 0.007 136.6581
16.479493 0.015 131.5794
16.845704 0.005 126.8596
17.211915 0.018 122.3993
17.578126 -0.004 118.0007
17.944337 0.003 113.9483
18.310548 -0.004 109.3590
18.676759 -0.134 104.8767
19.042970 -0.341 100.7496
19.409181 -0.627 97.3638
19.775392 -0.909 94.7711
20.141603 -1.151 92.9192
20.507814 -1.296 91.3188
20.874025 -1.394 89.7110
21.240236 -1.447 87.8391
21.606447 -1.537 85.7315
21.972658 -1.663 83.5734
22.338869 -1.864 81.6101
22.705080 -2.096 80.0884
23.071291 -2.355 79.1674
23.437502 -2.564 78.8362
23.803713 -2.730 78.8840
24.169924 -2.806 79.1693
24.536135 -2.832 79.4116
24.902346 -2.790 79.5908
25.268557 -2.723 79.5363
25.634768 -2.619 79.2565
26.000979 -2.536 78.6491
26.367190 -2.468 77.9456
26.733401 -2.453 77.2004
27.099612 -2.457 76.7597
27.465823 -2.474 76.5922
27.832033 -2.459 76.8409
28.198244 -2.404 77.3501
28.564455 -2.256 78.0733
28.930666 -2.037 78.5897
29.296877 -1.738 78.9123
29.663088 -1.384 78.6917
30.029299 -0.991 77.9334
30.395510 -0.595 76.3775
30.761721 -0.250 74.0058
31.127932 -0.053 71.0421
31.494143 0.002 68.4349
31.860354 0.009 66.3183
32.226565 0.010 64.5699
32.592776 0.010 62.9681
32.958987 0.010 61.5402
33.325198 0.011 60.1657
33.691409 0.010 58.9120
34.057620 0.011 57.6777
34.423831 0.010 56.5403
34.790042 0.011 55.4052
35.156253 0.010 54.3533
35.522464 0.011 53.2944
35.888675 0.010 52.3086
36.254886 0.011 51.3116
36.621097 0.009 50.3789
36.987308 0.011 49.4334
37.353519 0.009 48.5437
37.719730 0.011 47.6422
38.085941 0.009 46.7884
38.452152 0.011 45.9253
38.818363 0.009 45.1028
39.184573 0.011 44.2734
39.550784 0.009 43.4776
39.916995 0.011 42.6771
40.283206 0.009 41.9046
40.649417 0.011 41.1301
41.015628 0.009 40.3784
41.381839 0.011 39.6263
41.748050 0.009 38.8923
42.114261 0.011 38.1606
42.480472 0.010 37.4427
42.846683 0.011 36.7275
43.212894 0.010 36.0246
43.579105 0.011 35.3238
43.945316 0.010 34.6337
44.311527 0.011 33.9452
44.677738 0.010 33.2666
45.043949 0.011 32.5882
45.410160 0.010 31.9191
45.776371 0.011 31.2498
46.142582 0.010 30.5879
46.508793 0.011 29.9262
46.875004 0.010 29.2698
47.241215 0.011 28.6142
47.607426 0.010 27.9615
47.973637 0.011 27.3103
48.339848 0.010 26.6596
48.706059 0.011 26.0111
49.072270 0.010 25.3607
49.438481 0.011 24.7130
49.804692 0.010 24.0612
50.170902 0.011 23.4124
50.537113 0.010 22.7572
50.903324 0.011 22.1049
51.269535 0.010 21.4445
51.635746 0.011 20.7862
52.001957 0.010 20.1187
52.368168 0.011 19.4511
52.734379 0.010 18.7743
53.100590 0.011 18.0939
53.466801 0.010 17.4049
53.833012 0.011 16.7083
54.199223 0.010 16.0029
54.565434 0.011 15.2868
54.931645 0.010 14.5587
55.297856 0.011 13.8195
55.664067 0.010 13.0611
56.030278 0.011 12.2934
56.396489 0.010 11.4968
56.762700 0.011 10.6900
57.128911 0.010 9.8471
57.495122 0.011 8.9853
57.861333 0.010 8.0832
58.227544 0.011 7.1466
58.593755 0.010 6.1576
58.959966 0.010 5.1161
59.326177 0.009 3.9887
59.692388 0.005 2.7741
60.058599 -0.005 1.4234
60.424810 -0.030 -0.0539
60.791021 -0.077 -1.6485
61.157232 -0.147 -3.3067
61.523442 -0.240 -5.0393
61.889653 -0.354 -6.8778
62.255864 -0.506 -8.9093
62.622075 -0.726 -11.1004
62.988286 -1.049 -13.2447
63.354497 -1.475 -14.9190
63.720708 -1.961 -15.8389
64.086919 -2.448 -15.9401
64.453130 -2.899 -15.3914
64.819341 -3.293 -14.3385
65.185552 -3.624 -12.9630
65.551763 -3.892 -11.3507
65.917974 -4.098 -9.6256
66.284185 -4.245 -7.8245
66.650396 -4.338 -6.0321
67.016607 -4.379 -4.2638
67.382818 -4.371 -2.5920
67.749029 -4.316 -1.0226
68.115240 -4.219 0.3810
68.481451 -4.082 1.6132
68.847662 -3.908 2.6108
69.213873 -3.701 3.3652
69.580084 -3.464 3.8101
69.946295 -3.203 3.9267
70.312506 -2.925 3.6428
70.678717 -2.638 2.9332
71.044928 -2.357 1.7270
71.411139 -2.099 0.0223
71.777350 -1.886 -2.1863
72.143561 -1.741 -4.7873
72.509771 -1.678 -7.6320
72.875982 -1.691 -10.5514
73.242193 -1.771 -13.4833
73.608404 -1.911 -16.4107
73.974615 -2.116 -19.3615
74.340826 -2.399 -22.2729
74.707037 -2.771 -25.0272
75.073248 -3.230 -27.4118
75.439459 -3.757 -29.2795
75.805670 -4.327 -30.5321
76.171881 -4.915 -31.1728
76.538092 -5.502 -31.2232
76.904303 -6.071 -30.7500
77.270514 -6.613 -29.8075
77.636725 -7.118 -28.4746
78.002936 -7.585 -26.8000
78.369147 -8.008 -24.8547
78.735358 -8.388 -22.6743
79.101569 -8.722 -20.3190
79.467780 -9.012 -17.8115
79.833991 -9.257 -15.2037
80.200202 -9.460 -12.5084
80.566413 -9.620 -9.7707
80.932624 -9.739 -6.9959
81.298835 -9.818 -4.2239
81.665046 -9.860 -1.4554
82.031257 -9.864 1.2732
82.397468 -9.832 3.9644
82.763679 -9.766 6.5858
83.129890 -9.667 9.1416
83.496101 -9.535 11.6026
83.862311 -9.373 13.9735
84.228522 -9.181 16.2279
84.594733 -8.961 18.3688
84.960944 -8.712 20.3714
85.327155 -8.435 22.2356
85.693366 -8.132 23.9372
86.059577 -7.802 25.4703
86.425788 -7.446 26.8076
86.791999 -7.065 27.9343
87.158210 -6.660 28.8170
87.524421 -6.232 29.4299
87.890632 -5.786 29.7341
88.256843 -5.324 29.6962
88.623054 -4.854 29.2762
88.989265 -4.382 28.4445
89.355476 -3.922 27.1740
89.721687 -3.482 25.4624
90.087898 -3.080 23.3196
90.454109 -2.725 20.7921
90.820320 -2.431 17.9372
91.186531 -2.206 14.8488
91.552742 -2.055 11.6161
91.918953 -1.980 8.3542
92.285164 -1.977 5.1498
92.651375 -2.038 2.1036
93.017586 -2.154 -0.7340
93.383797 -2.314 -3.3034
93.750008 -2.505 -5.6005
94.116219 -2.719 -7.6077
94.482430 -2.945 -9.3552
94.848641 -3.177 -10.8520
95.214851 -3.406 -12.1431
95.581062 -3.633 -13.2476
95.947273 -3.851 -14.2102
96.313484 -4.061 -15.0498
96.679695 -4.262 -15.8037
97.045906 -4.455 -16.4867
97.412117 -4.640 -17.1283
97.778328 -4.819 -17.7375
98.144539 -4.993 -18.3359
98.510750 -5.164 -18.9255
98.876961 -5.334 -19.5204
99.243172 -5.506 -20.1164
99.609383 -5.680 -20.7207
99.975594 -5.860 -21.3249
100.341805 -6.044 -21.9307
100.708016 -6.238 -22.5268
101.074227 -6.438 -23.1101
101.440438 -6.650 -23.6672
101.806649 -6.869 -24.1908
102.172860 -7.101 -24.6689
102.539071 -7.340 -25.0905
102.905282 -7.591 -25.4483
103.271493 -7.849 -25.7292
103.637704 -8.116 -25.9316
104.003915 -8.388 -26.0415
104.370126 -8.667 -26.0624
104.736337 -8.949 -25.9795
105.102548 -9.236 -25.8011
105.468759 -9.523 -25.5129
105.834970 -9.811 -25.1269
106.201180 -10.098 -24.6307
106.567391 -10.384 -24.0378
106.933602 -10.666 -23.3388
107.299813 -10.944 -22.5469
107.666024 -11.217 -21.6549
108.032235 -11.485 -20.6746
108.398446 -11.745 -19.6016
108.764657 -11.998 -18.4458
109.130868 -12.243 -17.2063
109.497079 -12.480 -15.8908
109.863290 -12.707 -14.5009
110.229501 -12.924 -13.0429
110.595712 -13.131 -11.5189
110.961923 -13.328 -9.9337
111.328134 -13.514 -8.2901
111.694345 -13.689 -6.5913
112.060556 -13.851 -4.8415
112.426767 -14.002 -3.0447
112.792978 -14.139 -1.2047
113.159189 -14.265 0.6694
113.525400 -14.376 2.5762
113.891611 -14.474 4.5045
114.257822 -14.558 6.4525
114.624033 -14.630 8.4129
114.990244 -14.688 10.3837
115.356455 -14.735 12.3589
115.722666 -14.767 14.3364
116.088877 -14.788 16.3111
116.455088 -14.795 18.2801
116.821299 -14.791 20.2387
117.187510 -14.774 22.1841
117.553720 -14.746 24.1117
117.919931 -14.705 26.0191
118.286142 -14.653 27.9015
118.652353 -14.590 29.7564
119.018564 -14.516 31.5791
119.384775 -14.431 33.3664
119.750986 -14.336 35.1158
120.117197 -14.230 36.8212
120.483408 -14.116 38.4840
120.849619 -13.992 40.0967
121.215830 -13.861 41.6611
121.582041 -13.721 43.1723
121.948252 -13.575 44.6289
122.314463 -13.421 46.0310
122.680674 -13.261 47.3732
123.046885 -13.096 48.6590
123.413096 -12.925 49.8838
123.779307 -12.751 51.0483
124.145518 -12.572 52.1556
124.511729 -12.391 53.2006
124.877940 -12.207 54.1908
125.244151 -12.020 55.1224
125.610362 -11.833 55.9995
125.976573 -11.643 56.8239
126.342784 -11.453 57.5954
126.708995 -11.263 58.3183
127.075206 -11.071 58.9935
127.441417 -10.880 59.6225
127.807628 -10.688 60.2088
128.173839 -10.496 60.7529
128.540049 -10.303 61.2562
128.906260 -10.111 61.7210
129.272471 -9.917 62.1467
129.638682 -9.723 62.5328
130.004893 -9.528 62.8804
130.371104 -9.332 63.1861
130.737315 -9.134 63.4490
131.103526 -8.936 63.6671
131.469737 -8.736 63.8368
131.835948 -8.535 63.9542
132.202159 -8.333 64.0186
132.568370 -8.130 64.0221
132.934581 -7.927 63.9620
133.300792 -7.724 63.8385
133.667003 -7.522 63.6383
134.033214 -7.323 63.3671
134.399425 -7.125 63.0205
134.765636 -6.933 62.5871
135.131847 -6.746 62.0829
135.498058 -6.565 61.4949
135.864269 -6.394 60.8259
136.230480 -6.232 60.0929
136.596691 -6.080 59.2824
136.962902 -5.942 58.4124
137.329113 -5.817 57.4937
137.695324 -5.707 56.5232
138.061535 -5.613 55.5229
138.427746 -5.535 54.5022
138.793957 -5.473 53.4677
139.160168 -5.428 52.4366
139.526379 -5.400 51.4240
139.892589 -5.387 50.4358
140.258800 -5.390 49.4840
140.625011 -5.407 48.5888
140.991222 -5.436 47.7465
141.357433 -5.478 46.9688
141.723644 -5.530 46.2736
142.089855 -5.590 45.6467
