* Measurement data measured by REW V5.40 beta 121
* Source: Vector average
* Format: Vector average
* Dated: Aug 12, 2026, 3:16:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Vector average of LX, RX
* Measurement: SUM
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 15.014648 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.014648 60.750 -141.4213
15.380859 68.512 -155.5983
15.747070 70.627 -164.4448
16.113281 70.955 -163.5461
16.479492 71.452 -163.7990
16.845703 71.618 -169.4406
17.211914 71.825 -174.6459
17.578125 72.405 179.9391
17.944336 72.768 174.2161
18.310547 73.041 169.4327
18.676758 73.501 163.3705
19.042969 74.023 156.6961
19.409180 74.685 151.3490
19.775391 75.334 146.5668
20.141602 75.684 142.6516
20.507813 75.831 139.9069
20.874024 75.840 137.4209
21.240235 75.742 135.5269
21.606446 75.745 133.8272
21.972657 75.844 131.1125
22.338868 76.012 127.6826
22.705079 76.299 123.4542
23.071290 76.567 118.4943
23.437501 76.746 113.5921
23.803712 76.850 108.5289
24.169923 76.813 103.2881
24.536134 76.689 98.4761
24.902345 76.538 93.9778
25.268556 76.311 89.9561
25.634766 76.074 86.6376
26.000977 75.875 83.4234
26.367188 75.696 80.3921
26.733399 75.608 77.6684
27.099610 75.572 74.7905
27.465821 75.510 71.9538
27.832032 75.454 69.0034
28.198243 75.348 65.6647
28.564454 75.166 62.4973
28.930665 74.945 59.5153
29.296876 74.622 56.6590
29.663087 74.223 54.2976
30.029298 73.816 52.1125
30.395509 73.366 50.2332
30.761720 72.940 49.1271
31.127931 72.559 48.4128
31.494142 72.192 48.2445
31.860353 71.945 48.5420
32.226564 71.814 48.6703
32.592775 71.772 48.9228
32.958986 71.852 48.9466
33.325197 71.953 48.3401
33.691408 72.068 47.4036
34.057619 72.225 45.7619
34.423830 72.343 43.6031
34.790041 72.445 41.3684
35.156252 72.505 38.7381
35.522463 72.458 36.0035
35.888674 72.368 33.3582
36.254885 72.219 30.6179
36.621096 71.981 28.3181
36.987306 71.705 26.4993
37.353517 71.350 24.9051
37.719728 70.933 23.9016
38.085939 70.531 23.1997
38.452150 70.092 22.7228
38.818361 69.656 22.7954
39.184572 69.235 22.8043
39.550783 68.767 22.8088
39.916994 68.328 22.9807
40.283205 67.895 22.9354
40.649416 67.416 23.3682
41.015627 66.969 24.3004
41.381838 66.489 25.4506
41.748049 66.033 27.5109
42.114260 65.725 29.9840
42.480471 65.507 32.8959
42.846682 65.487 36.4331
43.212893 65.641 39.4062
43.579104 65.879 41.9388
43.945315 66.270 43.6998
44.311526 66.695 44.3104
44.677737 67.111 44.5295
45.043948 67.530 44.0477
45.410159 67.844 42.9233
45.776370 68.101 41.6221
46.142581 68.314 39.8134
46.508792 68.423 37.9132
46.875003 68.485 36.1858
47.241214 68.475 34.2271
47.607425 68.374 32.3947
47.973635 68.269 30.6432
48.339846 68.134 28.7664
48.706057 67.976 27.2648
49.072268 67.855 25.8290
49.438479 67.719 24.2987
49.804690 67.622 23.0261
50.170901 67.603 21.6176
50.537112 67.593 20.2916
50.903323 67.637 19.2462
51.269534 67.709 17.9568
51.635745 67.764 16.7003
52.001956 67.864 15.4290
52.368167 67.951 13.8523
52.734378 68.002 12.3585
53.100589 68.051 10.6074
53.466800 68.036 8.3870
53.833011 67.987 6.0159
54.199222 67.932 3.1564
54.565433 67.807 -0.0807
54.931644 67.649 -3.5023
55.297855 67.460 -7.5941
55.664066 67.205 -12.1542
56.030277 66.957 -17.0593
56.396488 66.689 -22.6632
56.762699 66.364 -28.6655
57.128910 66.051 -35.2299
57.495121 65.730 -42.7701
57.861332 65.402 -50.8471
58.227543 65.137 -59.5942
58.593754 64.883 -69.3704
58.959965 64.663 -79.8425
59.326175 64.588 -91.2197
59.692386 64.638 -103.5157
60.058597 64.830 -115.9663
60.424808 65.231 -128.5224
60.791019 65.784 -141.0690
61.157230 66.468 -152.8041
61.523441 67.280 -163.6318
61.889652 68.110 -173.6614
62.255863 68.918 177.3204
62.622074 69.716 169.0294
62.988285 70.452 161.3000
63.354496 71.113 154.2950
63.720707 71.713 147.7335
64.086918 72.219 141.4674
64.453129 72.650 135.6083
64.819340 73.024 129.9755
65.185551 73.314 124.5842
65.551762 73.538 119.5306
65.917973 73.704 114.6155
66.284184 73.798 109.8967
66.650395 73.847 105.4682
67.016606 73.846 101.1995
67.382817 73.780 97.2050
67.749028 73.673 93.4848
68.115239 73.520 89.9037
68.481450 73.315 86.6388
68.847661 73.084 83.6782
69.213872 72.801 80.9514
69.580083 72.471 78.6329
69.946294 72.116 76.6170
70.312505 71.713 74.9376
70.678715 71.281 73.8389
71.044926 70.830 73.2102
71.411137 70.336 73.2084
71.777348 69.845 73.9971
72.143559 69.371 75.4408
72.509770 68.928 77.8569
72.875981 68.595 81.2014
73.242192 68.374 85.2161
73.608403 68.319 89.8952
73.974614 68.476 94.5688
74.340825 68.801 98.9285
74.707036 69.301 102.7651
75.073247 69.912 105.6400
75.439458 70.569 107.7117
75.805669 71.265 108.9017
76.171880 71.945 109.2178
76.538091 72.604 108.9698
76.904302 73.239 108.1338
77.270513 73.815 106.8484
77.636724 74.350 105.2712
78.002935 74.841 103.3250
78.369146 75.276 101.1682
78.735357 75.676 98.8813
79.101568 76.029 96.4177
79.467779 76.333 93.9091
79.833990 76.605 91.3337
80.200201 76.835 88.6682
80.566412 77.030 86.0429
80.932623 77.200 83.4127
81.298834 77.332 80.7852
81.665044 77.434 78.2333
82.031255 77.516 75.6763
82.397466 77.568 73.1692
82.763677 77.602 70.7658
83.129888 77.616 68.3862
83.496099 77.602 66.0927
83.862310 77.575 63.8759
84.228521 77.531 61.6799
84.594732 77.467 59.6009
84.960943 77.394 57.5965
85.327154 77.299 55.6310
85.693365 77.187 53.7762
86.059576 77.070 51.9574
86.425787 76.933 50.2042
86.791998 76.785 48.5820
87.158209 76.627 46.9980
87.524420 76.448 45.5074
87.890631 76.264 44.1278
88.256842 76.071 42.7955
88.623053 75.861 41.6229
88.989264 75.649 40.5795
89.355475 75.421 39.6199
89.721686 75.186 38.8474
90.087897 74.952 38.1901
90.454108 74.709 37.6823
90.820319 74.467 37.4105
91.186530 74.229 37.2547
91.552741 73.982 37.2828
91.918952 73.753 37.5082
92.285163 73.533 37.8368
92.651374 73.319 38.3951
93.017584 73.131 39.1025
93.383795 72.948 39.8890
93.750006 72.785 40.8531
94.116217 72.652 41.8555
94.482428 72.532 42.9407
94.848639 72.439 44.1566
95.214850 72.368 45.3358
95.581061 72.307 46.5731
95.947272 72.279 47.8218
96.313483 72.264 49.0024
96.679694 72.266 50.2604
97.045905 72.293 51.4692
97.412116 72.322 52.6226
97.778327 72.371 53.8021
98.144538 72.439 54.8698
98.510749 72.511 55.9361
98.876960 72.606 57.0085
99.243171 72.706 57.9702
99.609382 72.811 58.9398
99.975593 72.939 59.8336
100.341804 73.069 60.6365
100.708015 73.212 61.4647
101.074226 73.370 62.1905
101.440437 73.524 62.8558
101.806648 73.694 63.4916
102.172859 73.873 63.9922
102.539070 74.054 64.4733
102.905281 74.250 64.9036
103.271492 74.446 65.2193
103.637703 74.645 65.5137
104.003913 74.858 65.7002
104.370124 75.070 65.7990
104.736335 75.291 65.8818
105.102546 75.518 65.8486
105.468757 75.742 65.7503
105.834968 75.975 65.5870
106.201179 76.211 65.2900
106.567390 76.448 64.9481
106.933601 76.692 64.5201
107.299812 76.931 63.9702
107.666023 77.169 63.3605
108.032234 77.411 62.6229
108.398445 77.646 61.7831
108.764656 77.880 60.8866
109.130867 78.109 59.8644
109.497078 78.326 58.7609
109.863289 78.541 57.5784
110.229500 78.745 56.2787
110.595711 78.939 54.9323
110.961922 79.126 53.5157
111.328133 79.297 52.0103
111.694344 79.457 50.4703
112.060555 79.607 48.8566
112.426766 79.742 47.1927
112.792977 79.865 45.5203
113.159188 79.976 43.7906
113.525399 80.068 42.0389
113.891610 80.151 40.2781
114.257821 80.220 38.4778
114.624032 80.274 36.6946
114.990243 80.318 34.9141
115.356453 80.344 33.1143
115.722664 80.358 31.3450
116.088875 80.363 29.5776
116.455086 80.352 27.8240
116.821297 80.330 26.1237
117.187508 80.298 24.4298
117.553719 80.250 22.7679
117.919930 80.196 21.1581
118.286141 80.132 19.5655
118.652352 80.056 18.0380
119.018563 79.974 16.5638
119.384774 79.882 15.1122
119.750985 79.781 13.7333
120.117196 79.678 12.3997
120.483407 79.565 11.1122
120.849618 79.447 9.9108
121.215829 79.326 8.7412
121.582040 79.197 7.6241
121.948251 79.069 6.5828
122.314462 78.939 5.5721
122.680673 78.802 4.6365
123.046884 78.668 3.7604
123.413095 78.532 2.9030
123.779306 78.393 2.1186
124.145517 78.260 1.3726
124.511728 78.123 0.6596
124.877939 77.987 0.0200
125.244150 77.855 -0.6113
125.610361 77.720 -1.2112
125.976572 77.590 -1.7551
126.342782 77.461 -2.2971
126.708993 77.330 -2.7862
127.075204 77.204 -3.2440
127.441415 77.076 -3.7120
127.807626 76.947 -4.1246
128.173837 76.825 -4.5221
128.540048 76.698 -4.9037
128.906259 76.572 -5.2226
129.272470 76.448 -5.5496
129.638681 76.318 -5.8459
130.004892 76.195 -6.0850
130.371103 76.072 -6.3212
130.737314 75.944 -6.4896
131.103525 75.822 -6.6181
131.469736 75.697 -6.7427
131.835947 75.574 -6.7861
132.202158 75.459 -6.7990
132.568369 75.340 -6.7709
132.934580 75.226 -6.6572
133.300791 75.119 -6.5407
133.667002 75.012 -6.3699
134.033213 74.917 -6.1317
134.399424 74.828 -5.8872
134.765635 74.742 -5.5665
135.131846 74.671 -5.2227
135.498057 74.603 -4.8891
135.864268 74.547 -4.4938
136.230479 74.507 -4.1119
136.596690 74.470 -3.7234
136.962901 74.446 -3.3049
137.329112 74.434 -2.9508
137.695322 74.427 -2.5999
138.061533 74.437 -2.2647
138.427744 74.454 -1.9993
138.793955 74.475 -1.7331
139.160166 74.509 -1.5367
139.526377 74.543 -1.4215
139.892588 74.585 -1.3238
140.258799 74.636 -1.3170
140.625010 74.682 -1.3593
140.991221 74.734 -1.4377
141.357432 74.786 -1.6262
141.723643 74.834 -1.8502
142.089854 74.889 -2.1259
142.456065 74.937 -2.4823
142.822276 74.980 -2.8475
143.188487 75.024 -3.2850
143.554698 75.059 -3.7844
143.920909 75.092 -4.2865
144.287120 75.124 -4.8527
144.653331 75.144 -5.4326
145.019542 75.163 -6.0180
145.385753 75.175 -6.6688
145.751964 75.180 -7.3094
146.118175 75.184 -7.9586
146.484386 75.179 -8.6381
146.850597 75.168 -9.2822
147.216808 75.155 -9.9538
147.583019 75.132 -10.6383
147.949230 75.109 -11.2825
148.315441 75.084 -11.9488
148.681652 75.049 -12.5893
149.047862 75.015 -13.2027
149.414073 74.977 -13.8486
149.780284 74.934 -14.4532
150.146495 74.895 -15.0427
150.512706 74.850 -15.6412
150.878917 74.802 -16.1887
151.245128 74.757 -16.7546
151.611339 74.707 -17.3228
151.977550 74.660 -17.8460
152.343761 74.615 -18.3937
152.709972 74.564 -18.9185
153.076183 74.518 -19.4277
153.442394 74.470 -19.9820
153.808605 74.420 -20.5062
154.174816 74.377 -21.0355
154.541027 74.330 -21.5933
154.907238 74.282 -22.1221
155.273449 74.238 -22.6968
155.639660 74.189 -23.2945
156.005871 74.144 -23.8709
156.372082 74.100 -24.4983
156.738293 74.048 -25.1244
157.104504 74.000 -25.7601
157.470715 73.948 -26.4614
157.836926 73.892 -27.1468
158.203137 73.841 -27.8550
158.569348 73.780 -28.6045
158.935559 73.716 -29.3347
159.301770 73.655 -30.1207
159.667981 73.582 -30.9305
160.034191 73.511 -31.7178
160.400402 73.436 -32.5560
160.766613 73.351 -33.3864
161.132824 73.266 -34.2200
161.499035 73.174 -35.1100
161.865246 73.076 -35.9665
162.231457 72.979 -36.8317
162.597668 72.869 -37.7242
162.963879 72.756 -38.5777
163.330090 72.641 -39.4717
163.696301 72.516 -40.3678
164.062512 72.389 -41.2160
164.428723 72.259 -42.0996
164.794934 72.115 -42.9540
165.161145 71.974 -43.7913
165.527356 71.826 -44.6699
