* Measurement data measured by REW V5.40 beta 121
* Source: 
* Format: 
* Dated: Aug 12, 2026, 4:23:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 71.2 dB
* Note: ; Minimum phase copy of SUM8 Cal file effects included LF tail from 16 Hz at 24 dB/octave No HF tail
* Measurement: SUM8-MP
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 0.651 -131.4797
0.732422 0.619 96.1713
1.098633 1.203 -33.4600
1.464844 -0.960 -158.7911
1.831055 2.217 37.1476
2.197266 6.223 -44.8820
2.563477 0.304 -28.3954
2.929688 12.769 -15.4483
3.295899 15.862 -40.1771
3.662110 17.875 -30.2895
4.028321 22.885 -34.1271
4.394532 25.204 -42.9767
4.760743 27.788 -40.6233
5.126954 30.914 -45.5734
5.493164 32.898 -50.1217
5.859375 35.213 -50.9521
6.225586 37.500 -55.5861
6.591797 39.260 -58.8915
6.958008 41.246 -61.1600
7.324219 43.070 -65.3887
7.690430 44.648 -68.3973
8.056641 46.355 -71.3759
8.422852 47.888 -75.3140
8.789063 49.312 -78.3500
9.155274 50.795 -81.7108
9.521485 52.129 -85.4854
9.887696 53.421 -88.6655
10.253907 54.727 -92.2592
10.620118 55.915 -95.9771
10.986329 57.092 -99.3459
11.352540 58.257 -103.1121
11.718751 59.333 -106.8622
12.084962 60.410 -110.4421
12.451173 61.461 -114.3723
12.817384 62.446 -118.2330
13.183595 63.436 -122.0434
13.549806 64.395 -126.1638
13.916017 65.303 -130.2051
14.282228 66.218 -134.2473
14.648439 67.105 -138.5291
15.014650 67.975 -142.5967
15.380861 68.957 -146.7985
15.747072 70.006 -152.5869
16.113283 70.831 -160.2546
16.479493 71.236 -167.9297
16.845704 71.409 -173.3809
17.211915 71.747 -177.0623
17.578126 72.247 178.7261
17.944337 72.660 173.9923
18.310548 73.016 169.8452
18.676759 73.438 166.0364
19.042970 73.921 161.9838
19.409181 74.430 157.3591
19.775392 74.878 151.9677
20.141603 75.186 146.3406
20.507814 75.395 141.0537
20.874025 75.558 136.0652
21.240236 75.679 131.3423
21.606447 75.779 126.9163
21.972658 75.865 122.6990
22.338869 75.946 118.7451
22.705080 76.055 114.9069
23.071291 76.173 110.8604
23.437502 76.255 106.6379
23.803713 76.293 102.3743
24.169924 76.276 98.1809
24.536135 76.221 94.2268
24.902346 76.149 90.4460
25.268557 76.048 86.7725
25.634768 75.917 83.3623
26.000979 75.780 80.2219
26.367190 75.646 77.2842
26.733401 75.527 74.4883
27.099612 75.418 71.6440
27.465823 75.288 68.7573
27.832033 75.138 65.9536
