* Measurement data measured by REW V5.40 beta 121
* Source: EQ window target shape
* Format: 
* Dated: Aug 12, 2026, 4:20:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Target RMS8 + phase average8
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 2.5 Hz
*
* Freq(Hz) SPL(dB)
2.500000 48.847
2.518116 49.049
2.536363 49.292
2.554743 49.541
2.573256 49.791
2.591902 50.041
2.610684 50.290
2.629603 50.540
2.648658 50.789
2.667851 51.038
2.687183 51.287
2.706656 51.536
2.726269 51.785
2.746025 52.034
2.765924 52.283
2.785967 52.532
2.806155 52.780
2.826490 53.028
2.846972 53.277
2.867602 53.525
2.888382 53.772
2.909312 54.020
2.930394 54.268
2.951629 54.515
2.973018 54.762
2.994561 55.009
3.016261 55.256
3.038118 55.502
3.060134 55.748
3.082309 55.994
3.104645 56.240
3.127142 56.485
3.149803 56.730
3.172627 56.974
3.195618 57.219
3.218774 57.462
3.242099 57.706
3.265592 57.949
3.289256 58.191
3.313092 58.434
3.337100 58.675
3.361282 58.916
3.385639 59.157
3.410173 59.397
3.434884 59.636
3.459775 59.875
3.484846 60.113
3.510098 60.350
3.535534 60.586
3.561154 60.822
3.586959 61.057
3.612952 61.291
3.639133 61.524
3.665504 61.756
3.692065 61.987
3.718820 62.216
3.745768 62.445
3.772911 62.673
3.800251 62.899
3.827789 63.124
3.855527 63.348
3.883466 63.570
3.911607 63.791
3.939952 64.010
3.968503 64.227
3.997260 64.443
4.026226 64.657
4.055402 64.869
4.084789 65.079
4.114389 65.288
4.144203 65.494
4.174234 65.698
4.204482 65.900
4.234949 66.099
4.265638 66.296
4.296548 66.491
4.327683 66.683
4.359043 66.872
4.390630 67.059
4.422447 67.242
4.454494 67.423
4.486773 67.601
4.519286 67.776
4.552034 67.948
4.585020 68.117
4.618245 68.283
4.651711 68.445
4.685419 68.604
4.719372 68.759
4.753570 68.911
4.788016 69.060
4.822712 69.205
4.857660 69.347
4.892860 69.485
4.928316 69.619
4.964029 69.750
5.000000 69.877
5.036232 70.001
5.072727 70.121
5.109486 70.237
5.146511 70.350
5.183805 70.459
5.221369 70.564
5.259205 70.667
5.297315 70.765
5.335702 70.860
5.374367 70.952
5.413312 71.041
5.452539 71.126
5.492050 71.208
5.531848 71.287
5.571934 71.363
5.612310 71.435
5.652979 71.505
5.693943 71.572
5.735204 71.636
5.776763 71.698
5.818624 71.756
5.860788 71.813
5.903258 71.866
5.946036 71.918
5.989123 71.967
6.032523 72.014
6.076237 72.058
6.120268 72.101
6.164618 72.141
6.209289 72.180
6.254284 72.217
6.299605 72.252
6.345255 72.285
6.391235 72.317
6.437549 72.347
6.484198 72.375
6.531185 72.403
6.578513 72.428
6.626183 72.453
6.674199 72.476
6.722563 72.498
6.771278 72.519
6.820345 72.539
6.869768 72.558
6.919549 72.576
6.969691 72.593
7.020197 72.609
7.071068 72.624
7.122308 72.638
7.173919 72.652
7.225904 72.665
7.278266 72.677
7.331007 72.688
7.384131 72.699
7.437639 72.710
7.491535 72.719
7.545822 72.729
7.600502 72.737
7.655579 72.746
7.711054 72.754
7.766932 72.761
7.823214 72.768
7.879904 72.775
7.937005 72.781
7.994520 72.787
8.052452 72.792
8.110803 72.798
8.169577 72.803
8.228777 72.807
8.288407 72.812
8.348468 72.816
8.408964 72.820
8.469899 72.824
8.531275 72.827
8.593096 72.831
8.655366 72.834
8.718086 72.837
8.781261 72.840
8.844893 72.842
8.908987 72.845
8.973545 72.847
9.038571 72.849
9.104069 72.851
9.170040 72.853
9.236490 72.855
9.303422 72.857
9.370838 72.859
9.438743 72.860
9.507140 72.862
9.576033 72.863
