* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 1, 2026, 11:57:55 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FLX-trimmed
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
16.113281 -6.135 47.0322
16.479492 -1.644 20.3983
16.845703 -1.465 5.1113
17.211914 -1.075 5.2822
17.578125 -0.468 2.5597
17.944336 -0.302 3.2936
18.310547 0.085 3.7940
18.676758 0.171 4.6389
19.042969 0.328 5.9908
19.409179 0.354 6.9268
19.775390 0.356 8.1512
20.141601 0.316 9.0122
20.507812 0.241 9.7783
20.874023 0.151 10.3138
21.240234 0.058 10.6034
21.606445 -0.038 10.6884
21.972656 -0.112 10.6052
22.338867 -0.171 10.3523
22.705078 -0.202 10.0661
23.071288 -0.207 9.7342
23.437499 -0.189 9.4621
23.803710 -0.153 9.2757
24.169921 -0.103 9.2013
24.536132 -0.050 9.2565
24.902343 0.003 9.4385
25.268554 0.048 9.7158
25.634765 0.083 10.0847
26.000976 0.103 10.4919
26.367187 0.109 10.9202
26.733398 0.102 11.3329
27.099608 0.083 11.7028
27.465819 0.055 12.0123
27.832030 0.023 12.2498
28.198241 -0.011 12.4063
28.564452 -0.042 12.4962
28.930663 -0.066 12.5228
29.296874 -0.083 12.5115
29.663085 -0.089 12.4815
30.029296 -0.086 12.4547
30.395507 -0.075 12.4523
30.761718 -0.058 12.4898
31.127928 -0.036 12.5738
31.494139 -0.014 12.7118
31.860350 0.007 12.8957
32.226561 0.024 13.1208
32.592772 0.035 13.3737
32.958983 0.041 13.6403
33.325194 0.040 13.9074
33.691405 0.034 14.1620
34.057616 0.024 14.3923
34.423827 0.010 14.5940
34.790038 -0.004 14.7609
35.156248 -0.018 14.8962
35.522459 -0.030 15.0035
35.888670 -0.038 15.0899
36.254881 -0.043 15.1648
36.621092 -0.043 15.2380
36.987303 -0.040 15.3173
37.353514 -0.034 15.4117
37.719725 -0.026 15.5242
38.085936 -0.016 15.6584
38.452147 -0.008 15.8131
38.818358 0.000 15.9855
39.184568 0.006 16.1712
39.550779 0.009 16.3646
39.916990 0.010 16.5592
40.283201 0.008 16.7506
40.649412 0.005 16.9332
41.015623 -0.000 17.1048
41.381834 -0.005 17.2635
41.748045 -0.011 17.4096
42.114256 -0.015 17.5449
42.480467 -0.019 17.6721
42.846678 -0.021 17.7942
43.212888 -0.021 17.9154
43.579099 -0.020 18.0381
43.945310 -0.019 18.1653
44.311521 -0.016 18.2986
44.677732 -0.014 18.4385
45.043943 -0.011 18.5848
45.410154 -0.009 18.7364
45.776365 -0.007 18.8915
46.142576 -0.006 19.0488
46.508787 -0.006 19.2058
46.874997 -0.006 19.3614
47.241208 -0.007 19.5144
47.607419 -0.008 19.6641
47.973630 -0.009 19.8105
48.339841 -0.010 19.9541
48.706052 -0.011 20.0954
49.072263 -0.011 20.2357
49.438474 -0.011 20.3753
49.804685 -0.011 20.5154
50.170896 -0.011 20.6562
50.537107 -0.011 20.7981
50.903317 -0.010 20.9407
51.269528 -0.010 21.0839
51.635739 -0.010 21.2269
52.001950 -0.011 21.3695
52.368161 -0.011 21.5108
52.734372 -0.011 21.6508
53.100583 -0.012 21.7892
53.466794 -0.012 21.9263
53.833005 -0.012 22.0624
54.199216 -0.012 22.1980
54.565427 -0.011 22.3336
54.931637 -0.011 22.4700
55.297848 -0.010 22.6074
55.664059 -0.009 22.7460
56.030270 -0.009 22.8860
56.396481 -0.008 23.0270
56.762692 -0.008 23.1684
57.128903 -0.008 23.3098
57.495114 -0.008 23.4503
57.861325 -0.009 23.5893
58.227536 -0.010 23.7262
58.593747 -0.010 23.8608
58.959957 -0.011 23.9927
59.326168 -0.012 24.1222
59.692379 -0.013 24.2497
60.058590 -0.013 24.3757
60.424801 -0.013 24.5008
60.791012 -0.012 24.6259
61.157223 -0.012 24.7512
61.523434 -0.011 24.8773
61.889645 -0.010 25.0045
62.255856 -0.010 25.1327
62.622067 -0.009 25.2617
62.988277 -0.008 25.3910
63.354488 -0.008 25.5201
63.720699 -0.008 25.6483
64.086910 -0.009 25.7750
64.453121 -0.009 25.8998
64.819332 -0.010 26.0221
65.185543 -0.010 26.1419
65.551754 -0.011 26.2592
65.917965 -0.011 26.3740
66.284176 -0.012 26.4867
66.650387 -0.012 26.5976
67.016597 -0.012 26.7071
67.382808 -0.011 26.8155
67.749019 -0.011 26.9229
68.115230 -0.011 27.0296
68.481441 -0.010 27.1355
68.847652 -0.010 27.2402
69.213863 -0.010 27.3436
69.580074 -0.010 27.4452
69.946285 -0.010 27.5446
70.312496 -0.010 27.6414
70.678706 -0.010 27.7351
71.044917 -0.010 27.8255
71.411128 -0.010 27.9124
71.777339 -0.010 27.9954
72.143550 -0.010 28.0746
72.509761 -0.010 28.1498
72.875972 -0.010 28.2206
73.242183 -0.010 28.2873
73.608394 -0.010 28.3491
73.974605 -0.010 28.4059
74.340816 -0.010 28.4572
74.707026 -0.010 28.5017
75.073237 -0.010 28.5394
75.439448 -0.010 28.5686
75.805659 -0.010 28.5884
76.171870 -0.010 28.5980
76.538081 -0.011 28.5949
76.904292 -0.011 28.5783
77.270503 -0.011 28.5464
77.636714 -0.011 28.4942
78.002925 -0.011 28.4240
78.369136 -0.010 28.3234
78.735346 -0.011 28.1955
79.101557 -0.010 28.0275
79.467768 -0.011 27.8029
79.833979 -0.009 27.5257
80.200190 -0.010 27.1178
80.566401 -0.010 26.6099
80.932612 -0.009 25.6231
81.298823 -0.138 24.1899
81.665034 -0.399 23.4242
82.031245 -0.644 23.4129
82.397456 -0.865 23.6414
82.763666 -1.072 24.1364
83.129877 -1.254 24.7857
83.496088 -1.422 25.5743
83.862299 -1.567 26.4758
84.228510 -1.696 27.4564
84.594721 -1.805 28.5144
84.960932 -1.896 29.6213
85.327143 -1.970 30.7718
85.693354 -2.026 31.9499
86.059565 -2.065 33.1450
86.425776 -2.087 34.3476
86.791986 -2.092 35.5466
87.158197 -2.082 36.7338
87.524408 -2.057 37.8999
87.890619 -2.016 39.0357
88.256830 -1.961 40.1316
88.623041 -1.892 41.1808
88.989252 -1.809 42.1726
89.355463 -1.714 43.1003
89.721674 -1.608 43.9563
90.087885 -1.490 44.7328
90.454096 -1.363 45.4189
90.820306 -1.226 46.0136
91.186517 -1.082 46.4919
91.552728 -0.933 46.8712
91.918939 -0.776 47.1064
92.285150 -0.621 47.2229
92.651361 -0.458 47.1824
93.017572 -0.305 46.9473
93.383783 -0.142 46.5417
93.749994 -0.014 45.5625
94.116205 -0.006 44.6337
94.482415 -0.013 44.2241
94.848626 -0.008 43.8540
95.214837 -0.012 43.5923
95.581048 -0.009 43.3844
95.947259 -0.011 43.2032
96.313470 -0.010 43.0699
96.679681 -0.010 42.9454
97.045892 -0.010 42.8512
97.412103 -0.010 42.7669
97.778314 -0.010 42.6981
98.144525 -0.010 42.6396
98.510735 -0.010 42.5900
98.876946 -0.010 42.5474
99.243157 -0.010 42.5116
99.609368 -0.010 42.4794
99.975579 -0.010 42.4520
100.341790 -0.010 42.4268
100.708001 -0.010 42.4040
101.074212 -0.010 42.3826
101.440423 -0.010 42.3619
101.806634 -0.010 42.3416
102.172845 -0.010 42.3212
102.539055 -0.010 42.2997
102.905266 -0.010 42.2773
103.271477 -0.010 42.2529
103.637688 -0.010 42.2262
104.003899 -0.010 42.1967
104.370110 -0.010 42.1633
104.736321 -0.010 42.1257
105.102532 -0.010 42.0831
105.468743 -0.010 42.0345
105.834954 -0.010 41.9794
106.201165 -0.010 41.9167
106.567375 -0.010 41.8454
106.933586 -0.011 41.7649
107.299797 -0.011 41.6734
107.666008 -0.011 41.5701
108.032219 -0.011 41.4534
108.398430 -0.010 41.3208
108.764641 -0.010 41.1708
109.130852 -0.010 41.0002
109.497063 -0.010 40.8038
109.863274 -0.010 40.5809
110.229485 -0.010 40.3162
110.595695 -0.010 40.0125
110.961906 -0.010 39.6380
111.328117 -0.011 39.1830
111.694328 -0.009 38.5440
112.060539 -0.050 37.6007
112.426750 -0.163 36.7650
112.792961 -0.296 36.2468
113.159172 -0.431 35.8653
113.525383 -0.570 35.6268
113.891594 -0.708 35.4905
114.257805 -0.847 35.4486
114.624015 -0.982 35.4989
114.990226 -1.116 35.6218
115.356437 -1.245 35.8185
115.722648 -1.369 36.0735
116.088859 -1.489 36.3833
116.455070 -1.603 36.7387
116.821281 -1.711 37.1330
117.187492 -1.814 37.5598
117.553703 -1.912 38.0133
117.919914 -2.004 38.4878
118.286124 -2.091 38.9796
118.652335 -2.174 39.4843
119.018546 -2.253 39.9997
119.384757 -2.328 40.5238
119.750968 -2.399 41.0555
120.117179 -2.467 41.5943
120.483390 -2.533 42.1401
120.849601 -2.596 42.6934
121.215812 -2.657 43.2550
121.582023 -2.716 43.8255
121.948234 -2.773 44.4063
122.314444 -2.827 44.9987
122.680655 -2.880 45.6038
123.046866 -2.929 46.2224
123.413077 -2.977 46.8550
123.779288 -3.021 47.5015
124.145499 -3.061 48.1618
124.511710 -3.098 48.8349
124.877921 -3.131 49.5196
125.244132 -3.160 50.2143
125.610343 -3.184 50.9169
125.976554 -3.203 51.6248
126.342764 -3.216 52.3348
126.708975 -3.224 53.0433
127.075186 -3.227 53.7464
127.441397 -3.224 54.4399
127.807608 -3.216 55.1197
128.173819 -3.202 55.7817
128.540030 -3.184 56.4217
128.906241 -3.161 57.0355
129.272452 -3.133 57.6194
129.638663 -3.102 58.1696
130.004874 -3.068 58.6831
130.371084 -3.031 59.1570
130.737295 -2.993 59.5896
131.103506 -2.954 59.9797
131.469717 -2.915 60.3270
131.835928 -2.877 60.6316
132.202139 -2.841 60.8948
132.568350 -2.808 61.1184
132.934561 -2.777 61.3053
133.300772 -2.752 61.4590
133.666983 -2.731 61.5838
134.033194 -2.715 61.6845
134.399404 -2.705 61.7662
134.765615 -2.702 61.8347
135.131826 -2.705 61.8965
135.498037 -2.715 61.9578
135.864248 -2.732 62.0248
136.230459 -2.755 62.1039
136.596670 -2.783 62.2007
136.962881 -2.818 62.3205
137.329092 -2.857 62.4684
137.695303 -2.900 62.6483
138.061514 -2.947 62.8635
138.427724 -2.996 63.1163
138.793935 -3.048 63.4087
139.160146 -3.100 63.7420
139.526357 -3.153 64.1163
139.892568 -3.206 64.5314
140.258779 -3.257 64.9862
140.624990 -3.306 65.4791
140.991201 -3.353 66.0079
141.357412 -3.397 66.5700
141.723623 -3.437 67.1621
142.089833 -3.472 67.7807
142.456044 -3.503 68.4219
142.822255 -3.529 69.0819
143.188466 -3.550 69.7571
143.554677 -3.566 70.4433
143.920888 -3.577 71.1366
144.287099 -3.582 71.8332
144.653310 -3.583 72.5294
145.019521 -3.578 73.2215
145.385732 -3.568 73.9066
145.751943 -3.554 74.5816
146.118153 -3.536 75.2434
146.484364 -3.513 75.8891
146.850575 -3.487 76.5165
147.216786 -3.458 77.1235
147.582997 -3.426 77.7088
147.949208 -3.393 78.2716
148.315419 -3.357 78.8114
148.681630 -3.320 79.3285
149.047841 -3.282 79.8231
149.414052 -3.244 80.2960
149.780263 -3.206 80.7483
150.146473 -3.168 81.1808
150.512684 -3.130 81.5948
150.878895 -3.093 81.9916
151.245106 -3.058 82.3732
151.611317 -3.024 82.7415
151.977528 -2.991 83.0985
152.343739 -2.959 83.4462
152.709950 -2.930 83.7866
153.076161 -2.902 84.1218
153.442372 -2.875 84.4536
153.808583 -2.850 84.7836
154.174793 -2.827 85.1139
154.541004 -2.805 85.4457
154.907215 -2.784 85.7807
155.273426 -2.765 86.1201
155.639637 -2.746 86.4656
156.005848 -2.728 86.8186
156.372059 -2.711 87.1807
156.738270 -2.695 87.5522
157.104481 -2.678 87.9347
157.470692 -2.661 88.3286
157.836903 -2.645 88.7343
158.203113 -2.627 89.1544
158.569324 -2.609 89.5875
158.935535 -2.590 90.0483
159.301746 -2.565 90.5306
159.667957 -2.535 90.9991
160.034168 -2.504 91.4556
160.400379 -2.471 91.9105
160.766590 -2.436 92.3627
161.132801 -2.399 92.8137
