* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 1, 2026, 11:57:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FRX-trimmed
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
16.113281 -6.134 47.3963
16.479492 -1.644 20.7683
16.845703 -1.466 5.4890
17.211914 -1.075 5.6671
17.578125 -0.469 2.9509
17.944336 -0.303 3.6926
18.310547 0.084 4.1995
18.676758 0.171 5.0524
19.042969 0.328 6.4118
19.409179 0.354 7.3560
19.775390 0.356 8.5889
20.141601 0.316 9.4588
20.507812 0.241 10.2341
20.874023 0.152 10.7792
21.240234 0.059 11.0785
21.606445 -0.038 11.1735
21.972656 -0.111 11.1001
22.338867 -0.171 10.8568
22.705078 -0.201 10.5798
23.071288 -0.207 10.2567
23.437499 -0.189 9.9930
23.803710 -0.153 9.8147
24.169921 -0.103 9.7480
24.536132 -0.051 9.8108
24.902343 0.003 10.0003
25.268554 0.048 10.2853
25.634765 0.082 10.6622
26.000976 0.103 11.0776
26.367187 0.109 11.5146
26.733398 0.102 11.9364
27.099608 0.083 12.3157
27.465819 0.055 12.6351
27.832030 0.023 12.8825
28.198241 -0.011 13.0492
28.564452 -0.041 13.1493
28.930663 -0.066 13.1858
29.296874 -0.082 13.1844
29.663085 -0.089 13.1639
30.029296 -0.086 13.1462
30.395507 -0.076 13.1527
30.761718 -0.058 13.1988
31.127928 -0.037 13.2912
31.494139 -0.015 13.4376
31.860350 0.006 13.6300
32.226561 0.023 13.8637
32.592772 0.035 14.1254
32.958983 0.041 14.4013
33.325194 0.040 14.6779
33.691405 0.035 14.9423
34.057616 0.024 15.1827
34.423827 0.011 15.3946
34.790038 -0.004 15.5720
35.156248 -0.018 15.7178
35.522459 -0.029 15.8355
35.888670 -0.038 15.9322
36.254881 -0.043 16.0174
36.621092 -0.043 16.1005
36.987303 -0.040 16.1896
37.353514 -0.034 16.2937
37.719725 -0.026 16.4158
38.085936 -0.017 16.5595
38.452147 -0.008 16.7238
38.818358 -0.000 16.9059
39.184568 0.006 17.1015
39.550779 0.009 17.3050
39.916990 0.010 17.5099
40.283201 0.008 17.7118
40.649412 0.005 17.9051
41.015623 0.000 18.0876
41.381834 -0.005 18.2573
41.748045 -0.010 18.4145
42.114256 -0.015 18.5609
42.480467 -0.018 18.6992
42.846678 -0.021 18.8323
43.212888 -0.021 18.9645
43.579099 -0.021 19.0981
43.945310 -0.019 19.2363
44.311521 -0.016 19.3805
44.677732 -0.014 19.5314
45.043943 -0.011 19.6887
45.410154 -0.009 19.8516
45.776365 -0.007 20.0180
46.142576 -0.006 20.1867
46.508787 -0.006 20.3553
46.874997 -0.006 20.5227
47.241208 -0.007 20.6875
47.607419 -0.008 20.8492
47.973630 -0.009 21.0077
48.339841 -0.010 21.1634
48.706052 -0.011 21.3170
49.072263 -0.011 21.4695
49.438474 -0.011 21.6215
49.804685 -0.011 21.7740
50.170896 -0.011 21.9273
50.537107 -0.011 22.0818
50.903317 -0.010 22.2372
51.269528 -0.010 22.3932
51.635739 -0.010 22.5492
52.001950 -0.011 22.7050
52.368161 -0.011 22.8595
52.734372 -0.011 23.0129
53.100583 -0.012 23.1649
53.466794 -0.012 23.3156
53.833005 -0.012 23.4655
54.199216 -0.012 23.6150
54.565427 -0.011 23.7645
54.931637 -0.011 23.9151
55.297848 -0.010 24.0666
55.664059 -0.009 24.2197
56.030270 -0.009 24.3742
56.396481 -0.008 24.5298
56.762692 -0.008 24.6862
57.128903 -0.008 24.8427
57.495114 -0.008 24.9985
57.861325 -0.009 25.1532
58.227536 -0.010 25.3058
58.593747 -0.010 25.4564
58.959957 -0.011 25.6045
59.326168 -0.012 25.7504
59.692379 -0.013 25.8945
60.058590 -0.013 26.0373
60.424801 -0.013 26.1793
60.791012 -0.012 26.3214
61.157223 -0.012 26.4641
61.523434 -0.011 26.6078
61.889645 -0.010 26.7527
62.255856 -0.010 26.8990
62.622067 -0.009 27.0463
62.988277 -0.008 27.1943
63.354488 -0.008 27.3423
63.720699 -0.008 27.4898
64.086910 -0.009 27.6362
64.453121 -0.009 27.7810
64.819332 -0.010 27.9237
65.185543 -0.010 28.0642
65.551754 -0.011 28.2025
65.917965 -0.011 28.3387
66.284176 -0.012 28.4731
66.650387 -0.012 28.6061
67.016597 -0.012 28.7380
67.382808 -0.011 28.8692
67.749019 -0.011 28.9998
68.115230 -0.011 29.1300
68.481441 -0.010 29.2598
68.847652 -0.010 29.3889
69.213863 -0.010 29.5171
69.580074 -0.010 29.6440
69.946285 -0.010 29.7689
70.312496 -0.010 29.8918
70.678706 -0.010 30.0118
71.044917 -0.010 30.1290
71.411128 -0.010 30.2428
71.777339 -0.010 30.3530
72.143550 -0.010 30.4594
72.509761 -0.010 30.5619
72.875972 -0.010 30.6596
73.242183 -0.010 30.7530
73.608394 -0.010 30.8405
73.974605 -0.010 30.9220
74.340816 -0.010 30.9964
74.707026 -0.010 31.0610
75.073237 -0.010 31.1162
75.439448 -0.010 31.1573
75.805659 -0.011 31.1810
76.171870 -0.010 31.1874
76.538081 -0.011 31.1579
76.904292 -0.011 31.1032
77.270503 -0.010 30.9752
77.636714 -0.012 30.7813
78.002925 -0.009 30.3403
78.369136 -0.081 29.5592
78.735346 -0.250 29.1823
79.101557 -0.409 29.3850
79.467768 -0.546 29.7614
79.833979 -0.671 30.3412
80.200190 -0.773 31.0415
80.566401 -0.859 31.8413
80.932612 -0.923 32.7208
81.298823 -0.969 33.6432
81.665034 -0.993 34.6023
82.031245 -0.997 35.5676
82.397456 -0.982 36.5244
82.763666 -0.945 37.4615
83.129877 -0.889 38.3383
83.496088 -0.815 39.1689
83.862299 -0.718 39.8876
84.228510 -0.610 40.5100
84.594721 -0.474 40.9830
84.960932 -0.336 41.2319
85.327143 -0.165 41.2842
85.693354 -0.015 40.5627
86.059565 -0.005 39.7832
86.425776 -0.014 39.5744
86.791986 -0.006 39.3720
87.158197 -0.012 39.2711
87.524408 -0.008 39.2127
87.890619 -0.011 39.1665
88.256830 -0.010 39.1633
88.623041 -0.010 39.1564
88.989252 -0.010 39.1752
89.355463 -0.010 39.1956
89.721674 -0.011 39.2263
90.087885 -0.011 39.2621
90.454096 -0.011 39.3024
90.820306 -0.011 39.3460
91.186517 -0.011 39.3935
91.552728 -0.010 39.4417
91.918939 -0.010 39.4930
92.285150 -0.010 39.5444
92.651361 -0.010 39.5968
93.017572 -0.010 39.6490
93.383783 -0.010 39.7008
93.749994 -0.010 39.7514
94.116205 -0.010 39.8009
94.482415 -0.010 39.8481
94.848626 -0.010 39.8936
95.214837 -0.010 39.9362
95.581048 -0.010 39.9761
95.947259 -0.010 40.0129
96.313470 -0.010 40.0463
96.679681 -0.010 40.0759
97.045892 -0.010 40.1017
97.412103 -0.010 40.1230
97.778314 -0.010 40.1396
98.144525 -0.010 40.1509
98.510735 -0.010 40.1565
98.876946 -0.010 40.1555
99.243157 -0.010 40.1479
99.609368 -0.010 40.1324
99.975579 -0.010 40.1088
100.341790 -0.010 40.0759
100.708001 -0.010 40.0332
101.074212 -0.011 39.9797
101.440423 -0.010 39.9146
101.806634 -0.010 39.8362
102.172845 -0.010 39.7445
102.539055 -0.010 39.6362
102.905266 -0.010 39.5115
103.271477 -0.010 39.3670
103.637688 -0.010 39.2004
104.003899 -0.010 39.0094
104.370110 -0.010 38.7906
104.736321 -0.010 38.5361
105.102532 -0.010 38.2502
105.468743 -0.010 37.9081
105.834954 -0.011 37.5261
106.201165 -0.009 37.0642
106.567375 -0.012 36.5259
106.933586 -0.008 35.8884
107.299797 -0.013 35.0581
107.666008 -0.008 34.0951
108.032219 -0.013 32.3870
108.398430 -0.195 30.2543
108.764641 -0.507 28.9140
109.130852 -0.816 28.2249
109.497063 -1.123 27.8570
109.863274 -1.420 27.7854
110.229485 -1.709 27.9045
110.595695 -1.990 28.2250
110.961906 -2.261 28.6969
111.328117 -2.523 29.3181
111.694328 -2.774 30.0718
112.060539 -3.016 30.9458
112.426750 -3.246 31.9418
112.792961 -3.466 33.0430
113.159172 -3.672 34.2986
113.525383 -3.852 35.6378
113.891594 -4.016 36.9837
114.257805 -4.168 38.3886
114.624015 -4.305 39.8323
114.990226 -4.429 41.3160
115.356437 -4.540 42.8355
115.722648 -4.636 44.3814
116.088859 -4.719 45.9526
116.455070 -4.789 47.5409
116.821281 -4.845 49.1421
117.187492 -4.887 50.7502
117.553703 -4.916 52.3599
117.919914 -4.932 53.9656
118.286124 -4.935 55.5620
118.652335 -4.925 57.1437
119.018546 -4.903 58.7057
119.384757 -4.868 60.2430
119.750968 -4.823 61.7510
120.117179 -4.765 63.2252
120.483390 -4.697 64.6609
120.849601 -4.619 66.0539
121.215812 -4.531 67.4001
121.582023 -4.434 68.6954
121.948234 -4.329 69.9367
122.314444 -4.216 71.1207
122.680655 -4.096 72.2449
123.046866 -3.970 73.3070
123.413077 -3.839 74.3053
123.779288 -3.703 75.2385
124.145499 -3.564 76.1060
124.511710 -3.422 76.9075
124.877921 -3.278 77.6438
125.244132 -3.132 78.3163
125.610343 -2.987 78.9267
125.976554 -2.842 79.4777
126.342764 -2.697 79.9719
126.708975 -2.554 80.4123
127.075186 -2.413 80.8023
127.441397 -2.274 81.1454
127.807608 -2.138 81.4454
128.173819 -2.004 81.7061
128.540030 -1.872 81.9306
128.906241 -1.744 82.1223
129.272452 -1.617 82.2832
129.638663 -1.493 82.4155
130.004874 -1.370 82.5202
130.371084 -1.248 82.5968
130.737295 -1.128 82.6456
131.103506 -1.007 82.6639
131.469717 -0.887 82.6473
131.835928 -0.766 82.5942
132.202139 -0.643 82.4892
132.568350 -0.520 82.3318
132.934561 -0.394 82.0897
133.300772 -0.267 81.7504
133.666983 -0.137 81.2070
134.033194 -0.043 80.3485
134.399404 -0.018 79.5425
134.765615 -0.013 79.0007
135.131826 -0.010 78.5720
135.498037 -0.011 78.2398
135.864248 -0.010 77.9683
136.230459 -0.010 77.7408
136.596670 -0.010 77.5542
136.962881 -0.010 77.3942
137.329092 -0.010 77.2625
137.695303 -0.010 77.1509
138.061514 -0.010 77.0590
138.427724 -0.010 76.9838
138.793935 -0.010 76.9232
139.160146 -0.010 76.8759
139.526357 -0.010 76.8406
139.892568 -0.010 76.8158
140.258779 -0.010 76.8009
140.624990 -0.010 76.7946
140.991201 -0.010 76.7964
141.357412 -0.010 76.8054
141.723623 -0.010 76.8209
142.089833 -0.010 76.8426
142.456044 -0.010 76.8697
142.822255 -0.010 76.9018
143.188466 -0.010 76.9386
143.554677 -0.010 76.9795
143.920888 -0.010 77.0242
144.287099 -0.010 77.0725
144.653310 -0.010 77.1239
145.019521 -0.010 77.1781
145.385732 -0.010 77.2346
145.751943 -0.010 77.2933
146.118153 -0.010 77.3537
146.484364 -0.010 77.4155
146.850575 -0.010 77.4782
147.216786 -0.010 77.5416
147.582997 -0.010 77.6049
147.949208 -0.010 77.6681
148.315419 -0.010 77.7304
148.681630 -0.010 77.7914
149.047841 -0.010 77.8504
149.414052 -0.010 77.9068
149.780263 -0.010 77.9588
150.146473 -0.010 78.0079
150.512684 -0.010 78.0477
150.878895 -0.010 78.0838
151.245106 -0.010 78.1047
151.611317 -0.011 78.1146
151.977528 -0.009 78.1061
152.343739 -0.011 78.0587
152.709950 -0.009 77.9920
153.076161 -0.011 77.7498
153.442372 -0.054 77.4571
153.808583 -0.118 77.3476
154.174793 -0.182 77.3406
154.541004 -0.249 77.4265
154.907215 -0.311 77.5840
155.273426 -0.373 77.7941
155.639637 -0.431 78.0581
156.005848 -0.485 78.3615
156.372059 -0.537 78.7065
156.738270 -0.584 79.0850
157.104481 -0.627 79.4957
157.470692 -0.666 79.9349
157.836903 -0.701 80.3995
158.203113 -0.730 80.8868
158.569324 -0.755 81.3942
158.935535 -0.774 81.9224
159.301746 -0.787 82.4675
159.667957 -0.792 83.0146
160.034168 -0.793 83.5615
160.400379 -0.787 84.1075
160.766590 -0.776 84.6497
161.132801 -0.759 85.1850
