* Measurement data measured by REW V5.40 beta 133
* Source: Trace Arithmetic result A / B
* Format: Trace Arithmetic result A / B
* Dated: Sep 1, 2026, 11:42:38 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A over B A = Target LR.RMS B = RX-MP Maximum gain 0.0 dB Lower frequency limit 80 Hz Upper frequency limit 225 Hz 
* Measurement: Fr
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 16.113281 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
16.113281 -0.000 0.0000
16.230045 -0.000 -0.0000
16.347654 0.000 -0.0000
16.466116 0.000 -0.0000
16.585436 0.000 -0.0000
16.705621 -0.000 -0.0000
16.826677 -0.000 -0.0000
16.948610 -0.000 -0.0000
17.071427 0.000 0.0000
17.195133 0.000 0.0000
17.319736 0.000 0.0000
17.445242 -0.000 -0.0000
17.571658 -0.000 -0.0000
17.698989 -0.000 -0.0000
17.827243 0.000 -0.0000
17.956427 0.000 -0.0000
18.086547 0.000 -0.0000
18.217609 -0.000 -0.0000
18.349622 -0.000 -0.0000
18.482590 -0.000 -0.0000
18.616523 0.000 0.0000
18.751426 0.000 0.0000
18.887307 -0.000 0.0000
19.024172 -0.000 0.0000
19.162029 -0.000 0.0000
19.300885 0.000 0.0000
19.440747 0.000 0.0000
19.581622 -0.000 0.0000
19.723519 -0.000 0.0000
19.866444 -0.000 0.0000
20.010404 0.000 0.0000
20.155408 0.000 0.0000
20.301462 0.000 0.0000
20.448575 -0.000 0.0000
20.596754 -0.000 -0.0000
20.746006 0.000 -0.0000
20.896340 0.000 -0.0000
21.047764 -0.000 -0.0000
21.200285 -0.000 -0.0000
21.353911 -0.000 -0.0000
21.508650 0.000 -0.0000
21.664511 0.000 -0.0000
21.821501 -0.000 -0.0000
21.979628 -0.000 0.0000
22.138902 -0.000 0.0000
22.299329 0.000 0.0000
22.460919 0.000 0.0000
22.623680 -0.000 0.0000
22.787621 -0.000 0.0000
22.952749 0.000 0.0000
23.119074 0.000 0.0000
23.286605 -0.000 0.0000
23.455349 -0.000 0.0000
23.625316 0.000 -0.0000
23.796515 0.000 -0.0000
23.968954 0.000 -0.0000
24.142643 -0.000 -0.0000
24.317591 -0.000 -0.0000
24.493806 0.000 -0.0000
24.671298 0.000 -0.0000
24.850077 -0.000 -0.0000
25.030151 -0.000 0.0000
25.211529 0.000 0.0000
25.394223 0.000 0.0000
25.578240 -0.000 0.0000
25.763590 -0.000 -0.0000
25.950284 0.000 -0.0000
26.138330 0.000 -0.0000
26.327739 -0.000 -0.0000
26.518521 -0.000 -0.0000
26.710685 0.000 -0.0000
26.904242 0.000 -0.0000
27.099201 -0.000 0.0000
27.295573 0.000 0.0000
27.493368 0.000 0.0000
27.692596 -0.000 0.0000
27.893268 -0.000 0.0000
28.095394 0.000 -0.0000
28.298985 0.000 -0.0000
28.504051 -0.000 -0.0000
28.710603 -0.000 -0.0000
28.918652 0.000 0.0000
29.128209 -0.000 0.0000
29.339284 -0.000 0.0000
29.551888 0.000 0.0000
29.766033 0.000 0.0000
29.981730 -0.000 0.0000
30.198990 -0.000 0.0000
30.417825 0.000 0.0000
30.638245 -0.000 0.0000
30.860262 -0.000 0.0000
31.083888 0.000 0.0000
31.309135 -0.000 0.0000
31.536014 -0.000 0.0000
31.764537 0.000 0.0000
31.994716 0.000 -0.0000
32.226563 -0.000 -0.0000
32.460089 0.000 -0.0000
32.695309 0.000 -0.0000
32.932232 -0.000 -0.0000
33.170873 0.000 -0.0000
33.411243 0.000 -0.0000
33.653354 -0.000 -0.0000
33.897220 0.000 0.0000
34.142854 0.000 0.0000
34.390267 -0.000 0.0000
34.639473 0.000 0.0000
34.890485 0.000 -0.0000
35.143316 -0.000 -0.0000
35.397979 0.000 -0.0000
35.654487 0.000 -0.0000
35.912854 -0.000 -0.0000
36.173093 0.000 -0.0000
36.435218 0.000 -0.0000
36.699243 -0.000 -0.0000
36.965181 0.000 0.0000
37.233046 -0.000 0.0000
37.502852 -0.000 0.0000
37.774613 0.000 0.0000
38.048343 -0.000 0.0000
38.324057 0.000 0.0000
38.601769 0.000 0.0000
38.881494 -0.000 0.0000
39.163245 0.000 0.0000
39.447038 -0.000 0.0000
39.732888 0.000 -0.0000
40.020808 0.000 -0.0000
40.310816 -0.000 -0.0000
40.602924 0.000 -0.0000
40.897150 -0.000 -0.0000
41.193508 0.000 -0.0000
41.492013 0.000 -0.0000
41.792681 -0.000 -0.0000
42.095528 0.000 -0.0000
42.400570 -0.000 -0.0000
42.707822 0.000 -0.0000
43.017300 0.000 -0.0000
43.329021 -0.000 -0.0000
43.643001 0.000 -0.0000
43.959256 -0.000 -0.0000
44.277803 0.000 -0.0000
44.598658 -0.000 -0.0000
44.921839 0.000 -0.0000
45.247361 -0.000 -0.0000
45.575242 -0.000 0.0000
45.905499 0.000 0.0000
46.238149 -0.000 0.0000
46.573210 0.000 0.0000
46.910698 -0.000 -0.0000
47.250633 0.000 -0.0000
47.593030 -0.000 -0.0000
47.937909 0.000 -0.0000
48.285287 -0.000 -0.0000
48.635182 0.000 0.0000
48.987612 -0.000 0.0000
49.342597 0.000 0.0000
49.700154 -0.000 -0.0000
50.060301 0.000 -0.0000
50.423059 -0.000 -0.0000
50.788445 0.000 0.0000
51.156479 -0.000 0.0000
51.527180 0.000 0.0000
51.900567 -0.000 0.0000
52.276660 0.000 0.0000
52.655478 -0.000 0.0000
53.037042 0.000 -0.0000
53.421370 -0.000 -0.0000
53.808483 0.000 -0.0000
54.198402 -0.000 0.0000
54.591146 0.000 -0.0000
54.986736 -0.000 0.0000
55.385192 0.000 0.0004
55.786536 -0.000 -0.0019
56.190788 0.000 -0.0286
56.597970 0.000 -0.1225
57.008102 -0.000 -0.3309
57.421206 0.000 -0.6815
57.837304 -0.000 -1.1813
58.256417 0.000 -1.8272
58.678567 -0.000 -2.6063
59.103776 0.000 -3.4905
59.532067 -0.000 -4.4390
59.963460 -0.000 -5.4074
60.397980 0.000 -6.3545
60.835649 -0.000 -7.2467
61.276489 0.000 -8.0583
61.720524 0.000 -8.7699
62.167776 -0.000 -9.3682
62.618270 0.000 -9.8452
63.072027 -0.000 -10.1969
63.529073 0.000 -10.4224
63.989431 0.000 -10.5235
64.453125 -0.000 -10.5044
64.920179 0.000 -10.3712
65.390617 0.000 -10.1320
65.864465 -0.000 -9.7971
66.341746 0.000 -9.3791
66.822485 -0.000 -8.8923
67.306709 -0.000 -8.3553
67.794441 0.000 -7.7906
68.285707 -0.000 -7.2240
68.780534 -0.000 -6.6874
69.278946 0.000 -6.2197
69.780970 0.000 -5.8642
70.286631 -0.000 -5.6742
70.795957 0.000 -5.7087
71.308974 0.000 -6.0285
71.825708 -0.000 -6.6944
72.346187 -0.000 -7.7481
72.870437 0.000 -9.1939
73.398486 -0.000 -10.9748
73.930362 -0.000 -12.9595
74.466092 -0.000 -14.9531
75.005704 -0.000 -16.7579
75.549226 -0.000 -18.2015
76.096687 -0.001 -19.1865
76.648115 -0.004 -19.6740
77.203539 -0.017 -19.6722
77.762987 -0.058 -19.2197
78.326490 -0.155 -18.3630
78.894076 -0.315 -17.1456
79.465775 -0.502 -15.6049
80.041617 -0.674 -13.7928
80.621631 -0.810 -11.7636
81.205849 -0.899 -9.5689
81.794300 -0.936 -7.2609
82.387015 -0.920 -4.8904
82.984025 -0.851 -2.5090
83.585362 -0.730 -0.1673
84.191056 -0.564 2.0850
84.801139 -0.372 4.1953
85.415643 -0.195 6.1101
86.034600 -0.076 7.7964
86.658042 -0.023 9.2305
87.286002 -0.005 10.3744
87.918512 -0.001 11.1835
88.555606 -0.000 11.6230
89.197317 -0.000 11.6676
89.843677 -0.000 11.3047
90.494721 0.000 10.5391
91.150484 0.000 9.3970
91.810997 0.000 7.9297
92.476298 0.000 6.2087
93.146419 0.000 4.3143
93.821397 -0.000 2.3192
94.501265 -0.000 0.2720
95.186060 -0.000 -1.8135
95.875818 -0.000 -3.9601
96.570573 -0.000 -6.2193
97.270363 -0.000 -8.6579
97.975225 -0.000 -11.3416
98.685194 0.000 -14.3171
99.400307 0.000 -17.5960
100.120603 0.000 -21.1413
100.846118 0.000 -24.8613
101.576890 -0.000 -28.6163
102.312958 -0.000 -32.2376
103.054360 -0.000 -35.5553
103.801135 -0.000 -38.4233
104.553320 -0.000 -40.7357
105.310957 -0.002 -42.4319
106.074084 -0.011 -43.4905
106.842740 -0.045 -43.9194
107.616967 -0.156 -43.7536
108.396804 -0.419 -43.0429
109.182291 -0.859 -41.8130
109.973471 -1.413 -40.0774
110.770384 -2.000 -37.8734
111.573072 -2.569 -35.2428
112.381577 -3.095 -32.2067
113.195940 -3.562 -28.7584
114.016204 -3.959 -24.9283
114.842413 -4.284 -20.8316
115.674608 -4.535 -16.5825
116.512834 -4.714 -12.2519
117.357134 -4.822 -7.8982
118.207552 -4.858 -3.5806
119.064133 -4.823 0.6395
119.926921 -4.722 4.7005
120.795961 -4.559 8.5422
121.671298 -4.340 12.1085
122.552979 -4.073 15.3513
123.441048 -3.770 18.2350
124.335553 -3.439 20.7405
125.236539 -3.093 22.8681
126.144055 -2.742 24.6397
127.058147 -2.393 26.0960
127.978862 -2.052 27.2912
128.906250 -1.721 28.2835
129.840358 -1.399 29.1252
130.781235 -1.083 29.8516
131.728929 -0.775 30.4733
132.683491 -0.485 30.9707
133.644971 -0.249 31.2968
134.613417 -0.099 31.3853
135.588882 -0.030 31.1565
136.571415 -0.007 30.5300
137.561067 -0.002 29.4506
138.557891 -0.000 27.9117
139.561939 -0.000 25.9676
140.573262 -0.000 23.7357
141.591914 -0.000 21.3810
142.617948 -0.000 19.0836
143.651416 -0.000 17.0043
144.692373 -0.000 15.2592
145.740874 -0.000 13.9108
146.796972 -0.000 12.9727
147.860724 -0.000 12.4253
148.932184 -0.000 12.2347
150.011408 -0.002 12.3676
151.098452 -0.011 12.7983
152.193374 -0.040 13.5099
153.296230 -0.110 14.4938
154.407077 -0.232 15.7533
155.525975 -0.381 17.2932
156.652980 -0.525 19.1016
157.788152 -0.639 21.1413
158.931550 -0.709 23.3281
160.083234 -0.726 25.5529
161.243263 -0.686 27.7622
162.411698 -0.592 29.9297
163.588600 -0.451 32.0053
164.774030 -0.288 33.9261
165.968051 -0.144 35.6331
167.170724 -0.055 37.0892
168.382112 -0.016 38.2624
169.602278 -0.004 39.1121
170.831286 -0.001 39.6037
172.069200 -0.000 39.7136
173.316084 -0.000 39.4280
174.572004 -0.000 38.7412
175.837025 -0.000 37.6538
177.111212 -0.000 36.1685
178.394633 -0.000 34.2861
179.687354 -0.000 32.0047
180.989443 0.000 29.3231
182.300967 0.000 26.2533
183.621995 0.000 22.8396
184.952596 0.000 19.1787
186.292838 0.000 15.4298
187.642793 0.000 11.8011
189.002530 0.000 8.5110
190.372120 0.000 5.7400
191.751635 0.000 3.5946
193.141147 0.000 2.0964
194.540727 0.000 1.1957
195.950449 0.000 0.7976
197.370387 0.000 0.7867
198.800614 0.000 1.0474
200.241205 0.000 1.4753
201.692236 0.000 1.9826
203.153781 0.000 2.5004
204.625917 -0.000 2.9785
206.108721 -0.000 3.3848
207.602269 -0.000 3.7061
209.106641 -0.000 3.9469
210.621914 0.000 4.1280
212.148167 0.000 4.2825
213.685480 0.000 4.4496
215.233933 0.000 4.6674
216.793607 0.000 4.9663
218.364583 0.000 5.3649
219.946943 0.000 5.8689
221.540769 0.000 6.4723
223.146145 0.000 7.1590
224.763154 0.000 7.9059
226.391880 0.000 8.6846
228.032409 0.000 9.4621
229.684826 -0.000 10.2014
231.349217 -0.000 10.8632
233.025668 -0.000 11.4061
234.714269 -0.000 11.7879
236.415105 -0.000 11.9664
238.128266 -0.000 11.9023
239.853842 -0.000 11.5658
241.591922 -0.000 10.9475
243.342596 -0.000 10.0716
245.105957 -0.000 9.0059
246.882096 -0.000 7.8589
248.671105 -0.000 6.7599
250.473079 -0.000 5.8260
252.288110 0.000 5.1318
254.116293 0.000 4.6970
255.957725 0.000 4.4933
257.812500 0.000 4.4638
259.680716 0.000 4.5431
261.562469 0.000 4.6720
