* Measurement data measured by REW V5.40 beta 133
* Source: U18dB [plughw:2,0], Mic (Mic), R, Volume: 1.000. Timing signal peak level -27.2 dBFS, measurement signal peak level -16.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 28, 2026, 2:34:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 28 aug 2026 Multi point measurement Position 3: Main Listener  4.51m from front wall 3.63m from L and R speakers 2 screen panels prolongation - new setup DAC level -28dB MIC HEIGHT: 1.060m mic boom arm height: 1.040 PICTURES: 2026.08.25_ROOM.png measurement starts from 16Hz (REW LF tail starts from 16) -12dBFS OKTO -28dB DELAY -0.0002 ms (-0.07 mm, -0 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.2 ppm
* Measurement: L MPM.0.a
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
16.113281 70.863 -166.6728
16.479492 71.845 -172.1481
16.845703 72.441 -178.5308
17.211914 72.352 176.4243
17.578125 72.413 175.4243
17.944336 73.185 172.6324
18.310547 73.854 167.6296
18.676758 74.554 164.1677
19.042969 75.413 158.8624
19.409179 75.840 152.0482
19.775390 76.177 146.9539
20.141601 76.731 140.2664
20.507812 76.729 131.8453
20.874023 76.182 128.0813
21.240234 76.244 128.4957
21.606445 76.827 125.8052
21.972656 77.294 121.0926
22.338867 77.824 115.7957
22.705078 78.247 108.7063
23.071288 78.286 101.7895
23.437499 78.202 96.5862
23.803710 78.122 91.7715
24.169921 77.973 88.0005
24.536132 78.116 85.0017
24.902343 78.384 79.2567
25.268554 78.221 72.6241
25.634765 78.093 68.6084
26.000976 78.518 63.1151
26.367187 78.786 53.5463
26.733398 78.455 43.8113
27.099608 77.736 36.4367
27.465819 76.882 31.5446
27.832030 76.320 27.3601
28.198241 75.953 17.9725
28.564452 74.725 2.1456
28.930663 71.978 -15.5957
29.296874 67.440 -35.0000
29.663085 58.888 -80.5186
30.029296 61.758 158.9150
30.395507 67.725 124.8796
30.761718 70.363 108.6904
31.127928 72.128 98.6025
31.494139 73.219 89.9150
31.860350 73.602 84.2589
32.226561 73.952 81.5296
32.592772 74.517 77.8270
32.958983 75.055 73.0023
33.325194 75.617 68.8279
33.691405 76.266 65.1692
34.057616 76.905 61.1957
34.423827 77.473 56.4287
34.790038 77.986 50.3107
35.156248 78.361 42.3456
35.522459 78.422 33.0104
35.888670 78.087 23.2852
36.254881 77.375 14.1136
36.621092 76.462 6.6534
36.987303 75.613 0.7051
37.353514 74.635 -5.0582
37.719725 73.128 -8.4741
38.085936 71.550 -6.8521
38.452147 70.450 -4.5227
38.818358 69.359 -3.3798
39.184568 68.370 0.5018
39.550779 67.884 6.4143
39.916990 67.594 12.3849
40.283201 67.312 18.8870
40.649412 67.415 24.6515
41.015623 67.768 24.8866
41.381834 67.527 23.0728
41.748045 67.310 27.3057
42.114256 67.878 31.6137
42.480467 67.987 33.8315
42.846678 68.000 39.0686
43.212888 68.267 42.0872
43.579099 68.339 46.5101
43.945310 69.435 51.2608
44.311521 70.364 47.9967
44.677732 70.118 46.7868
45.043943 70.455 50.5692
45.410154 71.262 47.2340
45.776365 71.119 41.1073
46.142576 70.441 40.4472
46.508787 69.973 46.1523
46.874997 70.316 57.0348
47.241208 71.912 66.0890
47.607419 73.903 68.1577
47.973630 75.501 65.4134
48.339841 76.584 62.2310
48.706052 77.663 59.3074
49.072263 78.602 52.8466
49.438474 78.847 45.4947
49.804685 79.115 41.8374
50.170896 80.097 36.6080
50.537107 80.923 27.3427
50.903317 81.377 18.4399
51.269528 81.786 9.7042
51.635739 81.883 0.3298
52.001950 81.690 -7.2802
52.368161 81.531 -14.3516
52.734372 81.083 -22.1992
53.100583 80.403 -27.9859
53.466794 79.985 -33.0603
53.833005 79.471 -38.8885
54.199216 78.921 -41.9837
54.565427 78.779 -45.0834
54.931637 78.398 -49.9893
55.297848 77.872 -52.7710
55.664059 77.628 -56.1576
56.030270 77.047 -60.2825
56.396481 76.530 -60.7566
56.762692 76.586 -62.7876
57.128903 76.383 -67.4349
57.495114 76.124 -70.2699
57.861325 76.162 -73.5922
58.227536 76.083 -77.9777
58.593747 75.907 -82.2543
58.959957 75.637 -86.3133
59.326168 75.614 -88.7181
59.692379 76.051 -92.9860
60.058590 76.196 -98.9329
60.424801 76.347 -102.6475
60.791012 76.922 -109.0120
61.157223 77.184 -118.6526
61.523434 77.437 -126.7848
61.889645 78.092 -136.6224
62.255856 78.380 -149.1959
62.622067 78.347 -160.5276
62.988277 78.510 -172.7418
63.354488 78.383 172.7050
63.720699 77.861 160.6747
64.086910 77.583 151.2069
64.453121 77.324 141.0832
64.819332 77.004 133.2333
65.185543 77.224 125.9114
65.551754 77.346 115.9727
65.917965 77.133 108.2307
66.284176 77.402 101.1406
66.650387 77.654 89.8492
67.016597 77.415 79.0966
67.382808 77.336 70.5282
67.749019 77.198 60.1158
68.115230 76.453 51.0249
68.481441 75.851 46.0961
68.847652 75.676 39.9310
69.213863 75.249 32.7485
69.580074 74.809 26.9338
69.946285 74.397 19.8368
70.312496 73.662 13.1808
70.678706 73.118 8.7308
71.044917 72.783 2.5232
71.411128 72.083 -4.2949
71.777339 71.397 -9.7042
72.143550 70.821 -17.2141
72.509761 69.794 -25.2429
72.875972 68.751 -29.9855
73.242183 68.074 -36.1016
73.608394 66.990 -44.7871
73.974605 65.891 -51.1419
74.340816 65.565 -60.6085
74.707026 64.804 -76.3528
75.073237 63.554 -88.8302
75.439448 64.063 -100.0219
75.805659 65.537 -121.6924
76.171870 66.062 -144.2618
76.538081 66.202 -157.7062
76.904292 67.267 -168.1890
77.270503 68.398 178.4841
77.636714 69.237 168.4274
78.002925 70.245 160.8571
78.369136 70.819 152.7693
78.735346 70.743 148.4490
79.101557 70.827 150.0493
79.467768 71.755 156.3606
79.833979 74.162 161.4226
80.200190 77.007 157.2041
80.566401 79.180 147.2321
80.932612 80.776 135.5819
81.298823 81.979 122.9967
81.665034 82.749 110.3098
82.031245 83.128 98.7061
82.397456 83.240 88.3904
82.763666 83.181 79.0881
83.129877 82.998 70.5688
83.496088 82.659 63.4130
83.862299 82.314 58.6748
84.228510 82.155 54.8447
84.594721 81.923 50.6907
84.960932 81.654 48.0969
85.327143 81.763 45.8148
85.693354 82.020 41.6194
86.059565 82.226 36.7019
86.425776 82.355 30.8140
86.791986 82.142 24.9954
87.158197 81.913 21.3030
87.524408 81.902 16.1018
87.890619 81.345 9.1888
88.256830 80.400 6.9108
88.623041 80.172 6.8280
88.989252 80.077 2.8523
89.355463 79.621 -0.6664
89.721674 79.321 -2.9138
90.087885 78.947 -5.5753
90.454096 78.572 -6.3712
90.820306 78.497 -8.4832
91.186517 78.069 -12.7736
91.552728 77.440 -15.0680
91.918939 77.011 -18.0521
92.285150 76.055 -21.8485
92.651361 74.908 -20.3533
93.017572 74.602 -18.4006
93.383783 74.231 -20.7617
93.749994 73.436 -21.0759
94.116205 72.890 -17.2057
94.482415 72.794 -11.7183
94.848626 72.994 -7.7313
95.214837 72.964 -6.4758
95.581048 72.713 -5.1234
95.947259 72.727 -4.4086
96.313470 72.733 -5.1229
96.679681 72.656 -4.0009
97.045892 72.769 -1.9637
97.412103 72.680 -1.1560
97.778314 72.217 0.8618
98.144525 71.942 4.7917
98.510735 72.020 7.4941
98.876946 72.112 9.4320
99.243157 72.435 12.2913
99.609368 73.070 13.2437
99.975579 73.459 12.1647
100.341790 73.615 12.3923
100.708001 73.905 13.3549
101.074212 74.171 13.7184
101.440423 74.442 14.4597
101.806634 74.876 14.2953
102.172845 75.202 13.0514
102.539055 75.454 13.0397
102.905266 75.959 13.6018
103.271477 76.636 12.3330
103.637688 77.257 8.8584
104.003899 77.739 4.0468
104.370110 78.105 -1.0548
104.736321 78.399 -6.3206
105.102532 78.542 -12.4127
105.468743 78.436 -19.5585
105.834954 78.063 -27.6666
106.201165 77.369 -36.1989
106.567375 76.293 -43.8716
106.933586 74.817 -50.2118
107.299797 72.687 -55.2924
107.666008 69.628 -55.2340
108.032219 66.487 -43.4675
108.398430 64.544 -21.2491
108.764641 65.257 8.3724
109.130852 68.191 21.2920
109.497063 69.775 22.2815
109.863274 70.648 25.0768
110.229485 72.031 25.9709
110.595695 73.205 22.6971
110.961906 74.018 19.9760
111.328117 74.630 16.9572
111.694328 74.659 13.9569
112.060539 74.528 14.0732
112.426750 74.847 14.4346
112.792961 75.243 14.1733
113.159172 75.827 15.1234
113.525383 76.520 14.1890
113.891594 76.872 11.9579
114.257805 77.231 9.6105
114.624015 77.634 5.3994
114.990226 77.851 1.8239
115.356437 78.221 -0.4772
115.722648 78.431 -5.0181
116.088859 77.941 -9.4484
116.455070 77.323 -10.5900
116.821281 77.072 -11.4182
117.187492 76.857 -12.4113
117.553703 76.755 -12.1073
117.919914 76.763 -12.0197
118.286124 76.786 -12.1354
118.652335 76.950 -13.2616
119.018546 77.023 -15.6984
119.384757 76.942 -17.2993
119.750968 76.844 -18.1630
120.117179 76.614 -18.8820
120.483390 76.290 -19.1510
120.849601 75.904 -19.0496
121.215812 75.573 -17.1246
121.582023 75.614 -14.3319
121.948234 75.744 -12.1278
122.314444 75.955 -8.7877
122.680655 76.479 -6.1250
123.046866 77.052 -5.0868
123.413077 77.754 -5.1613
123.779288 78.441 -7.9034
124.145499 78.808 -11.3599
124.511710 79.153 -13.8331
124.877921 79.535 -17.2804
125.244132 79.667 -21.3044
125.610343 79.661 -24.8193
125.976554 79.562 -28.5250
126.342764 79.336 -31.5067
126.708975 79.200 -33.5990
127.075186 79.067 -35.8098
127.441397 78.891 -37.1696
127.807608 78.866 -38.7594
128.173819 78.735 -41.6653
128.540030 78.458 -43.5571
128.906241 78.346 -44.6719
129.272452 78.208 -46.4836
129.638663 77.916 -47.8641
130.004874 77.625 -49.0817
130.371084 77.289 -50.6337
130.737295 76.939 -51.8901
131.103506 76.565 -52.7582
131.469717 76.174 -52.2843
131.835928 75.953 -51.4651
132.202139 75.616 -51.6025
132.568350 75.136 -49.9380
132.934561 75.042 -47.2498
133.300772 75.071 -46.5959
133.666983 74.922 -46.1412
134.033194 74.775 -45.2700
134.399404 74.585 -44.1422
134.765615 74.473 -41.9153
135.131826 74.501 -39.8492
135.498037 74.512 -37.5956
135.864248 74.747 -35.0034
136.230459 75.184 -34.1420
136.596670 75.598 -34.3724
136.962881 76.017 -35.0754
137.329092 76.277 -36.4570
137.695303 76.307 -37.3451
138.061514 76.299 -37.9166
138.427724 76.226 -39.0076
138.793935 76.076 -39.4102
139.160146 76.059 -38.6058
139.526357 76.182 -37.5165
139.892568 76.357 -36.2651
140.258779 76.629 -35.1583
140.624990 76.975 -34.6918
140.991201 77.392 -34.5573
141.357412 77.913 -35.0952
141.723623 78.371 -36.7444
142.089833 78.661 -38.4591
142.456044 78.960 -39.9019
142.822255 79.306 -42.1958
143.188466 79.574 -45.1501
143.554677 79.816 -48.1754
143.920888 80.035 -51.7119
144.287099 80.150 -55.3979
144.653310 80.252 -58.9087
145.019521 80.336 -63.0549
145.385732 80.264 -67.6621
145.751943 80.070 -72.1989
146.118153 79.759 -77.0278
146.484364 79.243 -81.5912
146.850575 78.614 -85.0609
147.216786 77.911 -88.0100
147.582997 76.991 -90.3091
147.949208 75.901 -90.9738
148.315419 74.743 -89.8787
148.681630 73.571 -86.0540
149.047841 72.738 -78.7014
149.414052 72.532 -70.0093
149.780263 72.878 -62.1241
150.146473 73.670 -56.3617
150.512684 74.697 -53.7039
150.878895 75.666 -53.8739
151.245106 76.406 -55.4331
151.611317 76.984 -57.5605
151.977528 77.426 -60.7991
152.343739 77.641 -64.8364
152.709950 77.706 -68.6581
153.076161 77.706 -72.4178
153.442372 77.540 -76.0845
153.808583 77.216 -79.0170
154.174793 76.800 -81.4381
154.541004 76.280 -82.9154
154.907215 75.869 -82.7817
155.273426 75.666 -82.8555
155.639637 75.321 -83.5712
156.005848 74.808 -82.8193
156.372059 74.409 -80.8105
