* Measurement data measured by REW V5.40 beta 133
* Source: U18dB [plughw:2,0], Mic (Mic), R, Volume: 1.000. Timing signal peak level -27.6 dBFS, measurement signal peak level -16.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 28, 2026, 2:58:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 28 aug 2026 Multi point measurement Position 4: +20cm to the RIGHT 4.51m from front wall (re-verified) 3.68m from R and 3.55cm from L speaker 2 screen panels prolongation - new setup DAC level -28dB MIC HEIGHT: 1.060m mic boom arm height: 1.040 PICTURES: 2026.08.25_ROOM.png measurement starts from 16Hz (REW LF tail starts from 16) -12dBFS OKTO -28dB DELAY 0.0001 ms (0.02 mm, 0 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.0 ppm
* Measurement: L MPM.4
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 16.113281 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
16.113281 71.211 -170.2887
16.230045 71.405 -171.6680
16.347654 71.638 -173.0391
16.466116 71.873 -174.3962
16.585436 72.104 -175.7372
16.705621 72.331 -177.0682
16.826677 72.553 -178.3926
16.948610 72.772 -179.7092
17.071427 72.986 178.9781
17.195133 73.199 177.6581
17.319736 73.412 176.3315
17.445242 73.624 174.9987
17.571658 73.837 173.6436
17.698989 74.052 172.2671
17.827243 74.267 170.8717
17.956427 74.482 169.4388
18.086547 74.697 167.9708
18.217609 74.910 166.4671
18.349622 75.117 164.9098
18.482590 75.319 163.2994
18.616523 75.513 161.6346
18.751426 75.696 159.9019
18.887307 75.870 158.0961
19.024172 76.032 156.2281
19.162029 76.182 154.2857
19.300885 76.321 152.2668
19.440747 76.447 150.2035
19.581622 76.563 148.0684
19.723519 76.669 145.8907
19.866444 76.768 143.7039
20.010404 76.859 141.4802
20.155408 76.946 139.2780
20.301462 77.029 137.0961
20.448575 77.111 134.9397
20.596754 77.192 132.8458
20.746006 77.274 130.7997
20.896340 77.358 128.8054
21.047764 77.445 126.8693
21.200285 77.534 124.9712
21.353911 77.625 123.0929
21.508650 77.718 121.2349
21.664511 77.810 119.3554
21.821501 77.901 117.4541
21.979628 77.990 115.5133
22.138902 78.075 113.5110
22.299329 78.156 111.4565
22.460919 78.229 109.3405
22.623680 78.295 107.1619
22.787621 78.353 104.9480
22.952749 78.403 102.6805
23.119074 78.445 100.4005
23.286605 78.479 98.0936
23.455349 78.504 95.7850
23.625316 78.522 93.4742
23.796515 78.534 91.1627
23.968954 78.538 88.8534
24.142643 78.537 86.5365
24.317591 78.530 84.2065
24.493806 78.517 81.8544
24.671298 78.500 79.4680
24.850077 78.478 77.0410
25.030151 78.448 74.5645
25.211529 78.410 72.0316
25.394223 78.362 69.4444
25.578240 78.300 66.7921
25.763590 78.221 64.0895
25.950284 78.123 61.3215
26.138330 78.000 58.5127
26.327739 77.852 55.6456
26.518521 77.673 52.7499
26.710685 77.461 49.8122
26.904242 77.213 46.8620
27.099201 76.927 43.9009
27.295573 76.599 40.9518
27.493368 76.224 38.0463
27.692596 75.798 35.2005
27.893268 75.317 32.4908
28.095394 74.771 29.9436
28.298985 74.156 27.6911
28.504051 73.462 25.8085
28.710603 72.689 24.5005
28.918652 71.832 23.9486
29.128209 70.906 24.4780
29.339284 69.940 26.3876
29.551888 68.993 30.1367
29.766033 68.179 35.7973
29.981730 67.635 43.3107
30.198990 67.478 51.5758
30.417825 67.723 59.4130
30.638245 68.276 65.7464
30.860262 68.992 70.2308
31.083888 69.766 73.0194
31.309135 70.524 74.4492
31.536014 71.236 74.8639
31.764537 71.890 74.5167
31.994716 72.485 73.6385
32.226563 73.026 72.3434
32.460089 73.518 70.7382
32.695309 73.965 68.8830
32.932232 74.372 66.8079
33.170873 74.743 64.5379
33.411243 75.077 62.0838
33.653354 75.375 59.4450
33.897220 75.636 56.6284
34.142854 75.857 53.6443
34.390267 76.037 50.4853
34.639473 76.172 47.1759
34.890485 76.261 43.7399
35.143316 76.301 40.1795
35.397979 76.288 36.5572
35.654487 76.223 32.9192
35.912854 76.105 29.2881
36.173093 75.932 25.7151
36.435218 75.704 22.2725
36.699243 75.422 18.9948
36.965181 75.085 15.9337
37.233046 74.694 13.1558
37.502852 74.254 10.7032
37.774613 73.767 8.6235
38.048343 73.238 6.9734
38.324057 72.679 5.7896
38.601769 72.098 5.1111
38.881494 71.507 4.9797
39.163245 70.921 5.4239
39.447038 70.358 6.4318
39.732888 69.834 7.9838
40.020808 69.364 10.0369
40.310816 68.964 12.5156
40.602924 68.641 15.3139
40.897150 68.401 18.3193
41.193508 68.244 21.4305
41.492013 68.166 24.5529
41.792681 68.161 27.6066
42.095528 68.221 30.5296
42.400570 68.340 33.2744
42.707822 68.509 35.8047
43.017300 68.721 38.0954
43.329021 68.969 40.1346
43.643001 69.247 41.9237
43.959256 69.548 43.4763
44.277803 69.871 44.8167
44.598658 70.215 45.9745
44.921839 70.586 46.9745
45.247361 70.987 47.8264
45.575242 71.427 48.5184
45.905499 71.910 49.0128
46.238149 72.439 49.2489
46.573210 73.012 49.1531
46.910698 73.621 48.6521
47.250633 74.254 47.6869
47.593030 74.897 46.2227
47.937909 75.534 44.2512
48.285287 76.151 41.7889
48.635182 76.736 38.8683
48.987612 77.280 35.5306
49.342597 77.774 31.8219
49.700154 78.212 27.7882
50.060301 78.591 23.4736
50.423059 78.909 18.9214
50.788445 79.164 14.1742
51.156479 79.358 9.2747
51.527180 79.492 4.2659
51.900567 79.568 -0.8099
52.276660 79.590 -5.9125
52.655478 79.561 -11.0054
53.037042 79.485 -16.0585
53.421370 79.367 -21.0482
53.808483 79.212 -25.9592
54.198402 79.026 -30.7843
54.591146 78.815 -35.5220
54.986736 78.585 -40.1795
55.385192 78.343 -44.7719
55.786536 78.094 -49.3226
56.190788 77.844 -53.8650
56.597970 77.597 -58.4427
57.008102 77.356 -63.1093
57.421206 77.122 -67.9261
57.837304 76.897 -72.9606
58.256417 76.679 -78.2808
58.678567 76.468 -83.9526
59.103776 76.261 -90.0388
59.532067 76.053 -96.5961
59.963460 75.840 -103.6747
60.397980 75.620 -111.3169
60.835649 75.390 -119.5566
61.276489 75.151 -128.4241
61.720524 74.906 -137.9280
62.167776 74.662 -148.0514
62.618270 74.428 -158.7437
63.072027 74.216 -169.9286
63.529073 74.034 178.5007
63.989431 73.892 166.6962
64.453125 73.791 154.8264
64.920179 73.725 143.0405
65.390617 73.689 131.4654
65.864465 73.667 120.2164
66.341746 73.647 109.3698
66.822485 73.614 98.9460
67.306709 73.554 88.9637
67.794441 73.457 79.4260
68.285707 73.312 70.3030
68.780534 73.111 61.5762
69.278946 72.848 53.2269
69.780970 72.513 45.2155
70.286631 72.099 37.5175
70.795957 71.594 30.1004
71.308974 70.982 22.9210
71.825708 70.244 15.9418
72.346187 69.348 9.1008
72.870437 68.251 2.3243
73.398486 66.881 -4.5084
73.930362 65.122 -11.6160
74.466092 62.764 -19.4836
75.005704 59.415 -29.6860
75.549226 54.729 -52.0225
76.096687 54.140 -168.0891
76.648115 59.380 158.0205
77.203539 63.480 146.3796
77.762987 66.482 137.9058
78.326490 68.820 130.3599
78.894076 70.721 123.1340
79.465775 72.311 116.0057
80.041617 73.662 108.8779
80.621631 74.817 101.7195
81.205849 75.805 94.5212
81.794300 76.644 87.3074
82.387015 77.350 80.0947
82.984025 77.932 72.9160
83.585362 78.401 65.8005
84.191056 78.765 58.7662
84.801139 79.032 51.8408
85.415643 79.207 45.0393
86.034600 79.296 38.3739
86.658042 79.303 31.8655
87.286002 79.231 25.5305
87.918512 79.082 19.3884
88.555606 78.854 13.4673
89.197317 78.548 7.8040
89.843677 78.162 2.4404
90.494721 77.692 -2.5686
91.150484 77.139 -7.1532
91.810997 76.500 -11.2264
92.476298 75.779 -14.6825
93.146419 74.979 -17.3917
93.821397 74.110 -19.2008
94.501265 73.190 -19.9365
95.186060 72.249 -19.4205
95.875818 71.333 -17.5078
96.570573 70.504 -14.1547
97.270363 69.837 -9.5211
97.975225 69.398 -4.0363
98.685194 69.214 1.6643
99.400307 69.264 6.9487
100.120603 69.488 11.4030
100.846118 69.815 14.8982
101.576890 70.186 17.5233
102.312958 70.563 19.4785
103.054360 70.930 20.9915
103.801135 71.286 22.2627
104.553320 71.644 23.4314
105.310957 72.022 24.5514
106.074084 72.438 25.5833
106.842740 72.903 26.4116
107.616967 73.417 26.8865
108.396804 73.965 26.8752
109.182291 74.527 26.3036
109.973471 75.082 25.1635
110.770384 75.609 23.5021
111.573072 76.091 21.4011
112.381577 76.520 18.9578
113.195940 76.891 16.2701
114.016204 77.201 13.4308
114.842413 77.454 10.5247
115.674608 77.653 7.6278
116.512834 77.804 4.8042
117.357134 77.917 2.1031
118.207552 78.000 -0.4423
119.064133 78.063 -2.8197
119.926921 78.117 -5.0386
120.795961 78.170 -7.1309
121.671298 78.224 -9.1443
122.552979 78.284 -11.1332
123.441048 78.345 -13.1482
124.335553 78.404 -15.2247
125.236539 78.453 -17.3774
126.144055 78.487 -19.5996
127.058147 78.500 -21.8666
127.978862 78.489 -24.1405
128.906250 78.453 -26.3781
129.840358 78.394 -28.5350
130.781235 78.315 -30.5726
131.728929 78.222 -32.4590
132.683491 78.120 -34.1729
133.644971 78.017 -35.7064
134.613417 77.920 -37.0653
135.588882 77.836 -38.2706
136.571415 77.772 -39.3563
137.561067 77.729 -40.3689
138.557891 77.711 -41.3622
139.561939 77.715 -42.3901
140.573262 77.737 -43.4982
141.591914 77.769 -44.7148
142.617948 77.804 -46.0455
143.651416 77.836 -47.4736
144.692373 77.861 -48.9666
145.740874 77.880 -50.4856
146.796972 77.893 -51.9988
147.860724 77.905 -53.4922
148.932184 77.924 -54.9757
150.011408 77.952 -56.4807
151.098452 77.992 -58.0516
152.193374 78.042 -59.7343
153.296230 78.099 -61.5673
154.407077 78.155 -63.5769
155.525975 78.206 -65.7766
156.652980 78.244 -68.1676
157.788152 78.261 -70.7372
158.931550 78.250 -73.4590
160.083234 78.206 -76.2931
161.243263 78.125 -79.1865
162.411698 78.004 -82.0768
163.588600 77.843 -84.8977
164.774030 77.647 -87.5854
165.968051 77.423 -90.0862
167.170724 77.180 -92.3610
168.382112 76.930 -94.3940
169.602278 76.685 -96.2004
170.831286 76.459 -97.8314
172.069200 76.260 -99.3754
173.316084 76.092 -100.9495
174.572004 75.952 -102.6821
175.837025 75.829 -104.6907
177.111212 75.705 -107.0598
178.394633 75.558 -109.8324
179.687354 75.366 -113.0071
180.989443 75.104 -116.5410
182.300967 74.751 -120.3558
183.621995 74.283 -124.3369
184.952596 73.679 -128.3329
186.292838 72.919 -132.1421
187.642793 71.980 -135.4902
189.002530 70.841 -137.9861
190.372120 69.491 -139.0396
191.751635 67.944 -137.7350
193.141147 66.300 -132.7275
194.540727 64.849 -122.6456
195.950449 64.105 -108.1210
197.370387 64.379 -93.6270
198.800614 65.359 -83.3669
200.241205 66.546 -77.6814
201.692236 67.666 -75.1718
203.153781 68.635 -74.5638
204.625917 69.450 -75.0254
206.108721 70.138 -76.0576
207.602269 70.731 -77.3796
209.106641 71.260 -78.8563
210.621914 71.751 -80.4559
212.148167 72.223 -82.2170
213.685480 72.687 -84.2167
215.233933 73.142 -86.5391
216.793607 73.582 -89.2500
218.364583 73.997 -92.3837
219.946943 74.376 -95.9402
221.540769 74.706 -99.8916
223.146145 74.978 -104.1906
224.763154 75.184 -108.7764
226.391880 75.317 -113.5801
228.032409 75.374 -118.5284
229.684826 75.353 -123.5466
231.349217 75.255 -128.5609
233.025668 75.081 -133.5022
234.714269 74.835 -138.3101
236.415105 74.519 -142.9321
238.128266 74.139 -147.3224
239.853842 73.699 -151.4391
241.591922 73.202 -155.2388
243.342596 72.651 -158.6713
245.105957 72.051 -161.6741
246.882096 71.406 -164.1678
248.671105 70.728 -166.0563
250.473079 70.031 -167.2323
252.288110 69.343 -167.5967
254.116293 68.699 -167.0974
255.957725 68.146 -165.7863
257.812500 67.730 -163.8743
259.680716 67.482 -161.7374
