* Measurement data measured by REW V5.40 beta 133
* Source: U18dB [plughw:2,0], Mic (Mic), R, Volume: 1.000. Timing signal peak level -27.4 dBFS, measurement signal peak level -12.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 28, 2026, 2:33:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 28 aug 2026 Multi point measurement Position 3: Main Listener  4.51m from front wall 3.63m from L and R speakers 2 screen panels prolongation - new setup DAC level -28dB MIC HEIGHT: 1.060m mic boom arm height: 1.040 PICTURES: 2026.08.25_ROOM.png measurement starts from 16Hz (REW LF tail starts from 16) -12dBFS OKTO -28dB DELAY -0.0025 ms (-0.85 mm, -0.03 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.2 ppm
* Measurement: L+R MPM.0
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
16.113281 76.885 -168.3578
16.479492 77.595 -176.1881
16.845703 77.750 177.3199
17.211914 77.865 173.5454
17.578125 78.202 171.5653
17.944336 78.834 169.2647
18.310547 79.497 165.4403
18.676758 80.117 160.6380
19.042969 80.630 154.1299
19.409179 80.812 147.6436
19.775390 81.069 143.4431
20.141601 81.614 138.0628
20.507812 81.712 131.0792
20.874023 81.385 127.5180
21.240234 81.473 126.4163
21.606445 81.830 123.3317
21.972656 82.185 119.7993
22.338867 82.715 115.6018
22.705078 83.083 109.7793
23.071288 83.157 104.5405
23.437499 83.214 99.9811
23.803710 83.205 95.4751
24.169921 83.261 92.5075
24.536132 83.664 89.0196
24.902343 83.913 83.0004
25.268554 83.737 78.0283
25.634765 83.815 75.6785
26.000976 84.421 70.9110
26.367187 84.799 61.8064
26.733398 84.463 52.1903
27.099608 83.709 46.7460
27.465819 83.526 45.2314
27.832030 84.078 39.9686
28.198241 84.245 28.7885
28.564452 83.409 16.3878
28.930663 81.762 6.8981
29.296874 79.752 0.8096
29.663085 77.419 -1.8462
30.029296 75.074 3.5558
30.395507 74.019 16.2492
30.761718 74.133 27.4962
31.127928 74.694 35.8952
31.494139 75.307 40.1315
31.860350 75.607 42.2831
32.226561 75.983 44.1093
32.592772 76.491 44.2816
32.958983 76.961 44.5811
33.325194 77.648 45.0426
33.691405 78.339 43.4022
34.057616 78.829 40.9929
34.423827 79.425 38.1768
34.790038 80.115 33.2202
35.156248 80.629 26.3088
35.522459 80.815 18.0470
35.888670 80.524 9.1577
36.254881 79.829 1.5831
36.621092 79.090 -4.0222
36.987303 78.331 -8.8195
37.353514 77.307 -11.8915
37.719725 76.183 -12.0483
38.085936 75.194 -11.0579
38.452147 74.329 -9.7281
38.818358 73.763 -7.4404
39.184568 73.534 -4.3754
39.550779 73.616 -0.3931
39.916990 74.086 1.5101
40.283201 74.361 -2.5205
40.649412 73.747 -9.6570
41.015623 72.457 -12.8438
41.381834 71.460 -10.3809
41.748045 70.609 -6.5360
42.114256 69.837 2.0865
42.480467 70.392 8.7343
42.846678 70.840 6.1538
43.212888 70.488 6.9053
43.579099 70.940 15.1460
43.945310 72.029 19.0712
44.311521 72.351 18.0002
44.677732 71.885 15.6077
45.043943 71.485 14.9902
45.410154 72.196 14.2499
45.776365 73.077 9.7947
46.142576 73.030 7.2709
46.508787 72.713 7.8785
46.874997 72.204 3.2802
47.241208 70.805 -4.7635
47.607419 69.165 -6.8853
47.973630 67.933 0.2671
48.339841 67.479 18.7446
48.706052 68.692 35.1805
49.072263 69.653 41.8264
49.438474 70.649 43.3499
49.804685 71.794 37.8165
50.170896 72.526 34.9854
50.537107 74.003 38.7059
50.903317 75.769 36.7004
51.269528 76.380 30.7494
51.635739 76.472 26.2817
52.001950 76.807 21.0642
52.368161 77.144 15.2123
52.734372 77.540 10.0747
53.100583 77.784 3.1605
53.466794 77.590 -3.8262
53.833005 77.611 -9.2059
54.199216 77.918 -16.4182
54.565427 77.765 -23.6802
54.931637 77.362 -27.7177
55.297848 77.057 -32.2747
55.664059 76.483 -38.5703
56.030270 75.931 -43.7548
56.396481 75.667 -49.3026
56.762692 75.230 -54.7013
57.128903 74.861 -57.8546
57.495114 74.851 -62.5414
57.861325 74.748 -69.6625
58.227536 74.565 -76.5132
58.593747 74.400 -83.4524
58.959957 74.099 -90.3325
59.326168 73.912 -96.7006
59.692379 74.002 -103.9125
60.058590 74.315 -111.1488
60.424801 75.019 -118.1085
60.791012 76.001 -126.4425
61.157223 77.073 -135.9073
61.523434 78.286 -146.4312
61.889645 79.519 -158.5435
62.255856 80.602 -171.7448
62.622067 81.476 174.3365
62.988277 82.048 160.2140
63.354488 82.319 147.2515
63.720699 82.452 136.0622
64.086910 82.505 126.2097
64.453121 82.491 117.9089
64.819332 82.577 110.9482
65.185543 82.778 104.1207
65.551754 82.996 97.4398
65.917965 83.290 90.7995
66.284176 83.577 83.2423
66.650387 83.699 75.2549
67.016597 83.723 67.3735
67.382808 83.628 59.0342
67.749019 83.258 51.0229
68.115230 82.735 44.8754
68.481441 82.303 40.1926
68.847652 82.002 35.7926
69.213863 81.793 30.9283
69.580074 81.525 25.1198
69.946285 81.048 19.4083
70.312496 80.484 14.5612
70.678706 79.879 9.5649
71.044917 79.116 4.5950
71.411128 78.330 0.3674
71.777339 77.559 -3.9753
72.143550 76.626 -8.0357
72.509761 75.612 -11.5377
72.875972 74.402 -16.2241
73.242183 72.712 -20.8804
73.608394 70.870 -24.0307
73.974605 68.776 -29.2111
74.340816 65.179 -36.0204
74.707026 58.458 -41.2309
75.073237 45.428 -177.2670
75.439448 62.373 146.1284
75.805659 68.118 136.7251
76.171870 71.581 130.0103
76.538081 74.140 123.6091
76.904292 76.008 117.2083
77.270503 77.481 111.5465
77.636714 78.791 105.6497
78.002925 79.922 99.3713
78.369136 80.947 93.0129
78.735346 81.791 85.7842
79.101557 82.244 78.3965
79.467768 82.453 72.3230
79.833979 82.652 66.9204
80.200190 82.743 61.9290
80.566401 82.775 58.7532
80.932612 82.965 56.5955
81.298823 83.192 53.9017
81.665034 83.385 51.1083
82.031245 83.665 47.8386
82.397456 83.916 43.4370
82.763666 84.009 38.8737
83.129877 84.015 34.8843
83.496088 83.979 31.2151
83.862299 83.854 27.7644
84.228510 83.601 25.0731
84.594721 83.330 23.7074
84.960932 83.219 22.9927
85.327143 83.292 21.9418
85.693354 83.547 20.3027
86.059565 83.914 17.4182
86.425776 84.145 13.5107
86.791986 84.201 9.7092
87.158197 84.211 5.6470
87.524408 84.114 0.7074
87.890619 83.847 -4.1486
88.256830 83.511 -8.1141
88.623041 83.177 -11.7365
88.989252 82.747 -16.0499
89.355463 82.012 -20.4790
89.721674 81.093 -22.4636
90.087885 80.449 -22.1801
90.454096 79.934 -22.2367
90.820306 79.300 -21.2878
91.186517 78.902 -19.9520
91.552728 78.467 -20.7222
91.918939 77.770 -20.1581
92.285150 77.360 -17.6219
92.651361 77.020 -16.2136
93.017572 76.580 -13.5951
93.383783 76.608 -11.1718
93.749994 76.705 -11.9086
94.116205 76.475 -11.8663
94.482415 76.256 -8.7961
94.848626 76.252 -4.8269
95.214837 76.343 -2.6700
95.581048 76.260 -2.2115
95.947259 76.258 -0.8136
96.313470 76.617 -0.1372
96.679681 76.719 -0.7178
97.045892 76.520 0.8662
97.412103 76.502 2.4122
97.778314 76.362 1.8578
98.144525 76.149 2.3851
98.510735 76.166 3.9153
98.876946 76.176 6.2444
99.243157 76.318 9.2488
99.609368 76.492 9.7925
99.975579 76.431 9.5212
100.341790 76.556 10.3982
100.708001 76.860 10.8993
101.074212 77.019 12.1338
101.440423 77.165 14.2075
101.806634 77.268 15.7147
102.172845 77.397 17.4249
102.539055 77.770 18.9646
102.905266 78.288 19.9862
103.271477 78.947 20.3591
103.637688 79.647 18.5551
104.003899 80.184 14.7581
104.370110 80.561 10.0920
104.736321 80.751 5.1960
105.102532 80.692 0.7324
105.468743 80.394 -3.5505
105.834954 79.763 -8.0563
106.201165 78.749 -11.6525
106.567375 77.445 -12.5936
106.933586 75.997 -8.9446
107.299797 74.840 0.4855
107.666008 74.538 13.4122
108.032219 75.307 24.9456
108.398430 76.611 31.0609
108.764641 77.774 33.8446
109.130852 78.835 35.8494
109.497063 79.829 36.4163
109.863274 80.678 35.7603
110.229485 81.514 34.0352
110.595695 82.305 30.9609
110.961906 82.954 27.4923
111.328117 83.449 23.9254
111.694328 83.697 20.5105
112.060539 83.824 18.1760
112.426750 84.045 16.1121
112.792961 84.234 13.8687
113.159172 84.401 12.5699
113.525383 84.673 11.4359
113.891594 84.946 9.8220
114.257805 85.293 8.1650
114.624015 85.741 5.6593
114.990226 86.098 2.8787
115.356437 86.466 0.4889
115.722648 86.833 -3.2749
116.088859 86.918 -8.2834
116.455070 86.820 -12.6748
116.821281 86.763 -16.6168
117.187492 86.662 -20.4142
117.553703 86.515 -23.3845
117.919914 86.393 -26.0905
118.286124 86.218 -28.8628
118.652335 86.022 -31.1873
119.018546 85.855 -33.3698
119.384757 85.645 -35.4917
119.750968 85.414 -37.3507
120.117179 85.189 -39.2632
120.483390 84.966 -41.1285
120.849601 84.782 -42.9510
121.215812 84.559 -44.9910
121.582023 84.211 -46.6609
121.948234 83.817 -47.4904
122.314444 83.454 -47.8319
122.680655 83.111 -47.7999
123.046866 82.811 -47.0880
123.413077 82.635 -45.8859
123.779288 82.581 -45.0295
124.145499 82.543 -44.6383
124.511710 82.527 -44.0754
124.877921 82.617 -43.4464
125.244132 82.791 -43.4689
125.610343 82.927 -44.4139
125.976554 82.957 -45.6779
126.342764 82.966 -46.6680
126.708975 83.006 -47.7238
127.075186 83.003 -48.7291
127.441397 83.024 -49.4443
127.807608 83.079 -50.8436
128.173819 83.027 -52.7568
128.540030 82.946 -54.2422
128.906241 82.895 -55.8329
129.272452 82.759 -57.4131
129.638663 82.618 -58.6003
130.004874 82.488 -60.3976
130.371084 82.229 -62.3007
130.737295 81.974 -63.3795
131.103506 81.750 -64.4524
131.469717 81.414 -64.9773
131.835928 81.145 -64.3949
132.202139 80.992 -64.1862
132.568350 80.803 -64.1592
132.934561 80.679 -63.8057
133.300772 80.602 -63.8972
133.666983 80.497 -63.9680
134.033194 80.475 -64.1290
134.399404 80.434 -65.1116
134.765615 80.262 -66.0032
135.131826 80.050 -66.5035
135.498037 79.769 -67.1478
135.864248 79.395 -67.4742
136.230459 79.022 -67.3147
136.596670 78.640 -66.5894
136.962881 78.295 -64.8021
137.329092 78.036 -62.6989
137.695303 77.739 -60.5642
138.061514 77.485 -57.5532
138.427724 77.439 -54.2277
138.793935 77.513 -50.8130
139.160146 77.738 -46.8604
139.526357 78.114 -43.4977
139.892568 78.504 -40.8992
140.258779 79.035 -38.9194
140.624990 79.690 -38.6959
140.991201 80.250 -39.4254
141.357412 80.771 -39.9575
141.723623 81.267 -41.1122
142.089833 81.608 -42.8174
142.456044 81.912 -44.4719
142.822255 82.259 -46.6008
143.188466 82.570 -48.9030
143.554677 82.884 -51.0686
143.920888 83.154 -53.8895
144.287099 83.274 -57.1504
144.653310 83.345 -60.4636
145.019521 83.392 -64.2994
145.385732 83.316 -68.2181
145.751943 83.151 -71.6992
146.118153 82.887 -75.1616
146.484364 82.464 -78.3719
146.850575 81.953 -80.8420
147.216786 81.379 -82.5450
147.582997 80.730 -82.9369
147.949208 80.104 -81.8223
148.315419 79.556 -79.6326
148.681630 79.162 -76.5428
149.047841 78.995 -73.0356
149.414052 79.064 -69.3903
149.780263 79.362 -66.2418
150.146473 79.742 -64.1058
150.512684 80.164 -62.6132
150.878895 80.657 -62.3279
151.245106 81.098 -63.2394
151.611317 81.501 -64.6978
151.977528 81.838 -67.0791
152.343739 81.980 -69.6807
152.709950 82.077 -71.6960
153.076161 82.196 -74.2690
153.442372 82.142 -77.1761
153.808583 81.983 -79.1904
154.174793 81.815 -80.8672
154.541004 81.560 -81.9773
154.907215 81.394 -82.0001
155.273426 81.365 -82.4222
155.639637 81.237 -83.0779
156.005848 81.077 -82.8203
156.372059 80.992 -82.3340
156.738270 80.924 -81.8135
