* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Aug 31, 2026, 1:39:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Copy of L+R MPM.0
* Measurement: L+R.C
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 16.113281 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
16.113281 70.575 -172.5043
16.230045 70.708 -173.9132
16.347654 70.865 -175.3402
16.466116 71.022 -176.7678
16.585436 71.175 -178.1938
16.705621 71.326 -179.6268
16.826677 71.474 178.9523
16.948610 71.622 177.5549
17.071427 71.769 176.1690
17.195133 71.916 174.7923
17.319736 72.067 173.4332
17.445242 72.220 172.0860
17.571658 72.375 170.7233
17.698989 72.535 169.3453
17.827243 72.697 167.9531
17.956427 72.860 166.5126
18.086547 73.026 165.0233
18.217609 73.193 163.4883
18.349622 73.357 161.8899
18.482590 73.520 160.2242
18.616523 73.680 158.5041
18.751426 73.835 156.7307
18.887307 73.987 154.8936
19.024172 74.132 153.0243
19.162029 74.271 151.1248
19.300885 74.404 149.1897
19.440747 74.530 147.2621
19.581622 74.648 145.3228
19.723519 74.760 143.3916
19.866444 74.865 141.4955
20.010404 74.963 139.6133
20.155408 75.055 137.7727
20.301462 75.142 135.9728
20.448575 75.225 134.2072
20.596754 75.305 132.4845
20.746006 75.383 130.7979
20.896340 75.462 129.1332
21.047764 75.543 127.4921
21.200285 75.627 125.8593
21.353911 75.714 124.2161
21.508650 75.806 122.5673
21.664511 75.901 120.8863
21.821501 76.001 119.1745
21.979628 76.102 117.4270
22.138902 76.204 115.6321
22.299329 76.306 113.7997
22.460919 76.406 111.9271
22.623680 76.502 110.0148
22.787621 76.594 108.0789
22.952749 76.682 106.1093
23.119074 76.765 104.1252
23.286605 76.843 102.1185
23.455349 76.917 100.0984
23.625316 76.988 98.0623
23.796515 77.055 96.0088
23.968954 77.121 93.9350
24.142643 77.184 91.8355
24.317591 77.245 89.7018
24.493806 77.304 87.5293
24.671298 77.360 85.3049
24.850077 77.414 83.0248
25.030151 77.463 80.6769
25.211529 77.507 78.2565
25.394223 77.544 75.7582
25.578240 77.574 73.1756
25.763590 77.594 70.5150
25.950284 77.602 67.7674
26.138330 77.597 64.9506
26.327739 77.577 62.0549
26.518521 77.540 59.1039
26.710685 77.484 56.0906
26.904242 77.407 53.0366
27.099201 77.306 49.9447
27.295573 77.178 46.8248
27.493368 77.020 43.7007
27.692596 76.828 40.5665
27.893268 76.600 37.4758
28.095394 76.329 34.4144
28.298985 76.016 31.4656
28.504051 75.654 28.6238
28.710603 75.246 25.9904
28.918652 74.791 23.5880
29.128209 74.292 21.5242
29.339284 73.755 19.8517
29.551888 73.188 18.6876
29.766033 72.608 18.0742
29.981730 72.029 18.1279
30.198990 71.478 18.8333
30.417825 70.976 20.2084
30.638245 70.552 22.1847
30.860262 70.227 24.5702
31.083888 70.015 27.2346
31.309135 69.917 29.8940
31.536014 69.925 32.3913
31.764537 70.023 34.5648
31.994716 70.189 36.3089
32.226563 70.406 37.5902
32.460089 70.656 38.3911
32.695309 70.924 38.7275
32.932232 71.200 38.6234
33.170873 71.473 38.1024
33.411243 71.736 37.1967
33.653354 71.983 35.9299
33.897220 72.207 34.3313
34.142854 72.402 32.4371
34.390267 72.564 30.2653
34.639473 72.687 27.8617
34.890485 72.768 25.2697
35.143316 72.804 22.5109
35.397979 72.790 19.6611
35.654487 72.726 16.7755
35.912854 72.613 13.8866
36.173093 72.450 11.0507
36.435218 72.240 8.3361
36.699243 71.985 5.7782
36.965181 71.689 3.4258
37.233046 71.357 1.3301
37.502852 70.997 -0.4841
37.774613 70.615 -1.9934
38.048343 70.221 -3.1808
38.324057 69.823 -4.0649
38.601769 69.430 -4.6679
38.881494 69.048 -5.0175
39.163245 68.679 -5.1555
39.447038 68.327 -5.1373
39.732888 67.990 -4.9926
40.020808 67.664 -4.7374
40.310816 67.348 -4.3753
40.602924 67.041 -3.8936
40.897150 66.742 -3.2601
41.193508 66.457 -2.4438
41.492013 66.191 -1.4246
41.792681 65.954 -0.1989
42.095528 65.755 1.2104
42.400570 65.601 2.7458
42.707822 65.496 4.3267
43.017300 65.439 5.8633
43.329021 65.425 7.2698
43.643001 65.442 8.4761
43.959256 65.478 9.4370
44.277803 65.520 10.1371
44.598658 65.556 10.5927
44.921839 65.575 10.8474
45.247361 65.569 10.9658
45.575242 65.534 11.0294
45.905499 65.468 11.1328
46.238149 65.376 11.3783
46.573210 65.266 11.8666
46.910698 65.155 12.6826
47.250633 65.066 13.8754
47.593030 65.026 15.4330
47.937909 65.060 17.2614
48.285287 65.191 19.1865
48.635182 65.424 20.9801
48.987612 65.753 22.4106
49.342597 66.157 23.2940
49.700154 66.608 23.5192
50.060301 67.078 23.0480
50.423059 67.541 21.8969
50.788445 67.978 20.1147
51.156479 68.374 17.7642
51.527180 68.720 14.9102
51.900567 69.009 11.6156
52.276660 69.240 7.9391
52.655478 69.411 3.9351
53.037042 69.523 -0.3471
53.421370 69.577 -4.8643
53.808483 69.573 -9.5823
54.198402 69.513 -14.4786
54.591146 69.397 -19.5441
54.986736 69.228 -24.7871
55.385192 69.005 -30.2334
55.786536 68.732 -35.9276
56.190788 68.413 -41.9342
56.597970 68.052 -48.3396
57.008102 67.655 -55.2546
57.421206 67.231 -62.8163
57.837304 66.793 -71.1868
58.256417 66.364 -80.5446
58.678567 65.977 -91.0596
59.103776 65.678 -102.8378
59.532067 65.525 -115.8401
59.963460 65.572 -129.8073
60.397980 65.850 -144.2594
60.835649 66.351 -158.6232
61.276489 67.026 -172.4240
61.720524 67.810 174.6161
62.167776 68.638 162.5750
62.618270 69.459 151.4049
63.072027 70.239 140.9944
63.529073 70.955 131.2236
63.989431 71.596 121.9986
64.453125 72.155 113.2446
64.920179 72.627 104.8922
65.390617 73.014 96.8881
65.864465 73.315 89.2069
66.341746 73.532 81.8303
66.822485 73.663 74.7325
67.306709 73.711 67.9145
67.794441 73.675 61.3868
68.285707 73.553 55.1513
68.780534 73.346 49.2319
69.278946 73.049 43.6663
69.780970 72.659 38.4924
70.286631 72.170 33.7840
70.795957 71.576 29.6435
71.308974 70.871 26.2209
71.825708 70.048 23.7500
72.346187 69.111 22.5778
72.870437 68.081 23.2142
73.398486 67.029 26.3340
73.930362 66.114 32.5820
74.466092 65.601 41.8550
75.005704 65.726 52.4592
75.549226 66.478 61.6657
76.096687 67.608 67.8460
76.648115 68.854 70.9455
77.203539 70.060 71.6448
77.762987 71.160 70.6394
78.326490 72.133 68.4660
78.894076 72.979 65.5024
79.465775 73.704 62.0076
80.041617 74.320 58.1628
80.621631 74.837 54.0965
81.205849 75.265 49.8939
81.794300 75.612 45.6227
82.387015 75.885 41.3226
82.984025 76.092 37.0265
83.585362 76.236 32.7566
84.191056 76.322 28.5280
84.801139 76.353 24.3580
85.415643 76.330 20.2623
86.034600 76.252 16.2610
86.658042 76.120 12.3851
87.286002 75.933 8.6715
87.918512 75.692 5.1666
88.555606 75.398 1.9269
89.197317 75.054 -0.9848
89.843677 74.665 -3.5044
90.494721 74.240 -5.5693
91.150484 73.789 -7.1243
91.810997 73.326 -8.1293
92.476298 72.866 -8.5645
93.146419 72.428 -8.4356
93.821397 72.027 -7.7786
94.501265 71.679 -6.6602
95.186060 71.394 -5.1715
95.875818 71.180 -3.4206
96.570573 71.041 -1.5187
97.270363 70.975 0.4266
97.975225 70.978 2.3196
98.685194 71.042 4.0815
99.400307 71.158 5.6525
100.120603 71.315 6.9949
100.846118 71.502 8.0951
101.576890 71.708 8.9653
102.312958 71.927 9.6428
103.054360 72.152 10.1846
103.801135 72.384 10.6567
104.553320 72.630 11.1161
105.310957 72.899 11.5910
106.074084 73.203 12.0623
106.842740 73.554 12.4556
107.616967 73.955 12.6510
108.396804 74.405 12.5114
109.182291 74.889 11.9184
109.973471 75.390 10.7964
110.770384 75.888 9.1222
111.573072 76.364 6.9184
112.381577 76.802 4.2402
113.195940 77.191 1.1608
114.016204 77.522 -2.2402
114.842413 77.791 -5.8807
115.674608 77.996 -9.6802
116.512834 78.135 -13.5607
117.357134 78.212 -17.4504
118.207552 78.228 -21.2811
119.064133 78.191 -24.9915
119.926921 78.107 -28.5321
120.795961 77.982 -31.8649
121.671298 77.825 -34.9673
122.552979 77.645 -37.8328
123.441048 77.448 -40.4704
124.335553 77.241 -42.9005
125.236539 77.027 -45.1501
126.144055 76.808 -47.2455
127.058147 76.583 -49.2050
127.978862 76.351 -51.0336
128.906250 76.111 -52.7217
129.840358 75.862 -54.2452
130.781235 75.606 -55.5701
131.728929 75.347 -56.6573
132.683491 75.092 -57.4722
133.644971 74.851 -57.9929
134.613417 74.636 -58.2230
135.588882 74.462 -58.2006
136.571415 74.340 -58.0036
137.561067 74.278 -57.7474
138.557891 74.277 -57.5673
139.561939 74.330 -57.5932
140.573262 74.424 -57.9241
141.591914 74.540 -58.6104
142.617948 74.662 -59.6506
143.651416 74.776 -61.0010
144.692373 74.872 -62.5927
145.740874 74.947 -64.3493
146.796972 75.001 -66.2030
147.860724 75.037 -68.1075
148.932184 75.063 -70.0436
150.011408 75.084 -72.0185
151.098452 75.103 -74.0590
152.193374 75.121 -76.2011
153.296230 75.136 -78.4816
154.407077 75.143 -80.9314
155.525975 75.139 -83.5720
156.652980 75.117 -86.4139
157.788152 75.068 -89.4562
158.931550 74.987 -92.6859
160.083234 74.868 -96.0787
161.243263 74.705 -99.6003
162.411698 74.493 -103.2078
163.588600 74.231 -106.8529
164.774030 73.916 -110.4860
165.968051 73.549 -114.0587
167.170724 73.134 -117.5271
168.382112 72.675 -120.8556
169.602278 72.178 -124.0240
170.831286 71.650 -127.0359
172.069200 71.100 -129.9272
173.316084 70.534 -132.7759
174.572004 69.954 -135.7036
175.837025 69.355 -138.8730
177.111212 68.721 -142.4745
178.394633 68.028 -146.7218
179.687354 67.238 -151.8531
180.989443 66.303 -158.1606
182.300967 65.166 -166.0691
183.621995 63.763 -176.3140
184.952596 62.059 169.6542
186.292838 60.189 148.9519
187.642793 58.872 117.8894
189.002530 59.325 80.9899
190.372120 61.290 51.5831
191.751635 63.530 31.5411
193.141147 65.512 16.9896
194.540727 67.158 5.3938
195.950449 68.504 -4.4835
197.370387 69.598 -13.2489
198.800614 70.484 -21.2145
200.241205 71.197 -28.5469
201.692236 71.764 -35.3363
203.153781 72.210 -41.6304
204.625917 72.555 -47.4526
206.108721 72.818 -52.8171
207.602269 73.020 -57.7408
209.106641 73.179 -62.2535
210.621914 73.311 -66.4049
212.148167 73.432 -70.2675
213.685480 73.552 -73.9324
215.233933 73.675 -77.4993
216.793607 73.801 -81.0636
218.364583 73.926 -84.7043
219.946943 74.042 -88.4779
221.540769 74.141 -92.4150
223.146145 74.212 -96.5234
224.763154 74.247 -100.7897
226.391880 74.237 -105.1825
228.032409 74.177 -109.6573
229.684826 74.060 -114.1594
231.349217 73.885 -118.6270
233.025668 73.649 -122.9926
234.714269 73.353 -127.1874
236.415105 72.998 -131.1393
238.128266 72.588 -134.7711
239.853842 72.129 -138.0015
241.591922 71.632 -140.7443
243.342596 71.111 -142.9150
245.105957 70.586 -144.4459
246.882096 70.086 -145.3114
248.671105 69.644 -145.5621
250.473079 69.290 -145.3502
252.288110 69.047 -144.9270
254.116293 68.918 -144.5956
255.957725 68.887 -144.6355
257.812500 68.925 -145.2399
259.680716 68.997 -146.4928
261.562469 69.070 -148.3860
263.457859 69.119 -150.8531
265.366983 69.124 -153.8014
267.289941 69.073 -157.1344
269.226835 68.956 -160.7637
271.177763 68.768 -164.6129
273.142829 68.503 -168.6173
275.122135 68.155 -172.7178
277.115783 67.715 -176.8541
279.123878 67.174 179.0453
281.146525 66.521 175.0762
283.183828 65.741 171.3741
285.235895 64.822 168.1304
287.302832 63.751 165.6145
289.384747 62.523 164.2046
291.481748 61.148 164.4249
293.593945 59.670 166.9673
295.721448 58.199 172.6106
297.864367 56.951 -178.1849
300.022815 56.217 -166.1357
302.196904 56.181 -153.5000
304.386747 56.755 -142.6702
306.592459 57.695 -134.6797
308.814155 58.788 -129.4421
