* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Aug 31, 2026, 4:04:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Copy of L+R MPM.0
* Measurement: L+R.orig.-6dB
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
16.113281 70.039 -168.3717
16.479492 70.749 -176.2030
16.845703 70.905 177.3045
17.211914 71.020 173.5305
17.578125 71.356 171.5499
17.944336 71.988 169.2488
18.310547 72.651 165.4240
18.676758 73.271 160.6210
19.042969 73.784 154.1130
19.409179 73.966 147.6268
19.775390 74.223 143.4254
20.141601 74.768 138.0449
20.507812 74.867 131.0609
20.874023 74.539 127.4993
21.240234 74.627 126.3978
21.606445 74.985 123.3126
21.972656 75.339 119.7795
22.338867 75.869 115.5820
22.705078 76.237 109.7592
23.071288 76.312 104.5201
23.437499 76.368 99.9605
23.803710 76.359 95.4538
24.169921 76.416 92.4859
24.536132 76.818 88.9980
24.902343 77.067 82.9784
25.268554 76.891 78.0060
25.634765 76.970 75.6558
26.000976 77.575 70.8877
26.367187 77.954 61.7830
26.733398 77.617 52.1668
27.099608 76.863 46.7219
27.465819 76.681 45.2071
27.832030 77.233 39.9438
28.198241 77.399 28.7633
28.564452 76.563 16.3627
28.930663 74.917 6.8726
29.296874 72.906 0.7831
29.663085 70.573 -1.8726
30.029296 68.228 3.5291
30.395507 67.173 16.2225
30.761718 67.288 27.4697
31.127928 67.848 35.8673
31.494139 68.461 40.1035
31.860350 68.762 42.2545
32.226561 69.138 44.0804
32.592772 69.645 44.2532
32.958983 70.115 44.5520
33.325194 70.802 45.0129
33.691405 71.493 43.3722
34.057616 71.984 40.9623
34.423827 72.579 38.1464
34.790038 73.269 33.1897
35.156248 73.783 26.2773
35.522459 73.969 18.0154
35.888670 73.679 9.1259
36.254881 72.983 1.5508
36.621092 72.244 -4.0543
36.987303 71.486 -8.8523
37.353514 70.462 -11.9252
37.719725 69.337 -12.0817
38.085936 68.349 -11.0917
38.452147 67.484 -9.7620
38.818358 66.917 -7.4742
39.184568 66.688 -4.4109
39.550779 66.770 -0.4286
39.916990 67.240 1.4747
40.283201 67.516 -2.5563
40.649412 66.902 -9.6924
41.015623 65.612 -12.8802
41.381834 64.614 -10.4186
41.748045 63.763 -6.5729
42.114256 62.992 2.0490
42.480467 63.546 8.6973
42.846678 63.995 6.1166
43.212888 63.642 6.8660
43.579099 64.095 15.1070
43.945310 65.183 19.0319
44.311521 65.505 17.9609
44.677732 65.039 15.5692
45.043943 64.639 14.9501
45.410154 65.351 14.2089
45.776365 66.232 9.7540
46.142576 66.184 7.2296
46.508787 65.868 7.8379
46.874997 65.359 3.2392
47.241208 63.959 -4.8066
47.607419 62.319 -6.9279
47.973630 61.088 0.2245
48.339841 60.634 18.7019
48.706052 61.847 35.1389
49.072263 62.808 41.7826
49.438474 63.804 43.3059
49.804685 64.948 37.7720
50.170896 65.681 34.9403
50.537107 67.157 38.6618
50.903317 68.924 36.6555
51.269528 69.534 30.7035
51.635739 69.626 26.2358
52.001950 69.961 21.0178
52.368161 70.298 15.1660
52.734372 70.694 10.0285
53.100583 70.938 3.1132
53.466794 70.745 -3.8741
53.833005 70.765 -9.2535
54.199216 71.072 -16.4663
54.565427 70.920 -23.7284
54.931637 70.517 -27.7663
55.297848 70.211 -32.3244
55.664059 69.638 -38.6198
56.030270 69.085 -43.8040
56.396481 68.822 -49.3527
56.762692 68.384 -54.7515
57.128903 68.015 -57.9057
57.495114 68.005 -62.5930
57.861325 67.902 -69.7131
58.227536 67.719 -76.5646
58.593747 67.554 -83.5048
58.959957 67.254 -90.3850
59.326168 67.067 -96.7537
59.692379 67.156 -103.9653
60.058590 67.469 -111.2013
60.424801 68.173 -118.1625
60.791012 69.155 -126.4970
61.157223 70.228 -135.9614
61.523434 71.441 -146.4857
61.889645 72.673 -158.5983
62.255856 73.757 -171.7999
62.622067 74.631 174.2806
62.988277 75.202 160.1580
63.354488 75.473 147.1956
63.720699 75.607 136.0056
64.086910 75.659 126.1525
64.453121 75.646 117.8517
64.819332 75.731 110.8907
65.185543 75.932 104.0629
65.551754 76.150 97.3817
65.917965 76.445 90.7407
66.284176 76.731 83.1834
66.650387 76.853 75.1960
67.016597 76.877 67.3140
67.382808 76.783 58.9744
67.749019 76.412 50.9627
68.115230 75.889 44.8147
68.481441 75.458 40.1320
68.847652 75.156 35.7318
69.213863 74.947 30.8666
69.580074 74.680 25.0580
69.946285 74.203 19.3461
70.312496 73.638 14.4987
70.678706 73.033 9.5026
71.044917 72.270 4.5318
71.411128 71.485 0.3035
71.777339 70.714 -4.0389
72.143550 69.781 -8.0997
72.509761 68.766 -11.6017
72.875972 67.556 -16.2883
73.242183 65.867 -20.9465
73.608394 64.025 -24.0964
73.974605 61.931 -29.2758
74.340816 58.333 -36.0862
74.707026 51.611 -41.2953
75.073237 38.583 -177.3250
75.439448 55.527 146.0647
75.805659 61.272 136.6569
76.171870 64.735 129.9421
76.538081 67.294 123.5413
76.904292 69.163 117.1399
77.270503 70.635 111.4784
77.636714 71.946 105.5808
78.002925 73.076 99.3015
78.369136 74.101 92.9434
78.735346 74.945 85.7144
79.101557 75.398 78.3262
79.467768 75.607 72.2527
79.833979 75.807 66.8494
80.200190 75.898 61.8575
80.566401 75.929 58.6819
80.932612 76.120 56.5237
81.298823 76.346 53.8293
81.665034 76.539 51.0358
82.031245 76.820 47.7655
82.397456 77.071 43.3640
82.763666 77.164 38.8004
83.129877 77.169 34.8104
83.496088 77.134 31.1409
83.862299 77.008 27.6898
84.228510 76.755 24.9982
84.594721 76.484 23.6327
84.960932 76.374 22.9174
85.327143 76.446 21.8658
85.693354 76.701 20.2264
86.059565 77.069 17.3417
86.425776 77.300 13.4341
86.791986 77.356 9.6323
87.158197 77.365 5.5695
87.524408 77.269 0.6296
87.890619 77.002 -4.2264
88.256830 76.666 -8.1925
88.623041 76.331 -11.8148
88.989252 75.901 -16.1288
89.355463 75.167 -20.5586
89.721674 74.247 -22.5431
90.087885 73.603 -22.2600
90.454096 73.088 -22.3168
90.820306 72.455 -21.3683
91.186517 72.057 -20.0334
91.552728 71.621 -20.8038
91.918939 70.924 -20.2394
92.285150 70.515 -17.7037
92.651361 70.175 -16.2954
93.017572 69.734 -13.6777
93.383783 69.762 -11.2552
93.749994 69.859 -11.9917
94.116205 69.629 -11.9498
94.482415 69.410 -8.8798
94.848626 69.406 -4.9105
95.214837 69.497 -2.7552
95.581048 69.414 -2.2966
95.947259 69.412 -0.8988
96.313470 69.772 -0.2228
96.679681 69.873 -0.8030
97.045892 69.674 0.7800
97.412103 69.656 2.3253
97.778314 69.516 1.7711
98.144525 69.304 2.2980
98.510735 69.321 3.8284
98.876946 69.330 6.1570
99.243157 69.472 9.1600
99.609368 69.647 9.7040
99.975579 69.585 9.4324
100.341790 69.710 10.3092
100.708001 70.015 10.8105
101.074212 70.174 12.0438
101.440423 70.320 14.1171
101.806634 70.422 15.6244
102.172845 70.552 17.3340
102.539055 70.925 18.8741
102.905266 71.443 19.8953
103.271477 72.102 20.2671
103.637688 72.801 18.4629
104.003899 73.338 14.6656
104.370110 73.716 9.9994
104.736321 73.905 5.1034
105.102532 73.847 0.6388
105.468743 73.548 -3.6444
105.834954 72.917 -8.1500
106.201165 71.904 -11.7467
106.567375 70.599 -12.6879
106.933586 69.151 -9.0392
107.299797 67.994 0.3894
107.666008 67.692 13.3164
108.032219 68.462 24.8491
108.398430 69.765 30.9650
108.764641 70.928 33.7487
109.130852 71.989 35.7522
109.497063 72.983 36.3190
109.863274 73.832 35.6627
110.229485 74.668 33.9373
110.595695 75.459 30.8632
110.961906 76.108 27.3938
111.328117 76.603 23.8265
111.694328 76.851 20.4114
112.060539 76.979 18.0763
112.426750 77.199 16.0123
112.792961 77.388 13.7688
113.159172 77.555 12.4694
113.525383 77.827 11.3351
113.891594 78.100 9.7208
114.257805 78.448 8.0637
114.624015 78.895 5.5579
114.990226 79.253 2.7766
115.356437 79.621 0.3864
115.722648 79.987 -3.3777
116.088859 80.073 -8.3866
116.455070 79.975 -12.7782
116.821281 79.918 -16.7205
117.187492 79.817 -20.5184
117.553703 79.669 -23.4890
117.919914 79.547 -26.1951
118.286124 79.372 -28.9678
118.652335 79.177 -31.2925
119.018546 79.009 -33.4753
119.384757 78.800 -35.5979
119.750968 78.568 -37.4569
120.117179 78.343 -39.3698
120.483390 78.120 -41.2355
120.849601 77.936 -43.0582
121.215812 77.713 -45.0989
121.582023 77.365 -46.7690
121.948234 76.971 -47.5984
122.314444 76.609 -47.9404
122.680655 76.265 -47.9088
123.046866 75.965 -47.1974
123.413077 75.790 -45.9957
123.779288 75.735 -45.1392
124.145499 75.697 -44.7483
124.511710 75.681 -44.1859
124.877921 75.772 -43.5571
125.244132 75.946 -43.5803
125.610343 76.082 -44.5256
125.976554 76.112 -45.7896
126.342764 76.120 -46.7802
126.708975 76.160 -47.8361
127.075186 76.157 -48.8420
127.441397 76.178 -49.5579
127.807608 76.233 -50.9568
128.173819 76.182 -52.8705
128.540030 76.100 -54.3562
128.906241 76.050 -55.9471
129.272452 75.914 -57.5281
129.638663 75.773 -58.7155
130.004874 75.642 -60.5127
130.371084 75.384 -62.4165
130.737295 75.128 -63.4955
131.103506 74.904 -64.5688
131.469717 74.569 -65.0944
131.835928 74.299 -64.5116
132.202139 74.146 -64.3032
132.568350 73.958 -64.2770
132.934561 73.833 -63.9236
133.300772 73.756 -64.0159
133.666983 73.651 -64.0867
134.033194 73.629 -64.2477
134.399404 73.588 -65.2310
134.765615 73.416 -66.1228
135.131826 73.204 -66.6238
135.498037 72.923 -67.2684
135.864248 72.549 -67.5945
136.230459 72.176 -67.4354
136.596670 71.794 -66.7107
136.962881 71.450 -64.9236
137.329092 71.191 -62.8213
137.695303 70.893 -60.6864
138.061514 70.639 -57.6754
138.427724 70.593 -54.3506
138.793935 70.667 -50.9362
139.160146 70.893 -46.9844
139.526357 71.268 -43.6221
139.892568 71.658 -41.0229
140.258779 72.189 -39.0438
140.624990 72.844 -38.8206
140.991201 73.404 -39.5507
141.357412 73.926 -40.0834
141.723623 74.421 -41.2379
142.089833 74.763 -42.9434
142.456044 75.067 -44.5985
142.822255 75.414 -46.7275
143.188466 75.724 -49.0304
143.554677 76.038 -51.1963
143.920888 76.308 -54.0171
144.287099 76.429 -57.2784
144.653310 76.499 -60.5920
145.019521 76.546 -64.4282
145.385732 76.471 -68.3475
145.751943 76.305 -71.8285
146.118153 76.041 -75.2910
146.484364 75.619 -78.5021
146.850575 75.107 -80.9725
147.216786 74.533 -82.6759
147.582997 73.885 -83.0681
147.949208 73.258 -81.9531
148.315419 72.711 -79.7642
148.681630 72.316 -76.6749
149.047841 72.149 -73.1680
149.414052 72.218 -69.5233
149.780263 72.517 -66.3745
150.146473 72.896 -64.2388
150.512684 73.318 -62.7468
150.878895 73.812 -62.4617
151.245106 74.253 -63.3741
151.611317 74.656 -64.8324
151.977528 74.992 -67.2136
152.343739 75.134 -69.8159
152.709950 75.232 -71.8317
153.076161 75.351 -74.4049
153.442372 75.296 -77.3126
153.808583 75.137 -79.3267
154.174793 74.969 -81.0039
154.541004 74.714 -82.1146
154.907215 74.548 -82.1376
155.273426 74.519 -82.5602
155.639637 74.392 -83.2162
156.005848 74.232 -82.9585
156.372059 74.146 -82.4729
156.738270 74.079 -81.9528
157.104481 74.099 -81.0938
157.470692 74.257 -80.1980
157.836903 74.537 -79.4865
158.203113 74.893 -79.3350
158.569324 75.276 -79.7574
158.935535 75.718 -81.1602
159.301746 76.097 -84.0671
159.667957 76.316 -87.3942
160.034168 76.513 -90.7002
160.400379 76.636 -94.8047
160.766590 76.539 -98.7878
161.132801 76.389 -101.6727
161.499012 76.270 -104.5579
161.865223 76.018 -107.4181
162.231433 75.719 -109.3529
162.597644 75.498 -111.3480
162.963855 75.215 -113.6792
163.330066 74.903 -115.2715
163.696277 74.667 -116.4609
164.062488 74.395 -117.4521
164.428699 74.131 -117.6342
