* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Aug 31, 2026, 4:22:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of Fl Cal file effects not included LF tail from 17 Hz at 24 dB/octave No HF tail
* Measurement: L.Filter
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 -97.973 21.7015
0.732422 -96.232 28.4206
1.098633 -90.489 7.7441
1.464844 -82.031 -9.9814
1.831055 -74.329 -18.3378
2.197265 -67.865 -23.3347
2.563476 -62.407 -27.1304
2.929687 -57.698 -30.5321
3.295898 -53.565 -33.8309
3.662109 -49.882 -37.1285
4.028320 -46.560 -40.4634
4.394531 -43.534 -43.8491
4.760742 -40.755 -47.2935
5.126953 -38.184 -50.7920
5.493164 -35.791 -54.3418
5.859375 -33.553 -57.9379
6.225585 -31.449 -61.5772
6.591796 -29.465 -65.2558
6.958007 -27.588 -68.9718
7.324218 -25.806 -72.7248
7.690429 -24.110 -76.5160
8.056640 -22.493 -80.3470
8.422851 -20.948 -84.2213
8.789062 -19.469 -88.1432
9.155273 -18.050 -92.1179
9.521484 -16.688 -96.1509
9.887695 -15.377 -100.2487
10.253905 -14.114 -104.4183
10.620116 -12.895 -108.6674
10.986327 -11.718 -113.0049
11.352538 -10.579 -117.4409
11.718749 -9.477 -121.9876
12.084960 -8.408 -126.6603
12.451171 -7.370 -131.4785
12.817382 -6.363 -136.4681
13.183593 -5.384 -141.6654
13.549804 -4.432 -147.1242
13.916015 -3.505 -152.9338
14.282225 -2.603 -159.2804
14.648436 -1.788 -166.8017
15.014647 -1.232 -174.5743
15.380858 -0.839 178.1310
15.747069 -0.550 171.3543
16.113280 -0.335 165.0571
16.479491 -0.176 159.1858
16.845702 -0.058 153.6707
17.211913 0.006 148.3579
17.578124 0.002 143.7511
17.944335 0.001 139.5859
18.310545 0.000 135.7488
18.676756 -0.000 132.1809
19.042967 -0.001 128.8450
19.409178 -0.000 125.7098
19.775389 -0.000 122.7495
20.141600 -0.000 119.9488
20.507811 0.000 117.2883
20.874022 0.000 114.7572
21.240233 0.000 112.3411
21.606444 0.000 110.0310
21.972654 0.000 107.8165
22.338865 0.000 105.6881
22.705076 0.000 103.6374
23.071287 -0.000 101.6532
23.437498 -0.000 99.7200
23.803709 -0.002 97.8038
24.169920 -0.019 95.8710
24.536131 -0.064 94.0671
24.902342 -0.118 92.4977
25.268553 -0.168 91.1313
25.634764 -0.208 89.9493
26.000974 -0.228 88.9283
26.367185 -0.220 88.0193
26.733396 -0.173 87.1171
27.099607 -0.089 86.0005
27.465818 -0.020 84.5064
27.832029 -0.002 82.9993
28.198240 0.000 81.6497
28.564451 -0.000 80.3963
28.930662 -0.000 79.2024
29.296873 -0.000 78.0555
29.663084 0.000 76.9503
30.029294 -0.000 75.8799
30.395505 -0.000 74.8401
30.761716 0.000 73.8322
31.127927 0.000 72.8520
31.494138 0.000 71.8971
31.860349 0.000 70.9687
32.226560 0.000 70.0627
32.592771 0.000 69.1799
32.958982 -0.000 68.3185
33.325193 0.000 67.4773
33.691404 -0.000 66.6562
34.057614 -0.000 65.8537
34.423825 -0.000 65.0697
34.790036 -0.000 64.3031
35.156247 -0.000 63.5534
35.522458 0.000 62.8203
35.888669 -0.000 62.1025
36.254880 0.000 61.4004
36.621091 0.000 60.7124
36.987302 0.000 60.0389
37.353513 0.000 59.3790
37.719724 0.000 58.7320
38.085934 0.000 58.0980
38.452145 0.000 57.4760
38.818356 -0.000 56.8659
39.184567 -0.000 56.2674
39.550778 -0.000 55.6800
39.916989 -0.000 55.1033
40.283200 -0.000 54.5372
40.649411 -0.000 53.9814
41.015622 -0.000 53.4355
41.381833 0.000 52.8991
41.748044 0.000 52.3721
42.114254 0.000 51.8542
42.480465 0.000 51.3449
42.846676 0.000 50.8443
43.212887 0.000 50.3518
43.579098 -0.000 49.8673
43.945309 -0.000 49.3907
44.311520 -0.000 48.9215
44.677731 -0.000 48.4597
45.043942 -0.000 48.0051
45.410153 -0.000 47.5574
45.776363 -0.000 47.1165
46.142574 -0.000 46.6823
46.508785 -0.000 46.2546
46.874996 0.000 45.8331
47.241207 0.000 45.4178
47.607418 0.000 45.0084
47.973629 0.000 44.6047
48.339840 0.000 44.2066
48.706051 0.000 43.8140
49.072262 -0.000 43.4267
49.438473 -0.000 43.0446
49.804683 -0.000 42.6674
50.170894 -0.000 42.2952
50.537105 -0.000 41.9278
50.903316 -0.000 41.5651
51.269527 -0.000 41.2069
51.635738 -0.000 40.8532
52.001949 0.000 40.5038
52.368160 0.000 40.1587
52.734371 0.000 39.8177
53.100582 0.000 39.4806
53.466793 0.000 39.1474
53.833003 0.000 38.8181
54.199214 -0.000 38.4923
54.565425 -0.000 38.1702
54.931636 -0.000 37.8514
55.297847 -0.000 37.5361
55.664058 -0.000 37.2241
56.030269 -0.000 36.9153
56.396480 -0.000 36.6096
56.762691 -0.000 36.3070
57.128902 -0.000 36.0073
57.495113 0.000 35.7106
57.861323 0.000 35.4165
58.227534 0.000 35.1252
58.593745 0.000 34.8365
58.959956 0.000 34.5503
59.326167 0.000 34.2665
59.692378 0.000 33.9851
60.058589 -0.000 33.7060
60.424800 -0.000 33.4290
60.791011 -0.000 33.1542
61.157222 -0.000 32.8814
61.523433 -0.000 32.6105
61.889643 -0.000 32.3416
62.255854 -0.000 32.0745
62.622065 0.000 31.8090
62.988276 0.000 31.5452
63.354487 0.000 31.2830
63.720698 0.000 31.0222
64.086909 0.000 30.7628
64.453120 0.000 30.5046
64.819331 0.000 30.2477
65.185542 0.000 29.9918
65.551753 -0.000 29.7368
65.917963 -0.000 29.4828
66.284174 -0.000 29.2296
66.650385 -0.000 28.9771
67.016596 -0.000 28.7251
67.382807 0.000 28.4736
67.749018 0.000 28.2224
68.115229 0.000 27.9714
68.481440 0.000 27.7205
68.847651 0.000 27.4694
69.213862 0.000 27.2181
69.580072 0.000 26.9664
69.946283 0.000 26.7141
70.312494 0.000 26.4611
70.678705 -0.000 26.2069
71.044916 0.000 25.9515
71.411127 -0.000 25.6947
71.777338 0.000 25.4362
72.143549 -0.000 25.1755
72.509760 -0.000 24.9125
72.875971 -0.000 24.6466
73.242182 -0.000 24.3776
73.608392 -0.000 24.1050
73.974603 0.000 23.8281
74.340814 0.000 23.5464
74.707025 0.000 23.2592
75.073236 0.000 22.9656
75.439447 0.000 22.6647
75.805658 0.000 22.3555
76.171869 0.000 22.0363
76.538080 0.000 21.7058
76.904291 0.000 21.3618
77.270502 0.000 21.0017
77.636712 -0.000 20.6222
78.002923 -0.000 20.2188
78.369134 -0.000 19.7856
78.735345 -0.001 19.3132
79.101556 -0.002 18.7876
79.467767 -0.005 18.1963
79.833978 -0.015 17.5046
80.200189 -0.035 16.7085
80.566400 -0.081 15.8002
80.932611 -0.156 14.8210
81.298822 -0.275 13.8717
81.665032 -0.430 13.0613
82.031243 -0.618 12.4821
82.397454 -0.817 12.1578
82.763665 -1.022 12.1034
83.129876 -1.221 12.2736
83.496087 -1.407 12.6627
83.862298 -1.579 13.2402
84.228509 -1.729 13.9719
84.594720 -1.856 14.8306
84.960931 -1.958 15.7727
85.327142 -2.033 16.7706
85.693352 -2.084 17.7896
86.059563 -2.111 18.8080
86.425774 -2.116 19.7946
86.791985 -2.102 20.7399
87.158196 -2.073 21.6238
87.524407 -2.031 22.4533
87.890618 -1.978 23.2283
88.256829 -1.916 23.9606
88.623040 -1.842 24.6478
88.989251 -1.758 25.2888
89.355462 -1.662 25.8727
89.721672 -1.556 26.3909
90.087883 -1.439 26.8308
90.454094 -1.313 27.1849
90.820305 -1.179 27.4378
91.186516 -1.039 27.5857
91.552727 -0.894 27.6077
91.918938 -0.746 27.5027
92.285149 -0.601 27.2486
92.651360 -0.461 26.8500
93.017571 -0.336 26.3022
93.383781 -0.226 25.6400
93.749992 -0.143 24.8914
94.116203 -0.083 24.1353
94.482414 -0.044 23.3929
94.848625 -0.022 22.7253
95.214836 -0.010 22.1155
95.581047 -0.005 21.5800
95.947258 -0.002 21.0924
96.313469 -0.001 20.6515
96.679680 -0.000 20.2415
97.045891 -0.000 19.8582
97.412101 -0.000 19.4944
97.778312 -0.000 19.1470
98.144523 -0.000 18.8124
98.510734 0.000 18.4886
98.876945 0.000 18.1737
99.243156 0.000 17.8658
99.609367 0.000 17.5641
99.975578 0.000 17.2671
100.341789 0.000 16.9740
100.708000 0.000 16.6840
101.074211 0.000 16.3961
101.440421 0.000 16.1099
101.806632 0.000 15.8244
102.172843 -0.000 15.5391
102.539054 0.000 15.2535
102.905265 0.000 14.9669
103.271476 0.000 14.6786
103.637687 0.000 14.3881
104.003898 0.000 14.0948
104.370109 0.000 13.7980
104.736320 0.000 13.4969
105.102531 0.000 13.1910
105.468741 0.000 12.8792
105.834952 -0.000 12.5607
106.201163 -0.000 12.2344
106.567374 -0.000 11.8989
106.933585 -0.000 11.5529
107.299796 -0.000 11.1945
107.666007 -0.001 10.8223
108.032218 -0.002 10.4331
108.398429 -0.003 10.0264
108.764640 -0.005 9.5978
109.130851 -0.008 9.1470
109.497061 -0.013 8.6674
109.863272 -0.019 8.1595
110.229483 -0.028 7.6079
110.595694 -0.042 7.0157
110.961905 -0.060 6.3719
111.328116 -0.090 5.6735
111.694327 -0.131 4.9502
112.060538 -0.188 4.1994
112.426749 -0.263 3.4661
112.792960 -0.353 2.7816
113.159171 -0.456 2.1509
113.525381 -0.572 1.6162
113.891592 -0.692 1.1659
114.257803 -0.819 0.8087
114.624014 -0.946 0.5446
114.990225 -1.074 0.3561
115.356436 -1.199 0.2487
115.722647 -1.322 0.2023
116.088858 -1.440 0.2177
116.455069 -1.554 0.2825
116.821280 -1.663 0.3912
117.187490 -1.767 0.5382
117.553701 -1.866 0.7159
117.919912 -1.961 0.9203
118.286123 -2.050 1.1472
118.652334 -2.136 1.3914
119.018545 -2.217 1.6520
119.384756 -2.294 1.9247
119.750967 -2.367 2.2090
120.117178 -2.438 2.5039
120.483389 -2.505 2.8076
120.849600 -2.570 3.1218
121.215810 -2.631 3.4451
121.582021 -2.691 3.7786
121.948232 -2.747 4.1233
122.314443 -2.801 4.4788
122.680654 -2.853 4.8463
123.046865 -2.902 5.2267
123.413076 -2.948 5.6183
123.779287 -2.990 6.0234
124.145498 -3.029 6.4395
124.511709 -3.065 6.8661
124.877920 -3.096 7.3036
125.244130 -3.123 7.7469
125.610341 -3.145 8.1973
125.976552 -3.163 8.6500
126.342763 -3.176 9.1024
126.708974 -3.183 9.5524
127.075185 -3.186 9.9951
127.441396 -3.183 10.4270
127.807607 -3.176 10.8458
128.173818 -3.163 11.2457
128.540029 -3.147 11.6235
128.906240 -3.126 11.9783
129.272450 -3.101 12.3019
129.638661 -3.074 12.5963
130.004872 -3.043 12.8568
130.371083 -3.011 13.0787
130.737294 -2.978 13.2683
131.103505 -2.944 13.4164
131.469716 -2.911 13.5272
131.835927 -2.878 13.6033
132.202138 -2.848 13.6390
132.568349 -2.820 13.6450
132.934560 -2.794 13.6183
133.300770 -2.773 13.5614
133.666981 -2.756 13.4839
134.033192 -2.744 13.3840
134.399403 -2.737 13.2690
134.765614 -2.735 13.1449
135.131825 -2.739 13.0143
135.498036 -2.749 12.8836
135.864247 -2.764 12.7592
136.230458 -2.784 12.6444
136.596669 -2.810 12.5436
136.962880 -2.840 12.4648
137.329090 -2.875 12.4073
137.695301 -2.913 12.3768
138.061512 -2.955 12.3799
138.427723 -2.998 12.4108
138.793934 -3.045 12.4784
139.160145 -3.091 12.5840
139.526356 -3.139 12.7207
139.892567 -3.186 12.8973
140.258778 -3.232 13.1099
140.624989 -3.277 13.3533
140.991199 -3.320 13.6333
141.357410 -3.359 13.9422
141.723621 -3.396 14.2777
142.089832 -3.429 14.6412
142.456043 -3.458 15.0245
142.822254 -3.483 15.4261
143.188465 -3.503 15.8443
143.554676 -3.518 16.2726
143.920887 -3.529 16.7083
144.287098 -3.534 17.1488
144.653309 -3.535 17.5901
145.019519 -3.532 18.0277
