* Measurement data measured by REW V5.40 beta 133
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Aug 31, 2026, 4:23:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = L MPM.0 B = FLX-trimmed 
* Measurement: L.Filtered
* Smoothing: None
* Frequency Step: 0.18310545 Hz
* Start Frequency: 16.479492 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
16.479492 68.658 21.8606
16.662598 69.637 -3.4883
16.845703 69.841 -11.3871
17.028809 71.155 -19.4218
17.211914 71.660 -28.8308
17.395019 72.128 -33.9266
17.578125 72.566 -39.4340
17.761230 72.790 -42.4761
17.944336 73.227 -44.6673
18.127441 73.628 -47.0816
18.310547 74.081 -49.5320
18.493652 74.502 -52.8981
18.676758 74.850 -56.7173
18.859863 75.140 -60.9009
19.042969 75.392 -65.1000
19.226074 75.638 -69.1533
19.409179 75.918 -72.8623
19.592285 76.256 -76.5457
19.775390 76.606 -80.4340
19.958496 76.911 -84.7647
20.141601 77.074 -89.4968
20.324707 77.053 -94.2314
20.507812 76.856 -98.4926
20.690918 76.567 -101.8554
20.874023 76.311 -104.2916
21.057129 76.206 -106.2425
21.240234 76.271 -108.4203
21.423339 76.450 -111.1438
21.606445 76.671 -114.3277
21.789550 76.895 -117.6258
21.972656 77.130 -120.8614
22.155761 77.387 -124.1578
22.338867 77.652 -127.7960
22.521972 77.883 -131.9563
22.705078 78.040 -136.5695
22.888183 78.105 -141.3639
23.071289 78.089 -145.9613
23.254394 78.026 -150.0758
23.437499 77.961 -153.5255
23.620605 77.935 -156.3562
23.803710 77.973 -158.7785
23.986816 78.076 -161.1537
24.169921 78.212 -163.8157
24.353027 78.337 -166.9597
24.536132 78.406 -170.5358
24.719238 78.405 -174.3234
24.902343 78.342 -178.0196
25.085449 78.262 178.6102
25.268554 78.210 175.5936
25.451659 78.219 172.7635
25.634765 78.281 169.8645
25.817870 78.372 166.6891
26.000976 78.457 163.0881
26.184081 78.502 158.9459
26.367187 78.471 154.1746
26.550292 78.313 148.8249
26.733398 77.985 143.2023
26.916503 77.470 137.9022
27.099609 76.814 133.7238
27.282714 76.162 131.2627
27.465819 75.731 130.2067
27.648925 75.639 128.9440
27.832030 75.763 125.6998
28.015136 75.843 119.8679
28.198241 75.673 111.9580
28.381347 75.155 102.8374
28.564452 74.270 93.3239
28.747558 73.037 83.9463
28.930663 71.471 74.8273
29.113769 69.514 65.5347
29.296874 66.931 54.9336
29.479979 63.112 40.2626
29.663085 56.639 7.9351
29.846190 55.405 -86.2272
30.029296 62.083 -124.9908
30.212401 65.839 -140.6654
30.395507 68.083 -151.0187
30.578612 69.527 -158.8918
30.761718 70.520 -165.1896
30.944823 71.263 -170.4379
31.127928 71.866 -175.0035
31.311034 72.384 -179.0916
31.494139 72.845 177.2096
31.677245 73.262 173.8627
31.860350 73.641 170.8121
32.043456 73.975 168.0222
32.226561 74.263 165.4938
32.409667 74.513 163.2493
32.592772 74.749 161.2502
32.775878 74.995 159.3531
32.958983 75.260 157.3527
33.142088 75.531 155.0995
33.325194 75.786 152.6088
33.508299 76.012 150.0269
33.691405 76.216 147.5364
33.874510 76.425 145.2122
34.057616 76.663 142.9840
34.240721 76.941 140.6505
34.423827 77.250 137.9995
34.606932 77.566 134.8714
34.790038 77.860 131.2096
34.973143 78.104 127.0228
35.156248 78.277 122.3893
35.339354 78.360 117.4255
35.522459 78.344 112.2672
35.705565 78.229 107.0834
35.888670 78.019 102.0273
36.071776 77.730 97.2448
36.254881 77.378 92.8353
36.437987 76.982 88.8491
36.621092 76.559 85.2634
36.804198 76.117 81.9924
36.987303 75.649 78.9160
37.170408 75.137 75.9553
37.353514 74.554 73.1595
37.536619 73.883 70.7455
37.719725 73.141 69.0661
37.902830 72.386 68.4346
38.085936 71.702 68.9103
38.269041 71.157 70.1433
38.452147 70.746 71.6139
38.635252 70.405 72.9951
38.818358 70.058 74.3315
39.001463 69.665 75.7742
39.184568 69.215 77.3666
39.367674 68.689 79.0125
39.550779 68.063 80.7891
39.733885 67.360 83.0591
39.916990 66.710 86.1910
40.100096 66.323 89.7719
40.283201 66.303 92.4954
40.466307 66.538 93.3921
40.649412 66.827 92.9249
40.832518 67.072 92.4559
41.015623 67.318 93.0817
41.198728 67.667 94.7263
41.381834 68.105 96.3022
41.564939 68.454 96.9974
41.748045 68.512 97.1385
41.931150 68.215 97.9219
42.114256 67.708 100.5190
42.297361 67.299 104.8645
42.480467 67.192 109.0518
42.663572 67.260 111.2010
42.846678 67.256 111.4002
43.029783 67.093 111.2053
43.212888 66.911 112.0846
43.395994 66.940 114.2198
43.579099 67.277 116.4565
43.762205 67.791 117.8683
43.945310 68.330 118.6425
44.128416 68.875 119.3019
44.311521 69.481 119.7180
44.494627 70.132 119.2050
44.677732 70.700 117.4431
44.860838 71.058 114.9786
45.043943 71.180 112.8816
45.227048 71.173 111.9970
45.410154 71.206 112.1986
45.593259 71.341 112.3507
45.776365 71.442 111.4903
45.959470 71.301 109.8706
46.142576 70.811 108.8771
46.325681 70.072 110.3320
46.508787 69.432 115.3253
46.691892 69.312 122.6275
46.874998 69.798 129.3495
47.058103 70.654 133.9210
47.241208 71.681 136.3675
47.424314 72.781 136.8449
47.607419 73.838 135.4152
47.790525 74.725 132.5305
47.973630 75.373 129.1002
48.156736 75.820 126.1127
48.339841 76.202 124.0804
48.522947 76.663 122.6483
48.706052 77.231 120.9109
48.889158 77.801 118.3712
49.072263 78.257 115.4080
49.255368 78.583 112.8647
49.438474 78.880 111.2692
49.621579 79.281 110.2250
49.804685 79.811 108.6284
49.987790 80.349 105.6895
50.170896 80.751 101.5463
50.354001 80.963 96.9523
50.537107 81.045 92.6642
50.720212 81.127 88.9037
50.903318 81.311 85.1995
51.086423 81.581 80.8467
51.269528 81.830 75.6223
51.452634 81.951 69.9614
51.635739 81.913 64.6198
51.818845 81.769 60.1838
52.001950 81.618 56.6968
52.185056 81.528 53.6126
52.368161 81.478 50.2661
52.551267 81.390 46.4249
52.734372 81.210 42.3737
52.917478 80.945 38.5696
53.100583 80.652 35.2556
53.283688 80.376 32.3231
53.466794 80.115 29.5461
53.649899 79.829 26.9294
53.833005 79.501 24.7615
54.016110 79.177 23.2812
54.199216 78.931 22.2743
54.382321 78.785 21.0869
54.565427 78.677 19.1815
54.748532 78.511 16.6077
54.931637 78.249 13.9009
55.114743 77.932 11.6085
55.297848 77.646 9.8604
55.480954 77.441 8.3170
55.664059 77.289 6.6143
55.847165 77.121 4.8030
56.030270 76.916 3.2849
56.213376 76.719 2.3396
56.396481 76.600 1.7319
56.579587 76.563 0.8524
56.762692 76.534 -0.6870
56.945797 76.431 -2.6945
57.128903 76.237 -4.6158
57.312008 76.017 -6.0129
57.495114 75.863 -6.9484
57.678219 75.819 -7.9171
57.861325 75.850 -9.3798
58.044430 75.888 -11.3918
58.227536 75.892 -13.7086
58.410641 75.864 -16.0774
58.593747 75.823 -18.4202
58.776852 75.780 -20.7626
58.959957 75.738 -23.1031
59.143063 75.703 -25.3716
59.326168 75.699 -27.5460
59.509274 75.742 -29.7238
59.692379 75.823 -32.0430
59.875485 75.917 -34.5129
60.058590 76.012 -36.9908
60.241696 76.125 -39.3592
60.424801 76.291 -41.7379
60.607907 76.524 -44.4778
60.791012 76.790 -47.8914
60.974117 77.038 -51.9948
61.157223 77.242 -56.5189
61.340328 77.420 -61.1469
61.523434 77.615 -65.7730
61.706539 77.858 -70.5786
61.889645 78.134 -75.8591
62.072750 78.387 -81.7520
62.255856 78.561 -88.1315
62.438961 78.632 -94.6982
62.622067 78.614 -101.1667
62.805172 78.548 -107.4022
62.988277 78.473 -113.4650
63.171383 78.404 -119.5068
63.354488 78.330 -125.6207
63.537594 78.228 -131.7440
63.720699 78.082 -137.6973
63.903805 77.899 -143.2916
64.086910 77.700 -148.4343
64.270016 77.515 -153.1641
64.453121 77.364 -157.6066
64.636227 77.254 -161.8901
64.819332 77.184 -166.0830
65.002437 77.150 -170.1873
65.185543 77.147 -174.1787
65.368648 77.169 -178.0570
65.551754 77.213 178.1161
65.734859 77.272 174.2167
65.917965 77.333 170.0951
66.101070 77.384 165.6450
66.284176 77.413 160.8470
66.467281 77.423 155.7791
66.650387 77.424 150.5623
66.833492 77.429 145.3098
67.016597 77.440 140.0906
67.199703 77.438 134.9573
67.382808 77.394 129.9839
67.565914 77.279 125.2820
67.749019 77.086 120.9525
67.932125 76.831 117.0175
68.115230 76.539 113.3806
68.298336 76.236 109.8779
68.481441 75.937 106.3948
68.664547 75.657 102.9399
68.847652 75.414 99.6040
69.030757 75.231 96.4160
69.213863 75.110 93.2661
69.396968 75.022 89.9741
69.580074 74.909 86.4618
69.763179 74.722 82.8298
69.946285 74.449 79.2949
70.129390 74.117 76.0271
70.312496 73.782 73.0266
70.495601 73.490 70.1270
70.678707 73.255 67.1454
70.861812 73.060 64.0278
71.044917 72.879 60.8514
71.228023 72.683 57.7114
71.411128 72.445 54.6390
71.594234 72.138 51.6228
71.777339 71.745 48.6652
71.960445 71.281 45.7609
72.143550 70.791 42.7896
72.326656 70.318 39.4536
72.509761 69.874 35.4552
72.692867 69.422 30.8195
72.875972 68.919 26.0820
73.059077 68.364 22.0797
73.242183 67.839 19.4160
73.425288 67.460 17.7844
73.608394 67.253 15.9325
73.791499 67.081 12.6398
73.974605 66.747 7.6780
74.157710 66.140 1.7516
74.340816 65.306 -4.0154
74.523921 64.455 -8.7336
74.707027 63.879 -12.5505
74.890132 63.734 -16.8591
75.073237 63.907 -23.0165
75.256343 64.172 -31.1852
75.439448 64.392 -40.7075
75.622554 64.568 -50.8691
75.805659 64.779 -61.2529
75.988765 65.102 -71.6736
76.171870 65.546 -81.9324
76.354976 66.050 -91.6318
76.538081 66.535 -100.2308
76.721187 66.972 -107.2953
76.904292 67.398 -112.7736
77.087397 67.878 -117.1862
77.270503 68.432 -121.4120
77.453608 69.006 -126.1595
77.636714 69.517 -131.5620
77.819819 69.911 -137.2554
78.002925 70.180 -142.6810
78.186030 70.357 -147.3790
78.369136 70.477 -151.1265
78.552241 70.555 -153.8652
78.735346 70.584 -155.4611
78.918452 70.580 -155.5183
79.101557 70.647 -153.5601
79.284663 70.990 -149.7238
79.467768 71.791 -145.4530
79.650874 73.000 -142.7540
79.833979 74.388 -142.6050
80.017085 75.750 -144.7455
80.200190 76.990 -148.4838
80.383296 78.088 -153.2142
80.566401 79.060 -158.5925
80.749506 79.920 -164.5033
80.932612 80.664 -170.8838
81.115717 81.279 -177.6041
81.298823 81.757 175.5376
81.481928 82.102 168.7617
81.665034 82.329 162.2489
81.848139 82.458 156.1173
82.031245 82.510 150.3932
82.214350 82.498 145.0179
82.397456 82.426 139.9630
82.580561 82.298 135.2612
82.763666 82.134 130.9222
82.946772 81.948 126.9143
83.129877 81.751 123.1820
83.312983 81.544 119.6707
83.496088 81.314 116.4070
83.679194 81.054 113.5439
83.862299 80.781 111.2510
84.045405 80.525 109.5673
84.228510 80.316 108.3464
84.411616 80.160 107.3402
84.594721 80.039 106.3651
84.777826 79.934 105.4088
84.960932 79.847 104.5455
85.144037 79.804 103.7595
85.327143 79.821 102.8708
85.510248 79.887 101.6537
85.693354 79.968 100.0233
85.876459 80.030 98.0936
86.059565 80.063 96.0610
86.242670 80.078 94.0458
86.425776 80.085 92.0338
86.608881 80.082 89.9360
86.791986 80.050 87.7114
86.975092 79.974 85.4370
87.158197 79.853 83.2478
87.341303 79.702 81.2192
87.524408 79.537 79.3341
87.707514 79.358 77.5603
87.890619 79.163 75.9398
88.073725 78.960 74.5864
88.256830 78.773 73.5615
88.439936 78.627 72.7489
88.623041 78.524 71.8928
88.806146 78.427 70.8186
88.989252 78.289 69.6058
89.172357 78.092 68.5411
89.355463 77.866 67.8748
89.538568 77.666 67.5859
89.721674 77.526 67.3667
89.904779 77.432 66.8948
90.087885 77.351 66.1039
90.270990 77.268 65.1655
90.454096 77.203 64.2247
90.637201 77.179 63.1985
90.820306 77.187 61.8643
91.003412 77.176 60.1351
91.186517 77.094 58.2107
