* Measurement data measured by REW V5.40 beta 133
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 1, 2026, 11:58:09 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = L MPM.0 B = FLX-trimmed 
* Measurement: L.filtered
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
16.113281 64.106 -119.3405
16.479492 69.095 -149.7481
16.845703 70.185 -169.2151
17.211914 71.519 -176.4929
17.578125 72.508 175.3790
17.944336 73.017 174.5554
18.310547 74.025 173.1766
18.676758 74.729 169.1428
19.042969 75.378 164.0487
19.409179 75.961 159.2248
19.775390 76.704 155.0152
20.141601 77.201 148.9384
20.507812 76.996 142.8479
20.874023 76.469 139.8560
21.240234 76.433 138.5164
21.606445 76.797 135.2986
21.972656 77.203 131.2286
22.338867 77.660 126.4123
22.705078 78.000 119.5863
23.071288 78.012 111.9897
23.437499 77.851 106.1537
23.803710 77.839 102.5132
24.169921 78.088 99.0288
24.536132 78.346 93.7462
24.902343 78.374 87.5959
25.268554 78.332 82.4598
25.634765 78.475 77.8844
26.000976 78.705 72.1071
26.367187 78.748 64.1544
26.733398 78.251 54.2578
27.099608 77.011 46.1751
27.465819 75.852 44.4053
27.832030 75.847 41.5578
28.198241 75.741 29.2489
28.564452 74.322 11.9988
28.930663 71.490 -5.1646
29.296874 66.889 -23.9478
29.663085 56.572 -70.5776
30.029296 62.015 158.1934
30.395507 67.984 132.7111
30.761718 70.441 119.2551
31.127928 71.809 110.3036
31.494139 72.799 103.4193
31.860350 73.602 97.8395
32.226561 74.244 93.3014
32.592772 74.762 89.8914
32.958983 75.301 86.9385
33.325194 75.840 83.1790
33.691405 76.268 79.0430
34.057616 76.711 75.3471
34.423827 77.298 71.2052
34.790038 77.904 65.2727
35.156248 78.306 57.2932
35.522459 78.349 47.9145
35.888670 78.006 38.3142
36.254881 77.356 29.7173
36.621092 76.534 22.7675
36.987303 75.617 17.0398
37.353514 74.510 11.8420
37.719725 73.097 8.2225
38.085936 71.673 8.5500
38.452147 70.740 11.8307
38.818358 70.065 15.2178
39.184568 69.219 18.8950
39.550779 68.060 22.8658
39.916990 66.711 28.7265
40.283201 66.327 35.5602
40.649412 66.870 36.6605
41.015623 67.354 37.5321
41.381834 68.118 41.3256
41.748045 68.508 42.6055
42.114256 67.702 46.3746
42.480467 67.196 55.3665
42.846678 67.267 58.2645
43.212888 66.911 59.5136
43.579099 67.257 64.3118
43.945310 68.302 66.8170
44.311521 69.464 68.2238
44.677732 70.699 66.3874
45.043943 71.183 62.3206
45.410154 71.203 62.0986
45.776365 71.433 61.7611
46.142576 70.806 59.4849
46.508787 69.438 66.3081
46.874997 69.814 80.7885
47.241208 71.694 88.2754
47.607419 73.842 87.7300
47.973630 75.370 81.7527
48.339841 76.202 77.0662
48.706052 77.236 74.2672
49.072263 78.262 69.1567
49.438474 78.880 65.3818
49.804685 79.807 63.0655
50.170896 80.749 56.2953
50.537107 81.047 47.7489
50.903317 81.314 40.6382
51.269528 81.830 31.4010
51.635739 81.910 20.7051
52.001950 81.617 13.0823
52.368161 81.480 6.9692
52.734372 81.211 -0.5911
53.100583 80.649 -7.3984
53.466794 80.109 -12.8304
53.833005 79.497 -17.3497
54.199216 78.930 -19.5480
54.565427 78.678 -22.3339
54.931637 78.246 -27.3209
55.297848 77.641 -31.1073
55.664059 77.286 -34.1110
56.030270 76.919 -37.1719
56.396481 76.607 -38.4216
56.762692 76.538 -40.5459
57.128903 76.237 -44.2184
57.495114 75.862 -46.3229
57.861325 75.855 -48.5034
58.227536 75.900 -52.5463
58.593747 75.827 -56.9708
58.959957 75.734 -61.4139
59.326168 75.694 -65.6530
59.692379 75.821 -69.9348
60.058590 76.013 -74.6284
60.424801 76.290 -79.1183
60.791012 76.784 -85.0535
61.157223 77.235 -93.4954
61.523434 77.613 -102.5476
61.889645 78.136 -112.3940
62.255856 78.562 -124.4260
62.622067 78.612 -137.2546
62.988277 78.472 -149.3650
63.354488 78.335 -161.3051
63.720699 78.089 -173.1393
64.086910 77.702 176.3518
64.453121 77.362 167.3666
64.819332 77.185 159.0726
65.185543 77.151 151.1877
65.551754 77.217 143.7127
65.917965 77.332 135.8926
66.284176 77.408 126.8104
66.650387 77.422 116.6901
67.016597 77.441 106.4189
67.382808 77.394 96.5217
67.749019 77.082 87.6706
68.115230 76.534 80.2480
68.481441 75.936 73.4235
68.847652 75.418 66.8327
69.213863 75.112 60.7049
69.580074 74.906 54.0730
69.946285 74.445 47.0438
70.312496 73.784 40.9298
70.678706 73.261 35.2488
71.044917 72.882 29.1661
71.411128 72.441 23.1143
71.777339 71.739 17.2587
72.143550 70.792 11.5158
72.509761 69.882 4.3854
72.875972 68.922 -4.7684
73.242183 67.831 -11.2830
73.608394 67.243 -14.6929
73.974605 66.750 -22.8248
74.340816 65.320 -34.2944
74.707026 63.883 -42.5642
75.073237 63.893 -52.9369
75.439448 64.384 -70.5952
75.805659 64.791 -90.9775
76.171870 65.554 -111.3757
76.538081 66.528 -129.5359
76.904292 67.388 -142.0170
77.270503 68.434 -150.5322
77.636714 69.524 -160.4730
78.002925 70.182 -171.3899
78.369136 70.470 -179.7073
78.735346 70.579 176.0704
79.101557 70.650 178.1371
79.467768 71.802 -173.5376
79.833979 74.407 -170.4158
80.200190 77.025 -176.0903
80.566401 79.139 174.0042
80.932612 80.822 161.5144
81.298823 81.907 147.2900
81.665034 82.373 133.8792
82.031245 82.493 122.4117
82.397456 82.387 112.3409
82.763666 82.095 103.6714
83.129877 81.729 96.2429
83.496088 81.309 89.7000
83.862299 80.801 84.6794
84.228510 80.358 81.8293
84.594721 80.101 79.8621
84.960932 79.920 78.0420
85.327143 79.895 76.3516
85.693354 80.034 73.4807
86.059565 80.118 69.4972
86.425776 80.125 65.5001
86.791986 80.073 61.2620
87.158197 79.855 56.9397
87.524408 79.521 53.1830
87.890619 79.134 49.9558
88.256830 78.738 47.7499
88.623041 78.488 46.2743
88.989252 78.250 44.1772
89.355463 77.824 42.6182
89.721674 77.482 42.2520
90.087885 77.309 41.1283
90.454096 77.165 39.4011
90.820306 77.153 37.2236
91.186517 77.061 33.7328
91.552728 76.665 30.8330
91.918939 76.207 29.1759
92.285150 75.641 27.2510
92.651361 74.852 26.3148
93.017572 74.152 27.0804
93.383783 73.642 28.4104
93.749994 73.344 30.2666
94.116205 73.211 31.5688
94.482415 72.972 33.3468
94.848626 72.899 36.5392
95.214837 72.932 37.8970
95.581048 72.652 38.8048
95.947259 72.587 40.5974
96.313470 72.737 39.4694
96.679681 72.537 38.0576
97.045892 72.345 39.6488
97.412103 72.253 41.6799
97.778314 71.988 44.5162
98.144525 71.914 47.9969
98.510735 72.045 50.0421
98.876946 72.352 51.8964
99.243157 72.842 53.1904
99.609368 73.156 54.6581
99.975579 73.471 57.1807
100.341790 73.825 57.6616
100.708001 73.906 56.7729
101.074212 74.075 56.8290
101.440423 74.500 56.1853
101.806634 74.813 55.3357
102.172845 75.093 55.7213
102.539055 75.469 55.9468
102.905266 75.905 55.6425
103.271477 76.543 54.5262
103.637688 77.273 51.3480
104.003899 77.824 46.5214
104.370110 78.140 41.0323
104.736321 78.300 35.3037
105.102532 78.402 29.0828
105.468743 78.375 21.7361
105.834954 78.019 13.7025
106.201165 77.299 5.8817
106.567375 76.218 -1.7997
106.933586 74.620 -8.8077
107.299797 72.437 -13.1921
107.666008 69.653 -12.9534
108.032219 66.384 -2.6385
108.398430 64.602 21.6528
108.764641 65.324 44.0457
109.130852 67.292 59.1084
109.497063 69.521 64.7744
109.863274 71.017 66.2843
110.229485 72.264 67.6808
110.595695 73.473 65.5557
110.961906 74.160 60.5114
111.328117 74.443 56.3912
111.694328 74.654 53.6426
112.060539 74.733 51.9924
112.426750 74.826 51.9501
112.792961 75.103 51.5717
113.159172 75.380 50.3103
113.525383 75.734 49.1947
113.891594 76.194 47.1451
114.257805 76.497 44.0245
114.624015 76.644 41.0315
114.990226 76.804 37.8195
115.356437 76.877 33.6764
115.722648 76.683 29.7115
116.088859 76.292 27.2804
116.455070 75.880 26.0288
116.821281 75.501 25.1920
117.187492 75.216 24.7902
117.553703 75.066 24.7130
117.919914 74.992 25.0667
118.286124 74.989 25.4996
118.652335 74.931 24.9884
119.018546 74.706 24.2584
119.384757 74.538 23.8721
119.750968 74.426 22.6245
120.117179 74.099 21.5852
120.483390 73.700 22.4547
120.849601 73.393 23.9133
121.215812 73.041 25.6532
121.582023 72.789 28.5956
121.948234 72.756 32.1389
122.314444 72.959 36.3850
122.680655 73.525 40.0038
123.046866 74.200 41.2797
123.413077 74.800 41.0234
123.779288 75.355 39.4197
124.145499 75.753 36.8645
124.511710 76.049 34.6497
124.877921 76.378 32.1687
125.244132 76.573 28.6875
125.610343 76.535 25.2805
125.976554 76.384 22.5280
126.342764 76.171 20.4521
126.708975 75.990 19.3574
127.075186 75.917 18.4023
127.441397 75.802 16.9664
127.807608 75.599 15.7965
128.173819 75.443 14.7811
128.540030 75.316 13.3623
128.906241 75.164 12.0315
129.272452 75.011 11.1034
129.638663 74.829 10.3630
130.004874 74.593 9.6776
130.371084 74.317 8.9045
130.737295 74.015 8.0812
131.103506 73.688 7.5999
131.469717 73.345 8.0061
131.835928 73.048 9.3142
132.202139 72.816 10.6476
132.568350 72.586 11.6139
132.934561 72.382 12.6155
133.300772 72.257 13.8789
133.666983 72.204 15.3835
134.033194 72.149 16.7570
134.399404 71.976 18.1606
134.765615 71.798 20.4218
135.131826 71.832 22.8455
135.498037 71.997 24.7084
135.864248 72.237 26.7279
136.230459 72.606 28.4794
136.596670 73.015 29.1285
136.962881 73.393 28.3923
137.329092 73.603 26.3055
137.695303 73.559 24.5476
138.061514 73.489 24.0494
138.427724 73.430 23.4061
138.793935 73.199 23.3807
139.160146 73.093 25.2139
139.526357 73.248 26.6702
139.892568 73.340 27.8826
140.258779 73.540 30.1157
140.624990 73.940 31.1008
140.991201 74.242 30.7169
141.357412 74.542 30.4592
141.723623 74.934 29.6761
142.089833 75.273 28.5641
142.456044 75.611 27.5249
142.822255 75.928 25.6982
143.188466 76.126 23.4578
143.554677 76.314 21.3257
143.920888 76.517 18.8024
144.287099 76.663 16.0193
144.653310 76.766 12.9436
145.019521 76.768 9.2571
145.385732 76.638 5.4510
145.751943 76.437 1.6599
146.118153 76.117 -2.1357
146.484364 75.688 -5.4187
146.850575 75.202 -8.6718
147.216786 74.510 -12.0592
147.582997 73.588 -14.0728
147.949208 72.613 -14.3171
148.315419 71.536 -12.8158
148.681630 70.438 -8.0649
149.047841 69.617 -0.2213
149.414052 69.282 10.1039
149.780263 69.789 20.0029
150.146473 70.684 25.3759
150.512684 71.513 28.0251
150.878895 72.410 28.7305
151.245106 73.239 27.0165
151.611317 73.888 24.3596
151.977528 74.429 21.3647
152.343739 74.789 17.9153
152.709950 74.918 14.4664
153.076161 74.864 11.0476
153.442372 74.655 7.6464
153.808583 74.346 4.5118
154.174793 73.947 1.9791
154.541004 73.494 1.0122
154.907215 73.156 1.2611
155.273426 72.819 1.2593
155.639637 72.332 1.7910
156.005848 71.896 3.2941
156.372059 71.500 4.9344
156.738270 71.085 8.2328
157.104481 70.997 13.3645
157.470692 71.222 17.7799
157.836903 71.554 21.5504
158.203113 72.166 24.6858
158.569324 73.005 25.3860
158.935535 73.739 24.0944
159.301746 74.334 22.5315
159.667957 74.896 20.2429
160.034168 75.248 16.3663
160.400379 75.283 12.3674
160.766590 75.246 9.2316
161.132801 75.189 6.0419
161.499012 74.940 3.4784
161.865223 74.658 2.4390
162.231433 74.431 1.3511
162.597644 74.087 0.3121
162.963855 73.805 0.3970
163.330066 73.663 0.3087
163.696277 73.432 0.4551
164.062488 73.260 1.9719
164.428699 73.267 3.4812
164.794910 73.361 4.8544
165.161121 73.662 5.8630
165.527332 74.001 5.3116
165.893542 74.192 4.6061
166.259753 74.474 4.2534
166.625964 74.841 2.3854
166.992175 75.018 -0.4989
167.358386 75.080 -2.9572
