* Measurement data measured by REW V5.40 beta 133
* Source: Vector average
* Format: Vector average
* Dated: Aug 31, 2026, 1:36:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Vector average of L MPM.0.L, L MPM.0.a
* Measurement: L
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
16.113281 70.353 -168.3782
16.479492 71.014 -172.9725
16.845703 71.628 -177.4204
17.211914 72.178 178.3025
17.578125 72.707 174.0976
17.944336 73.245 169.8735
18.310547 73.796 165.5466
18.676758 74.331 160.9419
19.042969 74.824 155.9502
19.409179 75.265 150.6775
19.775390 75.642 145.3727
20.141601 75.944 140.3078
20.507812 76.175 135.5962
20.874023 76.365 131.1376
21.240234 76.557 126.7695
21.606445 76.778 122.3579
21.972656 77.018 117.8077
22.338867 77.245 113.0836
22.705078 77.434 108.1774
23.071288 77.579 103.1413
23.437499 77.685 98.0927
23.803710 77.760 93.1028
24.169921 77.801 88.1296
24.536132 77.808 83.0564
24.902343 77.790 77.7650
25.268554 77.742 72.2307
25.634765 77.648 66.5105
26.000976 77.481 60.6457
26.367187 77.213 54.6588
26.733398 76.824 48.5985
27.099608 76.297 42.5606
27.465819 75.596 36.7034
27.832030 74.678 31.2165
28.198241 73.487 26.3650
28.564452 71.968 22.7395
28.930663 70.084 21.6000
29.296874 67.881 25.3707
29.663085 65.816 37.6115
30.029296 65.155 57.5674
30.395507 66.370 74.2981
30.761718 68.227 82.2042
31.127928 69.925 84.0862
31.494139 71.312 82.9317
31.860350 72.418 80.3094
32.226561 73.300 76.9150
32.592772 74.015 73.0565
32.958983 74.610 68.8764
33.325194 75.111 64.4780
33.691405 75.521 59.9182
34.057616 75.838 55.1707
34.423827 76.053 50.2010
34.790038 76.168 45.0303
35.156248 76.183 39.7315
35.522459 76.085 34.4490
35.888670 75.873 29.2817
36.254881 75.548 24.2907
36.621092 75.120 19.5942
36.987303 74.600 15.3595
37.353514 73.996 11.7544
37.719725 73.311 8.9127
38.085936 72.564 6.8950
38.452147 71.781 5.7444
38.818358 70.998 5.5452
39.184568 70.249 6.3430
39.550779 69.560 8.0986
39.916990 68.958 10.6503
40.283201 68.470 13.7295
40.649412 68.115 17.1237
41.015623 67.900 20.6872
41.381834 67.808 24.3052
41.748045 67.812 27.8784
42.114256 67.894 31.2490
42.480467 68.049 34.3088
42.846678 68.277 37.0453
43.212888 68.567 39.4758
43.579099 68.901 41.6452
43.945310 69.262 43.5421
44.311521 69.644 45.1346
44.677732 70.054 46.4646
45.043943 70.500 47.5956
45.410154 70.986 48.5809
45.776365 71.510 49.3987
46.142576 72.072 49.9192
46.508787 72.673 50.0137
46.874997 73.310 49.5959
47.241208 73.969 48.6225
47.607419 74.627 47.0862
47.973630 75.262 44.9642
48.339841 75.861 42.2489
48.706052 76.415 38.9865
49.072263 76.921 35.2539
49.438474 77.371 31.1373
49.804685 77.758 26.7002
50.170896 78.081 21.9773
50.537107 78.343 17.0244
50.903317 78.550 11.9237
51.269528 78.700 6.7518
51.635739 78.792 1.5649
52.001950 78.827 -3.6096
52.368161 78.810 -8.7488
52.734372 78.748 -13.8049
53.100583 78.644 -18.7343
53.466794 78.500 -23.5220
53.833005 78.318 -28.1762
54.199216 78.108 -32.7133
54.565427 77.878 -37.1312
54.931637 77.633 -41.4167
55.297848 77.376 -45.5880
55.664059 77.107 -49.6913
56.030270 76.835 -53.7736
56.396481 76.567 -57.8694
56.762692 76.304 -61.9928
57.128903 76.045 -66.1738
57.495114 75.789 -70.4812
57.861325 75.538 -74.9802
58.227536 75.294 -79.7097
58.593747 75.059 -84.6874
58.959957 74.825 -89.9305
59.326168 74.591 -95.4943
59.692379 74.352 -101.4435
60.058590 74.114 -107.7972
60.424801 73.878 -114.5476
60.791012 73.641 -121.6931
61.157223 73.398 -129.2574
61.523434 73.159 -137.2755
61.889645 72.932 -145.7277
62.255856 72.725 -154.5347
62.622067 72.539 -163.6349
62.988277 72.377 -172.9946
63.354488 72.246 177.4409
63.720699 72.157 167.7766
64.086910 72.108 158.1533
64.453121 72.088 148.6702
64.819332 72.089 139.3559
65.185543 72.109 130.2483
65.551754 72.145 121.4250
65.917965 72.183 112.9439
66.284176 72.211 104.8096
66.650387 72.221 96.9870
67.016597 72.210 89.4503
67.382808 72.178 82.2239
67.749019 72.115 75.3275
68.115230 72.014 68.7255
68.481441 71.869 62.3679
68.847652 71.685 56.2282
69.213863 71.459 50.3155
69.580074 71.186 44.6504
69.946285 70.858 39.2041
70.312496 70.469 33.9156
70.678706 70.018 28.7635
71.044917 69.505 23.7629
71.411128 68.916 18.9337
71.777339 68.230 14.2620
72.143550 67.432 9.6736
72.509761 66.499 5.1176
72.875972 65.406 0.6150
73.242183 64.095 -3.8185
73.608394 62.462 -8.2289
73.974605 60.339 -12.7980
74.340816 57.396 -17.9541
74.707026 52.730 -24.8951
75.073237 41.746 -47.2460
75.439448 47.137 167.3929
75.805659 55.106 155.6260
76.171870 59.324 149.9313
76.538081 62.219 145.3244
76.904292 64.436 141.0042
77.270503 66.246 136.8009
77.636714 67.787 132.6948
78.002925 69.123 128.6593
78.369136 70.296 124.6499
78.735346 71.340 120.6085
79.101557 72.280 116.5149
79.467768 73.135 112.3983
79.833979 73.912 108.2763
80.200190 74.616 104.1417
80.566401 75.252 99.9796
80.932612 75.830 95.7829
81.298823 76.354 91.5745
81.665034 76.826 87.3834
82.031245 77.247 83.2148
82.397456 77.619 79.0641
82.763666 77.946 74.9327
83.129877 78.232 70.8345
83.496088 78.479 66.7954
83.862299 78.687 62.8260
84.228510 78.858 58.9196
84.594721 78.993 55.0745
84.960932 79.098 51.2997
85.327143 79.174 47.6119
85.693354 79.219 44.0231
86.059565 79.236 40.5273
86.425776 79.226 37.1172
86.791986 79.190 33.7996
87.158197 79.133 30.5876
87.524408 79.053 27.4938
87.890619 78.949 24.5173
88.256830 78.824 21.6479
88.623041 78.679 18.8898
88.989252 78.518 16.2579
89.355463 78.340 13.7657
89.721674 78.144 11.4188
90.087885 77.932 9.2092
90.454096 77.706 7.1353
90.820306 77.470 5.2144
91.186517 77.226 3.4634
91.552728 76.970 1.8911
91.918939 76.707 0.4942
92.285150 76.439 -0.7361
92.651361 76.170 -1.7899
93.017572 75.905 -2.6484
93.383783 75.642 -3.3055
93.749994 75.384 -3.7673
94.116205 75.134 -4.0546
94.482415 74.898 -4.1794
94.848626 74.679 -4.1357
95.214837 74.482 -3.9269
95.581048 74.302 -3.5723
95.947259 74.145 -3.1061
96.313470 74.012 -2.5687
96.679681 73.908 -1.9767
97.045892 73.831 -1.3398
97.412103 73.780 -0.6821
97.778314 73.753 -0.0377
98.144525 73.747 0.5499
98.510735 73.762 1.0543
98.876946 73.799 1.4759
99.243157 73.851 1.8110
99.609368 73.913 2.0480
99.975579 73.981 2.1663
100.341790 74.052 2.1486
100.708001 74.127 2.0076
101.074212 74.203 1.7648
101.440423 74.273 1.4313
101.806634 74.334 1.0109
102.172845 74.384 0.4977
102.539055 74.424 -0.0943
102.905266 74.453 -0.7305
103.271477 74.469 -1.3844
103.637688 74.469 -2.0394
104.003899 74.452 -2.6903
104.370110 74.421 -3.3290
104.736321 74.379 -3.9227
105.102532 74.324 -4.4370
105.468743 74.260 -4.8524
105.834954 74.184 -5.1617
106.201165 74.103 -5.3685
106.567375 74.023 -5.4612
106.933586 73.947 -5.4167
107.299797 73.878 -5.2292
107.666008 73.818 -4.9097
108.032219 73.771 -4.4871
108.398430 73.743 -3.9910
108.764641 73.738 -3.4312
109.130852 73.756 -2.8222
109.497063 73.799 -2.1940
109.863274 73.862 -1.5855
110.229485 73.945 -1.0411
110.595695 74.049 -0.5811
110.961906 74.172 -0.2070
111.328117 74.308 0.0735
111.694328 74.454 0.2487
112.060539 74.604 0.3005
112.426750 74.757 0.2219
112.792961 74.914 0.0311
113.159172 75.070 -0.2541
113.525383 75.222 -0.6243
113.891594 75.367 -1.0789
114.257805 75.504 -1.6210
114.624015 75.637 -2.2350
114.990226 75.764 -2.8967
115.356437 75.882 -3.5922
115.722648 75.991 -4.3171
116.088859 76.091 -5.0754
116.455070 76.184 -5.8646
116.821281 76.272 -6.6656
117.187492 76.355 -7.4650
117.553703 76.430 -8.2606
117.919914 76.499 -9.0580
118.286124 76.564 -9.8651
118.652335 76.626 -10.6741
119.018546 76.686 -11.4730
119.384757 76.744 -12.2612
119.750968 76.798 -13.0455
120.117179 76.849 -13.8386
120.483390 76.900 -14.6440
120.849601 76.951 -15.4518
121.215812 77.000 -16.2589
121.582023 77.048 -17.0716
121.948234 77.092 -17.9004
122.314444 77.135 -18.7542
122.680655 77.176 -19.6265
123.046866 77.216 -20.5073
123.413077 77.252 -21.3981
123.779288 77.282 -22.3048
124.145499 77.308 -23.2347
124.511710 77.331 -24.1844
124.877921 77.348 -25.1395
125.244132 77.362 -26.0933
125.610343 77.368 -27.0479
125.976554 77.367 -28.0068
126.342764 77.359 -28.9702
126.708975 77.347 -29.9243
127.075186 77.330 -30.8555
127.441397 77.306 -31.7629
127.807608 77.273 -32.6488
128.173819 77.236 -33.5155
128.540030 77.195 -34.3555
128.906241 77.151 -35.1528
129.272452 77.103 -35.9030
129.638663 77.049 -36.6102
130.004874 76.992 -37.2793
130.371084 76.936 -37.9102
130.737295 76.879 -38.4918
131.103506 76.824 -39.0162
131.469717 76.768 -39.4896
131.835928 76.713 -39.9212
132.202139 76.661 -40.3178
132.568350 76.615 -40.6777
132.934561 76.574 -40.9927
133.300772 76.537 -41.2683
133.666983 76.506 -41.5183
134.033194 76.480 -41.7543
134.399404 76.462 -41.9832
134.765615 76.452 -42.2003
135.131826 76.449 -42.4056
135.498037 76.452 -42.6135
135.864248 76.461 -42.8369
136.230459 76.477 -43.0857
136.596670 76.500 -43.3591
136.962881 76.529 -43.6508
137.329092 76.562 -43.9675
137.695303 76.597 -44.3212
138.061514 76.636 -44.7197
138.427724 76.678 -45.1642
138.793935 76.723 -45.6450
139.160146 76.768 -46.1583
139.526357 76.812 -46.7119
139.892568 76.855 -47.3116
140.258779 76.896 -47.9581
140.624990 76.937 -48.6427
140.991201 76.975 -49.3534
141.357412 77.008 -50.0916
141.723623 77.037 -50.8621
142.089833 77.060 -51.6653
142.456044 77.081 -52.4949
142.822255 77.096 -53.3366
143.188466 77.106 -54.1841
143.554677 77.109 -55.0420
143.920888 77.106 -55.9116
144.287099 77.099 -56.7891
144.653310 77.087 -57.6627
145.019521 77.069 -58.5212
145.385732 77.046 -59.3667
145.751943 77.017 -60.2039
146.118153 76.984 -61.0319
146.484364 76.948 -61.8437
146.850575 76.909 -62.6279
147.216786 76.866 -63.3825
147.582997 76.819 -64.1160
147.949208 76.770 -64.8321
148.315419 76.720 -65.5283
148.681630 76.671 -66.1970
149.047841 76.621 -66.8330
149.414052 76.569 -67.4447
149.780263 76.517 -68.0411
150.146473 76.467 -68.6243
150.512684 76.418 -69.1906
150.878895 76.371 -69.7327
151.245106 76.325 -70.2552
151.611317 76.279 -70.7705
151.977528 76.235 -71.2834
152.343739 76.194 -71.7931
152.709950 76.155 -72.2930
153.076161 76.118 -72.7808
153.442372 76.082 -73.2676
153.808583 76.045 -73.7625
154.174793 76.012 -74.2654
154.541004 75.982 -74.7718
154.907215 75.954 -75.2750
155.273426 75.925 -75.7800
155.639637 75.897 -76.2990
156.005848 75.870 -76.8342
156.372059 75.846 -77.3825
156.738270 75.822 -77.9362
157.104481 75.798 -78.4933
157.470692 75.773 -79.0649
157.836903 75.748 -79.6574
158.203113 75.723 -80.2681
158.569324 75.698 -80.8903
158.935535 75.673 -81.5170
159.301746 75.646 -82.1535
159.667957 75.617 -82.8104
160.034168 75.585 -83.4866
160.400379 75.554 -84.1755
160.766590 75.522 -84.8687
161.132801 75.486 -85.5644
161.499012 75.446 -86.2727
161.865223 75.404 -86.9974
162.231433 75.360 -87.7322
162.597644 75.314 -88.4684
162.963855 75.266 -89.1996
163.330066 75.213 -89.9316
163.696277 75.156 -90.6731
164.062488 75.096 -91.4202
164.428699 75.036 -92.1644
