* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 1, 2026, 11:56:56 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of Fl Cal file effects not included No LF tail No HF tail
* Measurement: LFilter
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 16.113281 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
16.113281 0.000 -0.7929
16.230045 0.000 -0.7988
16.347654 -0.000 -0.8048
16.466116 -0.000 -0.8109
16.585436 -0.000 -0.8170
16.705621 0.000 -0.8231
16.826677 0.000 -0.8293
16.948610 0.000 -0.8355
17.071427 -0.000 -0.8418
17.195133 -0.000 -0.8482
17.319736 -0.000 -0.8546
17.445242 0.000 -0.8610
17.571658 0.000 -0.8675
17.698989 0.000 -0.8741
17.827243 -0.000 -0.8807
17.956427 -0.000 -0.8873
18.086547 -0.000 -0.8940
18.217609 0.000 -0.9008
18.349622 0.000 -0.9076
18.482590 0.000 -0.9145
18.616523 -0.000 -0.9215
18.751426 -0.000 -0.9284
18.887307 0.000 -0.9355
19.024172 0.000 -0.9426
19.162029 0.000 -0.9498
19.300885 -0.000 -0.9570
19.440747 -0.000 -0.9643
19.581622 -0.000 -0.9717
19.723519 0.000 -0.9791
19.866444 0.000 -0.9865
20.010404 -0.000 -0.9941
20.155408 -0.000 -1.0017
20.301462 -0.000 -1.0093
20.448575 0.000 -1.0171
20.596754 0.000 -1.0249
20.746006 -0.000 -1.0327
20.896340 -0.000 -1.0407
21.047764 -0.000 -1.0487
21.200285 0.000 -1.0567
21.353911 0.000 -1.0649
21.508650 -0.000 -1.0731
21.664511 -0.000 -1.0813
21.821501 0.000 -1.0897
21.979628 0.000 -1.0981
22.138902 0.000 -1.1066
22.299329 -0.000 -1.1152
22.460919 -0.000 -1.1238
22.623680 0.000 -1.1325
22.787621 0.000 -1.1413
22.952749 -0.000 -1.1502
23.119074 -0.000 -1.1591
23.286605 0.000 -1.1682
23.455349 0.000 -1.1773
23.625316 -0.000 -1.1865
23.796515 -0.000 -1.1957
23.968954 -0.000 -1.2051
24.142643 0.000 -1.2145
24.317591 0.000 -1.2240
24.493806 -0.000 -1.2336
24.671298 -0.000 -1.2433
24.850077 0.000 -1.2531
25.030151 0.000 -1.2630
25.211529 -0.000 -1.2730
25.394223 -0.000 -1.2830
25.578240 0.000 -1.2932
25.763590 0.000 -1.3034
25.950284 -0.000 -1.3137
26.138330 -0.000 -1.3242
26.327739 0.000 -1.3347
26.518521 0.000 -1.3453
26.710685 -0.000 -1.3560
26.904242 -0.000 -1.3669
27.099201 0.000 -1.3778
27.295573 -0.000 -1.3888
27.493368 -0.000 -1.4000
27.692596 0.000 -1.4112
27.893268 0.000 -1.4226
28.095394 -0.000 -1.4340
28.298985 -0.000 -1.4456
28.504051 0.000 -1.4573
28.710603 0.000 -1.4691
28.918652 -0.000 -1.4810
29.128209 -0.000 -1.4930
29.339284 0.000 -1.5052
29.551888 -0.000 -1.5175
29.766033 -0.000 -1.5299
29.981730 0.000 -1.5424
30.198990 -0.000 -1.5550
30.417825 -0.000 -1.5678
30.638245 0.000 -1.5807
30.860262 0.000 -1.5937
31.083888 -0.000 -1.6069
31.309135 -0.000 -1.6202
31.536014 0.000 -1.6336
31.764537 -0.000 -1.6472
31.994716 -0.000 -1.6609
32.226563 0.000 -1.6748
32.460089 -0.000 -1.6888
32.695309 -0.000 -1.7030
32.932232 0.000 -1.7173
33.170873 -0.000 -1.7317
33.411243 -0.000 -1.7463
33.653354 0.000 -1.7611
33.897220 -0.000 -1.7760
34.142854 -0.000 -1.7911
34.390267 -0.000 -1.8064
34.639473 -0.000 -1.8218
34.890485 -0.000 -1.8374
35.143316 -0.000 -1.8532
35.397979 -0.000 -1.8692
35.654487 -0.000 -1.8853
35.912854 -0.000 -1.9017
36.173093 -0.000 -1.9182
36.435218 -0.000 -1.9349
36.699243 -0.000 -1.9518
36.965181 -0.000 -1.9688
37.233046 -0.000 -1.9861
37.502852 -0.000 -2.0036
37.774613 -0.000 -2.0213
38.048343 -0.000 -2.0393
38.324057 -0.000 -2.0574
38.601769 -0.000 -2.0758
38.881494 -0.000 -2.0943
39.163245 0.000 -2.1131
39.447038 -0.000 -2.1322
39.732888 -0.000 -2.1515
40.020808 -0.000 -2.1710
40.310816 -0.000 -2.1908
40.602924 0.000 -2.2108
40.897150 -0.000 -2.2311
41.193508 -0.000 -2.2517
41.492013 0.000 -2.2725
41.792681 -0.000 -2.2936
42.095528 0.000 -2.3150
42.400570 -0.000 -2.3366
42.707822 -0.000 -2.3586
43.017300 -0.000 -2.3809
43.329021 -0.000 -2.4034
43.643001 0.000 -2.4263
43.959256 -0.000 -2.4495
44.277803 0.000 -2.4731
44.598658 -0.000 -2.4970
44.921839 -0.000 -2.5212
45.247361 -0.000 -2.5458
45.575242 -0.000 -2.5707
45.905499 -0.000 -2.5960
46.238149 -0.000 -2.6217
46.573210 0.000 -2.6478
46.910698 -0.000 -2.6743
47.250633 0.000 -2.7012
47.593030 -0.000 -2.7285
47.937909 0.000 -2.7563
48.285287 -0.000 -2.7845
48.635182 0.000 -2.8132
48.987612 -0.000 -2.8423
49.342597 0.000 -2.8719
49.700154 -0.000 -2.9021
50.060301 0.000 -2.9327
50.423059 -0.000 -2.9639
50.788445 0.000 -2.9956
51.156479 -0.000 -3.0279
51.527180 0.000 -3.0607
51.900567 -0.000 -3.0942
52.276660 0.000 -3.1283
52.655478 -0.000 -3.1630
53.037042 0.000 -3.1984
53.421370 -0.000 -3.2344
53.808483 0.000 -3.2712
54.198402 -0.000 -3.3087
54.591146 0.000 -3.3469
54.986736 -0.000 -3.3860
55.385192 0.000 -3.4259
55.786536 -0.000 -3.4666
56.190788 -0.000 -3.5082
56.597970 -0.000 -3.5507
57.008102 -0.000 -3.5941
57.421206 0.000 -3.6385
57.837304 -0.000 -3.6840
58.256417 0.000 -3.7306
58.678567 -0.000 -3.7783
59.103776 -0.000 -3.8271
59.532067 -0.000 -3.8772
59.963460 -0.000 -3.9286
60.397980 0.000 -3.9813
60.835649 -0.000 -4.0354
61.276489 0.000 -4.0911
61.720524 -0.000 -4.1482
62.167776 -0.000 -4.2071
62.618270 0.000 -4.2677
63.072027 -0.000 -4.3301
63.529073 0.000 -4.3945
63.989431 0.000 -4.4609
64.453125 -0.000 -4.5296
64.920179 0.000 -4.6006
65.390617 -0.000 -4.6740
65.864465 -0.000 -4.7502
66.341746 0.000 -4.8292
66.822485 -0.000 -4.9112
67.306709 -0.000 -4.9965
67.794441 0.000 -5.0855
68.285707 -0.000 -5.1782
68.780534 -0.000 -5.2751
69.278946 0.000 -5.3766
69.780970 -0.000 -5.4831
70.286631 -0.000 -5.5951
70.795957 -0.000 -5.7131
71.308974 0.000 -5.8377
71.825708 -0.000 -5.9699
72.346187 -0.000 -6.1104
72.870437 0.000 -6.2604
73.398486 -0.000 -6.4210
73.930362 -0.000 -6.5939
74.466092 -0.000 -6.7811
75.005704 -0.000 -6.9848
75.549226 -0.000 -7.2082
76.096687 -0.000 -7.4550
76.648115 -0.000 -7.7307
77.203539 -0.000 -8.0421
77.762987 -0.000 -8.3997
78.326490 -0.000 -8.8182
78.894076 -0.001 -9.3228
79.465775 -0.006 -9.9623
80.041617 -0.025 -10.8504
80.621631 -0.087 -12.1140
81.205849 -0.236 -13.6081
81.794300 -0.490 -14.7493
82.387015 -0.801 -15.0947
82.984025 -1.110 -14.6851
83.585362 -1.386 -13.7798
84.191056 -1.615 -12.5516
84.801139 -1.795 -11.1025
85.415643 -1.925 -9.5042
86.034600 -2.005 -7.8167
86.658042 -2.037 -6.0935
87.286002 -2.021 -4.3839
87.918512 -1.959 -2.7355
88.555606 -1.852 -1.1960
89.197317 -1.704 0.1859
89.843677 -1.518 1.3613
90.494721 -1.299 2.2791
91.150484 -1.053 2.8839
91.810997 -0.790 3.1091
92.476298 -0.526 2.8573
93.146419 -0.292 2.0271
93.821397 -0.126 0.7326
94.501265 -0.041 -0.5982
95.186060 -0.011 -1.6364
95.875818 -0.002 -2.4090
96.570573 -0.000 -3.0350
97.270363 -0.000 -3.5779
97.975225 -0.000 -4.0679
98.685194 -0.000 -4.5225
99.400307 -0.000 -4.9537
100.120603 -0.000 -5.3701
100.846118 -0.000 -5.7785
101.576890 -0.000 -6.1846
102.312958 -0.000 -6.5936
103.054360 -0.000 -7.0104
103.801135 -0.000 -7.4398
104.553320 -0.000 -7.8871
105.310957 -0.000 -8.3583
106.074084 -0.000 -8.8606
106.842740 -0.000 -9.4031
107.616967 -0.000 -9.9977
108.396804 -0.000 -10.6617
109.182291 -0.001 -11.4225
109.973471 -0.007 -12.3317
110.770384 -0.028 -13.4941
111.573072 -0.092 -15.0137
112.381577 -0.233 -16.7176
113.195940 -0.456 -18.1449
114.016204 -0.730 -19.0319
114.842413 -1.021 -19.4216
115.674608 -1.305 -19.4256
116.512834 -1.570 -19.1369
117.357134 -1.813 -18.6346
118.207552 -2.030 -17.9864
119.064133 -2.225 -17.2432
119.926921 -2.400 -16.4356
120.795961 -2.559 -15.5751
121.671298 -2.703 -14.6587
122.552979 -2.834 -13.6748
123.441048 -2.950 -12.6114
124.335553 -3.047 -11.4641
125.236539 -3.121 -10.2428
126.144055 -3.168 -8.9739
127.058147 -3.185 -7.7014
127.978862 -3.170 -6.4832
128.906250 -3.125 -5.3840
129.840358 -3.056 -4.4669
130.781235 -2.973 -3.7834
131.728929 -2.886 -3.3624
132.683491 -2.809 -3.2019
133.644971 -2.755 -3.2660
134.613417 -2.733 -3.4854
135.588882 -2.749 -3.7657
136.571415 -2.805 -4.0008
137.561067 -2.896 -4.0883
138.557891 -3.013 -3.9476
139.561939 -3.142 -3.5290
140.573262 -3.269 -2.8189
141.591914 -3.382 -1.8392
142.617948 -3.468 -0.6426
143.651416 -3.520 0.6976
144.692373 -3.534 2.0990
145.740874 -3.511 3.4802
146.796972 -3.455 4.7696
147.860724 -3.373 5.9138
148.932184 -3.276 6.8856
150.011408 -3.171 7.6838
151.098452 -3.068 8.3291
152.193374 -2.972 8.8582
153.296230 -2.886 9.3180
154.407077 -2.812 9.7570
155.525975 -2.747 10.2207
156.652980 -2.688 10.7500
157.788152 -2.627 11.3793
158.931550 -2.555 12.1210
160.083234 -2.465 12.9325
161.243263 -2.353 13.7487
162.411698 -2.219 14.5364
163.588600 -2.061 15.2696
164.774030 -1.880 15.9108
165.968051 -1.678 16.4174
167.170724 -1.457 16.7477
168.382112 -1.223 16.8631
169.602278 -0.982 16.7308
170.831286 -0.741 16.3262
172.069200 -0.511 15.6245
173.316084 -0.307 14.5807
174.572004 -0.151 13.1904
175.837025 -0.058 11.6949
177.111212 -0.018 10.4161
178.394633 -0.004 9.4012
179.687354 -0.001 8.5559
180.989443 -0.000 7.8113
182.300967 -0.000 7.1310
183.621995 -0.000 6.4931
184.952596 -0.000 5.8822
186.292838 -0.000 5.2857
187.642793 -0.000 4.6921
189.002530 -0.000 4.0896
190.372120 -0.000 3.4647
191.751635 -0.000 2.8002
193.141147 -0.001 2.0709
194.540727 -0.004 1.2345
195.950449 -0.018 0.2040
197.370387 -0.068 -1.1918
198.800614 -0.201 -3.0168
200.241205 -0.447 -4.6508
201.692236 -0.769 -5.2835
203.153781 -1.091 -4.9522
204.625917 -1.365 -4.0910
206.108721 -1.577 -2.9990
207.602269 -1.731 -1.8313
209.106641 -1.839 -0.6738
210.621914 -1.911 0.4233
212.148167 -1.957 1.4335
213.685480 -1.987 2.3526
215.233933 -2.006 3.1974
216.793607 -2.021 4.0007
218.364583 -2.032 4.8009
219.946943 -2.039 5.6308
221.540769 -2.037 6.5095
223.146145 -2.023 7.4396
224.763154 -1.993 8.4090
226.391880 -1.944 9.3956
228.032409 -1.874 10.3723
229.684826 -1.782 11.3109
231.349217 -1.668 12.1828
233.025668 -1.534 12.9596
234.714269 -1.382 13.6143
236.415105 -1.215 14.1231
238.128266 -1.036 14.4650
239.853842 -0.849 14.6218
241.591922 -0.658 14.5747
243.342596 -0.469 14.2953
245.105957 -0.295 13.7292
