* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 1, 2026, 11:39:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of LR-SP Cal file effects included LF tail from 17 Hz at 12 dB/octave No HF tail
* Measurement: LR-SP-MP
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 4.860 170.1307
0.732422 16.902 172.8461
1.098633 23.947 172.7624
1.464844 28.944 171.9768
1.831055 32.821 170.9120
2.197265 35.988 169.7059
2.563476 38.666 168.4184
2.929687 40.986 167.0792
3.295898 43.032 165.7048
3.662109 44.862 164.3043
4.028320 46.518 162.8842
4.394531 48.030 161.4485
4.760742 49.420 159.9998
5.126953 50.707 158.5397
5.493164 51.906 157.0696
5.859375 53.027 155.5904
6.225585 54.080 154.1027
6.591796 55.073 152.6067
6.958007 56.013 151.1028
7.324218 56.904 149.5911
7.690429 57.751 148.0716
8.056640 58.559 146.5443
8.422851 59.332 145.0091
8.789062 60.071 143.4660
9.155273 60.780 141.9148
9.521484 61.461 140.3554
9.887695 62.117 138.7876
10.253905 62.749 137.2112
10.620116 63.358 135.6262
10.986327 63.947 134.0325
11.352538 64.517 132.4301
11.718749 65.068 130.8190
12.084960 65.603 129.1994
12.451171 66.122 127.5718
12.817382 66.625 125.9368
13.183593 67.115 124.2959
13.549804 67.590 122.6508
13.916015 68.054 121.0056
14.282225 68.505 119.3676
14.648436 68.945 117.7585
15.014647 69.384 116.1942
15.380858 69.825 114.6247
15.747069 70.268 113.0233
16.113280 70.715 111.3696
16.479491 71.165 109.6429
16.845702 71.618 107.8175
17.211913 72.070 105.8451
17.578124 72.516 103.7756
17.944335 72.966 101.5702
18.310545 73.416 99.1356
18.676756 73.850 96.4247
19.042967 74.252 93.4524
19.409178 74.608 90.2835
19.775389 74.908 87.0439
20.141600 75.155 83.8760
20.507811 75.365 80.8943
20.874022 75.561 78.1417
21.240233 75.766 75.5503
21.606444 75.989 72.9834
21.972654 76.227 70.3076
22.338865 76.465 67.4395
22.705076 76.687 64.3801
23.071287 76.883 61.1832
23.437498 77.051 57.9140
23.803709 77.196 54.6175
24.169920 77.324 51.2955
24.536131 77.440 47.9159
24.902342 77.546 44.4216
25.268553 77.635 40.7549
25.634764 77.699 36.8772
26.000974 77.725 32.7745
26.367185 77.699 28.4569
26.733396 77.610 23.9585
27.099607 77.444 19.3304
27.465818 77.189 14.6431
27.832029 76.830 10.0010
28.198240 76.356 5.5499
28.564451 75.758 1.4928
28.930662 75.036 -1.9093
29.296873 74.207 -4.3547
29.663084 73.304 -5.5354
30.029294 72.387 -5.1988
30.395505 71.542 -3.2489
30.761716 70.865 0.1241
31.127927 70.433 4.3888
31.494138 70.271 8.8099
31.860349 70.348 12.7138
32.226560 70.593 15.6950
32.592771 70.938 17.6056
32.958982 71.325 18.4783
33.325193 71.713 18.4105
33.691404 72.074 17.5224
34.057614 72.385 15.9323
34.423825 72.630 13.7637
34.790036 72.794 11.1436
35.156247 72.869 8.2082
35.522458 72.847 5.1021
35.888669 72.730 1.9677
36.254880 72.520 -1.0626
36.621091 72.225 -3.8648
36.987302 71.853 -6.3252
37.353513 71.421 -8.3467
37.719724 70.947 -9.8688
38.085934 70.450 -10.8634
38.452145 69.949 -11.3448
38.818356 69.459 -11.3652
39.184567 68.992 -10.9941
39.550778 68.552 -10.3106
39.916989 68.140 -9.3792
40.283200 67.752 -8.2321
40.649411 67.387 -6.8712
41.015622 67.046 -5.2795
41.381833 66.737 -3.4476
41.748044 66.468 -1.3917
42.114254 66.251 0.8363
42.480465 66.093 3.1471
42.846676 65.994 5.4290
43.212887 65.950 7.5713
43.579098 65.947 9.4839
43.945309 65.970 11.1130
44.311520 66.001 12.4516
44.677731 66.020 13.5391
45.043942 66.017 14.4517
45.410153 65.982 15.2890
45.776363 65.911 16.1656
46.142574 65.808 17.2070
46.508785 65.682 18.5383
46.874996 65.552 20.2620
47.241207 65.445 22.4308
47.607418 65.390 25.0206
47.973629 65.415 27.9159
48.339840 65.542 30.9187
48.706051 65.775 33.7843
49.072262 66.102 36.2781
49.438473 66.500 38.2260
49.804683 66.938 39.5405
50.170894 67.387 40.2134
50.537105 67.824 40.2929
50.903316 68.231 39.8566
51.269527 68.594 38.9935
51.635738 68.908 37.7924
52.001949 69.167 36.3367
52.368160 69.369 34.7028
52.734371 69.515 32.9571
53.100582 69.604 31.1579
53.466793 69.640 29.3586
53.833003 69.622 27.6084
54.199214 69.554 25.9524
54.565425 69.439 24.4325
54.931636 69.279 23.0885
55.297847 69.079 21.9595
55.664058 68.841 21.0840
56.030269 68.569 20.5004
56.396480 68.270 20.2471
56.762691 67.947 20.3667
57.128902 67.608 20.9058
57.495113 67.262 21.9147
57.861323 66.920 23.4433
58.227534 66.598 25.5339
58.593745 66.316 28.2066
58.959956 66.101 31.4440
59.326167 65.979 35.1732
59.692378 65.975 39.2461
60.058589 66.104 43.4368
60.424800 66.371 47.4811
60.791011 66.765 51.1377
61.157222 67.261 54.2173
61.523433 67.827 56.5969
61.889643 68.434 58.2313
62.255854 69.056 59.1460
62.622065 69.671 59.4038
62.988276 70.261 59.0791
63.354487 70.817 58.2494
63.720698 71.332 56.9923
64.086909 71.801 55.3810
64.453120 72.221 53.4803
64.819331 72.590 51.3458
65.185542 72.910 49.0265
65.551753 73.180 46.5652
65.917963 73.401 43.9994
66.284174 73.574 41.3608
66.650385 73.700 38.6782
67.016596 73.779 35.9779
67.382807 73.812 33.2839
67.749018 73.800 30.6187
68.115229 73.744 28.0039
68.481440 73.645 25.4603
68.847651 73.501 23.0093
69.213862 73.314 20.6746
69.580072 73.083 18.4823
69.946283 72.807 16.4601
70.312494 72.487 14.6425
70.678705 72.122 13.0709
71.044916 71.712 11.7928
71.411127 71.258 10.8702
71.777338 70.761 10.3795
72.143549 70.226 10.4018
72.509760 69.663 11.0482
72.875971 69.083 12.4550
73.242182 68.507 14.7024
73.608392 67.979 17.8933
73.974603 67.536 22.0983
74.340814 67.229 27.0929
74.707025 67.115 32.6705
75.073236 67.203 38.3710
75.439447 67.502 43.7185
75.805658 67.959 48.3995
76.171869 68.531 52.1043
76.538080 69.171 54.8953
76.904291 69.827 56.7810
77.270502 70.481 57.8585
77.636712 71.111 58.2951
78.002923 71.704 58.1809
78.369134 72.258 57.6259
78.735345 72.769 56.7215
79.101556 73.238 55.5339
79.467767 73.664 54.1259
79.833978 74.050 52.5408
80.200189 74.398 50.8202
80.566400 74.710 48.9946
80.932611 74.987 47.0870
81.298822 75.233 45.1221
81.665032 75.448 43.1132
82.031243 75.636 41.0755
82.397454 75.796 39.0217
82.763665 75.931 36.9581
83.129876 76.042 34.8955
83.496087 76.131 32.8394
83.862298 76.197 30.7956
84.228509 76.242 28.7704
84.594720 76.267 26.7673
84.960931 76.272 24.7920
85.327142 76.258 22.8486
85.693352 76.225 20.9426
86.059563 76.173 19.0795
86.425774 76.103 17.2651
86.791985 76.015 15.5064
87.158196 75.909 13.8108
87.524407 75.785 12.1855
87.890618 75.645 10.6400
88.256829 75.489 9.1813
88.623040 75.317 7.8207
88.989251 75.130 6.5655
89.355462 74.931 5.4260
89.721672 74.719 4.4117
90.087883 74.496 3.5283
90.454094 74.264 2.7888
90.820305 74.026 2.1921
91.186516 73.783 1.7533
91.552727 73.536 1.4664
91.918938 73.290 1.3430
92.285149 73.046 1.3758
92.651360 72.807 1.5672
93.017571 72.574 1.9122
93.383781 72.352 2.4022
93.749992 72.141 3.0344
94.116203 71.945 3.7912
94.482414 71.764 4.6688
94.848625 71.600 5.6451
95.214836 71.455 6.7135
95.581047 71.330 7.8517
95.947258 71.226 9.0494
96.313469 71.142 10.2866
96.679680 71.078 11.5507
97.045891 71.035 12.8251
97.412101 71.011 14.0970
97.778312 71.006 15.3522
98.144523 71.019 16.5798
98.510734 71.048 17.7685
98.876945 71.092 18.9110
99.243156 71.150 19.9985
99.609367 71.219 21.0276
99.975578 71.299 21.9929
100.341789 71.387 22.8950
100.708000 71.482 23.7316
101.074211 71.583 24.5068
101.440421 71.689 25.2218
101.806632 71.797 25.8825
102.172843 71.908 26.4942
102.539054 72.020 27.0627
102.905265 72.134 27.5964
103.271476 72.249 28.0998
103.637687 72.365 28.5820
104.003898 72.483 29.0453
104.370109 72.604 29.4969
104.736320 72.728 29.9374
105.102531 72.857 30.3686
105.468741 72.992 30.7898
105.834952 73.133 31.1950
106.201163 73.281 31.5825
106.567374 73.438 31.9399
106.933585 73.604 32.2627
107.299796 73.778 32.5373
107.666007 73.961 32.7548
108.032218 74.153 32.9068
108.398429 74.351 32.9784
108.764640 74.555 32.9703
109.130851 74.764 32.8645
109.497061 74.975 32.6689
109.863272 75.188 32.3678
110.229483 75.400 31.9710
110.595694 75.611 31.4717
110.961905 75.818 30.8758
111.328116 76.020 30.1871
111.694327 76.215 29.4066
112.060538 76.403 28.5460
112.426749 76.583 27.6036
112.792960 76.753 26.5942
113.159171 76.913 25.5172
113.525381 77.062 24.3854
113.891592 77.200 23.2019
114.257803 77.327 21.9756
114.624014 77.442 20.7132
114.990225 77.545 19.4204
115.356436 77.636 18.1053
115.722647 77.716 16.7729
116.088858 77.783 15.4300
116.455069 77.839 14.0829
116.821280 77.884 12.7358
117.187490 77.917 11.3957
117.553701 77.940 10.0660
117.919912 77.953 8.7523
118.286123 77.956 7.4595
118.652334 77.950 6.1888
119.018545 77.934 4.9481
119.384756 77.911 3.7353
119.750967 77.880 2.5577
120.117178 77.843 1.4146
120.483389 77.798 0.3082
120.849600 77.748 -0.7578
121.215810 77.693 -1.7870
121.582021 77.633 -2.7735
121.948232 77.570 -3.7222
122.314443 77.502 -4.6303
122.680654 77.432 -5.4990
123.046865 77.360 -6.3316
123.413076 77.285 -7.1256
123.779287 77.209 -7.8864
124.145498 77.132 -8.6130
124.511709 77.053 -9.3076
124.877920 76.974 -9.9730
125.244130 76.894 -10.6093
125.610341 76.813 -11.2191
125.976552 76.732 -11.8035
126.342763 76.649 -12.3634
126.708974 76.567 -12.8998
127.075185 76.483 -13.4136
127.441396 76.399 -13.9043
127.807607 76.314 -14.3727
128.173818 76.228 -14.8181
128.540029 76.142 -15.2399
128.906240 76.054 -15.6378
129.272450 75.966 -16.0107
129.638661 75.877 -16.3568
130.004872 75.787 -16.6758
130.371083 75.696 -16.9659
130.737294 75.606 -17.2249
131.103505 75.515 -17.4541
131.469716 75.424 -17.6492
131.835927 75.334 -17.8104
132.202138 75.245 -17.9386
132.568349 75.157 -18.0286
132.934560 75.071 -18.0856
133.300770 74.987 -18.1061
133.666981 74.906 -18.0893
134.033192 74.828 -18.0421
134.399403 74.754 -17.9591
134.765614 74.685 -17.8456
135.131825 74.621 -17.7062
135.498036 74.562 -17.5385
135.864247 74.509 -17.3516
136.230458 74.463 -17.1473
136.596669 74.423 -16.9283
136.962880 74.390 -16.7030
137.329090 74.363 -16.4747
137.695301 74.344 -16.2475
138.061512 74.331 -16.0278
138.427723 74.325 -15.8220
138.793934 74.324 -15.6305
139.160145 74.330 -15.4612
139.526356 74.341 -15.3192
139.892567 74.356 -15.2008
140.258778 74.376 -15.1158
140.624989 74.399 -15.0652
140.991199 74.424 -15.0435
141.357410 74.452 -15.0601
141.723621 74.480 -15.1110
142.089832 74.510 -15.1921
142.456043 74.539 -15.3094
142.822254 74.568 -15.4563
143.188465 74.597 -15.6306
143.554676 74.624 -15.8341
143.920887 74.649 -16.0604
144.287098 74.673 -16.3079
144.653309 74.694 -16.5758
145.019519 74.714 -16.8594
145.385730 74.731 -17.1567
145.751941 74.746 -17.4659
146.118152 74.759 -17.7850
146.484363 74.770 -18.1105
146.850574 74.779 -18.4415
147.216785 74.786 -18.7778
147.582996 74.792 -19.1156
147.949207 74.796 -19.4552
148.315418 74.799 -19.7978
148.681629 74.801 -20.1403
149.047839 74.803 -20.4841
149.414050 74.804 -20.8306
149.780261 74.804 -21.1784
150.146472 74.804 -21.5287
150.512683 74.804 -21.8834
150.878894 74.804 -22.2424
