* Measurement data measured by REW V5.40 beta 133
* Source: Vector average
* Format: Vector average
* Dated: Aug 31, 2026, 1:54:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Vector average of L MPM.4, R MPM.4
* Measurement: LR.4
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
16.113281 70.738 -171.3570
16.479492 71.303 -176.2336
16.845703 71.843 179.1872
17.211914 72.340 175.0369
17.578125 72.804 171.1696
17.944336 73.252 167.3080
18.310547 73.689 163.1820
18.676758 74.102 158.5873
19.042969 74.480 153.4974
19.409179 74.818 148.1061
19.775390 75.109 142.7177
20.141601 75.348 137.6167
20.507812 75.540 132.9361
20.874023 75.710 128.6310
21.240234 75.888 124.5728
21.606445 76.090 120.6044
21.972656 76.303 116.5608
22.338867 76.505 112.3179
22.705078 76.678 107.8214
23.071288 76.825 103.1370
23.437499 76.949 98.4278
23.803710 77.057 93.8311
24.169921 77.145 89.3668
24.536132 77.215 84.9474
24.902343 77.275 80.4553
25.268554 77.325 75.8320
25.634765 77.354 71.0735
26.000976 77.344 66.1674
26.367187 77.278 61.0841
26.733398 77.145 55.8110
27.099608 76.943 50.3852
27.465819 76.656 44.8992
27.832030 76.263 39.4563
28.198241 75.745 34.1641
28.564452 75.091 29.2027
28.930663 74.308 24.8666
29.296874 73.414 21.5594
29.663085 72.445 19.7195
30.029296 71.470 19.6754
30.395507 70.588 21.5177
30.761718 69.921 24.9750
31.127928 69.555 29.3542
31.494139 69.496 33.7640
31.860350 69.676 37.4507
32.226561 70.010 39.9811
32.592772 70.428 41.2635
32.958983 70.881 41.3991
33.325194 71.329 40.5584
33.691405 71.736 38.8936
34.057616 72.079 36.4897
34.423827 72.341 33.4290
34.790038 72.518 29.8456
35.156248 72.605 25.9058
35.522459 72.588 21.8133
35.888670 72.466 17.7090
36.254881 72.243 13.6902
36.621092 71.930 9.8950
36.987303 71.541 6.4858
37.353514 71.083 3.5925
37.719725 70.566 1.2786
38.085936 70.010 -0.4761
38.452147 69.437 -1.7132
38.818358 68.873 -2.4423
39.184568 68.330 -2.6873
39.550779 67.810 -2.5105
39.916990 67.311 -2.0106
40.283201 66.835 -1.2812
40.649412 66.391 -0.3140
41.015623 65.983 0.9703
41.381834 65.610 2.6288
41.748045 65.269 4.6521
42.114256 64.974 6.9340
42.480467 64.743 9.3585
42.846678 64.592 11.8572
43.212888 64.517 14.3441
43.579099 64.498 16.7086
43.945310 64.516 18.7977
44.311521 64.559 20.4824
44.677732 64.622 21.7791
45.043943 64.701 22.8070
45.410154 64.784 23.7206
45.776365 64.866 24.6408
46.142576 64.954 25.6095
46.508787 65.070 26.6770
46.874997 65.245 27.9082
47.241208 65.493 29.3097
47.607419 65.816 30.7967
47.973630 66.210 32.1646
48.339841 66.668 33.1869
48.706052 67.179 33.7286
49.072263 67.724 33.7346
49.438474 68.272 33.2023
49.804685 68.796 32.1251
50.170896 69.280 30.4781
50.537107 69.717 28.2847
50.903317 70.105 25.6174
51.269528 70.441 22.5575
51.635739 70.717 19.1644
52.001950 70.932 15.4521
52.368161 71.090 11.4337
52.734372 71.199 7.1655
53.100583 71.261 2.7156
53.466794 71.272 -1.8720
53.833005 71.231 -6.5928
54.199216 71.144 -11.4624
54.565427 71.019 -16.4642
54.931637 70.860 -21.5571
55.297848 70.664 -26.7326
55.664059 70.432 -32.0275
56.030270 70.170 -37.5026
56.396481 69.887 -43.2053
56.762692 69.588 -49.1508
57.128903 69.276 -55.3810
57.495114 68.952 -62.0017
57.861325 68.628 -69.1331
58.227536 68.321 -76.8557
58.593747 68.051 -85.1921
58.959957 67.827 -94.1467
59.326168 67.668 -103.7527
59.692379 67.594 -114.0023
60.058590 67.632 -124.7511
60.424801 67.791 -135.7665
60.791012 68.062 -146.8367
61.157223 68.429 -157.8052
61.523434 68.880 -168.5328
61.889645 69.395 -178.8666
62.255856 69.944 171.3027
62.622067 70.498 161.9786
62.988277 71.040 153.1111
63.354488 71.559 144.6725
63.720699 72.048 136.6555
64.086910 72.496 129.0424
64.453121 72.896 121.7859
64.819332 73.245 114.8270
65.185543 73.547 108.1371
65.551754 73.801 101.7184
65.917965 74.006 95.5629
66.284176 74.160 89.6428
66.650387 74.264 83.9277
67.016597 74.320 78.4044
67.382808 74.333 73.0860
67.749019 74.299 67.9830
68.115230 74.218 63.0829
68.481441 74.090 58.3705
68.847652 73.919 53.8469
69.213863 73.704 49.5341
69.580074 73.445 45.4595
69.946285 73.139 41.6301
70.312496 72.781 38.0436
70.678706 72.375 34.7204
71.044917 71.920 31.7083
71.411128 71.412 29.0723
71.777339 70.845 26.8763
72.143550 70.218 25.1774
72.509761 69.529 24.0707
72.875972 68.789 23.7166
73.242183 68.006 24.3264
73.608394 67.197 26.1458
73.974605 66.406 29.3966
74.340816 65.702 34.2157
74.707026 65.191 40.5459
75.073237 64.982 47.9455
75.439448 65.126 55.5866
75.805659 65.594 62.5327
76.171870 66.290 68.1177
76.538081 67.110 72.1285
76.904292 67.976 74.6747
77.270503 68.833 76.0154
77.636714 69.652 76.4227
78.002925 70.414 76.0995
78.369136 71.115 75.1960
78.735346 71.756 73.8354
79.101557 72.343 72.1277
79.467768 72.878 70.1729
79.833979 73.362 68.0347
80.200190 73.797 65.7440
80.566401 74.188 63.3254
80.932612 74.540 60.8088
81.298823 74.857 58.2306
81.665034 75.138 55.6186
82.031245 75.384 52.9772
82.397456 75.598 50.3050
82.763666 75.783 47.6099
83.129877 75.942 44.9078
83.496088 76.073 42.2163
83.862299 76.177 39.5378
84.228510 76.255 36.8636
84.594721 76.309 34.1937
84.960932 76.342 31.5392
85.327143 76.352 28.9148
85.693354 76.338 26.3279
86.059565 76.301 23.7732
86.425776 76.242 21.2487
86.791986 76.161 18.7669
87.158197 76.059 16.3466
87.524408 75.937 14.0026
87.890619 75.791 11.7385
88.256830 75.623 9.5539
88.623041 75.434 7.4630
88.989252 75.226 5.4904
89.355463 74.998 3.6580
89.721674 74.750 1.9777
90.087885 74.482 0.4514
90.454096 74.198 -0.9112
90.820306 73.901 -2.0833
91.186517 73.593 -3.0399
91.552728 73.272 -3.7673
91.918939 72.944 -4.2646
92.285150 72.612 -4.5362
92.651361 72.283 -4.5698
93.017572 71.963 -4.3487
93.383783 71.652 -3.8709
93.749994 71.354 -3.1524
94.116205 71.075 -2.2263
94.482415 70.822 -1.1187
94.848626 70.598 0.1597
95.214837 70.408 1.5900
95.581048 70.248 3.1389
95.947259 70.120 4.7576
96.313470 70.024 6.3962
96.679681 69.963 8.0327
97.045892 69.935 9.6575
97.412103 69.934 11.2577
97.778314 69.957 12.8101
98.144525 70.000 14.2822
98.510735 70.064 15.6603
98.876946 70.149 16.9545
99.243157 70.249 18.1763
99.609368 70.361 19.3301
99.975579 70.482 20.4028
100.341790 70.611 21.3812
100.708001 70.751 22.2749
101.074212 70.900 23.1019
101.440423 71.055 23.8771
101.806634 71.215 24.6008
102.172845 71.378 25.2582
102.539055 71.546 25.8488
102.905266 71.722 26.3864
103.271477 71.904 26.8848
103.637688 72.092 27.3495
104.003899 72.284 27.7676
104.370110 72.482 28.1242
104.736321 72.689 28.4205
105.102532 72.904 28.6624
105.468743 73.127 28.8525
105.834954 73.356 28.9798
106.201165 73.590 29.0226
106.567375 73.832 28.9707
106.933586 74.080 28.8251
107.299797 74.334 28.5887
107.666008 74.590 28.2597
108.032219 74.847 27.8239
108.398430 75.104 27.2711
108.764641 75.360 26.6057
109.130852 75.614 25.8370
109.497063 75.865 24.9733
109.863274 76.109 24.0142
110.229485 76.344 22.9543
110.595695 76.572 21.7983
110.961906 76.792 20.5596
111.328117 77.002 19.2502
111.694328 77.202 17.8770
112.060539 77.389 16.4380
112.426750 77.564 14.9351
112.792961 77.728 13.3794
113.159172 77.881 11.7833
113.525383 78.020 10.1555
113.891594 78.146 8.4965
114.257805 78.259 6.8052
114.624015 78.359 5.0892
114.990226 78.448 3.3604
115.356437 78.524 1.6277
115.722648 78.587 -0.1058
116.088859 78.636 -1.8414
116.455070 78.673 -3.5764
116.821281 78.701 -5.2995
117.187492 78.716 -7.0010
117.553703 78.719 -8.6770
117.919914 78.712 -10.3279
118.286124 78.694 -11.9545
118.652335 78.667 -13.5485
119.018546 78.631 -15.1000
119.384757 78.587 -16.6046
119.750968 78.534 -18.0629
120.117179 78.474 -19.4783
120.483390 78.408 -20.8486
120.849601 78.337 -22.1647
121.215812 78.261 -23.4225
121.582023 78.180 -24.6245
121.948234 78.095 -25.7758
122.314444 78.008 -26.8802
122.680655 77.919 -27.9334
123.046866 77.829 -28.9307
123.413077 77.739 -29.8755
123.779288 77.646 -30.7753
124.145499 77.554 -31.6375
124.511710 77.463 -32.4630
124.877921 77.373 -33.2474
125.244132 77.285 -33.9920
125.610343 77.197 -34.7045
125.976554 77.110 -35.3932
126.342764 77.024 -36.0627
126.708975 76.941 -36.7086
127.075186 76.859 -37.3276
127.441397 76.778 -37.9246
127.807608 76.695 -38.5064
128.173819 76.615 -39.0783
128.540030 76.536 -39.6375
128.906241 76.458 -40.1757
129.272452 76.380 -40.6929
129.638663 76.300 -41.1939
130.004874 76.221 -41.6836
130.371084 76.143 -42.1611
130.737295 76.065 -42.6172
131.103506 75.988 -43.0463
131.469717 75.910 -43.4509
131.835928 75.832 -43.8361
132.202139 75.754 -44.2032
132.568350 75.678 -44.5464
132.934561 75.604 -44.8560
133.300772 75.531 -45.1323
133.666983 75.458 -45.3811
134.033194 75.387 -45.6066
134.399404 75.320 -45.8082
134.765615 75.256 -45.9776
135.131826 75.197 -46.1114
135.498037 75.140 -46.2168
135.864248 75.087 -46.3015
136.230459 75.039 -46.3700
136.596670 74.998 -46.4196
136.962881 74.963 -46.4453
137.329092 74.933 -46.4527
137.695303 74.908 -46.4530
138.061514 74.889 -46.4548
138.427724 74.878 -46.4608
138.793935 74.874 -46.4665
139.160146 74.876 -46.4733
139.526357 74.883 -46.4916
139.892568 74.894 -46.5312
140.258779 74.911 -46.5972
140.624990 74.934 -46.6860
140.991201 74.961 -46.7931
141.357412 74.992 -46.9230
141.723623 75.024 -47.0839
142.089833 75.058 -47.2803
142.456044 75.096 -47.5101
142.822255 75.136 -47.7640
143.188466 75.176 -48.0399
143.554677 75.216 -48.3427
143.920888 75.256 -48.6765
144.287099 75.297 -49.0406
144.653310 75.338 -49.4266
145.019521 75.378 -49.8268
145.385732 75.418 -50.2434
145.751943 75.457 -50.6812
146.118153 75.495 -51.1417
146.484364 75.533 -51.6206
146.850575 75.571 -52.1091
147.216786 75.608 -52.6060
147.582997 75.643 -53.1174
147.949208 75.679 -53.6480
148.315419 75.715 -54.1971
148.681630 75.752 -54.7583
149.047841 75.789 -55.3278
149.414052 75.825 -55.9109
149.780263 75.860 -56.5139
150.146473 75.895 -57.1396
150.512684 75.932 -57.7847
150.878895 75.968 -58.4431
151.245106 76.004 -59.1169
151.611317 76.039 -59.8132
151.977528 76.072 -60.5356
152.343739 76.106 -61.2839
152.709950 76.140 -62.0516
153.076161 76.172 -62.8359
153.442372 76.202 -63.6427
153.808583 76.229 -64.4771
154.174793 76.256 -65.3394
154.541004 76.281 -66.2248
154.907215 76.305 -67.1274
155.273426 76.326 -68.0491
155.639637 76.343 -68.9960
156.005848 76.357 -69.9692
156.372059 76.370 -70.9658
156.738270 76.379 -71.9783
157.104481 76.384 -73.0044
157.470692 76.385 -74.0494
157.836903 76.381 -75.1160
158.203113 76.374 -76.2015
158.569324 76.363 -77.3000
158.935535 76.347 -78.4052
159.301746 76.328 -79.5193
159.667957 76.302 -80.6474
160.034168 76.271 -81.7876
160.400379 76.236 -82.9346
160.766590 76.198 -84.0809
161.132801 76.153 -85.2252
161.499012 76.102 -86.3723
161.865223 76.047 -87.5233
162.231433 75.986 -88.6733
162.597644 75.921 -89.8154
162.963855 75.852 -90.9449
163.330066 75.776 -92.0654
163.696277 75.696 -93.1808
164.062488 75.611 -94.2881
164.428699 75.523 -95.3810
164.794910 75.429 -96.4532
165.161121 75.332 -97.5056
165.527332 75.229 -98.5443
