* Measurement data measured by REW V5.40 beta 133
* Source: Vector average
* Format: Vector average
* Dated: Sep 1, 2026, 11:58:43 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Vector average of L.filtered, R.filtered
* Measurement: LR.filtered
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
16.113281 64.510 -122.5913
16.479492 69.468 -157.3516
16.845703 69.849 -179.6977
17.211914 70.447 177.7545
17.578125 71.681 172.7784
17.944336 72.415 169.9359
18.310547 73.181 166.6548
18.676758 73.765 163.7456
19.042969 74.452 159.8712
19.409179 74.920 156.1454
19.775390 75.520 152.8989
20.141601 75.962 147.2089
20.507812 75.781 140.9736
20.874023 75.245 138.0102
21.240234 75.138 137.5320
21.606445 75.505 135.2936
21.972656 75.942 131.0040
22.338867 76.379 126.3029
22.705078 76.831 120.7887
23.071288 76.990 114.5219
23.437499 76.842 109.7365
23.803710 76.839 106.6034
24.169921 77.106 102.5268
24.536132 77.367 97.7785
24.902343 77.671 93.4825
25.268554 77.928 88.6245
25.634765 77.967 83.9601
26.000976 78.121 80.1358
26.367187 78.519 74.1233
26.733398 78.504 65.8114
27.099608 77.881 60.4958
27.465819 77.589 59.6932
27.832030 78.009 54.8134
28.198241 78.009 42.8108
28.564452 77.075 29.5586
28.930663 75.534 19.7755
29.296874 73.634 13.6395
29.663085 71.150 12.8837
30.029296 69.041 21.9974
30.395507 68.303 31.7621
30.761718 67.847 40.6130
31.127928 68.292 49.7765
31.494139 68.867 52.5234
31.860350 68.919 55.9854
32.226561 69.682 60.2593
32.592772 70.606 59.2643
32.958983 71.089 58.3477
33.325194 71.667 58.9652
33.691405 72.286 58.1707
34.057616 72.795 56.5695
34.423827 73.420 54.0370
34.790038 74.079 49.5799
35.156248 74.597 43.2473
35.522459 74.781 35.0619
35.888670 74.532 26.1343
36.254881 73.954 18.0485
36.621092 73.219 12.0577
36.987303 72.467 7.8950
37.353514 71.539 3.9116
37.719725 70.164 1.7551
38.085936 69.060 4.4867
38.452147 68.693 7.2152
38.818358 68.257 10.7390
39.184568 68.228 16.5640
39.550779 68.178 16.8079
39.916990 67.204 15.2067
40.283201 66.643 14.8801
40.649412 66.629 8.8741
41.015623 66.005 4.4573
41.381834 65.459 7.9303
41.748045 64.939 12.5127
42.114256 64.092 21.5876
42.480467 64.506 28.8934
42.846678 64.714 25.6628
43.212888 64.176 24.1746
43.579099 64.190 27.2106
43.945310 64.524 30.0267
44.311521 64.972 33.0417
44.677732 65.377 32.9188
45.043943 65.179 32.6526
45.410154 65.348 36.1439
45.776365 66.337 36.0137
46.142576 67.026 30.6159
46.508787 66.839 24.5053
46.874997 65.886 21.8555
47.241208 64.897 22.9559
47.607419 64.131 22.5980
47.973630 62.995 22.3241
48.339841 62.094 30.1569
48.706052 62.467 42.6728
49.072263 63.314 53.7239
49.438474 64.119 65.0374
49.804685 65.567 74.0500
50.170896 67.323 73.0017
50.537107 68.529 65.0185
50.903317 69.399 57.3368
51.269528 70.278 50.8925
51.635739 70.788 44.7519
52.001950 70.992 40.4501
52.368161 71.355 35.8825
52.734372 71.699 29.3872
53.100583 71.918 23.1370
53.466794 72.061 17.1489
53.833005 71.903 11.5574
54.199216 71.744 7.1942
54.565427 71.753 0.5042
54.931637 71.337 -8.1071
55.297848 70.629 -13.8069
55.664059 70.245 -17.8070
56.030270 69.888 -22.8252
56.396481 69.502 -26.8948
56.762692 69.305 -31.6703
57.128903 68.924 -37.3022
57.495114 68.608 -41.2604
57.861325 68.687 -46.0216
58.227536 68.712 -52.6961
58.593747 68.527 -59.4224
58.959957 68.208 -66.1968
59.326168 67.959 -72.3285
59.692379 68.225 -78.7476
60.058590 68.776 -86.3565
60.424801 69.459 -93.1013
60.791012 70.404 -100.5833
61.157223 71.348 -110.3356
61.523434 72.354 -120.7070
61.889645 73.575 -132.4271
62.255856 74.627 -145.9227
62.622067 75.397 -159.5245
62.988277 76.033 -173.2893
63.354488 76.379 173.1743
63.720699 76.424 162.3873
64.086910 76.509 154.1027
64.453121 76.572 145.6506
64.819332 76.480 138.0954
65.185543 76.618 132.1401
65.551754 76.962 125.7238
65.917965 77.205 119.0979
66.284176 77.440 112.2943
66.650387 77.645 103.9727
67.016597 77.694 95.1451
67.382808 77.644 87.0372
67.749019 77.394 79.6877
68.115230 76.906 73.6712
68.481441 76.407 68.5887
68.847652 76.002 63.4813
69.213863 75.723 58.6245
69.580074 75.515 53.2578
69.946285 75.028 47.2515
70.312496 74.279 42.0961
70.678706 73.559 37.1674
71.044917 72.816 32.1945
71.411128 72.078 28.5345
71.777339 71.346 24.9131
72.143550 70.290 20.7432
72.509761 69.045 16.9314
72.875972 67.732 12.2480
73.242183 66.145 8.7015
73.608394 64.586 6.8786
73.974605 62.426 0.6536
74.340816 57.839 -9.3810
74.707026 48.637 -20.4918
75.073237 44.177 -159.5593
75.439448 55.828 179.2018
75.805659 61.546 169.2693
76.171870 65.321 160.5500
76.538081 67.826 153.1614
76.904292 69.585 147.8384
77.270503 71.116 142.7268
77.636714 72.422 136.2994
78.002925 73.525 129.5542
78.369136 74.475 122.3657
78.735346 75.115 115.1260
79.101557 75.472 108.7163
79.467768 75.586 103.1094
79.833979 75.486 99.2820
80.200190 75.521 97.7106
80.566401 75.869 96.2720
80.932612 76.401 94.1836
81.298823 77.078 90.6516
81.665034 77.562 85.1660
82.031245 77.700 79.8278
82.397456 77.769 75.3149
82.763666 77.828 69.9965
83.129877 77.638 64.3309
83.496088 77.315 60.3142
83.862299 77.044 57.1776
84.228510 76.648 54.7992
84.594721 76.281 54.2653
84.960932 76.127 53.8195
85.327143 76.004 52.9824
85.693354 76.077 52.5736
86.059565 76.394 50.5582
86.425776 76.541 47.0817
86.791986 76.517 44.2274
87.158197 76.505 41.3159
87.524408 76.378 37.4910
87.890619 76.102 33.7238
88.256830 75.807 30.5837
88.623041 75.546 27.6422
88.989252 75.131 24.0437
89.355463 74.285 21.0759
89.721674 73.320 21.1584
90.087885 72.749 22.1989
90.454096 72.277 22.3960
90.820306 71.856 24.0490
91.186517 71.657 25.5250
91.552728 71.311 26.1979
91.918939 71.012 27.6357
92.285150 70.856 27.9117
92.651361 70.480 28.9354
93.017572 70.331 32.4463
93.383783 70.373 33.7007
93.749994 70.106 33.9240
94.116205 70.176 34.6398
94.482415 70.516 32.0488
94.848626 70.273 30.1704
95.214837 69.865 34.5721
95.581048 69.941 40.4299
95.947259 70.069 43.1908
96.313470 70.143 43.4102
96.679681 70.237 42.0598
97.045892 70.285 41.4009
97.412103 70.258 42.4526
97.778314 70.088 44.4055
98.144525 69.852 46.1692
98.510735 69.719 46.8257
98.876946 69.799 47.2070
99.243157 70.068 48.5280
99.609368 70.368 51.2731
99.975579 70.669 53.9561
100.341790 70.736 54.1816
100.708001 70.454 53.8483
101.074212 70.451 55.0109
101.440423 70.837 55.2440
101.806634 71.034 55.8260
102.172845 71.233 58.7485
102.539055 71.662 61.0024
102.905266 72.146 61.8589
103.271477 72.851 61.7163
103.637688 73.618 59.2891
104.003899 74.105 55.5807
104.370110 74.356 51.5352
104.736321 74.446 46.7037
105.102532 74.360 41.4314
105.468743 74.111 36.3030
105.834954 73.581 31.5317
106.201165 72.658 28.0664
106.567375 71.433 27.0535
106.933586 70.101 29.4771
107.299797 68.917 36.6497
107.666008 68.509 48.9097
108.032219 69.320 59.1516
108.398430 70.274 62.8694
108.764641 70.936 65.0629
109.130852 71.785 67.1154
109.497063 72.691 67.4480
109.863274 73.405 67.3926
110.229485 74.086 67.0543
110.595695 74.713 64.8462
110.961906 75.149 61.3367
111.328117 75.463 57.8218
111.694328 75.659 54.6976
112.060539 75.697 52.5419
112.426750 75.707 51.1979
112.792961 75.742 49.6505
113.159172 75.763 48.2954
113.525383 75.897 47.7742
113.891594 76.169 47.0662
114.257805 76.382 45.5647
114.624015 76.505 43.9784
114.990226 76.741 42.2214
115.356437 77.048 39.1707
115.722648 77.155 35.6346
116.088859 77.078 33.2673
116.455070 77.001 31.5033
116.821281 76.892 29.2949
117.187492 76.744 27.0632
117.553703 76.617 25.0292
117.919914 76.474 23.4175
118.286124 76.338 22.2291
118.652335 76.163 20.7450
119.018546 75.884 19.5525
119.384757 75.695 19.0719
119.750968 75.582 18.0929
120.117179 75.343 17.3070
120.483390 75.130 17.4741
120.849601 75.007 17.2008
121.215812 74.830 16.6388
121.582023 74.689 16.4611
121.948234 74.561 16.2614
122.314444 74.404 16.7061
122.680655 74.352 17.4070
123.046866 74.308 17.4846
123.413077 74.234 17.8540
123.779288 74.277 18.2626
124.145499 74.323 17.9390
124.511710 74.297 17.7474
124.877921 74.322 17.8558
125.244132 74.413 17.5410
125.610343 74.447 16.6407
125.976554 74.367 16.0817
126.342764 74.341 16.2646
126.708975 74.400 15.9255
127.075186 74.358 15.3757
127.441397 74.337 15.5005
127.807608 74.373 15.0530
128.173819 74.322 14.4849
128.540030 74.387 14.1392
128.906241 74.486 12.5398
129.272452 74.381 11.2068
129.638663 74.321 11.0437
130.004874 74.288 10.1465
130.371084 74.127 9.2450
130.737295 74.072 8.3914
131.103506 73.977 6.5931
131.469717 73.714 5.9628
131.835928 73.560 6.7012
132.202139 73.433 7.1110
132.568350 73.298 7.6288
132.934561 73.273 7.4978
133.300772 73.230 7.0466
133.666983 73.311 7.1584
134.033194 73.462 6.2511
134.399404 73.413 4.8708
134.765615 73.302 3.6083
135.131826 73.108 1.8409
135.498037 72.868 0.8795
135.864248 72.748 -0.2366
136.230459 72.368 -1.9221
136.596670 71.794 -1.1986
136.962881 71.525 -0.1971
137.329092 71.058 -1.3705
137.695303 70.218 0.0748
138.061514 69.790 4.7435
138.427724 69.677 8.2231
138.793935 69.448 11.9457
139.160146 69.443 17.2192
139.526357 69.816 21.5259
139.892568 70.258 24.1531
140.258779 70.713 26.7269
140.624990 71.360 28.6278
140.991201 71.944 28.5288
141.357412 72.315 28.2590
141.723623 72.752 28.0815
142.089833 73.183 26.6381
142.456044 73.477 25.2061
142.822255 73.831 24.1400
143.188466 74.168 22.2697
143.554677 74.358 20.4424
143.920888 74.551 18.8472
144.287099 74.734 16.5138
144.653310 74.830 13.7343
145.019521 74.896 10.6041
145.385732 74.850 6.8921
145.751943 74.607 3.6143
146.118153 74.291 1.4957
146.484364 73.990 -0.2406
146.850575 73.582 -2.1677
147.216786 73.007 -3.2826
147.582997 72.460 -2.9717
147.949208 72.019 -2.0112
148.315419 71.601 0.1068
148.681630 71.396 3.6061
149.047841 71.361 6.5844
149.414052 71.302 9.6196
149.780263 71.474 12.9495
150.146473 71.850 14.6680
150.512684 72.208 15.4816
150.878895 72.632 16.0332
151.245106 73.053 15.6287
151.611317 73.394 14.7310
151.977528 73.724 13.2034
152.343739 73.956 10.9301
152.709950 74.070 8.8640
153.076161 74.142 7.0056
153.442372 74.116 4.9874
153.808583 73.990 3.0500
154.174793 73.805 1.2590
154.541004 73.590 0.2754
154.907215 73.487 0.2441
155.273426 73.458 0.0358
155.639637 73.320 -0.2579
156.005848 73.149 0.0929
156.372059 73.056 0.5327
156.738270 72.977 1.1816
157.104481 72.986 2.7672
157.470692 73.176 4.3601
157.836903 73.400 5.0955
158.203113 73.638 5.5922
158.569324 74.032 5.4707
158.935535 74.465 3.9717
159.301746 74.790 2.0426
159.667957 75.096 0.1066
160.034168 75.357 -2.8246
160.400379 75.424 -6.3467
160.766590 75.375 -9.4039
161.132801 75.291 -12.1749
161.499012 75.111 -14.5345
161.865223 74.930 -16.1798
162.231433 74.791 -18.1355
162.597644 74.550 -20.2094
162.963855 74.312 -21.2144
163.330066 74.215 -22.1797
163.696277 74.035 -23.8739
164.062488 73.706 -24.7972
164.428699 73.487 -24.7007
164.794910 73.431 -24.7698
165.161121 73.442 -25.1301
165.527332 73.488 -25.8741
165.893542 73.463 -27.0325
166.259753 73.402 -27.7284
166.625964 73.476 -28.5736
166.992175 73.541 -30.5123
167.358386 73.480 -32.6034
167.724597 73.418 -34.7399
168.090808 73.312 -37.7919
168.457019 73.077 -41.0742
