* Measurement data measured by REW V5.40 beta 132
* Source: Vector average
* Format: Vector average
* Dated: Sep 2, 2026, 9:26:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; LR vector average of L and R, copies of the first measurement, MPM.0
* Measurement: LR
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
16.113281 70.600 -169.3498
16.479492 71.123 -178.2101
16.845703 71.308 175.1212
17.211914 71.534 172.2672
17.578125 72.134 170.1847
17.944336 72.706 166.3553
18.310547 73.095 162.6458
18.676758 73.603 158.8929
19.042969 74.122 153.7807
19.409179 74.557 149.0407
19.775390 75.156 144.5380
20.141601 75.650 137.9504
20.507812 75.545 131.0244
20.874023 75.094 127.5442
21.240234 75.070 126.7592
21.606445 75.539 124.3576
21.972656 76.055 120.1541
22.338867 76.558 115.7440
22.705078 77.033 110.5477
23.071288 77.194 104.5703
23.437499 77.029 100.0081
23.803710 77.000 97.0573
24.169921 77.216 93.0963
24.536132 77.422 88.3156
24.902343 77.667 83.7932
25.268554 77.884 78.6100
25.634765 77.892 73.5749
26.000976 78.030 69.3824
26.367187 78.417 62.9345
26.733398 78.408 54.1711
27.099608 77.805 48.4184
27.465819 77.547 47.2852
27.832030 77.998 42.1752
28.198241 78.028 30.0346
28.564452 77.122 16.6320
28.930663 75.612 6.7507
29.296874 73.737 0.5416
29.663085 71.256 -0.2283
30.029296 69.111 8.8044
30.395507 68.318 18.6085
30.761718 67.820 27.4498
31.127928 68.257 36.6697
31.494139 68.823 39.3845
31.860350 68.861 42.8785
32.226561 69.604 46.9915
32.592772 70.514 45.6910
32.958983 70.995 44.4304
33.325194 71.593 44.8084
33.691405 72.225 43.8042
34.057616 72.744 42.0322
34.423827 73.374 39.2653
34.790038 74.052 34.5964
35.156248 74.593 28.0950
35.522459 74.796 19.8451
35.888670 74.552 10.8514
36.254881 73.971 2.6783
36.621092 73.239 -3.4623
36.987303 72.495 -7.7175
37.353514 71.569 -11.7714
37.719725 70.182 -13.9615
38.085936 69.061 -11.4207
38.452147 68.680 -8.9536
38.818358 68.249 -5.7042
39.184568 68.230 -0.0558
39.550779 68.173 0.0017
39.916990 67.175 -1.7527
40.283201 66.593 -2.3905
40.649412 66.581 -8.6708
41.015623 65.969 -13.2495
41.381834 65.426 -9.7142
41.748045 64.895 -5.1337
42.114256 64.042 3.8460
42.480467 64.456 10.7726
42.846678 64.676 7.3027
43.212888 64.152 5.7137
43.579099 64.159 8.8102
43.945310 64.463 11.5706
44.311521 64.891 14.4584
44.677732 65.292 14.1284
45.043943 65.115 13.8266
45.410154 65.301 17.2612
45.776365 66.285 17.0179
46.142576 66.955 11.2584
46.508787 66.752 4.6909
46.874997 65.774 1.6779
47.241208 64.743 2.7800
47.607419 63.899 2.6071
47.973630 62.664 2.7708
48.339841 61.732 11.1529
48.706052 62.199 24.1672
49.072263 63.197 35.4613
49.438474 64.158 46.7764
49.804685 65.691 55.4883
50.170896 67.468 53.9905
50.537107 68.652 45.5001
50.903317 69.521 37.4605
51.269528 70.423 30.7642
51.635739 70.955 24.3910
52.001950 71.158 19.7885
52.368161 71.516 14.9023
52.734372 71.861 8.0615
53.100583 72.081 1.5486
53.466794 72.211 -4.6337
53.833005 72.035 -10.3896
54.199216 71.857 -14.9867
54.565427 71.855 -21.8516
54.931637 71.435 -30.5555
55.297848 70.720 -36.2745
55.664059 70.323 -40.3866
56.030270 69.949 -45.5795
56.396481 69.558 -49.8346
56.762692 69.362 -54.6775
57.128903 68.975 -60.3472
57.495114 68.637 -64.4017
57.861325 68.697 -69.3894
58.227536 68.715 -76.2631
58.593747 68.536 -83.0850
58.959957 68.205 -89.8407
59.326168 67.935 -96.0240
59.692379 68.178 -102.6835
60.058590 68.728 -110.5889
60.424801 69.412 -117.5273
60.791012 70.353 -125.1533
61.157223 71.281 -135.1287
61.523434 72.283 -145.8108
61.889645 73.507 -157.8345
62.255856 74.565 -171.5297
62.622067 75.332 174.6579
62.988277 75.962 160.6293
63.354488 76.308 146.8356
63.720699 76.364 135.8903
64.086910 76.460 127.4642
64.453121 76.521 118.8604
64.819332 76.428 111.1383
65.185543 76.573 105.0164
65.551754 76.928 98.4505
65.917965 77.175 91.7278
66.284176 77.412 84.8059
66.650387 77.618 76.3239
67.016597 77.674 67.3484
67.382808 77.632 59.1359
67.749019 77.386 51.6979
68.115230 76.896 45.5677
68.481441 76.399 40.3314
68.847652 76.000 35.0621
69.213863 75.731 30.1013
69.580074 75.525 24.6573
69.946285 75.035 18.5598
70.312496 74.283 13.2647
70.678706 73.571 8.2166
71.044917 72.838 3.1917
71.411128 72.111 -0.4678
71.777339 71.377 -4.1667
72.143550 70.320 -8.4556
72.509761 69.091 -12.4054
72.875972 67.811 -17.1305
73.242183 66.244 -20.6157
73.608394 64.688 -22.2596
73.974605 62.536 -28.3456
74.340816 58.018 -37.8849
74.707026 49.170 -45.5790
75.073237 41.949 164.7068
75.439448 55.321 146.3901
75.805659 61.295 137.5990
76.171870 65.140 129.4662
76.538081 67.666 122.2971
76.904292 69.443 117.0514
77.270503 70.998 112.0287
77.636714 72.327 105.8547
78.002925 73.454 99.5715
78.369136 74.491 92.9245
78.735346 75.287 85.6655
79.101557 75.788 78.7271
79.467768 76.029 72.2764
79.833979 75.991 67.0399
80.200190 75.943 63.7933
80.566401 76.072 60.9540
80.932612 76.228 58.4165
81.298823 76.554 56.7272
81.665034 76.992 53.9522
82.031245 77.256 50.6093
82.397456 77.547 47.3754
82.763666 77.842 42.3309
83.129877 77.826 36.7198
83.496088 77.694 32.7075
83.862299 77.582 29.1465
84.228510 77.290 26.4288
84.594721 77.062 25.6568
84.960932 77.043 24.6868
85.327143 77.040 23.5305
85.693354 77.289 22.4999
86.059565 77.717 19.2421
86.425776 77.921 14.6592
86.791986 77.967 10.6743
87.158197 77.975 6.5368
87.524408 77.828 1.7802
87.890619 77.529 -2.8160
88.256830 77.202 -6.7324
88.623041 76.921 -10.3281
88.989252 76.505 -14.5093
89.355463 75.681 -18.0456
89.721674 74.751 -18.8638
90.087885 74.161 -19.0524
90.454096 73.644 -20.0276
90.820306 73.152 -19.7805
91.186517 72.791 -19.5410
91.552728 72.250 -19.6508
91.918939 71.735 -18.6672
92.285150 71.371 -18.4244
92.651361 70.809 -17.1649
93.017572 70.487 -13.0773
93.383783 70.405 -11.0157
93.749994 70.066 -9.9860
94.116205 70.140 -8.5718
94.482415 70.527 -10.7537
94.848626 70.327 -12.4328
95.214837 69.905 -7.9546
95.581048 69.942 -1.8120
95.947259 70.055 1.0946
96.313470 70.120 1.3145
96.679681 70.224 0.0527
97.045892 70.293 -0.4730
97.412103 70.271 0.7001
97.778314 70.095 2.7399
98.144525 69.859 4.4587
98.510735 69.735 5.0338
98.876946 69.831 5.3900
99.243157 70.106 6.7609
99.609368 70.396 9.5797
99.975579 70.686 12.2837
100.341790 70.751 12.4177
100.708001 70.475 11.9960
101.074212 70.476 13.1700
101.440423 70.858 13.4952
101.806634 71.039 14.1097
102.172845 71.218 17.0192
102.539055 71.636 19.2697
102.905266 72.122 20.1777
103.271477 72.824 20.1484
103.637688 73.580 17.8414
104.003899 74.050 14.1797
104.370110 74.286 10.1602
104.736321 74.369 5.3755
105.102532 74.273 0.1780
105.468743 73.991 -4.8542
105.834954 73.409 -9.5162
106.201165 72.416 -12.8904
106.567375 71.092 -13.6189
106.933586 69.632 -10.3937
107.299797 68.330 -1.5505
107.666008 67.915 12.9903
108.032219 68.868 25.4621
108.398430 70.109 30.8013
108.764641 71.116 33.6082
109.130852 72.256 35.5836
109.497063 73.371 35.6296
109.863274 74.252 35.3461
110.229485 75.101 34.6586
110.595695 75.862 32.0610
110.961906 76.432 28.5160
111.328117 76.918 25.0007
111.694328 77.278 21.6883
112.060539 77.486 19.2633
112.426750 77.687 17.3516
112.792961 77.884 15.0505
113.159172 78.043 13.0359
113.525383 78.296 11.9115
113.891594 78.679 10.7054
114.257805 79.023 8.6729
114.624015 79.293 6.4683
114.990226 79.691 4.0425
115.356437 80.172 0.1268
115.722648 80.439 -4.5375
116.088859 80.509 -8.2057
116.455070 80.563 -11.4313
116.821281 80.552 -15.1792
117.187492 80.457 -18.9218
117.553703 80.344 -22.4247
117.919914 80.187 -25.4884
118.286124 80.025 -28.0335
118.652335 79.829 -30.7401
119.018546 79.534 -33.0468
119.384757 79.324 -34.5840
119.750968 79.189 -36.5903
120.117179 78.936 -38.5061
120.483390 78.700 -39.6490
120.849601 78.521 -41.2825
121.215812 78.259 -43.1871
121.582023 77.991 -44.7344
121.948234 77.688 -46.1828
122.314444 77.313 -46.7003
122.680655 77.015 -46.4209
123.046866 76.735 -46.1439
123.413077 76.481 -45.0693
123.779288 76.439 -43.8337
124.145499 76.471 -43.5439
124.511710 76.460 -43.1935
124.877921 76.555 -42.4977
125.244132 76.769 -42.7158
125.610343 76.895 -44.0936
125.976554 76.885 -45.2776
126.342764 76.928 -46.0316
126.708975 76.979 -47.3437
127.075186 76.913 -48.3759
127.441397 76.902 -48.9369
127.807608 76.892 -50.3052
128.173819 76.796 -51.5535
128.540030 76.833 -52.7322
128.906241 76.844 -55.0482
129.272452 76.657 -56.7075
129.638663 76.533 -57.4159
130.004874 76.401 -58.8976
130.371084 76.160 -60.2343
130.737295 76.015 -61.6154
131.103506 75.787 -63.6942
131.469717 75.409 -64.4028
131.835928 75.146 -63.8823
132.202139 74.912 -63.5673
132.568350 74.692 -63.1019
132.934561 74.553 -63.1776
133.300772 74.387 -63.3083
133.666983 74.349 -62.8810
134.033194 74.384 -63.3536
134.399404 74.262 -64.2141
134.765615 74.076 -64.9286
135.131826 73.813 -65.7803
135.498037 73.548 -65.8259
135.864248 73.388 -66.1025
136.230459 73.000 -66.4047
136.596670 72.572 -64.1616
136.962881 72.489 -62.2698
137.329092 72.192 -62.4126
137.695303 71.645 -60.2507
138.061514 71.524 -56.1844
138.427724 71.619 -53.7114
138.793935 71.566 -51.0165
139.160146 71.684 -46.8568
139.526357 72.117 -43.7092
139.892568 72.544 -42.0986
140.258779 72.989 -40.2180
140.624990 73.644 -39.1215
140.991201 74.212 -39.8461
141.357412 74.600 -40.5189
141.723623 75.063 -41.2866
142.089833 75.494 -43.1954
142.456044 75.824 -45.0005
142.822255 76.209 -46.7434
143.188466 76.537 -49.2230
143.554677 76.738 -51.6078
143.920888 76.948 -53.9537
144.287099 77.133 -56.9585
144.653310 77.240 -60.3207
145.019521 77.293 -64.0792
145.385732 77.216 -68.3035
145.751943 76.970 -72.2078
146.118153 76.642 -75.2437
146.484364 76.299 -77.8268
146.850575 75.852 -80.4695
147.216786 75.217 -82.4728
147.582997 74.543 -82.9935
147.949208 73.952 -82.5590
148.315419 73.380 -80.7350
148.681630 73.003 -77.0433
149.047841 72.844 -73.3021
149.414052 72.741 -69.3292
149.780263 72.949 -65.2866
150.146473 73.393 -63.3073
150.512684 73.820 -62.4609
150.878895 74.315 -62.1087
151.245106 74.789 -62.9584
151.611317 75.160 -64.4384
151.977528 75.504 -66.5261
152.343739 75.743 -69.2838
152.709950 75.841 -71.7897
153.076161 75.865 -73.9827
153.442372 75.791 -76.2561
153.808583 75.629 -78.5021
154.174793 75.416 -80.5370
154.541004 75.186 -81.6307
154.907215 75.071 -81.7206
155.273426 75.015 -82.0041
155.639637 74.852 -82.3519
156.005848 74.678 -82.1249
156.372059 74.585 -81.8051
156.738270 74.514 -81.1105
157.104481 74.553 -79.4874
157.470692 74.771 -78.0413
157.836903 75.030 -77.5129
158.203113 75.331 -77.3501
158.569324 75.786 -77.9767
158.935535 76.255 -80.0070
159.301746 76.600 -82.4683
159.667957 76.914 -85.0541
160.034168 77.162 -88.6729
160.400379 77.207 -92.7753
160.766590 77.138 -96.3294
161.132801 77.023 -99.6292
161.499012 76.797 -102.4936
161.865223 76.572 -104.5782
162.231433 76.393 -106.9230
162.597644 76.109 -109.3151
162.963855 75.824 -110.6050
163.330066 75.672 -111.8868
163.696277 75.437 -113.8161
164.062488 75.079 -114.9174
164.428699 74.838 -115.0305
