* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 1, 2026, 11:38:43 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of LX Cal file effects included LF tail from 17 Hz at 12 dB/octave No HF tail
* Measurement: LX-MP
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 2.162 169.3557
0.732422 14.446 174.2248
1.098633 21.658 174.6999
1.464844 26.744 173.8178
1.831055 30.622 172.5650
2.197265 33.737 171.4594
2.563476 36.366 170.6337
2.929687 38.673 169.9228
3.295898 40.741 169.0899
3.662109 42.600 168.0388
4.028320 44.267 166.8533
4.394531 45.770 165.6792
4.760742 47.146 164.5935
5.126953 48.427 163.5651
5.493164 49.628 162.5222
5.859375 50.753 161.4355
6.225585 51.806 160.3340
6.591796 52.798 159.2502
6.958007 53.742 158.1711
7.324218 54.640 157.0533
7.690429 55.490 155.8865
8.056640 56.289 154.7260
8.422851 57.046 153.6474
8.789062 57.778 152.6610
9.155273 58.499 151.6785
9.521484 59.204 150.5846
9.887695 59.873 149.3569
10.253905 60.493 148.1100
10.620116 61.072 147.0093
10.986327 61.638 146.1162
11.352538 62.217 145.3050
11.718749 62.806 144.3578
12.084960 63.374 143.1724
12.451171 63.889 141.8826
12.817382 64.349 140.7687
13.183593 64.790 140.0223
13.549804 65.262 139.5460
13.916015 65.776 139.0012
14.282225 66.293 138.1287
14.648436 66.749 137.0504
15.014647 67.118 136.2708
15.380858 67.454 136.3661
15.747069 67.882 137.4888
16.113280 68.524 139.0146
16.479491 69.386 139.8620
16.845702 70.356 139.3211
17.211913 71.301 137.4259
17.578124 72.151 134.6565
17.944335 72.901 131.5078
18.310545 73.586 128.2354
18.676756 74.242 124.8167
19.042967 74.874 121.0866
19.409178 75.460 116.9365
19.775389 75.972 112.4261
20.141600 76.390 107.7553
20.507811 76.722 103.1520
20.874022 76.994 98.7555
21.240233 77.237 94.5554
21.606444 77.468 90.4191
21.972654 77.684 86.1915
22.338865 77.867 81.7956
22.705076 77.997 77.2663
23.071287 78.063 72.7125
23.437498 78.070 68.2477
23.803709 78.028 63.9338
24.169920 77.948 59.7664
24.536131 77.835 55.6985
24.902342 77.686 51.6850
25.268553 77.493 47.7152
25.634764 77.248 43.8183
26.000974 76.945 40.0470
26.367185 76.582 36.4541
26.733396 76.159 33.0790
27.099607 75.670 29.9503
27.465818 75.107 27.1094
27.832029 74.450 24.6559
28.198240 73.677 22.8112
28.564451 72.775 21.9909
28.930662 71.762 22.8517
29.296873 70.737 26.1909
29.663084 69.925 32.4274
30.029294 69.609 40.6287
30.395505 69.890 48.4279
30.761716 70.565 53.8832
31.127927 71.352 56.7153
31.494138 72.085 57.6246
31.860349 72.714 57.3948
32.226560 73.252 56.5407
32.592771 73.728 55.2850
32.958982 74.162 53.6582
33.325193 74.556 51.6259
33.691404 74.900 49.1797
34.057614 75.184 46.3644
34.423825 75.397 43.2592
34.790036 75.536 39.9483
35.156247 75.599 36.5030
35.522458 75.586 32.9827
35.888669 75.492 29.4478
36.254880 75.316 25.9708
36.621091 75.056 22.6407
36.987302 74.713 19.5577
37.353513 74.293 16.8227
37.719724 73.804 14.5277
38.085934 73.257 12.7508
38.452145 72.666 11.5565
38.818356 72.043 10.9993
39.184567 71.405 11.1231
39.550778 70.770 11.9537
39.916989 70.157 13.4874
40.283200 69.586 15.6847
40.649411 69.072 18.4801
41.015622 68.625 21.8024
41.381833 68.256 25.5925
41.748044 67.974 29.7989
42.114254 67.794 34.3520
42.480465 67.728 39.1387
42.846676 67.787 44.0006
43.212887 67.971 48.7584
43.579098 68.269 53.2467
43.945309 68.669 57.3368
44.311520 69.151 60.9437
44.677731 69.699 64.0210
45.043942 70.297 66.5508
45.410153 70.931 68.5311
45.776363 71.592 69.9641
46.142574 72.269 70.8495
46.508785 72.953 71.1861
46.874996 73.634 70.9779
47.241207 74.300 70.2408
47.607418 74.941 69.0055
47.973629 75.547 67.3154
48.339840 76.111 65.2225
48.706051 76.627 62.7826
49.072262 77.092 60.0514
49.438473 77.503 57.0823
49.804683 77.859 53.9251
50.170894 78.161 50.6259
50.537105 78.408 47.2274
50.903316 78.601 43.7694
51.269527 78.742 40.2894
51.635738 78.832 36.8227
52.001949 78.873 33.4020
52.368160 78.868 30.0570
52.734371 78.820 26.8146
53.100582 78.732 23.6981
53.466793 78.608 20.7280
53.833003 78.451 17.9216
54.199214 78.266 15.2931
54.565425 78.054 12.8534
54.931636 77.822 10.6100
55.297847 77.572 8.5669
55.664058 77.308 6.7253
56.030269 77.034 5.0832
56.396480 76.753 3.6366
56.762691 76.467 2.3793
57.128902 76.179 1.3038
57.495113 75.892 0.4017
57.861323 75.607 -0.3354
58.227534 75.326 -0.9162
58.593745 75.051 -1.3493
58.959956 74.783 -1.6435
59.326167 74.523 -1.8072
59.692378 74.272 -1.8477
60.058589 74.031 -1.7713
60.424800 73.802 -1.5834
60.791011 73.585 -1.2895
61.157222 73.383 -0.8961
61.523433 73.196 -0.4114
61.889643 73.029 0.1538
62.255854 72.882 0.7841
62.622065 72.758 1.4581
62.988276 72.659 2.1474
63.354487 72.586 2.8169
63.720698 72.538 3.4283
64.086909 72.513 3.9432
64.453120 72.508 4.3266
64.819331 72.517 4.5494
65.185542 72.534 4.5902
65.551753 72.553 4.4367
65.917963 72.567 4.0868
66.284174 72.570 3.5484
66.650385 72.554 2.8379
67.016596 72.517 1.9767
67.382807 72.452 0.9888
67.749018 72.356 -0.1012
68.115229 72.226 -1.2670
68.481440 72.058 -2.4789
68.847651 71.849 -3.7031
69.213862 71.597 -4.9017
69.580072 71.299 -6.0353
69.946283 70.955 -7.0650
70.312494 70.562 -7.9517
70.678705 70.120 -8.6519
71.044916 69.624 -9.1109
71.411127 69.075 -9.2588
71.777338 68.470 -9.0097
72.143549 67.813 -8.2686
72.509760 67.109 -6.9376
72.875971 66.363 -4.9141
73.242182 65.581 -2.0710
73.608392 64.768 1.7838
73.974603 63.945 6.9474
74.340814 63.163 13.8085
74.707025 62.532 22.6767
75.073236 62.221 33.3750
75.439447 62.378 44.8580
75.805658 63.014 55.5448
76.171869 63.985 64.2902
76.538080 65.116 70.8340
76.904291 66.283 75.4703
77.270502 67.426 78.6194
77.636712 68.522 80.6266
78.002923 69.563 81.7295
78.369134 70.547 82.0870
78.735345 71.473 81.8164
79.101556 72.339 81.0161
79.467767 73.144 79.7743
79.833978 73.889 78.1678
80.200189 74.577 76.2605
80.566400 75.209 74.1027
80.932611 75.788 71.7350
81.298822 76.316 69.1918
81.665032 76.793 66.5049
82.031243 77.222 63.7047
82.397454 77.605 60.8190
82.763665 77.942 57.8725
83.129876 78.237 54.8863
83.496087 78.491 51.8782
83.862298 78.706 48.8644
84.228509 78.884 45.8597
84.594720 79.026 42.8784
84.960931 79.133 39.9338
85.327142 79.208 37.0377
85.693352 79.253 34.2003
86.059563 79.267 31.4312
86.425774 79.254 28.7389
86.791985 79.214 26.1322
87.158196 79.150 23.6194
87.524407 79.061 21.2087
87.890618 78.950 18.9076
88.256829 78.819 16.7233
88.623040 78.668 14.6623
88.989251 78.499 12.7310
89.355462 78.314 10.9358
89.721672 78.115 9.2830
90.087883 77.902 7.7782
90.454094 77.679 6.4269
90.820305 77.446 5.2336
91.186516 77.206 4.2025
91.552727 76.961 3.3366
91.918938 76.713 2.6382
92.285149 76.464 2.1081
92.651360 76.217 1.7457
93.017571 75.975 1.5485
93.383781 75.740 1.5124
93.749992 75.514 1.6311
94.116203 75.301 1.8962
94.482414 75.101 2.2970
94.848625 74.919 2.8200
95.214836 74.755 3.4495
95.581047 74.611 4.1678
95.947258 74.489 4.9553
96.313469 74.390 5.7913
96.679680 74.313 6.6547
97.045891 74.258 7.5238
97.412101 74.225 8.3778
97.778312 74.212 9.1971
98.144523 74.218 9.9639
98.510734 74.241 10.6627
98.876945 74.278 11.2810
99.243156 74.327 11.8092
99.609367 74.384 12.2411
99.975578 74.448 12.5732
100.341789 74.515 12.8052
100.708000 74.583 12.9391
101.074211 74.650 12.9794
101.440421 74.713 12.9329
101.806632 74.770 12.8081
102.172843 74.820 12.6155
102.539054 74.860 12.3670
102.905265 74.891 12.0756
103.271476 74.910 11.7548
103.637687 74.918 11.4189
104.003898 74.915 11.0825
104.370109 74.899 10.7602
104.736320 74.873 10.4668
105.102531 74.836 10.2168
105.468741 74.790 10.0235
105.834952 74.737 9.8991
106.201163 74.679 9.8537
106.567374 74.617 9.8951
106.933585 74.555 10.0285
107.299796 74.494 10.2562
107.666007 74.439 10.5771
108.032218 74.390 10.9863
108.398429 74.352 11.4757
108.764640 74.325 12.0332
109.130851 74.313 12.6439
109.497061 74.316 13.2906
109.863272 74.336 13.9549
110.229483 74.371 14.6182
110.595694 74.423 15.2623
110.961905 74.489 15.8708
111.328116 74.570 16.4292
111.694327 74.662 16.9256
112.060538 74.764 17.3508
112.426749 74.875 17.6984
112.792960 74.991 17.9647
113.159171 75.112 18.1483
113.525381 75.235 18.2499
113.891592 75.359 18.2722
114.257803 75.482 18.2188
114.624014 75.603 18.0949
114.990225 75.720 17.9064
115.356436 75.834 17.6598
115.722647 75.943 17.3618
116.088858 76.046 17.0192
116.455069 76.144 16.6387
116.821280 76.237 16.2264
117.187490 76.324 15.7881
117.553701 76.406 15.3290
117.919912 76.482 14.8539
118.286123 76.553 14.3667
118.652334 76.620 13.8707
119.018545 76.683 13.3681
119.384756 76.742 12.8605
119.750967 76.798 12.3487
120.117178 76.851 11.8330
120.483389 76.902 11.3131
120.849600 76.950 10.7885
121.215810 76.995 10.2584
121.582021 77.039 9.7215
121.948232 77.081 9.1765
122.314443 77.120 8.6220
122.680654 77.158 8.0566
123.046865 77.192 7.4795
123.413076 77.224 6.8900
123.779287 77.253 6.2881
124.145498 77.279 5.6743
124.511709 77.301 5.0495
124.877920 77.318 4.4151
125.244130 77.332 3.7727
125.610341 77.340 3.1247
125.976552 77.344 2.4738
126.342763 77.342 1.8232
126.708974 77.334 1.1768
127.075185 77.322 0.5384
127.441396 77.303 -0.0877
127.807607 77.280 -0.6975
128.173818 77.251 -1.2868
128.540029 77.217 -1.8514
128.906240 77.178 -2.3873
129.272450 77.136 -2.8906
129.638661 77.090 -3.3578
130.004872 77.041 -3.7859
130.371083 76.990 -4.1724
130.737294 76.937 -4.5158
131.103505 76.885 -4.8150
131.469716 76.832 -5.0698
131.835927 76.781 -5.2806
132.202138 76.732 -5.4486
132.568349 76.686 -5.5761
132.934560 76.643 -5.6661
133.300770 76.605 -5.7225
133.666981 76.573 -5.7500
134.033192 76.546 -5.7537
134.399403 76.526 -5.7394
134.765614 76.512 -5.7133
135.131825 76.505 -5.6817
135.498036 76.504 -5.6511
135.864247 76.510 -5.6279
136.230458 76.522 -5.6182
136.596669 76.541 -5.6277
136.962880 76.564 -5.6616
137.329090 76.593 -5.7246
137.695301 76.626 -5.8205
138.061512 76.661 -5.9525
138.427723 76.700 -6.1230
138.793934 76.740 -6.3336
139.160145 76.781 -6.5850
139.526356 76.822 -6.8774
139.892567 76.863 -7.2099
140.258778 76.902 -7.5815
140.624989 76.939 -7.9900
140.991199 76.972 -8.4332
141.357410 77.003 -8.9081
141.723621 77.030 -9.4114
142.089832 77.052 -9.9396
142.456043 77.069 -10.4890
142.822254 77.082 -11.0555
143.188465 77.089 -11.6352
143.554676 77.092 -12.2240
143.920887 77.088 -12.8177
144.287098 77.080 -13.4126
144.653309 77.067 -14.0047
145.019519 77.048 -14.5908
145.385730 77.025 -15.1677
145.751941 76.998 -15.7325
146.118152 76.966 -16.2825
146.484363 76.931 -16.8151
146.850574 76.892 -17.3282
147.216785 76.851 -17.8199
147.582996 76.807 -18.2891
147.949207 76.761 -18.7350
148.315418 76.713 -19.1575
148.681629 76.665 -19.5569
149.047839 76.616 -19.9337
149.414050 76.567 -20.2886
149.780261 76.518 -20.6228
150.146472 76.469 -20.9373
150.512683 76.421 -21.2338
150.878894 76.375 -21.5140
151.245105 76.329 -21.7799
151.611316 76.285 -22.0333
