* Measurement data measured by REW V5.40 beta 133
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Aug 31, 2026, 2:10:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = L-SP B = X801 
* Measurement: LX
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
16.113281 64.496 33.8033
16.479492 67.820 26.2580
16.845703 70.025 18.2380
17.211914 71.436 11.4062
17.578125 72.313 6.7349
17.944336 72.916 4.6207
18.310547 73.487 4.6057
18.676758 74.153 5.4674
19.042969 74.872 6.0688
19.409179 75.523 6.0901
19.775390 76.029 5.9009
20.141601 76.395 6.0243
20.507812 76.681 6.7233
20.874023 76.952 7.8705
21.240234 77.230 9.1151
21.606445 77.495 10.1828
21.972656 77.716 11.0280
22.338867 77.875 11.7543
22.705078 77.979 12.4537
23.071288 78.040 13.1211
23.437499 78.062 13.6873
23.803710 78.039 14.1031
24.169921 77.965 14.3764
24.536132 77.842 14.5361
24.902343 77.679 14.5685
25.268554 77.480 14.3980
25.634765 77.241 13.9317
26.000976 76.949 13.1230
26.367187 76.592 11.9953
26.733398 76.164 10.6068
27.099608 75.667 8.9981
27.465819 75.099 7.1788
27.832030 74.445 5.1884
28.198241 73.680 3.2107
28.564452 72.782 1.6870
28.930663 71.767 1.3644
29.296874 70.735 3.1656
29.663085 69.919 7.6263
30.029296 69.606 13.9052
30.395507 69.890 19.7472
30.761718 70.567 23.3649
31.127928 71.355 24.6196
31.494139 72.087 24.3116
31.860350 72.715 23.2964
32.226561 73.251 22.1352
32.592772 73.726 21.0645
32.958983 74.161 20.0965
33.325194 74.557 19.1606
33.691405 74.903 18.2120
34.057616 75.185 17.2637
34.423827 75.396 16.3591
34.790038 75.533 15.5313
35.156248 75.598 14.7868
35.522459 75.587 14.1190
35.888670 75.495 13.5344
36.254881 75.318 13.0652
36.621092 75.055 12.7625
36.987303 74.710 12.6763
37.353514 74.291 12.8397
37.719725 73.804 13.2679
38.085936 73.260 13.9680
38.452147 72.668 14.9465
38.818358 72.043 16.2018
39.184568 71.402 17.7054
39.550779 70.767 19.3850
39.916990 70.157 21.1251
40.283201 69.588 22.7850
40.649412 69.074 24.2242
41.015623 68.625 25.3206
41.381834 68.254 25.9824
41.748045 67.973 26.1585
42.114256 67.794 25.8481
42.480467 67.730 25.1048
42.846678 67.788 24.0298
43.212888 67.970 22.7575
43.579099 68.268 21.4381
43.945310 68.668 20.2189
44.311521 69.152 19.2267
44.677732 69.699 18.5507
45.043943 70.297 18.2312
45.410154 70.931 18.2582
45.776365 71.592 18.5807
46.142576 72.269 19.1219
46.508787 72.953 19.7961
46.874997 73.634 20.5217
47.241208 74.300 21.2310
47.607419 74.941 21.8765
47.973630 75.547 22.4316
48.339841 76.111 22.8877
48.706052 76.627 23.2479
49.072263 77.091 23.5207
49.438474 77.503 23.7165
49.804685 77.859 23.8465
50.170896 78.161 23.9229
50.537107 78.408 23.9595
50.903317 78.601 23.9707
51.269528 78.742 23.9703
51.635739 78.832 23.9710
52.001950 78.873 23.9845
52.368161 78.868 24.0215
52.734372 78.820 24.0914
53.100583 78.733 24.2018
53.466794 78.608 24.3575
53.833005 78.451 24.5607
54.199216 78.266 24.8110
54.565427 78.054 25.1056
54.931637 77.822 25.4393
55.297848 77.572 25.8041
55.664059 77.308 26.1892
56.030270 77.034 26.5818
56.396481 76.753 26.9676
56.762692 76.467 27.3324
57.128903 76.179 27.6620
57.495114 75.892 27.9434
57.861325 75.607 28.1654
58.227536 75.326 28.3194
58.593747 75.051 28.4005
58.959957 74.783 28.4077
59.326168 74.523 28.3448
59.692379 74.272 28.2203
60.058590 74.031 28.0486
60.424801 73.802 27.8493
60.791012 73.585 27.6463
61.157223 73.383 27.4658
61.523434 73.196 27.3340
61.889645 73.029 27.2750
62.255856 72.882 27.3082
62.622067 72.758 27.4461
62.988277 72.659 27.6916
63.354488 72.586 28.0374
63.720699 72.538 28.4667
64.086910 72.513 28.9571
64.453121 72.508 29.4841
64.819332 72.517 30.0250
65.185543 72.534 30.5607
65.551754 72.553 31.0760
65.917965 72.567 31.5598
66.284176 72.569 32.0057
66.650387 72.555 32.4118
67.016597 72.517 32.7796
67.382808 72.452 33.1114
67.749019 72.356 33.4072
68.115230 72.226 33.6634
68.481441 72.058 33.8734
68.847652 71.850 34.0309
69.213863 71.597 34.1314
69.580074 71.300 34.1702
69.946285 70.955 34.1372
70.312496 70.562 34.0130
70.678706 70.120 33.7709
71.044917 69.625 33.3858
71.411128 69.075 32.8444
71.777339 68.470 32.1469
72.143550 67.812 31.2982
72.509761 67.108 30.2986
72.875972 66.363 29.1514
73.242183 65.582 27.9047
73.608394 64.770 26.7218
73.974605 63.945 25.9451
74.340816 63.161 26.0892
74.707026 62.531 27.6650
75.073237 62.221 30.7725
75.439448 62.378 34.7137
75.805659 63.012 38.2680
76.171870 63.984 40.5718
76.538081 65.116 41.5423
76.904292 66.285 41.5718
77.270503 67.428 41.1148
77.636714 68.521 40.4919
78.002925 69.562 39.8681
78.369136 70.546 39.3042
78.735346 71.473 38.8155
79.101557 72.340 38.4087
79.467768 73.144 38.0912
79.833979 73.889 37.8667
80.200190 74.576 37.7296
80.566401 75.209 37.6665
80.932612 75.788 37.6621
81.298823 76.316 37.7047
81.665034 76.793 37.7879
82.031245 77.222 37.9081
82.397456 77.604 38.0620
82.763666 77.942 38.2449
83.129877 78.237 38.4511
83.496088 78.492 38.6759
83.862299 78.707 38.9161
84.228510 78.884 39.1694
84.594721 79.026 39.4333
84.960932 79.133 39.7049
85.327143 79.208 39.9808
85.693354 79.253 40.2575
86.059565 79.267 40.5322
86.425776 79.254 40.8025
86.791986 79.214 41.0661
87.158197 79.149 41.3211
87.524408 79.061 41.5654
87.890619 78.950 41.7969
88.256830 78.819 42.0144
88.623041 78.668 42.2166
88.989252 78.499 42.4029
89.355463 78.314 42.5730
89.721674 78.115 42.7271
90.087885 77.902 42.8657
90.454096 77.679 42.9900
90.820306 77.446 43.1016
91.186517 77.206 43.2026
91.552728 76.961 43.2956
91.918939 76.713 43.3835
92.285150 76.464 43.4695
92.651361 76.217 43.5570
93.017572 75.975 43.6493
93.383783 75.740 43.7499
93.749994 75.514 43.8624
94.116205 75.301 43.9900
94.482415 75.101 44.1353
94.848626 74.919 44.3003
95.214837 74.755 44.4856
95.581048 74.611 44.6911
95.947259 74.489 44.9157
96.313470 74.390 45.1577
96.679681 74.313 45.4143
97.045892 74.258 45.6822
97.412103 74.225 45.9573
97.778314 74.212 46.2353
98.144525 74.218 46.5120
98.510735 74.241 46.7835
98.876946 74.278 47.0463
99.243157 74.327 47.2976
99.609368 74.384 47.5351
99.975579 74.448 47.7574
100.341790 74.515 47.9637
100.708001 74.583 48.1534
101.074212 74.650 48.3265
101.440423 74.713 48.4833
101.806634 74.770 48.6246
102.172845 74.820 48.7519
102.539055 74.860 48.8671
102.905266 74.891 48.9723
103.271477 74.910 49.0698
103.637688 74.918 49.1620
104.003899 74.915 49.2517
104.370110 74.899 49.3421
104.736321 74.873 49.4368
105.102532 74.836 49.5398
105.468743 74.790 49.6549
105.834954 74.737 49.7856
106.201165 74.679 49.9349
106.567375 74.617 50.1052
106.933586 74.555 50.2979
107.299797 74.494 50.5137
107.666008 74.439 50.7516
108.032219 74.390 51.0097
108.398430 74.352 51.2843
108.764641 74.325 51.5704
109.130852 74.313 51.8619
109.497063 74.316 52.1520
109.863274 74.336 52.4343
110.229485 74.371 52.7029
110.595695 74.423 52.9531
110.961906 74.489 53.1817
111.328117 74.570 53.3870
111.694328 74.662 53.5692
112.060539 74.764 53.7297
112.426750 74.875 53.8713
112.792961 74.991 53.9977
113.159172 75.112 54.1131
113.525383 75.235 54.2218
113.891594 75.359 54.3278
114.257805 75.482 54.4351
114.624015 75.603 54.5471
114.990226 75.720 54.6665
115.356437 75.834 54.7957
115.722648 75.943 54.9362
116.088859 76.046 55.0891
116.455070 76.144 55.2547
116.821281 76.237 55.4327
117.187492 76.324 55.6224
117.553703 76.406 55.8227
117.919914 76.482 56.0321
118.286124 76.553 56.2492
118.652335 76.620 56.4722
119.018546 76.683 56.6992
119.384757 76.742 56.9280
119.750968 76.798 57.1565
120.117179 76.851 57.3828
120.483390 76.902 57.6055
120.849601 76.950 57.8232
121.215812 76.995 58.0350
121.582023 77.039 58.2401
121.948234 77.081 58.4380
122.314444 77.120 58.6284
122.680655 77.158 58.8114
123.046866 77.192 58.9873
123.413077 77.224 59.1570
123.779288 77.253 59.3215
124.145499 77.279 59.4820
124.511710 77.301 59.6398
124.877921 77.318 59.7963
125.244132 77.332 59.9527
125.610343 77.340 60.1099
125.976554 77.344 60.2691
126.342764 77.342 60.4311
126.708975 77.334 60.5970
127.075186 77.322 60.7673
127.441397 77.303 60.9426
127.807608 77.280 61.1230
128.173819 77.251 61.3082
128.540030 77.217 61.4981
128.906241 77.178 61.6922
129.272452 77.136 61.8902
129.638663 77.090 62.0916
130.004874 77.041 62.2956
130.371084 76.990 62.5014
130.737295 76.937 62.7079
131.103506 76.885 62.9144
131.469717 76.832 63.1199
131.835928 76.781 63.3239
132.202139 76.732 63.5257
132.568350 76.686 63.7250
132.934561 76.643 63.9213
133.300772 76.605 64.1144
133.666983 76.573 64.3040
134.033194 76.546 64.4902
134.399404 76.526 64.6733
134.765615 76.512 64.8535
135.131826 76.505 65.0314
135.498037 76.504 65.2074
135.864248 76.510 65.3820
136.230459 76.522 65.5559
136.596670 76.541 65.7297
136.962881 76.564 65.9040
137.329092 76.593 66.0793
137.695303 76.626 66.2562
138.061514 76.661 66.4349
138.427724 76.700 66.6158
138.793935 76.740 66.7991
139.160146 76.781 66.9847
139.526357 76.822 67.1726
139.892568 76.863 67.3627
140.258779 76.902 67.5547
140.624990 76.939 67.7483
140.991201 76.972 67.9432
141.357412 77.003 68.1390
141.723623 77.030 68.3354
142.089833 77.052 68.5319
142.456044 77.069 68.7284
142.822255 77.082 68.9245
143.188466 77.089 69.1199
143.554677 77.092 69.3146
143.920888 77.088 69.5083
144.287099 77.080 69.7012
144.653310 77.067 69.8932
145.019521 77.048 70.0842
145.385732 77.025 70.2741
145.751943 76.998 70.4629
146.118153 76.966 70.6507
146.484364 76.931 70.8379
146.850575 76.892 71.0249
147.216786 76.851 71.2122
147.582997 76.807 71.3998
147.949208 76.761 71.5878
148.315419 76.713 71.7761
148.681630 76.665 71.9644
149.047841 76.616 72.1527
149.414052 76.567 72.3411
149.780263 76.518 72.5294
150.146473 76.469 72.7177
150.512684 76.421 72.9061
150.878895 76.375 73.0944
151.245106 76.329 73.2827
151.611317 76.285 73.4710
151.977528 76.243 73.6592
152.343739 76.202 73.8475
152.709950 76.163 74.0359
153.076161 76.125 74.2248
153.442372 76.089 74.4141
153.808583 76.055 74.6043
154.174793 76.023 74.7956
154.541004 75.991 74.9879
154.907215 75.961 75.1814
155.273426 75.933 75.3758
155.639637 75.905 75.5709
156.005848 75.878 75.7666
156.372059 75.852 75.9627
156.738270 75.826 76.1591
157.104481 75.800 76.3558
157.470692 75.774 76.5528
157.836903 75.747 76.7502
158.203113 75.720 76.9475
158.569324 75.692 77.1447
158.935535 75.663 77.3413
159.301746 75.633 77.5372
159.667957 75.601 77.7320
160.034168 75.568 77.9256
160.400379 75.533 78.1181
160.766590 75.496 78.3095
161.132801 75.457 78.4997
161.499012 75.415 78.6888
161.865223 75.371 78.8770
162.231433 75.325 79.0643
162.597644 75.276 79.2510
162.963855 75.225 79.4372
163.330066 75.171 79.6230
163.696277 75.114 79.8088
164.062488 75.054 79.9947
164.428699 74.992 80.1812
164.794910 74.928 80.3686
165.161121 74.861 80.5571
165.527332 74.791 80.7469
165.893542 74.719 80.9381
166.259753 74.645 81.1309
166.625964 74.568 81.3254
166.992175 74.490 81.5217
167.358386 74.410 81.7200
167.724597 74.328 81.9202
168.090808 74.245 82.1222
168.457019 74.160 82.3257
168.823230 74.074 82.5306
169.189441 73.988 82.7363
169.555652 73.901 82.9426
