* Measurement data measured by REW V5.40 beta 133
* Source: U18dB [plughw:2,0], Mic (Mic), R, Volume: 1.000. Timing signal peak level -26.9 dBFS, measurement signal peak level -16.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 28, 2026, 2:35:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 28 aug 2026 Multi point measurement Position 3: Main Listener  4.51m from front wall 3.63m from L and R speakers 2 screen panels prolongation - new setup DAC level -28dB MIC HEIGHT: 1.060m mic boom arm height: 1.040 PICTURES: 2026.08.25_ROOM.png measurement starts from 16Hz (REW LF tail starts from 16) -12dBFS OKTO -28dB DELAY 0.0279 ms (9.6 mm, 0.38 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.2 ppm
* Measurement: R MPM.0.a
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 16.113281 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
16.113281 70.288 -166.3157
16.230045 70.399 -168.6625
16.347654 70.536 -171.3149
16.466116 70.691 -174.1251
16.585436 70.906 -177.1459
16.705621 71.157 179.6866
16.826677 71.382 176.7792
16.948610 71.546 174.2218
17.071427 71.660 171.8454
17.195133 71.731 169.8637
17.319736 71.755 168.4454
17.445242 71.747 167.4260
17.571658 71.759 166.5563
17.698989 71.822 165.8344
17.827243 71.921 165.2506
17.956427 72.035 164.4874
18.086547 72.156 163.5120
18.217609 72.291 162.3818
18.349622 72.446 161.0294
18.482590 72.623 159.4803
18.616523 72.825 157.7703
18.751426 73.061 155.8767
18.887307 73.325 153.7893
19.024172 73.560 151.6754
19.162029 73.722 149.5706
19.300885 73.828 147.4225
19.440747 73.903 145.3498
19.581622 73.950 143.4016
19.723519 74.007 141.4251
19.866444 74.126 139.2582
20.010404 74.293 136.9429
20.155408 74.425 134.6416
20.301462 74.486 132.2088
20.448575 74.479 129.8746
20.596754 74.390 128.1089
20.746006 74.238 126.7918
20.896340 74.147 125.7708
21.047764 74.174 125.2233
21.200285 74.279 124.7567
21.353911 74.429 123.8746
21.508650 74.607 122.7571
21.664511 74.759 121.3316
21.821501 74.877 119.5581
21.979628 75.012 117.7060
22.138902 75.199 115.8507
22.299329 75.406 114.0234
22.460919 75.593 112.3382
22.623680 75.756 110.7521
22.787621 75.881 109.2650
22.952749 75.971 107.8718
23.119074 76.076 106.4294
23.286605 76.209 104.8977
23.455349 76.326 103.3257
23.625316 76.400 101.6835
23.796515 76.455 100.0653
23.968954 76.509 98.6255
24.142643 76.608 97.2213
24.317591 76.809 95.7360
24.493806 77.060 94.1568
24.671298 77.274 92.2373
24.850077 77.435 90.0878
25.030151 77.521 87.8425
25.211529 77.563 85.4836
25.394223 77.636 83.2485
25.578240 77.749 81.0727
25.763590 77.903 78.9066
25.950284 78.097 76.7408
26.138330 78.331 74.3094
26.327739 78.581 71.7192
26.518521 78.803 68.9262
26.710685 78.952 66.0499
26.904242 78.962 63.4532
27.099201 78.918 60.8763
27.295573 78.930 58.4446
27.493368 79.083 55.4323
27.692596 79.432 51.3916
27.893268 79.786 46.4340
28.095394 80.033 40.2595
28.298985 80.056 34.1530
28.504051 79.842 27.8749
28.710603 79.466 22.6338
28.918652 78.993 18.0652
29.128209 78.521 14.4672
29.339284 78.080 11.2479
29.551888 77.690 8.0936
29.766033 77.332 4.7118
29.981730 76.979 1.0750
30.198990 76.566 -2.3994
30.417825 76.073 -5.5541
30.638245 75.494 -7.9883
30.860262 74.884 -9.8666
31.083888 74.263 -11.1418
31.309135 73.613 -12.1890
31.536014 72.933 -12.8915
31.764537 72.236 -13.1769
31.994716 71.636 -12.8071
32.226563 71.189 -11.7814
32.460089 70.924 -10.4183
32.695309 70.792 -9.1893
32.932232 70.733 -8.3104
33.170873 70.654 -7.7751
33.411243 70.533 -7.3531
33.653354 70.390 -6.9105
33.897220 70.326 -6.4286
34.142854 70.360 -6.1796
34.390267 70.489 -6.3737
34.639473 70.685 -7.3987
34.890485 70.905 -9.2651
35.143316 71.084 -11.9410
35.397979 71.099 -15.1388
35.654487 70.930 -18.4681
35.912854 70.602 -21.7933
36.173093 70.175 -24.9069
36.435218 69.642 -27.7246
36.699243 69.006 -30.0377
36.965181 68.290 -31.4995
37.233046 67.571 -31.5831
37.502852 66.896 -30.1909
37.774613 66.319 -27.3698
38.048343 65.907 -23.5017
38.324057 65.696 -18.9905
38.601769 65.773 -14.5269
38.881494 66.213 -11.1310
39.163245 66.982 -9.6594
39.447038 67.785 -10.2844
39.732888 68.481 -12.7136
40.020808 69.029 -16.7880
40.310816 69.357 -22.4529
40.602924 69.275 -29.6278
40.897150 68.634 -37.0890
41.193508 67.515 -43.3535
41.492013 66.146 -46.6376
41.792681 64.903 -44.9775
42.095528 64.283 -39.4791
42.400570 64.540 -35.4774
42.707822 65.081 -34.6353
43.017300 65.465 -35.1812
43.329021 65.723 -35.6356
43.643001 66.058 -35.8813
43.959256 66.411 -37.1802
44.277803 66.554 -40.3623
44.598658 66.517 -44.4528
44.921839 66.409 -47.7046
45.247361 66.391 -48.5873
45.575242 66.690 -46.8944
45.905499 67.459 -43.9053
46.238149 68.668 -43.4207
46.573210 70.107 -47.2755
46.910698 71.460 -55.1140
47.250633 72.528 -65.4169
47.593030 73.326 -76.8156
47.937909 73.859 -88.4178
48.285287 74.113 -99.6312
48.635182 74.261 -110.1624
48.987612 74.476 -120.1376
49.342597 74.652 -129.8992
49.700154 74.733 -139.8192
50.060301 74.974 -150.4058
50.423059 75.484 -162.0852
50.788445 76.010 -174.6976
51.156479 76.332 172.3114
51.527180 76.419 159.3279
51.900567 76.307 146.4937
52.276660 76.078 133.9116
52.655478 75.780 121.6509
53.037042 75.317 109.6813
53.421370 74.578 98.1251
53.808483 73.591 87.5947
54.198402 72.440 79.0065
54.591146 71.158 72.8368
54.986736 69.730 68.7098
55.385192 68.155 65.8002
55.786536 66.552 63.6169
56.190788 65.058 62.6057
56.597970 63.714 63.7916
57.008102 62.529 67.5987
57.421206 61.534 74.0852
57.837304 60.924 84.6250
58.256417 61.047 99.6270
58.678567 61.885 113.7264
59.103776 62.856 122.3069
59.532067 63.651 126.5760
59.963460 64.460 129.7078
60.397980 65.688 133.9703
60.835649 67.398 138.9976
61.276489 69.329 142.7029
61.720524 71.311 142.9122
62.167776 73.171 138.5955
62.618270 74.726 130.6909
63.072027 75.846 121.0341
63.529073 76.551 111.0710
63.989431 76.963 101.8230
64.453125 77.207 93.9719
64.920179 77.406 87.5306
65.390617 77.633 81.6912
65.864465 77.902 75.4036
66.341746 78.147 68.2548
66.822485 78.245 60.4692
67.306709 78.121 52.5456
67.794441 77.799 45.1306
68.285707 77.367 38.7435
68.780534 76.905 33.1390
69.278946 76.407 27.2879
69.780970 75.790 20.7574
70.286631 75.004 14.3702
70.795957 74.026 9.1414
71.308974 72.881 5.2421
71.825708 71.585 2.5331
72.346187 70.134 1.4334
72.870437 68.506 2.3888
73.398486 66.645 6.5745
73.930362 64.989 21.5534
74.466092 65.262 65.0810
75.005704 67.787 96.8459
75.549226 70.677 102.8741
76.096687 73.196 100.5115
76.648115 75.320 95.2745
77.203539 77.137 88.8952
77.762987 78.746 81.7059
78.326490 80.203 73.4708
78.894076 81.508 63.5958
79.465775 82.589 51.5975
80.041617 83.340 37.5947
80.621631 83.637 22.7072
81.205849 83.395 8.1620
81.794300 82.654 -4.7401
82.387015 81.556 -15.2484
82.984025 80.296 -23.1130
83.585362 79.005 -28.6988
84.191056 77.758 -32.1860
84.801139 76.618 -33.7150
85.415643 75.642 -33.7323
86.034600 74.907 -33.1030
86.658042 74.502 -33.0645
87.286002 74.418 -34.8119
87.918512 74.405 -38.9130
88.555606 74.129 -45.7471
89.197317 73.341 -55.1576
89.843677 71.888 -64.9750
90.494721 69.697 -71.2347
91.150484 66.887 -67.3923
91.810997 64.366 -38.7617
92.476298 63.881 -2.4600
93.146419 64.947 6.9651
93.821397 65.931 3.9585
94.501265 66.525 -0.1761
95.186060 66.881 -0.4368
95.875818 67.187 1.6556
96.570573 67.533 2.4865
97.270363 67.786 1.6412
97.975225 67.807 0.3629
98.685194 67.584 -0.4334
99.400307 67.209 0.4695
100.120603 66.728 3.2174
100.846118 66.162 8.6113
101.576890 65.968 18.7861
102.312958 66.606 31.6142
103.054360 67.823 39.9142
103.801135 69.014 41.9244
104.553320 69.938 41.7889
105.310957 70.767 42.8306
106.074084 71.776 45.4736
106.842740 72.994 47.4330
107.616967 74.251 46.5616
108.396804 75.430 43.7878
109.182291 76.560 40.8531
109.973471 77.679 37.2376
110.770384 78.705 31.9083
111.573072 79.507 25.1465
112.381577 80.057 18.1601
113.195940 80.493 12.3745
114.016204 81.036 7.7790
114.842413 81.748 2.3615
115.674608 82.434 -5.2606
116.512834 82.862 -14.5507
117.357134 82.945 -24.4931
118.207552 82.726 -33.8228
119.064133 82.326 -41.6525
119.926921 81.894 -48.2429
120.795961 81.491 -54.6516
121.671298 81.021 -61.7833
122.552979 80.327 -69.4053
123.441048 79.323 -76.1347
124.335553 78.056 -79.9275
125.236539 76.772 -79.0075
126.144055 75.861 -74.3663
127.058147 75.506 -70.3748
127.978862 75.521 -69.7005
128.906250 75.631 -71.3655
129.840358 75.655 -73.8596
130.781235 75.537 -76.5046
131.728929 75.333 -78.7542
132.683491 75.167 -80.6968
133.644971 75.097 -83.6193
134.613417 74.980 -88.9609
135.588882 74.527 -97.0800
136.571415 73.467 -106.1967
137.561067 71.685 -111.7068
138.557891 69.491 -104.7053
139.561939 68.102 -79.3629
140.573262 68.538 -60.4908
141.591914 69.785 -55.7333
142.617948 70.907 -56.5516
143.651416 71.696 -59.3339
144.692373 72.162 -63.4940
145.740874 72.354 -67.3298
146.796972 72.449 -68.6052
147.860724 72.673 -68.4312
148.932184 73.011 -69.6254
150.011408 73.295 -72.2823
151.098452 73.498 -74.7545
152.193374 73.721 -76.2153
153.296230 74.041 -77.4354
154.407077 74.476 -79.1138
155.525975 75.016 -81.2839
156.652980 75.636 -84.4738
157.788152 76.274 -89.6147
158.931550 76.790 -97.1743
160.083234 77.050 -106.4154
161.243263 77.024 -115.7209
162.411698 76.780 -124.0156
163.588600 76.409 -131.4911
164.774030 75.970 -138.7911
165.968051 75.463 -146.1837
167.170724 74.855 -153.6649
168.382112 74.116 -161.0752
169.602278 73.225 -168.0918
170.831286 72.187 -173.9738
172.069200 71.078 -178.2168
173.316084 70.060 178.8623
174.572004 69.215 176.0088
175.837025 68.434 172.3994
177.111212 67.656 170.0864
178.394633 67.219 172.0071
179.687354 67.624 174.5029
180.989443 68.662 171.2693
182.300967 69.811 162.5486
183.621995 70.876 150.7375
184.952596 71.828 136.4982
186.292838 72.623 120.2518
187.642793 73.292 103.8086
189.002530 73.936 87.6427
190.372120 74.525 70.2749
191.751635 74.908 51.8573
193.141147 75.004 33.9186
194.540727 74.798 17.1573
195.950449 74.261 1.9420
197.370387 73.502 -9.0742
198.800614 72.946 -14.3167
200.241205 72.945 -18.2883
201.692236 73.245 -26.2157
203.153781 73.326 -37.9397
204.625917 72.863 -51.0167
206.108721 71.743 -61.6735
207.602269 70.166 -64.0320
209.106641 69.008 -53.4911
210.621914 69.173 -42.8043
212.148167 70.087 -42.1234
213.685480 70.906 -46.5634
215.233933 71.424 -51.8700
216.793607 71.736 -56.3092
218.364583 71.992 -60.1664
219.946943 72.236 -64.1366
221.540769 72.464 -68.3436
223.146145 72.684 -72.3563
224.763154 72.993 -75.1118
226.391880 73.509 -77.9095
228.032409 74.102 -83.8121
229.684826 74.493 -92.7227
231.349217 74.537 -102.5767
233.025668 74.243 -112.2914
234.714269 73.652 -121.1105
236.415105 72.862 -127.7756
238.128266 72.080 -132.5137
239.853842 71.414 -138.1024
241.591922 70.706 -146.6033
243.342596 69.603 -158.7737
245.105957 67.762 -173.3324
246.882096 65.266 175.6025
248.671105 64.048 -78.2191
250.473079 66.157 -49.3453
252.288110 69.055 -58.9573
254.116293 71.225 -73.9012
255.957725 72.466 -91.4086
257.812500 72.825 -109.0293
