* Measurement data measured by REW V5.40 beta 133
* Source: U18dB [plughw:2,0], Mic (Mic), R, Volume: 1.000. Timing signal peak level -27.1 dBFS, measurement signal peak level -17.6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 28, 2026, 2:46:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 28 aug 2026 Multi point measurement Position 2: +20cm further BACK 4.716m from front wall 3.80m from L and R speakers 2 screen panels prolongation - new setup DAC level -28dB MIC HEIGHT: 1.060m mic boom arm height: 1.040 PICTURES: 2026.08.25_ROOM.png measurement starts from 16Hz (REW LF tail starts from 16) -12dBFS OKTO -28dB DELAY 0.0264 ms (9.1 mm, 0.36 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.2 ppm
* Measurement: R MPM.2
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 16.113281 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
16.113281 71.894 -171.9116
16.230045 72.031 -173.2682
16.347654 72.187 -174.6719
16.466116 72.337 -176.1462
16.585436 72.479 -177.7082
16.705621 72.615 -179.3513
16.826677 72.747 178.9487
16.948610 72.879 177.1923
17.071427 73.012 175.3740
17.195133 73.145 173.5486
17.319736 73.282 171.7355
17.445242 73.421 169.9187
17.571658 73.561 168.1371
17.698989 73.702 166.4050
17.827243 73.843 164.7057
17.956427 73.982 163.0344
18.086547 74.119 161.3952
18.217609 74.252 159.7707
18.349622 74.381 158.1295
18.482590 74.506 156.4734
18.616523 74.626 154.7896
18.751426 74.743 153.0548
18.887307 74.858 151.2688
19.024172 74.970 149.4421
19.162029 75.079 147.5673
19.300885 75.188 145.6478
19.440747 75.293 143.7213
19.581622 75.396 141.7701
19.723519 75.495 139.8214
19.866444 75.590 137.9061
20.010404 75.680 136.0034
20.155408 75.765 134.1493
20.301462 75.843 132.3423
20.448575 75.915 130.5782
20.596754 75.984 128.8708
20.746006 76.048 127.2098
20.896340 76.111 125.5869
21.047764 76.175 124.0039
21.200285 76.241 122.4467
21.353911 76.311 120.9017
21.508650 76.388 119.3725
21.664511 76.470 117.8352
21.821501 76.561 116.2939
21.979628 76.656 114.7411
22.138902 76.758 113.1679
22.299329 76.862 111.5830
22.460919 76.967 109.9808
22.623680 77.072 108.3646
22.787621 77.173 106.7439
22.952749 77.271 105.1122
23.119074 77.363 103.4793
23.286605 77.451 101.8409
23.455349 77.537 100.1941
23.625316 77.621 98.5384
23.796515 77.708 96.8630
23.968954 77.799 95.1624
24.142643 77.898 93.4309
24.317591 78.007 91.6552
24.493806 78.127 89.8389
24.671298 78.259 87.9666
24.850077 78.402 86.0468
25.030151 78.554 84.0655
25.211529 78.713 82.0294
25.394223 78.874 79.9236
25.578240 79.037 77.7503
25.763590 79.196 75.4918
25.950284 79.351 73.1464
26.138330 79.499 70.6958
26.327739 79.639 68.1373
26.518521 79.770 65.4569
26.710685 79.890 62.6545
26.904242 79.999 59.7221
27.099201 80.093 56.6679
27.295573 80.172 53.4835
27.493368 80.233 50.1950
27.692596 80.273 46.7849
27.893268 80.290 43.3062
28.095394 80.282 39.7314
28.298985 80.247 36.1395
28.504051 80.183 32.5018
28.710603 80.089 28.9035
28.918652 79.964 25.3313
29.128209 79.808 21.8449
29.339284 79.618 18.4578
29.551888 79.392 15.1863
29.766033 79.134 12.0590
29.981730 78.839 9.0703
30.198990 78.513 6.2418
30.417825 78.156 3.5680
30.638245 77.773 1.0657
30.860262 77.372 -1.2657
31.083888 76.957 -3.4023
31.309135 76.538 -5.3428
31.536014 76.122 -7.0742
31.764537 75.717 -8.5773
31.994716 75.331 -9.8813
32.226563 74.969 -10.9744
32.460089 74.638 -11.8928
32.695309 74.339 -12.6775
32.932232 74.075 -13.3468
33.170873 73.845 -13.9684
33.411243 73.648 -14.5769
33.653354 73.480 -15.2050
33.897220 73.336 -15.9022
34.142854 73.210 -16.6858
34.390267 73.097 -17.5747
34.639473 72.988 -18.5818
34.890485 72.879 -19.6986
35.143316 72.762 -20.9196
35.397979 72.631 -22.2052
35.654487 72.484 -23.5200
35.912854 72.318 -24.8343
36.173093 72.133 -26.1060
36.435218 71.929 -27.2833
36.699243 71.712 -28.3322
36.965181 71.485 -29.2145
37.233046 71.259 -29.9028
37.502852 71.043 -30.3964
37.774613 70.847 -30.7074
38.048343 70.683 -30.8689
38.324057 70.559 -30.9590
38.601769 70.479 -31.0565
38.881494 70.442 -31.2394
39.163245 70.444 -31.5853
39.447038 70.475 -32.1615
39.732888 70.523 -32.9915
40.020808 70.577 -34.0774
40.310816 70.625 -35.4066
40.602924 70.661 -36.9528
40.897150 70.678 -38.6743
41.193508 70.678 -40.5396
41.492013 70.663 -42.5267
41.792681 70.637 -44.6240
42.095528 70.607 -46.8309
42.400570 70.583 -49.1642
42.707822 70.569 -51.6542
43.017300 70.573 -54.3367
43.329021 70.596 -57.2488
43.643001 70.642 -60.4249
43.959256 70.709 -63.8928
44.277803 70.799 -67.6702
44.598658 70.909 -71.7616
44.921839 71.038 -76.1571
45.247361 71.182 -80.8378
45.575242 71.338 -85.7779
45.905499 71.500 -90.9513
46.238149 71.663 -96.3358
46.573210 71.820 -101.9186
46.910698 71.966 -107.6995
47.250633 72.095 -113.6894
47.593030 72.205 -119.9070
47.937909 72.296 -126.3708
48.285287 72.370 -133.0917
48.635182 72.431 -140.0670
48.987612 72.482 -147.2759
49.342597 72.524 -154.6805
49.700154 72.557 -162.2319
50.060301 72.577 -169.8799
50.423059 72.579 -177.5768
50.788445 72.557 174.7176
51.156479 72.502 167.0387
51.527180 72.409 159.4207
51.900567 72.272 151.9015
52.276660 72.085 144.5260
52.655478 71.845 137.3488
53.037042 71.548 130.4339
53.421370 71.193 123.8554
53.808483 70.776 117.6961
54.198402 70.297 112.0483
54.591146 69.756 107.0170
54.986736 69.155 102.7214
55.385192 68.499 99.3013
55.786536 67.801 96.9211
56.190788 67.083 95.7692
56.597970 66.381 96.0405
57.008102 65.754 97.8849
57.421206 65.281 101.3041
57.837304 65.050 106.0186
58.256417 65.128 111.4075
58.678567 65.528 116.6547
59.103776 66.198 121.0336
59.532067 67.056 124.1250
59.963460 68.018 125.8188
60.397980 69.019 126.1949
60.835649 70.017 125.4137
61.276489 70.983 123.6525
61.720524 71.901 121.0699
62.167776 72.757 117.8076
62.618270 73.546 113.9908
63.072027 74.264 109.7284
63.529073 74.908 105.1109
63.989431 75.478 100.2175
64.453125 75.974 95.1162
64.920179 76.395 89.8586
65.390617 76.745 84.4854
65.864465 77.023 79.0391
66.341746 77.229 73.5565
66.822485 77.364 68.0612
67.306709 77.427 62.5888
67.794441 77.417 57.1791
68.285707 77.332 51.8627
68.780534 77.171 46.6872
69.278946 76.931 41.7112
69.780970 76.609 36.9911
70.286631 76.203 32.6133
70.795957 75.709 28.6830
71.308974 75.125 25.3368
71.825708 74.454 22.7678
72.346187 73.706 21.2320
72.870437 72.906 21.0658
73.398486 72.113 22.6536
73.930362 71.433 26.2946
74.466092 71.020 31.8632
75.005704 71.014 38.4913
75.549226 71.453 44.6631
76.096687 72.230 49.1043
76.648115 73.182 51.2839
77.203539 74.168 51.3507
77.762987 75.102 49.6886
78.326490 75.939 46.7110
78.894076 76.658 42.7645
79.465775 77.254 38.1242
80.041617 77.726 33.0102
80.621631 78.078 27.6057
81.205849 78.318 22.0525
81.794300 78.453 16.4858
82.387015 78.491 11.0000
82.984025 78.444 5.6816
83.585362 78.321 0.5885
84.191056 78.133 -4.2452
84.801139 77.892 -8.8029
85.415643 77.605 -13.0923
86.034600 77.282 -17.1336
86.658042 76.928 -20.9556
87.286002 76.548 -24.5894
87.918512 76.142 -28.0592
88.555606 75.713 -31.3787
89.197317 75.259 -34.5497
89.843677 74.780 -37.5635
90.494721 74.277 -40.4062
91.150484 73.748 -43.0631
91.810997 73.190 -45.5251
92.476298 72.602 -47.7870
93.146419 71.978 -49.8451
93.821397 71.311 -51.6935
94.501265 70.592 -53.3179
95.186060 69.811 -54.6898
95.875818 68.955 -55.7635
96.570573 68.011 -56.4684
97.270363 66.959 -56.6990
97.975225 65.774 -56.2844
98.685194 64.417 -54.9227
99.400307 62.842 -52.0338
100.120603 61.002 -46.4158
100.846118 58.960 -35.5066
101.576890 57.257 -14.9249
102.312958 57.274 14.5114
103.054360 59.277 38.1774
103.801135 61.864 50.6174
104.553320 64.273 56.0909
105.310957 66.376 57.8226
106.074084 68.199 57.3911
106.842740 69.791 55.5807
107.616967 71.190 52.8185
108.396804 72.428 49.3599
109.182291 73.525 45.3720
109.973471 74.499 40.9702
110.770384 75.361 36.2390
111.573072 76.122 31.2431
112.381577 76.788 26.0352
113.195940 77.364 20.6597
114.016204 77.854 15.1565
114.842413 78.260 9.5660
115.674608 78.584 3.9307
116.512834 78.827 -1.7035
117.357134 78.990 -7.2894
118.207552 79.077 -12.7739
119.064133 79.089 -18.1003
119.926921 79.034 -23.2139
120.795961 78.917 -28.0598
121.671298 78.747 -32.5891
122.552979 78.535 -36.7644
123.441048 78.292 -40.5644
124.335553 78.032 -43.9907
125.236539 77.767 -47.0728
126.144055 77.510 -49.8687
127.058147 77.268 -52.4595
127.978862 77.044 -54.9393
128.906250 76.836 -57.4006
129.840358 76.637 -59.9210
130.781235 76.438 -62.5523
131.728929 76.225 -65.3143
132.683491 75.984 -68.1923
133.644971 75.703 -71.1386
134.613417 75.371 -74.0746
135.588882 74.981 -76.8952
136.571415 74.528 -79.4742
137.561067 74.017 -81.6707
138.557891 73.457 -83.3412
139.561939 72.863 -84.3547
140.573262 72.261 -84.6109
141.591914 71.683 -84.0636
142.617948 71.161 -82.7383
143.651416 70.731 -80.7402
144.692373 70.421 -78.2465
145.740874 70.250 -75.4815
146.796972 70.223 -72.6893
147.860724 70.337 -70.1091
148.932184 70.579 -67.9575
150.011408 70.927 -66.4143
151.098452 71.353 -65.6086
152.193374 71.830 -65.6131
153.296230 72.328 -66.4463
154.407077 72.822 -68.0834
155.525975 73.293 -70.4683
156.652980 73.721 -73.5264
157.788152 74.095 -77.1737
158.931550 74.403 -81.3236
160.083234 74.641 -85.8915
161.243263 74.804 -90.7969
162.411698 74.889 -95.9641
163.588600 74.897 -101.3230
164.774030 74.829 -106.8099
165.968051 74.688 -112.3683
167.170724 74.477 -117.9486
168.382112 74.202 -123.5093
169.602278 73.869 -129.0198
170.831286 73.486 -134.4646
172.069200 73.061 -139.8455
173.316084 72.604 -145.1885
174.572004 72.125 -150.5487
175.837025 71.633 -156.0139
177.111212 71.135 -161.7029
178.394633 70.634 -167.7649
179.687354 70.133 -174.3684
180.989443 69.630 178.3091
182.300967 69.122 170.0941
183.621995 68.611 160.8276
184.952596 68.107 150.3777
186.292838 67.630 138.6613
187.642793 67.212 125.6838
189.002530 66.896 111.5916
190.372120 66.721 96.7104
191.751635 66.710 81.5251
193.141147 66.854 66.5698
194.540727 67.118 52.2903
195.950449 67.449 38.9624
197.370387 67.798 26.6979
198.800614 68.125 15.5009
200.241205 68.399 5.3289
201.692236 68.604 -3.8633
203.153781 68.732 -12.0999
204.625917 68.782 -19.3754
206.108721 68.764 -25.6608
207.602269 68.695 -30.9215
209.106641 68.603 -35.1453
210.621914 68.522 -38.3799
212.148167 68.485 -40.7631
213.685480 68.523 -42.5303
215.233933 68.647 -43.9797
216.793607 68.857 -45.4083
218.364583 69.133 -47.0490
219.946943 69.452 -49.0408
221.540769 69.787 -51.4358
223.146145 70.118 -54.2238
224.763154 70.426 -57.3575
226.391880 70.699 -60.7714
228.032409 70.930 -64.3922
229.684826 71.111 -68.1436
231.349217 71.240 -71.9493
233.025668 71.315 -75.7330
234.714269 71.340 -79.4218
236.415105 71.317 -82.9458
238.128266 71.254 -86.2402
239.853842 71.162 -89.2517
241.591922 71.056 -91.9460
243.342596 70.950 -94.3202
245.105957 70.861 -96.4147
246.882096 70.804 -98.3190
248.671105 70.786 -100.1620
250.473079 70.803 -102.0844
252.288110 70.844 -104.2015
254.116293 70.891 -106.5737
255.957725 70.926 -109.1934
257.812500 70.931 -111.9935
