* Measurement data measured by REW V5.40 beta 133
* Source: Vector average
* Format: Vector average
* Dated: Aug 31, 2026, 1:37:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Vector average of R MPM.0, R MPM.0.a
* Measurement: R.C
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
16.113281 69.869 -173.7939
16.479492 70.223 -179.8048
16.845703 70.565 174.4133
17.211914 70.904 169.3741
17.578125 71.247 165.0605
17.944336 71.595 161.0839
18.310547 71.958 157.0841
18.676758 72.328 152.9091
19.042969 72.682 148.5819
19.409179 72.991 144.1820
19.775390 73.238 139.7712
20.141601 73.430 135.4541
20.507812 73.590 131.3670
20.874023 73.750 127.5800
21.240234 73.939 124.0460
21.606445 74.170 120.6273
21.972656 74.446 117.1962
22.338867 74.747 113.7288
22.705078 75.049 110.2507
23.071288 75.333 106.7665
23.437499 75.593 103.2324
23.803710 75.841 99.5792
24.169921 76.091 95.7651
24.536132 76.351 91.7848
24.902343 76.621 87.6285
25.268554 76.894 83.2696
25.634765 77.163 78.6745
26.000976 77.421 73.8172
26.367187 77.657 68.6859
26.733398 77.850 63.2598
27.099608 77.985 57.5019
27.465819 78.044 51.3997
27.832030 78.018 45.0020
28.198241 77.902 38.4295
28.564452 77.689 31.8524
28.930663 77.376 25.4368
29.296874 76.970 19.3275
29.663085 76.477 13.6560
30.029296 75.911 8.5339
30.395507 75.281 4.0465
30.761718 74.603 0.2449
31.127928 73.899 -2.8512
31.494139 73.199 -5.2346
31.860350 72.531 -6.9069
32.226561 71.926 -7.9287
32.592772 71.404 -8.4376
32.958983 70.976 -8.6441
33.325194 70.643 -8.7911
33.691405 70.393 -9.0767
34.057616 70.205 -9.6392
34.423827 70.044 -10.5631
34.790038 69.882 -11.8667
35.156248 69.697 -13.5129
35.522459 69.470 -15.3535
35.888670 69.199 -17.1979
36.254881 68.882 -18.8726
36.621092 68.524 -20.2281
36.987303 68.145 -21.1643
37.353514 67.776 -21.6474
37.719725 67.448 -21.7023
38.085936 67.187 -21.4614
38.452147 66.996 -21.1718
38.818358 66.869 -21.1099
39.184568 66.785 -21.5038
39.550779 66.721 -22.4462
39.916990 66.650 -23.8893
40.283201 66.552 -25.7261
40.649412 66.418 -27.8218
41.015623 66.254 -30.0300
41.381834 66.081 -32.2091
41.748045 65.918 -34.2248
42.114256 65.784 -36.0201
42.480467 65.690 -37.6520
42.846678 65.649 -39.2366
43.212888 65.671 -40.9084
43.579099 65.760 -42.7693
43.945310 65.909 -44.8912
44.311521 66.112 -47.3746
44.677732 66.362 -50.3279
45.043943 66.654 -53.8364
45.410154 66.984 -57.9574
45.776365 67.339 -62.7144
46.142576 67.701 -68.1377
46.508787 68.058 -74.2679
46.874997 68.404 -81.1025
47.241208 68.734 -88.5845
47.607419 69.045 -96.6268
47.973630 69.327 -105.1428
48.339841 69.583 -114.0686
48.706052 69.813 -123.3364
49.072263 70.021 -132.8469
49.438474 70.206 -142.5026
49.804685 70.365 -152.2352
50.170896 70.497 -161.9910
50.537107 70.603 -171.7076
50.903317 70.682 178.7006
51.269528 70.728 169.3223
51.635739 70.736 160.2152
52.001950 70.698 151.4206
52.368161 70.611 142.9955
52.734372 70.471 135.0049
53.100583 70.273 127.5040
53.466794 70.008 120.5283
53.833005 69.677 114.0981
54.199216 69.281 108.2549
54.565427 68.824 103.0687
54.931637 68.306 98.6050
55.297848 67.731 94.9243
55.664059 67.110 92.0949
56.030270 66.462 90.2079
56.396481 65.810 89.3950
56.762692 65.186 89.7802
57.128903 64.630 91.4136
57.495114 64.197 94.2369
57.861325 63.952 98.0216
58.227536 63.941 102.3730
58.593747 64.179 106.7942
58.959957 64.643 110.7768
59.326168 65.278 113.9492
59.692379 66.025 116.1233
60.058590 66.835 117.2753
60.424801 67.668 117.5013
60.791012 68.496 116.9274
61.157223 69.293 115.6707
61.523434 70.050 113.8323
61.889645 70.758 111.4987
62.255856 71.414 108.7623
62.622067 72.015 105.7111
62.988277 72.561 102.4087
63.354488 73.046 98.9028
63.720699 73.475 95.2320
64.086910 73.850 91.4355
64.453121 74.172 87.5585
64.819332 74.442 83.6354
65.185543 74.661 79.6863
65.551754 74.831 75.7289
65.917965 74.954 71.7833
66.284176 75.033 67.8755
66.650387 75.068 64.0318
67.016597 75.057 60.2672
67.382808 75.004 56.5933
67.749019 74.906 53.0286
68.115230 74.768 49.5985
68.481441 74.588 46.3336
68.847652 74.365 43.2608
69.213863 74.100 40.4026
69.580074 73.793 37.7925
69.946285 73.449 35.4792
70.312496 73.066 33.5227
70.678706 72.648 31.9911
71.044917 72.199 30.9531
71.411128 71.729 30.4871
71.777339 71.252 30.6885
72.143550 70.792 31.6498
72.509761 70.373 33.4349
72.875972 70.035 36.0342
73.242183 69.818 39.3244
73.608394 69.759 43.0654
73.974605 69.880 46.9160
74.340816 70.177 50.5033
74.707026 70.620 53.5103
75.073237 71.170 55.7245
75.439448 71.783 57.0624
75.805659 72.425 57.5438
76.171870 73.066 57.2471
76.538081 73.687 56.2761
76.904292 74.274 54.7280
77.270503 74.817 52.6874
77.636714 75.314 50.2359
78.002925 75.762 47.4484
78.369136 76.160 44.3918
78.735346 76.506 41.1220
79.101557 76.800 37.6801
79.467768 77.044 34.1042
79.833979 77.239 30.4343
80.200190 77.386 26.7075
80.566401 77.485 22.9565
80.932612 77.539 19.2059
81.298823 77.550 15.4755
81.665034 77.519 11.7891
82.031245 77.449 8.1713
82.397456 77.342 4.6416
82.763666 77.201 1.2141
83.129877 77.027 -2.1033
83.496088 76.823 -5.3008
83.862299 76.592 -8.3648
84.228510 76.338 -11.2859
84.594721 76.060 -14.0612
84.960932 75.762 -16.6924
85.327143 75.444 -19.1816
85.693354 75.110 -21.5245
86.059565 74.760 -23.7153
86.425776 74.394 -25.7548
86.791986 74.011 -27.6459
87.158197 73.612 -29.3901
87.524408 73.200 -30.9808
87.890619 72.771 -32.4013
88.256830 72.327 -33.6378
88.623041 71.864 -34.6794
88.989252 71.387 -35.5118
89.355463 70.894 -36.1139
89.721674 70.391 -36.4518
90.087885 69.879 -36.4904
90.454096 69.362 -36.2068
90.820306 68.845 -35.5833
91.186517 68.337 -34.6075
91.552728 67.849 -33.2688
91.918939 67.390 -31.5609
92.285150 66.971 -29.5079
92.651361 66.598 -27.1615
93.017572 66.280 -24.5924
93.383783 66.023 -21.8809
93.749994 65.828 -19.0943
94.116205 65.692 -16.2991
94.482415 65.609 -13.5631
94.848626 65.567 -10.9406
95.214837 65.562 -8.4715
95.581048 65.585 -6.1616
95.947259 65.630 -3.9901
96.313470 65.687 -1.9379
96.679681 65.752 0.0154
97.045892 65.821 1.8846
97.412103 65.893 3.6902
97.778314 65.972 5.4704
98.144525 66.056 7.2581
98.510735 66.147 9.0734
98.876946 66.247 10.9225
99.243157 66.359 12.7976
99.609368 66.489 14.6993
99.975579 66.643 16.6290
100.341790 66.820 18.5746
100.708001 67.024 20.5138
101.074212 67.257 22.4064
101.440423 67.517 24.2156
101.806634 67.808 25.9184
102.172845 68.127 27.4930
102.539055 68.470 28.9199
102.905266 68.833 30.1741
103.271477 69.213 31.2308
103.637688 69.608 32.0825
104.003899 70.015 32.7310
104.370110 70.430 33.1816
104.736321 70.848 33.4388
105.102532 71.265 33.4999
105.468743 71.682 33.3688
105.834954 72.095 33.0575
106.201165 72.504 32.5800
106.567375 72.908 31.9489
106.933586 73.302 31.1702
107.299797 73.686 30.2469
107.666008 74.061 29.1890
108.032219 74.426 28.0090
108.398430 74.780 26.7184
108.764641 75.122 25.3251
109.130852 75.451 23.8312
109.497063 75.767 22.2421
109.863274 76.072 20.5676
110.229485 76.362 18.8172
110.595695 76.641 16.9977
110.961906 76.904 15.1123
111.328117 77.154 13.1626
111.694328 77.391 11.1559
112.060539 77.615 9.1003
112.426750 77.824 7.0016
112.792961 78.020 4.8633
113.159172 78.201 2.6862
113.525383 78.368 0.4746
113.891594 78.522 -1.7643
114.257805 78.661 -4.0247
114.624015 78.787 -6.3031
114.990226 78.899 -8.5980
115.356437 78.995 -10.9070
115.722648 79.079 -13.2238
116.088859 79.148 -15.5416
116.455070 79.203 -17.8571
116.821281 79.244 -20.1679
117.187492 79.271 -22.4720
117.553703 79.285 -24.7646
117.919914 79.285 -27.0384
118.286124 79.272 -29.2890
118.652335 79.246 -31.5138
119.018546 79.207 -33.7107
119.384757 79.156 -35.8762
119.750968 79.093 -38.0035
120.117179 79.019 -40.0869
120.483390 78.934 -42.1243
120.849601 78.838 -44.1140
121.215812 78.731 -46.0533
121.582023 78.616 -47.9379
121.948234 78.493 -49.7612
122.314444 78.362 -51.5214
122.680655 78.222 -53.2189
123.046866 78.076 -54.8528
123.413077 77.926 -56.4210
123.779288 77.770 -57.9196
124.145499 77.610 -59.3472
124.511710 77.448 -60.7068
124.877921 77.281 -62.0013
125.244132 77.115 -63.2322
125.610343 76.948 -64.3996
125.976554 76.781 -65.5031
126.342764 76.614 -66.5482
126.708975 76.448 -67.5417
127.075186 76.283 -68.4879
127.441397 76.121 -69.3898
127.807608 75.960 -70.2482
128.173819 75.802 -71.0673
128.540030 75.645 -71.8550
128.906241 75.490 -72.6165
129.272452 75.337 -73.3542
129.638663 75.185 -74.0682
130.004874 75.034 -74.7582
130.371084 74.884 -75.4284
130.737295 74.733 -76.0832
131.103506 74.582 -76.7220
131.469717 74.431 -77.3418
131.835928 74.278 -77.9379
132.202139 74.123 -78.5080
132.568350 73.965 -79.0538
132.934561 73.805 -79.5729
133.300772 73.643 -80.0590
133.666983 73.479 -80.5040
134.033194 73.311 -80.9006
134.399404 73.141 -81.2471
134.765615 72.968 -81.5415
135.131826 72.795 -81.7770
135.498037 72.621 -81.9454
135.864248 72.448 -82.0378
136.230459 72.275 -82.0513
136.596670 72.105 -81.9881
136.962881 71.938 -81.8468
137.329092 71.778 -81.6245
137.695303 71.626 -81.3183
138.061514 71.482 -80.9292
138.427724 71.349 -80.4675
138.793935 71.227 -79.9441
139.160146 71.120 -79.3665
139.526357 71.029 -78.7423
139.892568 70.953 -78.0795
140.258779 70.893 -77.3933
140.624990 70.850 -76.7036
140.991201 70.823 -76.0244
141.357412 70.813 -75.3666
141.723623 70.819 -74.7378
142.089833 70.839 -74.1465
142.456044 70.871 -73.6079
142.822255 70.915 -73.1326
143.188466 70.970 -72.7249
143.554677 71.035 -72.3856
143.920888 71.108 -72.1125
144.287099 71.187 -71.9092
144.653310 71.270 -71.7811
145.019521 71.357 -71.7277
145.385732 71.448 -71.7450
145.751943 71.543 -71.8264
146.118153 71.638 -71.9680
146.484364 71.734 -72.1722
146.850575 71.829 -72.4392
147.216786 71.925 -72.7649
147.582997 72.020 -73.1434
147.949208 72.116 -73.5688
148.315419 72.210 -74.0414
148.681630 72.302 -74.5636
149.047841 72.394 -75.1340
149.414052 72.485 -75.7486
149.780263 72.574 -76.4019
150.146473 72.661 -77.0927
150.512684 72.747 -77.8248
150.878895 72.830 -78.5989
151.245106 72.912 -79.4131
151.611317 72.992 -80.2635
151.977528 73.069 -81.1471
152.343739 73.144 -82.0667
152.709950 73.217 -83.0255
153.076161 73.286 -84.0226
153.442372 73.354 -85.0552
153.808583 73.417 -86.1199
154.174793 73.478 -87.2169
154.541004 73.535 -88.3502
154.907215 73.589 -89.5205
155.273426 73.639 -90.7247
155.639637 73.685 -91.9598
156.005848 73.727 -93.2234
156.372059 73.765 -94.5185
156.738270 73.798 -95.8472
157.104481 73.826 -97.2064
157.470692 73.849 -98.5928
157.836903 73.867 -100.0032
158.203113 73.880 -101.4377
158.569324 73.886 -102.8993
158.935535 73.888 -104.3864
159.301746 73.885 -105.8946
159.667957 73.875 -107.4209
160.034168 73.859 -108.9633
160.400379 73.837 -110.5239
160.766590 73.809 -112.1036
161.132801 73.775 -113.6980
161.499012 73.735 -115.3030
161.865223 73.690 -116.9166
162.231433 73.637 -118.5392
162.597644 73.578 -120.1733
162.963855 73.514 -121.8164
163.330066 73.444 -123.4633
163.696277 73.369 -125.1118
164.062488 73.286 -126.7617
