* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Aug 31, 2026, 4:22:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of Fr Cal file effects not included LF tail from 17 Hz at 24 dB/octave No HF tail
* Measurement: R.Filter
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 -97.988 21.4631
0.732422 -96.091 28.1839
1.098633 -90.514 7.8894
1.464844 -82.041 -9.8453
1.831055 -74.331 -18.3210
2.197265 -67.866 -23.2767
2.563476 -62.409 -27.0727
2.929687 -57.699 -30.4670
3.295898 -53.565 -33.7641
3.662109 -49.882 -37.0471
4.028320 -46.560 -40.3756
4.394531 -43.534 -43.7533
4.760742 -40.755 -47.1890
5.126953 -38.184 -50.6787
5.493164 -35.791 -54.2209
5.859375 -33.553 -57.8083
6.225585 -31.449 -61.4401
6.591796 -29.465 -65.1102
6.958007 -27.588 -68.8185
7.324218 -25.806 -72.5634
7.690429 -24.110 -76.3465
8.056640 -22.493 -80.1694
8.422851 -20.948 -84.0355
8.789062 -19.469 -87.9493
9.155273 -18.050 -91.9158
9.521484 -16.688 -95.9406
9.887695 -15.377 -100.0304
10.253905 -14.114 -104.1918
10.620116 -12.895 -108.4327
10.986327 -11.718 -112.7620
11.352538 -10.579 -117.1898
11.718749 -9.477 -121.7283
12.084960 -8.408 -126.3928
12.451171 -7.370 -131.2027
12.817382 -6.363 -136.1841
13.183593 -5.384 -141.3732
13.549804 -4.432 -146.8237
13.916015 -3.505 -152.6250
14.282225 -2.603 -158.9634
14.648436 -1.788 -166.4763
15.014647 -1.232 -174.2406
15.380858 -0.839 178.4730
15.747069 -0.550 171.7047
16.113280 -0.335 165.4158
16.479491 -0.176 159.5529
16.845702 -0.058 154.0461
17.211913 0.006 148.7417
17.578124 0.002 144.1434
17.944335 0.001 139.9866
18.310545 0.000 136.1581
18.676756 -0.000 132.5986
19.042967 -0.001 129.2712
19.409178 -0.000 126.1444
19.775389 -0.000 123.1927
20.141600 -0.000 120.4004
20.507811 0.000 117.7487
20.874022 0.000 115.2260
21.240233 0.000 112.8186
21.606444 0.000 110.5170
21.972654 0.000 108.3112
22.338865 0.000 106.1915
22.705076 0.000 104.1495
23.071287 -0.000 102.1740
23.437498 -0.000 100.2495
23.803709 -0.002 98.3421
24.169920 -0.019 96.4181
24.536131 -0.064 94.6229
24.902342 -0.118 93.0624
25.268553 -0.168 91.7048
25.634764 -0.208 90.5318
26.000974 -0.228 89.5196
26.367185 -0.220 88.6196
26.733396 -0.173 87.7263
27.099607 -0.089 86.6188
27.465818 -0.020 85.1336
27.832029 -0.002 83.6357
28.198240 0.000 82.2951
28.564451 -0.000 81.0508
28.930662 -0.000 79.8660
29.296873 -0.000 78.7283
29.663084 0.000 77.6324
30.029294 -0.000 76.5712
30.395505 -0.000 75.5407
30.761716 0.000 74.5421
31.127927 0.000 73.5712
31.494138 0.000 72.6257
31.860349 0.000 71.7067
32.226560 0.000 70.8102
32.592771 0.000 69.9368
32.958982 -0.000 69.0849
33.325193 0.000 68.2533
33.691404 -0.000 67.4419
34.057614 -0.000 66.6490
34.423825 -0.000 65.8748
34.790036 -0.000 65.1178
35.156247 -0.000 64.3780
35.522458 0.000 63.6546
35.888669 -0.000 62.9467
36.254880 0.000 62.2545
36.621091 0.000 61.5765
36.987302 0.000 60.9130
37.353513 0.000 60.2631
37.719724 0.000 59.6262
38.085934 0.000 59.0023
38.452145 0.000 58.3906
38.818356 -0.000 57.7907
39.184567 -0.000 57.2025
39.550778 -0.000 56.6255
39.916989 -0.000 56.0593
40.283200 -0.000 55.5037
40.649411 -0.000 54.9583
41.015622 -0.000 54.4230
41.381833 0.000 53.8973
41.748044 0.000 53.3810
42.114254 0.000 52.8738
42.480465 0.000 52.3755
42.846676 0.000 51.8858
43.212887 0.000 51.4043
43.579098 -0.000 50.9309
43.945309 -0.000 50.4653
44.311520 -0.000 50.0074
44.677731 -0.000 49.5568
45.043942 -0.000 49.1135
45.410153 -0.000 48.6773
45.776363 -0.000 48.2479
46.142574 -0.000 47.8253
46.508785 0.000 47.4092
46.874996 0.000 46.9995
47.241207 0.000 46.5959
47.607418 0.000 46.1984
47.973629 0.000 45.8067
48.339840 0.000 45.4208
48.706051 0.000 45.0404
49.072262 -0.000 44.6653
49.438473 -0.000 44.2956
49.804683 -0.000 43.9310
50.170894 -0.000 43.5714
50.537105 -0.000 43.2166
50.903316 -0.000 42.8668
51.269527 -0.000 42.5215
51.635738 -0.000 42.1809
52.001949 0.000 41.8446
52.368160 0.000 41.5128
52.734371 0.000 41.1852
53.100582 0.000 40.8616
53.466793 0.000 40.5421
53.833003 0.000 40.2265
54.199214 0.000 39.9147
54.565425 -0.000 39.6066
54.931636 -0.000 39.3021
55.297847 -0.000 39.0012
55.664058 -0.000 38.7036
56.030269 -0.000 38.4095
56.396480 -0.000 38.1187
56.762691 -0.000 37.8311
57.128902 0.000 37.5466
57.495113 0.000 37.2651
57.861323 0.000 36.9867
58.227534 0.000 36.7110
58.593745 0.000 36.4382
58.959956 0.000 36.1681
59.326167 0.000 35.9007
59.692378 0.000 35.6359
60.058589 -0.000 35.3735
60.424800 -0.000 35.1135
60.791011 -0.000 34.8559
61.157222 -0.000 34.6005
61.523433 -0.000 34.3474
61.889643 -0.000 34.0964
62.255854 0.000 33.8474
62.622065 0.000 33.6005
62.988276 0.000 33.3555
63.354487 0.000 33.1122
63.720698 0.000 32.8708
64.086909 0.000 32.6310
64.453120 0.000 32.3929
64.819331 0.000 32.1562
65.185542 0.000 31.9209
65.551753 -0.000 31.6870
65.917963 -0.000 31.4543
66.284174 -0.000 31.2228
66.650385 0.000 30.9923
67.016596 -0.000 30.7628
67.382807 0.000 30.5341
67.749018 0.000 30.3061
68.115229 0.000 30.0787
68.481440 0.000 29.8518
68.847651 0.000 29.6252
69.213862 0.000 29.3987
69.580072 0.000 29.1722
69.946283 0.000 28.9454
70.312494 0.000 28.7182
70.678705 0.000 28.4904
71.044916 0.000 28.2615
71.411127 -0.000 28.0314
71.777338 0.000 27.7997
72.143549 -0.000 27.5659
72.509760 0.000 27.3296
72.875971 0.000 27.0901
73.242182 0.000 26.8469
73.608392 0.000 26.5989
73.974603 0.000 26.3453
74.340814 0.000 26.0846
74.707025 -0.000 25.8149
75.073236 -0.000 25.5342
75.439447 -0.000 25.2389
75.805658 -0.000 24.9236
76.171869 -0.001 24.5820
76.538080 -0.003 24.2029
76.904291 -0.008 23.7685
77.270502 -0.020 23.2772
77.636712 -0.046 22.7113
78.002923 -0.093 22.1176
78.369134 -0.168 21.5487
78.735345 -0.266 21.1053
79.101556 -0.383 20.8408
79.467767 -0.502 20.7786
79.833978 -0.616 20.9142
80.200189 -0.716 21.1956
80.566400 -0.799 21.5992
80.932611 -0.864 22.0847
81.298822 -0.909 22.6227
81.665032 -0.935 23.1870
82.031243 -0.942 23.7522
82.397454 -0.933 24.3032
82.763665 -0.909 24.8259
83.129876 -0.871 25.3200
83.496087 -0.817 25.7785
83.862298 -0.747 26.1803
84.228509 -0.659 26.4971
84.594720 -0.558 26.6699
84.960931 -0.448 26.6802
85.327142 -0.344 26.5009
85.693352 -0.250 26.1740
86.059563 -0.178 25.7457
86.425774 -0.122 25.2898
86.791985 -0.082 24.8264
87.158196 -0.052 24.3839
87.524407 -0.031 23.9575
87.890618 -0.017 23.5524
88.256829 -0.009 23.1764
88.623040 -0.004 22.8250
88.989251 -0.002 22.5029
89.355462 -0.001 22.2009
89.721672 -0.000 21.9177
90.087883 -0.000 21.6472
90.454094 -0.000 21.3873
90.820305 -0.000 21.1353
91.186516 -0.000 20.8892
91.552727 0.000 20.6479
91.918938 0.000 20.4102
92.285149 0.000 20.1753
92.651360 0.000 19.9424
93.017571 0.000 19.7109
93.383781 0.000 19.4802
93.749992 0.000 19.2498
94.116203 0.000 19.0193
94.482414 0.000 18.7882
94.848625 0.000 18.5561
95.214836 0.000 18.3226
95.581047 0.000 18.0874
95.947258 0.000 17.8500
96.313469 -0.000 17.6101
96.679680 0.000 17.3672
97.045891 0.000 17.1210
97.412101 0.000 16.8710
97.778312 0.000 16.6167
98.144523 0.000 16.3578
98.510734 0.000 16.0936
98.876945 0.000 15.8237
99.243156 0.000 15.5475
99.609367 0.000 15.2642
99.975578 0.000 14.9731
100.341789 0.000 14.6736
100.708000 0.000 14.3646
101.074211 0.000 14.0452
101.440421 -0.000 13.7142
101.806632 -0.000 13.3704
102.172843 0.000 13.0123
102.539054 0.000 12.6381
102.905265 -0.000 12.2458
103.271476 -0.000 11.8330
103.637687 -0.000 11.3967
104.003898 -0.000 10.9330
104.370109 -0.000 10.4376
104.736320 -0.000 9.9037
105.102531 -0.001 9.3246
105.468741 -0.003 8.6878
105.834952 -0.007 7.9816
106.201163 -0.013 7.1910
106.567374 -0.029 6.2903
106.933585 -0.054 5.2909
107.299796 -0.101 4.1465
107.666007 -0.174 2.9375
108.032218 -0.280 1.6475
108.398429 -0.429 0.3772
108.764640 -0.614 -0.7841
109.130851 -0.834 -1.8164
109.497061 -1.083 -2.6069
109.863272 -1.344 -3.1801
110.229483 -1.618 -3.5141
110.595694 -1.889 -3.6167
110.961905 -2.159 -3.5294
111.328116 -2.420 -3.2499
111.694327 -2.671 -2.8215
112.060538 -2.911 -2.2466
112.426749 -3.138 -1.5536
112.792960 -3.352 -0.7487
113.159171 -3.551 0.1492
113.525381 -3.737 1.1307
113.891592 -3.908 2.1841
114.257803 -4.065 3.2988
114.624014 -4.207 4.4667
114.990225 -4.335 5.6796
115.356436 -4.448 6.9308
115.722647 -4.548 8.2135
116.088858 -4.633 9.5222
116.455069 -4.705 10.8503
116.821280 -4.762 12.1921
117.187490 -4.806 13.5422
117.553701 -4.837 14.8943
117.919912 -4.854 16.2429
118.286123 -4.857 17.5829
118.652334 -4.849 18.9075
119.018545 -4.827 20.2137
119.384756 -4.793 21.4935
119.750967 -4.748 22.7444
120.117178 -4.691 23.9604
120.483389 -4.624 25.1360
120.849600 -4.547 26.2704
121.215810 -4.460 27.3545
121.582021 -4.364 28.3906
121.948232 -4.260 29.3704
122.314443 -4.150 30.2933
122.680654 -4.032 31.1588
123.046865 -3.908 31.9598
123.413076 -3.780 32.7028
123.779287 -3.647 33.3793
124.145498 -3.511 33.9941
124.511709 -3.373 34.5467
124.877920 -3.232 35.0344
125.244130 -3.091 35.4654
125.610341 -2.949 35.8346
125.976552 -2.807 36.1485
126.342763 -2.666 36.4088
126.708974 -2.526 36.6160
127.075185 -2.387 36.7770
127.441396 -2.250 36.8916
127.807607 -2.115 36.9634
128.173818 -1.982 36.9962
128.540029 -1.851 36.9912
128.906240 -1.722 36.9503
129.272450 -1.595 36.8759
129.638661 -1.469 36.7673
130.004872 -1.344 36.6238
130.371083 -1.221 36.4454
130.737294 -1.099 36.2286
131.103505 -0.978 35.9662
131.469716 -0.859 35.6599
131.835927 -0.741 35.2995
132.202138 -0.628 34.8732
132.568349 -0.520 34.3988
132.934560 -0.418 33.8565
133.300770 -0.327 33.2522
133.666981 -0.248 32.6186
134.033192 -0.180 31.9550
134.399403 -0.126 31.2766
134.765614 -0.086 30.6175
135.131825 -0.056 29.9934
135.498036 -0.035 29.3935
135.864247 -0.022 28.8438
136.230458 -0.013 28.3438
136.596669 -0.007 27.8748
136.962880 -0.004 27.4487
137.329090 -0.002 27.0555
137.695301 -0.001 26.6875
138.061512 -0.001 26.3458
138.427723 -0.000 26.0239
138.793934 -0.000 25.7196
139.160145 -0.000 25.4313
139.526356 -0.000 25.1563
139.892567 -0.000 24.8934
140.258778 -0.000 24.6414
140.624989 0.000 24.3988
140.991199 0.000 24.1650
141.357410 0.000 23.9391
141.723621 -0.000 23.7203
142.089832 0.000 23.5081
142.456043 0.000 23.3018
142.822254 0.000 23.1008
143.188465 0.000 22.9048
143.554676 0.000 22.7131
143.920887 0.000 22.5255
144.287098 0.000 22.3416
144.653309 0.000 22.1608
145.019519 0.000 21.9828
145.385730 0.000 21.8073
