* Measurement data measured by REW V5.40 beta 133
* Source: U18dB [plughw:2,0], Mic (Mic), R, Volume: 1.000. Timing signal peak level -26.8 dBFS, measurement signal peak level -16.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 28, 2026, 2:32:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 28 aug 2026 Multi point measurement Position 3: Main Listener  4.51m from front wall 3.63m from L and R speakers 2 screen panels prolongation - new setup DAC level -28dB MIC HEIGHT: 1.060m mic boom arm height: 1.040 PICTURES: 2026.08.25_ROOM.png measurement starts from 16Hz (REW LF tail starts from 16) -12dBFS OKTO -28dB DELAY 0.0001 ms (0.02 mm, 0 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -15.1 ppm
* Measurement: R.MPM.0
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
16.113281 71.009 -172.6369
16.479492 71.673 174.9733
16.845703 71.193 164.0970
17.211914 70.451 164.2152
17.578125 71.266 166.7814
17.944336 72.158 160.8930
18.310547 72.302 154.7468
18.676758 72.613 151.8767
19.042969 73.144 148.2521
19.409179 73.431 144.7464
19.775390 73.814 141.5313
20.141601 74.216 135.4045
20.507812 74.133 128.2444
20.874023 73.682 124.6889
21.240234 73.558 125.0819
21.606445 74.031 124.0756
21.972656 74.578 119.6314
22.338867 75.049 115.3211
22.705078 75.679 111.8321
23.071288 76.063 107.4670
23.437499 75.940 104.2792
23.803710 75.935 101.9958
24.169921 76.145 97.2586
24.536132 76.371 93.0659
24.902343 77.015 90.3211
25.268554 77.579 85.0033
25.634765 77.465 80.0860
26.000976 77.599 78.1232
26.367187 78.443 72.7971
26.733398 78.960 64.3561
27.099608 78.980 59.4221
27.465819 79.332 57.1945
27.832030 79.950 50.1468
28.198241 80.053 37.9792
28.564452 79.552 25.9308
28.930663 78.862 17.0687
29.296874 78.118 10.1992
29.663085 77.203 5.1138
30.029296 76.513 1.2746
30.395507 75.906 -4.8483
30.761718 74.682 -9.9329
31.127928 73.517 -9.4327
31.494139 72.871 -11.3159
31.860350 71.530 -15.3193
32.226561 70.404 -11.3906
32.592772 70.784 -8.2678
32.958983 70.761 -9.6379
33.325194 70.182 -7.2147
33.691405 69.954 -3.9105
34.057616 69.913 -3.1172
34.423827 70.123 -3.7697
34.790038 70.438 -5.8054
35.156248 70.663 -8.3910
35.522459 70.754 -13.0233
35.888670 70.501 -19.9508
36.254881 69.939 -26.5189
36.621092 69.168 -30.0146
36.987303 68.430 -29.6950
37.353514 67.645 -30.0818
37.719725 66.124 -29.1415
38.085936 65.442 -20.5129
38.452147 66.145 -17.4667
38.818358 66.100 -13.3542
39.184568 67.140 -3.4249
39.550779 68.375 -6.2488
39.916990 68.034 -13.8069
40.283201 67.837 -20.1838
40.649412 68.155 -32.8079
41.015623 67.632 -45.5482
41.381834 66.624 -50.9832
41.748045 65.161 -53.3297
42.114256 63.080 -42.6102
42.480467 64.434 -27.9181
42.846678 65.824 -32.8834
43.212888 65.690 -36.6083
43.579099 65.912 -36.5527
43.945310 66.102 -39.7767
44.311521 66.224 -43.3895
44.677732 66.374 -52.3210
45.043943 65.397 -61.8497
45.410154 64.339 -58.2380
45.776365 65.096 -48.0059
46.142576 66.911 -38.7721
46.508787 69.397 -38.0374
46.874997 70.992 -47.2144
47.241208 72.003 -58.9820
47.607419 73.274 -73.8230
47.973630 74.079 -90.5602
48.339841 74.122 -102.6245
48.706052 74.336 -111.4859
49.072263 74.687 -123.9988
49.438474 74.930 -136.0664
49.804685 75.715 -145.5640
50.170896 76.390 -157.3421
50.537107 76.113 -168.6637
50.903317 75.875 -177.4127
51.269528 76.347 169.5887
51.635739 76.605 153.4182
52.001950 76.420 140.8629
52.368161 76.220 130.5836
52.734372 75.817 117.9171
53.100583 75.052 104.2018
53.466794 74.198 92.2892
53.833005 73.233 82.9999
54.199216 72.005 76.0097
54.565427 70.470 69.7227
54.931637 68.670 65.0604
55.297848 67.325 63.9595
55.664059 66.539 62.1723
56.030270 65.220 60.5627
56.396481 63.518 64.5381
56.762692 62.305 70.9412
57.128903 61.259 75.0269
57.495114 59.780 79.2560
57.861325 58.184 89.7026
58.227536 57.895 103.5241
58.593747 58.869 112.7039
58.959957 60.661 116.1583
59.326168 62.069 115.7337
59.692379 62.610 120.1391
60.058590 63.317 129.4051
60.424801 64.216 137.0315
60.791012 65.327 142.2869
61.157223 66.647 144.4813
61.523434 68.318 147.0233
61.889645 70.630 146.2189
62.255856 72.564 140.1976
62.622067 74.073 133.7242
62.988277 75.634 125.2671
63.354488 76.592 113.9677
63.720699 76.681 105.7018
64.086910 76.808 101.6604
64.453121 77.103 95.4724
64.819332 76.999 88.6729
65.185543 77.084 84.8108
65.551754 77.558 80.2153
65.917965 77.801 74.8867
66.284176 77.995 70.2799
66.650387 78.247 63.7847
67.016597 78.252 56.1006
67.382808 78.116 49.4326
67.749019 77.857 43.4179
68.115230 77.368 38.5837
68.481441 76.913 34.9827
68.847652 76.585 31.1146
69.213863 76.321 27.2953
69.580074 76.097 22.9417
69.946285 75.578 17.7007
70.312496 74.752 13.2164
70.678706 73.868 8.8935
71.044917 72.792 5.1141
71.411128 71.803 4.2087
71.777339 71.111 2.8560
72.143550 70.017 0.3665
72.509761 68.655 0.7505
72.875972 67.438 1.9036
73.242183 65.764 3.7938
73.608394 63.591 10.3586
73.974605 60.667 23.0405
74.340816 57.862 58.0253
74.707026 60.651 95.4781
75.073237 64.546 106.3525
75.439448 67.574 107.3007
75.805659 70.080 105.6068
76.171870 72.246 101.8605
76.538081 73.832 97.1236
76.904292 75.090 93.8810
77.270503 76.419 90.1797
77.636714 77.521 84.6634
78.002925 78.397 79.7681
78.369136 79.405 75.0281
78.735346 80.413 69.0660
79.101557 81.352 62.6732
79.467768 82.284 54.8984
79.833979 82.968 45.1879
80.200190 83.365 34.9756
80.566401 83.615 24.3008
80.932612 83.563 12.9655
81.298823 83.107 2.5847
81.665034 82.419 -6.3250
82.031245 81.483 -14.1870
82.397456 80.397 -19.2032
82.763666 79.679 -22.2602
83.129877 79.051 -26.8849
83.496088 78.078 -30.2387
83.862299 77.332 -31.0438
84.228510 76.738 -33.4205
84.594721 75.843 -34.9382
84.960932 75.219 -34.5850
85.327143 74.639 -36.0271
85.693354 73.824 -34.8438
86.059565 73.782 -31.5387
86.425776 73.950 -32.6639
86.791986 73.596 -33.3812
87.158197 73.492 -32.0793
87.524408 73.645 -33.8214
87.890619 73.622 -37.2680
88.256830 73.653 -40.6685
88.623041 73.695 -45.3306
88.989252 73.427 -52.0400
89.355463 72.534 -60.5612
89.721674 70.960 -67.7258
90.087885 69.396 -70.9935
90.454096 67.946 -74.9446
90.820306 65.300 -78.8151
91.186517 61.449 -73.1863
91.552728 57.909 -57.2352
91.918939 56.463 -26.8095
92.285150 59.328 -7.5560
92.651361 61.519 1.3671
93.017572 63.937 10.4285
93.383783 65.452 7.8614
93.749994 65.049 3.8655
94.116205 65.560 2.2589
94.482415 67.099 -10.4963
94.848626 66.852 -22.6729
95.214837 65.235 -13.3922
95.581048 66.018 4.1108
95.947259 66.552 8.4525
96.313470 66.548 11.3491
96.679681 67.224 9.2454
97.045892 67.627 4.3021
97.412103 67.690 3.7375
97.778314 67.653 4.2029
98.144525 67.154 2.8396
98.510735 66.611 0.5109
98.876946 66.370 -2.4446
99.243157 66.197 -1.6376
99.609368 66.355 3.8536
99.975579 66.596 6.7984
100.341790 66.024 5.4384
100.708001 64.785 5.2446
101.074212 64.212 9.2892
101.440423 64.422 12.4688
101.806634 64.193 17.8286
102.172845 64.283 29.6003
102.539055 65.201 37.9269
102.905266 66.079 41.8528
103.271477 67.183 43.9743
103.637688 68.200 43.3735
104.003899 68.778 43.1599
104.370110 69.261 43.1504
104.736321 69.475 41.1790
105.102532 69.344 40.6001
105.468743 69.502 42.9006
105.834954 69.939 45.1108
106.201165 70.373 47.9441
106.567375 71.129 50.6204
106.933586 72.010 50.4140
107.299797 72.708 49.5611
107.666008 73.503 49.4003
108.032219 74.325 47.5162
108.398430 74.781 44.6262
108.764641 75.094 43.1841
109.130852 75.606 42.2385
109.497063 76.145 41.0524
109.863274 76.694 40.3346
110.229485 77.294 38.7242
110.595695 77.786 36.0295
110.961906 78.304 33.2718
111.328117 78.910 29.6670
111.694328 79.336 25.5212
112.060539 79.574 22.0527
112.426750 79.751 18.6012
112.792961 79.815 14.8990
113.159172 79.819 12.1594
113.525383 79.917 10.8143
113.891594 80.154 10.0372
114.257805 80.432 8.7343
114.624015 80.694 7.1353
114.990226 81.166 5.3253
115.356437 81.834 1.6062
115.722648 82.314 -3.4324
116.088859 82.584 -7.6978
116.455070 82.835 -11.8147
116.821281 82.969 -16.8358
117.187492 82.944 -22.0286
117.553703 82.849 -27.0623
117.919914 82.670 -31.7441
118.286124 82.455 -35.8091
118.652335 82.203 -39.6743
119.018546 81.871 -42.7681
119.384757 81.627 -44.8440
119.750968 81.457 -47.1415
120.117179 81.223 -49.2045
120.483390 81.098 -50.8790
120.849601 81.066 -53.5867
121.215812 80.971 -56.8044
121.582023 80.890 -60.1148
121.948234 80.743 -64.0170
122.314444 80.458 -67.8043
122.680655 80.125 -71.6125
123.046866 79.622 -75.7657
123.413077 78.913 -78.7977
123.779288 78.217 -80.3753
124.145499 77.562 -81.5903
124.511710 76.833 -82.4315
124.877921 76.028 -81.8482
125.244132 75.415 -79.1835
125.610343 75.120 -76.6536
125.976554 74.813 -74.1641
126.342764 74.810 -70.4702
126.708975 75.075 -69.6587
127.075186 74.924 -69.8722
127.441397 74.857 -67.6979
127.807608 75.074 -67.3740
128.173819 75.032 -67.6655
128.540030 75.226 -66.8777
128.906241 75.506 -68.9888
129.272452 75.324 -70.8937
129.638663 75.268 -70.5588
130.004874 75.332 -71.8882
130.371084 75.182 -73.0618
130.737295 75.265 -73.9732
131.103506 75.273 -76.9750
131.469717 74.962 -78.5010
131.835928 74.815 -78.2164
132.202139 74.676 -78.5031
132.568350 74.515 -78.1452
132.934561 74.536 -78.7556
133.300772 74.462 -80.1074
133.666983 74.546 -80.3815
134.033194 74.827 -81.8661
134.399404 74.952 -84.1376
134.765615 75.046 -86.9072
135.131826 74.943 -91.2094
135.498037 74.658 -94.6340
135.864248 74.590 -98.4651
136.230459 74.171 -104.7638
136.596670 73.121 -108.7616
136.962881 72.271 -110.5945
137.329092 71.266 -116.0110
137.695303 69.297 -119.6693
138.061514 67.312 -114.7949
138.427724 66.003 -107.0343
138.793935 64.721 -96.8227
139.160146 64.049 -82.7530
139.526357 64.430 -69.4644
139.892568 65.578 -61.7924
140.258779 66.605 -57.7396
140.624990 67.743 -53.3478
140.991201 68.872 -52.3276
141.357412 69.361 -52.4536
141.723623 69.847 -51.5306
142.089833 70.446 -53.6055
142.456044 70.686 -55.8471
142.822255 71.100 -55.5219
143.188466 71.665 -56.5970
143.554677 71.839 -57.9464
143.920888 72.003 -58.0967
144.287099 72.256 -59.8102
144.653310 72.358 -62.1235
145.019521 72.539 -64.3510
145.385732 72.616 -67.9735
145.751943 72.308 -70.5133
146.118153 72.051 -70.1050
146.484364 72.031 -69.8148
146.850575 71.818 -69.9919
147.216786 71.557 -68.3531
147.582997 71.640 -66.5601
147.949208 71.848 -66.2430
148.315419 72.084 -65.5649
148.681630 72.533 -65.0676
149.047841 72.903 -66.5598
149.414052 72.949 -68.5385
149.780263 72.962 -69.8781
150.146473 73.085 -71.5046
150.512684 73.185 -72.9613
150.878895 73.246 -73.5872
151.245106 73.226 -73.8304
151.611317 73.156 -73.8296
151.977528 73.179 -74.3653
152.343739 73.218 -75.5897
152.709950 73.262 -75.9482
153.076161 73.428 -75.4797
153.442372 73.615 -75.4213
153.808583 73.734 -75.8868
154.174793 73.840 -76.8821
154.541004 73.942 -77.9219
154.907215 74.129 -78.2604
155.273426 74.429 -78.7603
155.639637 74.637 -79.9347
156.005848 74.740 -80.7458
156.372059 74.946 -81.3767
156.738270 75.195 -82.6105
