* Measurement data measured by REW V5.40 beta 133
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Sep 1, 2026, 11:58:24 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = R MPM.0 B = FRX-trimmed 
* Measurement: R.filtered
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 16.113281 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
16.113281 65.888 -140.4561
16.230045 67.005 -148.5872
16.347654 68.284 -157.1011
16.466116 69.375 -164.1491
16.585436 69.692 -170.7082
16.705621 69.761 -177.7358
16.826677 69.764 176.5817
16.948610 69.681 173.1941
17.071427 69.563 170.8783
17.195133 69.578 169.2607
17.319736 69.849 168.6258
17.445242 70.298 168.8366
17.571658 70.762 168.6309
17.698989 71.161 167.4695
17.827243 71.517 165.9429
17.956427 71.821 164.3515
18.086547 72.062 162.5711
18.217609 72.259 160.7292
18.349622 72.434 159.2359
18.482590 72.591 158.0995
18.616523 72.754 157.1329
18.751426 72.956 156.2430
18.887307 73.192 155.4703
19.024172 73.410 154.7145
19.162029 73.571 153.9335
19.300885 73.695 153.1337
19.440747 73.823 152.1926
19.581622 73.967 151.1424
19.723519 74.114 149.9050
19.866444 74.256 148.3069
20.010404 74.384 146.3759
20.155408 74.456 144.3847
20.301462 74.448 142.2046
20.448575 74.372 140.0467
20.596754 74.233 138.3994
20.746006 74.041 137.1321
20.896340 73.873 136.2429
21.047764 73.759 135.9687
21.200285 73.716 135.8831
21.353911 73.772 135.5065
21.508650 73.910 134.9803
21.664511 74.081 133.9667
21.821501 74.275 132.4441
21.979628 74.474 130.6981
22.138902 74.666 128.7897
22.299329 74.867 126.7986
22.460919 75.098 124.8610
22.623680 75.342 122.9521
22.787621 75.547 121.1208
22.952749 75.701 119.3201
23.119074 75.774 117.6331
23.286605 75.776 116.0558
23.455349 75.769 114.4777
23.625316 75.778 112.8923
23.796515 75.821 111.2211
23.968954 75.913 109.3838
24.142643 76.040 107.4744
24.317591 76.184 105.6002
24.493806 76.368 103.7524
24.671298 76.627 101.8989
24.850077 76.931 100.0567
25.030151 77.214 98.0822
25.211529 77.442 96.0334
25.394223 77.550 94.1357
25.578240 77.583 92.2916
25.763590 77.656 90.5350
25.950284 77.807 88.7557
26.138330 78.089 86.4276
26.327739 78.441 83.7574
26.518521 78.730 80.7412
26.710685 78.939 77.6420
26.904242 79.050 75.0454
27.099201 79.134 72.6415
27.295573 79.280 70.5000
27.493368 79.479 67.9193
27.692596 79.717 64.3829
27.893268 79.885 59.9654
28.095394 79.924 54.3382
28.298985 79.812 48.4869
28.504051 79.559 42.2666
28.710603 79.225 36.6633
28.918652 78.832 31.5212
29.128209 78.408 27.2446
29.339284 77.952 23.5449
29.551888 77.467 20.4293
29.766033 77.004 17.4543
29.981730 76.576 14.5787
30.198990 76.159 11.6232
30.417825 75.686 8.8011
30.638245 75.086 6.3987
30.860262 74.435 4.5317
31.083888 73.794 3.3210
31.309135 73.234 2.2755
31.536014 72.670 1.4832
31.764537 72.005 0.9153
31.994716 71.370 1.1277
32.226563 70.902 2.1510
32.460089 70.766 3.5864
32.695309 70.736 4.8723
32.932232 70.657 5.8289
33.170873 70.460 6.9078
33.411243 70.246 8.2269
33.653354 70.098 9.8401
33.897220 70.036 11.0514
34.142854 70.061 11.6072
34.390267 70.165 11.3287
34.639473 70.311 10.4120
34.890485 70.457 8.8702
35.143316 70.567 6.6951
35.397979 70.607 3.7051
35.654487 70.533 0.0791
35.912854 70.324 -3.9696
36.173093 69.979 -7.8594
36.435218 69.528 -10.8733
36.699243 69.010 -12.8607
36.965181 68.455 -13.6945
37.233046 67.843 -13.6237
37.502852 67.129 -12.4568
37.774613 66.436 -10.0330
38.048343 66.022 -6.4045
38.324057 66.020 -2.1462
38.601769 66.233 2.3968
38.881494 66.612 6.4827
39.163245 67.196 9.2655
39.447038 67.740 9.4108
39.732888 67.965 6.8333
40.020808 68.000 1.8250
40.310816 67.948 -5.1761
40.602924 67.875 -13.3509
40.897150 67.590 -21.2912
41.193508 67.038 -27.5779
41.492013 66.236 -30.8882
41.792681 65.303 -29.7205
42.095528 64.575 -23.7658
42.400570 64.643 -17.4064
42.707822 65.127 -14.6627
43.017300 65.532 -15.0664
43.329021 65.754 -16.8542
43.643001 65.920 -18.9084
43.959256 66.046 -21.5057
44.277803 66.097 -25.6228
44.598658 66.003 -30.9363
44.921839 65.678 -35.3805
45.247361 65.394 -36.0964
45.575242 65.675 -31.5929
45.905499 66.741 -24.9752
46.238149 68.282 -21.7526
46.573210 69.835 -24.0529
46.910698 71.130 -31.2672
47.250633 72.194 -42.0621
47.593030 73.079 -54.6130
47.937909 73.701 -67.0719
48.285287 74.068 -78.5817
48.635182 74.353 -89.4324
48.987612 74.667 -100.2905
49.342597 75.051 -111.3103
49.700154 75.505 -122.0665
50.060301 75.887 -132.3097
50.423059 76.057 -142.4678
50.788445 76.117 -153.4254
51.156479 76.229 -165.7196
51.527180 76.339 -178.8043
51.900567 76.313 168.3874
52.276660 76.116 156.1901
52.655478 75.730 144.1130
53.037042 75.128 131.8733
53.421370 74.328 120.1414
53.808483 73.344 109.9913
54.198402 72.156 101.8824
54.591146 70.755 95.6318
54.986736 69.219 91.0450
55.385192 67.729 88.1357
55.786536 66.341 87.0472
56.190788 64.927 88.1772
56.597970 63.460 91.7790
57.008102 62.012 97.2527
57.421206 60.621 104.3692
57.837304 59.538 114.5877
58.256417 59.328 127.1243
58.678567 60.115 136.7050
59.103776 61.312 142.2137
59.532067 62.445 147.3302
59.963460 63.559 154.3245
60.397980 64.880 162.0520
60.835649 66.536 168.1128
61.276489 68.515 171.0095
61.720524 70.643 169.9685
62.167776 72.636 165.0303
62.618270 74.299 157.1381
63.072027 75.535 147.8049
63.529073 76.296 138.5735
63.989431 76.706 130.3561
64.453125 76.955 123.0701
64.920179 77.158 116.3309
65.390617 77.414 109.9629
65.864465 77.703 103.5872
66.341746 77.933 96.5712
66.822485 78.031 88.6982
67.306709 77.937 80.5995
67.794441 77.647 73.2426
68.285707 77.214 66.9984
68.780534 76.732 61.4865
69.278946 76.232 56.0399
69.780970 75.626 50.3589
70.286631 74.795 44.6774
70.795957 73.722 39.6099
71.308974 72.484 35.7863
71.825708 71.145 33.3893
72.346187 69.646 32.4332
72.870437 67.897 33.5218
73.398486 65.887 38.8359
73.930362 64.131 56.9571
74.466092 64.438 102.4080
75.005704 67.057 130.1359
75.549226 70.042 134.1818
76.096687 72.624 131.0643
76.648115 74.757 125.7763
77.203539 76.551 119.3553
77.762987 78.095 111.8047
78.326490 79.443 103.1729
78.894076 80.603 93.3104
79.465775 81.517 81.8804
80.041617 82.083 68.8159
80.621631 82.216 54.8907
81.205849 81.869 41.2896
81.794300 81.066 29.5270
82.387015 79.950 20.5219
82.984025 78.733 14.3705
83.585362 77.546 10.3963
84.191056 76.445 7.9962
84.801139 75.463 6.7054
85.415643 74.661 6.3548
86.034600 74.113 6.5862
86.658042 73.806 6.3809
87.286002 73.640 4.6343
87.918512 73.499 0.4047
88.555606 73.167 -6.6263
89.197317 72.355 -15.5937
89.843677 70.853 -24.6074
90.494721 68.623 -30.7310
91.150484 65.776 -28.0475
91.810997 63.212 -1.2648
92.476298 62.848 33.2401
93.146419 64.111 42.4803
93.821397 65.268 39.3164
94.501265 65.957 33.4416
95.186060 66.264 34.5350
95.875818 66.563 42.2571
96.570573 66.939 46.2767
97.270363 67.167 45.2272
97.975225 67.068 43.0023
98.685194 66.723 41.5054
99.400307 66.325 42.2819
100.120603 65.863 45.0076
100.846118 65.331 49.3270
101.576890 65.180 58.2012
102.312958 65.820 70.7213
103.054360 67.019 79.1465
103.801135 68.209 81.4182
104.553320 69.126 81.2035
105.310957 69.939 81.8029
106.074084 70.957 83.7025
106.842740 72.183 83.9935
107.616967 73.351 80.8846
108.396804 74.244 75.7679
109.182291 74.884 70.8870
109.973471 75.416 66.7608
110.770384 75.876 62.1819
111.573072 76.195 56.8010
112.381577 76.322 51.7330
113.195940 76.359 48.3297
114.016204 76.523 46.7040
114.842413 76.916 44.6945
115.674608 77.390 40.4498
116.512834 77.696 34.4270
117.357134 77.713 27.7423
118.207552 77.469 21.6567
119.064133 77.095 17.2659
119.926921 76.742 14.4235
120.795961 76.480 11.5522
121.671298 76.215 7.3539
122.552979 75.764 2.2457
123.441048 75.014 -2.0001
124.335553 74.045 -3.2013
125.236539 73.152 -0.0302
126.144055 72.696 5.8920
127.058147 72.747 10.7169
127.978862 73.083 12.8519
128.906250 73.476 12.4917
129.840358 73.786 10.4997
130.781235 73.986 7.7218
131.728929 74.110 5.0813
132.683491 74.247 2.6593
133.644971 74.421 -1.3149
134.613417 74.445 -8.0919
135.588882 74.030 -17.1383
136.571415 72.942 -26.3749
137.561067 71.106 -31.4379
138.557891 68.929 -23.1862
139.561939 67.758 1.8443
140.573262 68.408 18.4896
141.591914 69.711 22.3015
142.617948 70.828 21.0773
143.651416 71.600 18.1632
144.692373 72.015 14.0769
145.740874 72.119 10.2702
146.796972 72.105 9.2603
147.860724 72.247 10.2281
148.932184 72.580 9.8036
150.011408 72.908 7.3870
151.098452 73.133 4.9239
152.193374 73.314 3.1760
153.296230 73.539 1.6860
154.407077 73.842 0.0632
155.525975 74.239 -1.7065
156.652980 74.726 -3.8151
157.788152 75.251 -7.2737
158.931550 75.705 -13.0275
160.083234 75.965 -20.4481
161.243263 75.989 -28.0592
162.411698 75.842 -35.0625
163.588600 75.608 -41.6705
164.774030 75.321 -48.3466
165.968051 74.960 -55.3842
167.170724 74.466 -62.8635
168.382112 73.793 -70.4059
169.602278 72.921 -77.2416
170.831286 71.853 -82.8646
172.069200 70.684 -86.5994
173.316084 69.629 -88.5002
174.572004 68.811 -90.4462
175.837025 68.107 -93.2164
177.111212 67.442 -94.6992
178.394633 67.093 -92.4382
179.687354 67.461 -89.6694
180.989443 68.416 -91.9600
182.300967 69.550 -99.5922
183.621995 70.645 -111.1656
184.952596 71.608 -125.5170
186.292838 72.389 -141.4819
187.642793 73.056 -157.4189
189.002530 73.725 -173.1804
190.372120 74.333 170.2871
191.751635 74.696 153.0076
193.141147 74.749 135.8657
194.540727 74.504 119.6471
195.950449 73.946 105.1941
197.370387 73.180 95.2517
198.800614 72.622 90.9880
200.241205 72.620 87.4323
201.692236 72.925 80.3420
203.153781 73.019 69.5737
204.625917 72.566 57.0620
206.108721 71.453 46.8503
207.602269 69.893 45.0377
209.106641 68.745 56.3351
210.621914 68.888 68.2748
212.148167 69.782 69.9795
213.685480 70.600 66.8484
215.233933 71.137 62.8232
216.793607 71.496 59.3184
218.364583 71.813 56.2695
219.946943 72.105 53.1808
221.540769 72.352 49.8385
223.146145 72.574 46.7651
224.763154 72.913 44.8480
226.391880 73.471 42.4473
228.032409 74.086 37.1627
229.684826 74.488 29.0103
231.349217 74.528 19.7548
233.025668 74.202 10.5360
234.714269 73.559 2.4587
236.415105 72.737 -2.6791
238.128266 71.971 -5.7102
239.853842 71.351 -10.2714
241.591922 70.674 -18.2468
243.342596 69.575 -29.8259
245.105957 67.724 -43.8502
246.882096 65.239 -53.8258
248.671105 64.091 66.8680
250.473079 66.230 84.3142
252.288110 69.124 75.2708
254.116293 71.305 61.0984
255.957725 72.577 44.4332
257.812500 72.985 27.6324
259.680716 72.677 13.1056
261.562469 71.814 1.5319
263.457859 70.430 -7.6958
265.366983 68.764 -8.7723
267.289941 68.149 17.3628
269.226835 69.474 37.0508
271.177763 71.062 29.4971
273.142829 71.860 15.3828
275.122135 71.818 2.1926
277.115783 71.100 -8.2369
279.123878 69.921 -13.9462
281.146525 68.623 -15.0891
283.183828 67.676 -11.2322
285.235895 67.840 2.6598
287.302832 69.004 7.6996
289.384747 69.886 -2.8164
291.481748 69.792 -17.4285
293.593945 68.770 -27.5984
295.721448 67.312 -29.3796
297.864367 66.049 -27.9288
300.022815 65.108 -29.7458
302.196904 64.546 -23.0273
304.386747 65.176 0.3597
306.592459 66.474 -3.0695
308.814155 67.120 -22.4894
311.051949 66.611 -47.2258
