* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 1, 2026, 11:38:55 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of RX Cal file effects included LF tail from 17 Hz at 12 dB/octave No HF tail
* Measurement: RX-MP
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 0.992 173.7452
0.732422 13.912 175.3132
1.098633 21.131 174.5506
1.464844 26.160 173.2670
1.831055 29.997 171.9888
2.197265 33.102 170.9603
2.563476 35.739 170.1558
2.929687 38.059 169.3720
3.295898 40.132 168.4164
3.662109 41.989 167.2501
4.028320 43.652 165.9778
4.394531 45.154 164.7320
4.760742 46.530 163.5706
5.126953 47.810 162.4599
5.493164 49.010 161.3386
5.859375 50.135 160.1817
6.225585 51.191 159.0058
6.591796 52.187 157.8258
6.958007 53.131 156.6283
7.324218 54.026 155.3943
7.690429 54.870 154.1414
8.056640 55.666 152.9272
8.422851 56.427 151.7945
8.789062 57.168 150.7113
9.155273 57.894 149.5785
9.521484 58.595 148.3186
9.887695 59.254 146.9646
10.253905 59.866 145.6532
10.620116 60.446 144.5128
10.986327 61.024 143.5327
11.352538 61.615 142.5441
11.718749 62.205 141.3623
12.084960 62.760 139.9704
12.451171 63.260 138.5618
12.817382 63.715 137.3942
13.183593 64.170 136.5582
13.549804 64.662 135.8560
13.916015 65.184 134.9524
14.282225 65.687 133.7068
14.648436 66.116 132.3671
15.014647 66.474 131.4495
15.380858 66.834 131.3595
15.747069 67.316 131.9467
16.113280 67.986 132.4082
16.479491 68.788 131.8508
16.845702 69.594 129.9643
17.211913 70.290 127.1028
17.578124 70.836 123.9267
17.944335 71.265 121.0249
18.310545 71.652 118.6490
18.676756 72.069 116.6219
19.042967 72.538 114.5125
19.409178 73.024 111.9852
19.775389 73.471 109.0226
20.141600 73.846 105.8738
20.507811 74.152 102.8487
20.874022 74.426 100.1210
21.240233 74.707 97.6422
21.606444 75.015 95.2062
21.972654 75.339 92.6141
22.338865 75.655 89.8004
22.705076 75.944 86.8343
23.071287 76.203 83.8304
23.437498 76.444 80.8548
23.803709 76.679 77.8905
24.169920 76.912 74.8687
24.536131 77.140 71.7266
24.902342 77.354 68.4430
25.268553 77.549 65.0294
25.634764 77.724 61.4988
26.000974 77.877 57.8436
26.367185 78.007 54.0391
26.733396 78.105 50.0661
27.099607 78.163 45.9312
27.465818 78.170 41.6708
27.832029 78.122 37.3397
28.198240 78.014 32.9968
28.564451 77.846 28.6965
28.930662 77.616 24.4915
29.296873 77.324 20.4397
29.663084 76.971 16.6085
30.029294 76.559 13.0726
30.395505 76.097 9.9055
30.761716 75.594 7.1695
31.127927 75.064 4.9076
31.494138 74.520 3.1397
31.860349 73.978 1.8597
32.226560 73.453 1.0325
32.592771 72.956 0.5930
32.958982 72.496 0.4520
33.325193 72.075 0.5116
33.691404 71.689 0.6850
34.057614 71.331 0.9110
34.423825 70.992 1.1587
34.790036 70.661 1.4264
35.156247 70.332 1.7377
35.522458 69.998 2.1373
35.888669 69.659 2.6841
36.254880 69.318 3.4395
36.621091 68.982 4.4530
36.987302 68.663 5.7497
37.353513 68.374 7.3209
37.719724 68.127 9.1206
38.085934 67.933 11.0676
38.452145 67.795 13.0554
38.818356 67.708 14.9729
39.184567 67.663 16.7319
39.550778 67.644 18.2895
39.916989 67.635 19.6547
40.283200 67.624 20.8784
40.649411 67.606 22.0348
41.015622 67.580 23.2008
41.381833 67.552 24.4403
41.748044 67.529 25.7929
42.114254 67.523 27.2675
42.480465 67.542 28.8431
42.846676 67.594 30.4746
43.212887 67.683 32.1052
43.579098 67.808 33.6770
43.945309 67.969 35.1381
44.311520 68.162 36.4440
44.677731 68.382 37.5583
45.043942 68.623 38.4522
45.410153 68.879 39.1056
45.776363 69.145 39.5083
46.142574 69.412 39.6589
46.508785 69.676 39.5645
46.874996 69.931 39.2393
47.241207 70.173 38.7033
47.607418 70.397 37.9799
47.973629 70.602 37.0932
48.339840 70.787 36.0646
48.706051 70.950 34.9113
49.072262 71.092 33.6450
49.438473 71.212 32.2732
49.804683 71.308 30.8003
50.170894 71.379 29.2294
50.537105 71.422 27.5648
50.903316 71.434 25.8143
51.269527 71.411 23.9921
51.635738 71.348 22.1201
52.001949 71.242 20.2287
52.368160 71.088 18.3557
52.734371 70.884 16.5460
53.100582 70.628 14.8504
53.466793 70.319 13.3258
53.833003 69.956 12.0350
54.199214 69.542 11.0469
54.565425 69.078 10.4363
54.931636 68.570 10.2837
55.297847 68.026 10.6752
55.664058 67.456 11.7012
56.030269 66.875 13.4527
56.396480 66.304 16.0133
56.762691 65.772 19.4439
57.128902 65.313 23.7579
57.495113 64.968 28.8894
57.861323 64.776 34.6636
58.227534 64.767 40.7931
58.593745 64.955 46.9155
58.959956 65.326 52.6696
59.326167 65.852 57.7685
59.692378 66.494 62.0367
60.058589 67.213 65.4031
60.424800 67.974 67.8726
60.791011 68.749 69.4953
61.157222 69.519 70.3450
61.523433 70.265 70.5051
61.889643 70.978 70.0606
62.255854 71.648 69.0939
62.622065 72.270 67.6814
62.988276 72.840 65.8933
63.354487 73.357 63.7924
63.720698 73.819 61.4350
64.086909 74.227 58.8713
64.453120 74.579 56.1465
64.819331 74.877 53.3013
65.185542 75.121 50.3726
65.551753 75.314 47.3942
65.917963 75.455 44.3973
66.284174 75.545 41.4109
66.650385 75.587 38.4633
67.016596 75.581 35.5824
67.382807 75.527 32.7963
67.749018 75.428 30.1343
68.115229 75.286 27.6261
68.481440 75.101 25.3029
68.847651 74.876 23.1969
69.213862 74.614 21.3423
69.580072 74.317 19.7759
69.946283 73.991 18.5362
70.312494 73.639 17.6640
70.678705 73.270 17.2002
71.044916 72.890 17.1845
71.411127 72.511 17.6530
71.777338 72.145 18.6345
72.143549 71.808 20.1446
72.509760 71.518 22.1763
72.875971 71.296 24.6880
73.242182 71.162 27.5918
73.608392 71.132 30.7473
73.974603 71.219 33.9709
74.340814 71.420 37.0601
74.707025 71.726 39.8267
75.073236 72.117 42.1259
75.439447 72.570 43.8696
75.805658 73.063 45.0235
76.171869 73.575 45.5943
76.538080 74.089 45.6150
76.904291 74.592 45.1326
77.270502 75.075 44.1997
77.636712 75.530 42.8701
78.002923 75.951 41.1957
78.369134 76.335 39.2259
78.735345 76.680 37.0064
79.101556 76.983 34.5796
79.467767 77.243 31.9842
79.833978 77.460 29.2560
80.200189 77.634 26.4281
80.566400 77.766 23.5310
80.932611 77.856 20.5930
81.298822 77.904 17.6405
81.665032 77.913 14.6980
82.031243 77.883 11.7879
82.397454 77.816 8.9312
82.763665 77.714 6.1470
83.129876 77.578 3.4531
83.496087 77.411 0.8656
83.862298 77.214 -1.6005
84.228509 76.989 -3.9322
84.594720 76.739 -6.1176
84.960931 76.466 -8.1467
85.327142 76.172 -10.0105
85.693352 75.860 -11.7011
86.059563 75.531 -13.2113
86.425774 75.188 -14.5349
86.791985 74.833 -15.6663
87.158196 74.469 -16.6010
87.524407 74.098 -17.3353
87.890618 73.722 -17.8665
88.256829 73.344 -18.1926
88.623040 72.967 -18.3131
88.989251 72.593 -18.2288
89.355462 72.226 -17.9427
89.721672 71.868 -17.4601
90.087883 71.523 -16.7892
90.454094 71.193 -15.9412
90.820305 70.881 -14.9304
91.186516 70.589 -13.7742
91.552727 70.320 -12.4929
91.918938 70.074 -11.1093
92.285149 69.853 -9.6477
92.651360 69.656 -8.1328
93.017571 69.482 -6.5879
93.383781 69.329 -5.0330
93.749992 69.195 -3.4839
94.116203 69.078 -1.9514
94.482414 68.975 -0.4410
94.848625 68.882 1.0469
95.214836 68.799 2.5165
95.581047 68.722 3.9759
95.947258 68.650 5.4361
96.313469 68.582 6.9104
96.679680 68.519 8.4124
97.045891 68.461 9.9558
97.412101 68.408 11.5533
97.778312 68.363 13.2154
98.144523 68.328 14.9503
98.510734 68.304 16.7629
98.876945 68.296 18.6540
99.243156 68.306 20.6200
99.609367 68.336 22.6530
99.975578 68.391 24.7403
100.341789 68.471 26.8646
100.708000 68.580 29.0047
101.074211 68.719 31.1359
101.440421 68.888 33.2318
101.806632 69.087 35.2651
102.172843 69.315 37.2098
102.539054 69.570 39.0419
102.905265 69.850 40.7402
103.271476 70.153 42.2872
103.637687 70.474 43.6692
104.003898 70.811 44.8764
104.370109 71.161 45.9030
104.736320 71.519 46.7468
105.102531 71.885 47.4089
105.468741 72.253 47.8924
105.834952 72.623 48.2024
106.201163 72.993 48.3448
106.567374 73.359 48.3265
106.933585 73.721 48.1548
107.299796 74.077 47.8378
107.666007 74.425 47.3835
108.032218 74.766 46.8003
108.398429 75.097 46.0960
108.764640 75.419 45.2783
109.130851 75.730 44.3544
109.497061 76.030 43.3312
109.863272 76.319 42.2154
110.229483 76.596 41.0132
110.595694 76.861 39.7309
110.961905 77.114 38.3744
111.328116 77.354 36.9490
111.694327 77.582 35.4602
112.060538 77.796 33.9128
112.426749 77.998 32.3119
112.792960 78.186 30.6620
113.159171 78.361 28.9680
113.525381 78.522 27.2341
113.891592 78.670 25.4650
114.257803 78.805 23.6649
114.624014 78.926 21.8383
114.990225 79.033 19.9896
115.356436 79.126 18.1233
115.722647 79.205 16.2441
116.088858 79.271 14.3565
116.455069 79.323 12.4653
116.821280 79.361 10.5749
117.187490 79.386 8.6900
117.553701 79.398 6.8151
117.919912 79.396 4.9551
118.286123 79.381 3.1146
118.652334 79.354 1.2984
119.018545 79.314 -0.4890
119.384756 79.262 -2.2433
119.750967 79.198 -3.9603
120.117178 79.124 -5.6357
120.483389 79.038 -7.2656
120.849600 78.943 -8.8459
121.215810 78.837 -10.3729
121.582021 78.723 -11.8431
121.948232 78.601 -13.2537
122.314443 78.471 -14.6019
122.680654 78.335 -15.8859
123.046865 78.192 -17.1039
123.413076 78.045 -18.2547
123.779287 77.893 -19.3376
124.145498 77.738 -20.3524
124.511709 77.580 -21.2994
124.877920 77.421 -22.1798
125.244130 77.260 -22.9955
125.610341 77.100 -23.7490
125.976552 76.940 -24.4432
126.342763 76.781 -25.0816
126.708974 76.624 -25.6679
127.075185 76.469 -26.2059
127.441396 76.316 -26.7002
127.807607 76.166 -27.1551
128.173818 76.018 -27.5751
128.540029 75.873 -27.9645
128.906240 75.731 -28.3273
129.272450 75.591 -28.6669
129.638661 75.453 -28.9864
130.004872 75.316 -29.2883
130.371083 75.181 -29.5744
130.737294 75.046 -29.8461
131.103505 74.912 -30.1040
131.469716 74.778 -30.3479
131.835927 74.643 -30.5768
132.202138 74.506 -30.7888
132.568349 74.368 -30.9816
132.934560 74.229 -31.1522
133.300770 74.087 -31.2971
133.666981 73.943 -31.4125
134.033192 73.797 -31.4939
134.399403 73.649 -31.5368
134.765614 73.498 -31.5366
135.131825 73.347 -31.4885
135.498036 73.194 -31.3880
135.864247 73.041 -31.2310
136.230458 72.889 -31.0139
136.596669 72.738 -30.7334
136.962880 72.589 -30.3875
137.329090 72.444 -29.9748
137.695301 72.303 -29.4953
138.061512 72.169 -28.9501
138.427723 72.041 -28.3418
138.793934 71.922 -27.6740
139.160145 71.813 -26.9519
139.526356 71.714 -26.1818
139.892567 71.627 -25.3712
140.258778 71.551 -24.5285
140.624989 71.489 -23.6628
140.991199 71.439 -22.7837
141.357410 71.403 -21.9008
141.723621 71.379 -21.0234
142.089832 71.368 -20.1606
142.456043 71.369 -19.3207
142.822254 71.381 -18.5112
143.188465 71.403 -17.7388
143.554676 71.436 -17.0087
143.920887 71.476 -16.3252
144.287098 71.525 -15.6917
144.653309 71.579 -15.1102
145.019519 71.640 -14.5823
145.385730 71.705 -14.1086
145.751941 71.774 -13.6889
146.118152 71.846 -13.3225
146.484363 71.920 -13.0076
146.850574 71.996 -12.7425
147.216785 72.073 -12.5249
147.582996 72.150 -12.3528
147.949207 72.228 -12.2241
148.315418 72.306 -12.1370
148.681629 72.384 -12.0898
149.047839 72.461 -12.0806
149.414050 72.538 -12.1080
149.780261 72.614 -12.1703
150.146472 72.689 -12.2662
150.512683 72.763 -12.3947
150.878894 72.836 -12.5550
