* Measurement data measured by REW V5.40 beta 133
* Source: Trace Arithmetic result A * B
* Format: Trace Arithmetic result A * B
* Dated: Aug 31, 2026, 2:10:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Trace Arithmetic A times B A = R-SP B = X801 
* Measurement: RX
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
16.113281 64.832 39.4114
16.479492 67.590 31.1009
16.845703 69.375 22.1769
17.211914 70.432 14.2993
17.578125 70.979 8.5515
17.944336 71.263 5.5112
18.310547 71.545 4.8775
18.676758 71.984 5.3849
19.042969 72.548 5.6770
19.409179 73.096 5.2867
19.775390 73.528 4.5997
20.141601 73.843 4.2295
20.507812 74.104 4.5078
20.874023 74.383 5.3108
21.240234 74.706 6.2506
21.606445 75.048 7.0360
21.972656 75.370 7.6511
22.338867 75.658 8.2493
22.705078 75.922 8.9517
23.071288 76.180 9.7465
23.437499 76.440 10.5363
23.803710 76.693 11.2468
24.169921 76.928 11.8806
24.536132 77.144 12.4802
24.902343 77.346 13.0607
25.268554 77.538 13.5827
25.634765 77.720 13.9807
26.000976 77.881 14.2084
26.367187 78.013 14.2582
26.733398 78.108 14.1465
27.099608 78.161 13.8912
27.465819 78.166 13.5043
27.832030 78.120 13.0021
28.198241 78.015 12.4161
28.564452 77.848 11.7937
28.930663 77.617 11.1876
29.296874 77.323 10.6472
29.663085 76.970 10.2172
30.029296 76.559 9.9440
30.395507 76.098 9.8778
30.761718 75.595 10.0656
31.127928 75.063 10.5366
31.494139 74.519 11.2888
31.860350 73.978 12.2869
32.226561 73.453 13.4677
32.592772 72.957 14.7480
32.958983 72.496 16.0276
33.325194 72.074 17.1958
33.691405 71.688 18.1472
34.057616 71.332 18.8036
34.423827 70.993 19.1293
34.790038 70.662 19.1332
35.156248 70.332 18.8585
35.522459 69.998 18.3725
35.888670 69.659 17.7598
36.254881 69.318 17.1163
36.621092 68.982 16.5377
36.987303 68.663 16.1033
37.353514 68.373 15.8579
37.719725 68.127 15.8026
38.085936 67.933 15.8969
38.452147 67.795 16.0717
38.818358 67.708 16.2489
39.184568 67.662 16.3629
39.550779 67.643 16.3794
39.916990 67.635 16.3064
40.283201 67.625 16.1901
40.649412 67.606 16.0991
41.015623 67.580 16.1017
41.381834 67.551 16.2474
41.748045 67.529 16.5578
42.114256 67.523 17.0263
42.480467 67.542 17.6234
42.846678 67.594 18.3026
43.212888 67.682 19.0084
43.579099 67.808 19.6856
43.945310 67.969 20.2886
44.311521 68.162 20.7871
44.677732 68.382 21.1654
45.043943 68.623 21.4183
45.410154 68.879 21.5489
45.776365 69.145 21.5682
46.142576 69.413 21.4964
46.508787 69.677 21.3612
46.874997 69.931 21.1946
47.241208 70.173 21.0285
47.607419 70.397 20.8919
47.973630 70.603 20.8095
48.339841 70.787 20.7999
48.706052 70.950 20.8738
49.072263 71.092 21.0318
49.438474 71.212 21.2646
49.804685 71.308 21.5553
50.170896 71.379 21.8835
50.537107 71.423 22.2279
50.903317 71.434 22.5689
51.269528 71.411 22.8890
51.635739 71.348 23.1748
52.001950 71.242 23.4177
52.368161 71.088 23.6145
52.734372 70.884 23.7658
53.100583 70.628 23.8739
53.466794 70.319 23.9414
53.833005 69.956 23.9712
54.199216 69.542 23.9672
54.565427 69.078 23.9353
54.931637 68.570 23.8838
55.297848 68.026 23.8241
55.664059 67.456 23.7724
56.030270 66.875 23.7543
56.396481 66.305 23.8070
56.762692 65.772 23.9778
57.128903 65.313 24.3113
57.495114 64.967 24.8274
57.861325 64.775 25.4993
58.227536 64.767 26.2448
58.593747 64.954 26.9482
58.959957 65.326 27.5029
59.326168 65.852 27.8502
59.692379 66.494 27.9913
60.058590 67.213 27.9710
60.424801 67.974 27.8514
60.791012 68.750 27.6892
61.157223 69.519 27.5262
61.523434 70.265 27.3889
61.889645 70.978 27.2932
62.255856 71.648 27.2482
62.622067 72.270 27.2583
62.988277 72.840 27.3240
63.354488 73.357 27.4428
63.720699 73.819 27.6100
64.086910 74.227 27.8204
64.453121 74.579 28.0685
64.819332 74.877 28.3489
65.185543 75.121 28.6552
65.551754 75.314 28.9799
65.917965 75.455 29.3148
66.284176 75.545 29.6512
66.650387 75.587 29.9804
67.016597 75.581 30.2939
67.382808 75.527 30.5832
67.749019 75.428 30.8396
68.115230 75.286 31.0548
68.481441 75.101 31.2206
68.847652 74.876 31.3295
69.213863 74.614 31.3758
69.580074 74.317 31.3560
69.946285 73.991 31.2708
70.312496 73.639 31.1262
70.678706 73.270 30.9350
71.044917 72.890 30.7183
71.411128 72.511 30.5067
71.777339 72.145 30.3410
72.143550 71.808 30.2703
72.509761 71.518 30.3453
72.875972 71.296 30.6058
73.242183 71.161 31.0649
73.608394 71.132 31.6982
73.974605 71.219 32.4426
74.340816 71.420 33.2122
74.707026 71.726 33.9221
75.073237 72.116 34.5102
75.439448 72.570 34.9477
75.805659 73.063 35.2359
76.171870 73.575 35.3962
76.538081 74.089 35.4585
76.904292 74.592 35.4530
77.270503 75.075 35.4060
77.636714 75.530 35.3384
78.002925 75.951 35.2666
78.369136 76.335 35.2024
78.735346 76.680 35.1547
79.101557 76.983 35.1293
79.467768 77.243 35.1301
79.833979 77.460 35.1597
80.200190 77.634 35.2196
80.566401 77.766 35.3109
80.932612 77.856 35.4341
81.298823 77.904 35.5892
81.665034 77.913 35.7756
82.031245 77.883 35.9917
82.397456 77.816 36.2357
82.763666 77.714 36.5047
83.129877 77.578 36.7955
83.496088 77.411 37.1038
83.862299 77.214 37.4246
84.228510 76.989 37.7519
84.594721 76.739 38.0789
84.960932 76.466 38.3982
85.327143 76.172 38.7021
85.693354 75.860 38.9827
86.059565 75.531 39.2332
86.425776 75.188 39.4475
86.791986 74.833 39.6210
87.158197 74.469 39.7507
87.524408 74.098 39.8357
87.890619 73.722 39.8775
88.256830 73.344 39.8809
88.623041 72.967 39.8535
88.989252 72.593 39.8056
89.355463 72.226 39.7497
89.721674 71.868 39.6994
90.087885 71.523 39.6686
90.454096 71.193 39.6708
90.820306 70.881 39.7179
91.186517 70.589 39.8186
91.552728 70.320 39.9776
91.918939 70.074 40.1950
92.285150 69.853 40.4661
92.651361 69.656 40.7822
93.017572 69.482 41.1319
93.383783 69.329 41.5021
93.749994 69.195 41.8796
94.116205 69.078 42.2522
94.482415 68.975 42.6095
94.848626 68.882 42.9428
95.214837 68.799 43.2459
95.581048 68.722 43.5147
95.947259 68.650 43.7474
96.313470 68.582 43.9441
96.679681 68.519 44.1065
97.045892 68.461 44.2376
97.412103 68.408 44.3414
97.778314 68.363 44.4228
98.144525 68.328 44.4876
98.510735 68.304 44.5424
98.876946 68.296 44.5939
99.243157 68.306 44.6488
99.609368 68.336 44.7130
99.975579 68.391 44.7918
100.341790 68.471 44.8890
100.708001 68.580 45.0068
101.074212 68.719 45.1457
101.440423 68.888 45.3043
101.806634 69.087 45.4797
102.172845 69.315 45.6688
102.539055 69.570 45.8681
102.905266 69.850 46.0745
103.271477 70.153 46.2845
103.637688 70.474 46.4952
104.003899 70.811 46.7043
104.370110 71.161 46.9104
104.736321 71.519 47.1127
105.102532 71.885 47.3114
105.468743 72.253 47.5065
105.834954 72.623 47.6984
106.201165 72.993 47.8871
106.567375 73.359 48.0725
106.933586 73.721 48.2548
107.299797 74.077 48.4342
107.666008 74.425 48.6111
108.032219 74.766 48.7857
108.398430 75.097 48.9586
108.764641 75.419 49.1299
109.130852 75.730 49.2997
109.497063 76.030 49.4682
109.863274 76.319 49.6356
110.229485 76.596 49.8021
110.595695 76.861 49.9681
110.961906 77.114 50.1341
111.328117 77.354 50.3001
111.694328 77.582 50.4666
112.060539 77.796 50.6335
112.426750 77.998 50.8010
112.792961 78.186 50.9694
113.159172 78.361 51.1386
113.525383 78.522 51.3088
113.891594 78.670 51.4800
114.257805 78.805 51.6519
114.624015 78.926 51.8247
114.990226 79.033 51.9982
115.356437 79.126 52.1724
115.722648 79.205 52.3474
116.088859 79.271 52.5233
116.455070 79.323 52.7000
116.821281 79.361 52.8772
117.187492 79.386 53.0549
117.553703 79.398 53.2330
117.919914 79.396 53.4114
118.286124 79.381 53.5900
118.652335 79.354 53.7690
119.018546 79.314 53.9480
119.384757 79.262 54.1269
119.750968 79.199 54.3053
120.117179 79.124 54.4831
120.483390 79.038 54.6603
120.849601 78.943 54.8369
121.215812 78.837 55.0130
121.582023 78.723 55.1887
121.948234 78.601 55.3639
122.314444 78.471 55.5387
122.680655 78.335 55.7129
123.046866 78.192 55.8867
123.413077 78.045 56.0602
123.779288 77.893 56.2335
124.145499 77.738 56.4070
124.511710 77.580 56.5808
124.877921 77.421 56.7551
125.244132 77.260 56.9299
125.610343 77.100 57.1052
125.976554 76.940 57.2808
126.342764 76.781 57.4567
126.708975 76.624 57.6332
127.075186 76.469 57.8101
127.441397 76.316 57.9877
127.807608 76.166 58.1656
128.173819 76.018 58.3437
128.540030 75.873 58.5220
128.906241 75.731 58.7004
129.272452 75.591 58.8789
129.638663 75.453 59.0576
130.004874 75.316 59.2365
130.371084 75.181 59.4156
130.737295 75.046 59.5946
131.103506 74.912 59.7734
131.469717 74.778 59.9518
131.835928 74.643 60.1300
132.202139 74.506 60.3078
132.568350 74.368 60.4854
132.934561 74.229 60.6626
133.300772 74.087 60.8393
133.666983 73.943 61.0156
134.033194 73.797 61.1914
134.399404 73.649 61.3669
134.765615 73.498 61.5422
135.131826 73.347 61.7175
135.498037 73.194 61.8930
135.864248 73.041 62.0689
136.230459 72.889 62.2454
136.596670 72.738 62.4231
136.962881 72.589 62.6021
137.329092 72.444 62.7827
137.695303 72.303 62.9650
138.061514 72.169 63.1490
138.427724 72.041 63.3346
138.793935 71.922 63.5215
139.160146 71.813 63.7095
139.526357 71.714 63.8980
139.892568 71.627 64.0863
140.258779 71.551 64.2739
140.624990 71.489 64.4600
140.991201 71.439 64.6442
141.357412 71.403 64.8259
141.723623 71.379 65.0048
142.089833 71.368 65.1809
142.456044 71.369 65.3544
142.822255 71.381 65.5256
143.188466 71.403 65.6949
143.554677 71.436 65.8631
143.920888 71.476 66.0309
144.287099 71.525 66.1990
144.653310 71.579 66.3683
145.019521 71.640 66.5392
145.385732 71.705 66.7121
145.751943 71.774 66.8871
146.118153 71.846 67.0646
146.484364 71.920 67.2448
146.850575 71.996 67.4280
147.216786 72.073 67.6141
147.582997 72.150 67.8029
147.949208 72.228 67.9938
148.315419 72.306 68.1861
148.681630 72.384 68.3791
149.047841 72.461 68.5723
149.414052 72.538 68.7650
149.780263 72.614 68.9568
150.146473 72.689 69.1475
150.512684 72.763 69.3366
150.878895 72.836 69.5240
151.245106 72.908 69.7094
151.611317 72.978 69.8929
151.977528 73.047 70.0743
152.343739 73.115 70.2538
152.709950 73.181 70.4316
153.076161 73.246 70.6080
153.442372 73.308 70.7834
153.808583 73.368 70.9583
154.174793 73.427 71.1331
154.541004 73.482 71.3082
154.907215 73.535 71.4837
155.273426 73.585 71.6597
155.639637 73.632 71.8365
156.005848 73.676 72.0139
156.372059 73.716 72.1922
156.738270 73.752 72.3714
157.104481 73.783 72.5520
157.470692 73.810 72.7340
157.836903 73.833 72.9176
158.203113 73.850 73.1027
158.569324 73.862 73.2892
158.935535 73.870 73.4767
159.301746 73.871 73.6650
159.667957 73.868 73.8538
160.034168 73.858 74.0430
160.400379 73.843 74.2324
160.766590 73.822 74.4218
161.132801 73.795 74.6111
161.499012 73.762 74.8001
161.865223 73.723 74.9887
162.231433 73.679 75.1768
162.597644 73.628 75.3643
162.963855 73.572 75.5510
163.330066 73.510 75.7368
163.696277 73.442 75.9218
164.062488 73.368 76.1060
164.428699 73.289 76.2895
164.794910 73.205 76.4725
165.161121 73.115 76.6549
165.527332 73.021 76.8369
165.893542 72.921 77.0184
166.259753 72.816 77.1996
166.625964 72.707 77.3805
166.992175 72.593 77.5614
167.358386 72.474 77.7425
167.724597 72.352 77.9238
168.090808 72.225 78.1056
168.457019 72.094 78.2878
168.823230 71.960 78.4705
169.189441 71.822 78.6537
169.555652 71.682 78.8376
