* Measurement data measured by REW V5.40 beta 133
* Source: 
* Format: 
* Dated: Sep 1, 2026, 11:57:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Minimum phase copy of Fr Cal file effects not included No LF tail No HF tail
* Measurement: Rfilter
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 16.113281 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
16.113281 0.000 -0.4357
16.230045 0.000 -0.4390
16.347654 -0.000 -0.4423
16.466116 -0.000 -0.4456
16.585436 -0.000 -0.4490
16.705621 0.000 -0.4524
16.826677 0.000 -0.4558
16.948610 0.000 -0.4593
17.071427 -0.000 -0.4628
17.195133 -0.000 -0.4663
17.319736 -0.000 -0.4698
17.445242 0.000 -0.4734
17.571658 0.000 -0.4770
17.698989 0.000 -0.4806
17.827243 -0.000 -0.4843
17.956427 -0.000 -0.4880
18.086547 -0.000 -0.4917
18.217609 0.000 -0.4955
18.349622 0.000 -0.4993
18.482590 -0.000 -0.5031
18.616523 -0.000 -0.5069
18.751426 -0.000 -0.5108
18.887307 0.000 -0.5147
19.024172 0.000 -0.5187
19.162029 0.000 -0.5227
19.300885 -0.000 -0.5267
19.440747 -0.000 -0.5307
19.581622 -0.000 -0.5348
19.723519 0.000 -0.5389
19.866444 0.000 -0.5431
20.010404 -0.000 -0.5473
20.155408 -0.000 -0.5515
20.301462 -0.000 -0.5558
20.448575 0.000 -0.5601
20.596754 0.000 -0.5644
20.746006 -0.000 -0.5688
20.896340 -0.000 -0.5732
21.047764 -0.000 -0.5777
21.200285 0.000 -0.5822
21.353911 0.000 -0.5867
21.508650 -0.000 -0.5913
21.664511 -0.000 -0.5959
21.821501 -0.000 -0.6006
21.979628 0.000 -0.6053
22.138902 -0.000 -0.6100
22.299329 -0.000 -0.6148
22.460919 -0.000 -0.6196
22.623680 0.000 -0.6245
22.787621 0.000 -0.6294
22.952749 -0.000 -0.6344
23.119074 -0.000 -0.6394
23.286605 -0.000 -0.6444
23.455349 0.000 -0.6495
23.625316 -0.000 -0.6547
23.796515 -0.000 -0.6598
23.968954 -0.000 -0.6651
24.142643 -0.000 -0.6704
24.317591 -0.000 -0.6757
24.493806 -0.000 -0.6811
24.671298 -0.000 -0.6865
24.850077 -0.000 -0.6920
25.030151 -0.000 -0.6976
25.211529 0.000 -0.7032
25.394223 0.000 -0.7088
25.578240 -0.000 -0.7145
25.763590 -0.000 -0.7202
25.950284 0.000 -0.7261
26.138330 -0.000 -0.7319
26.327739 -0.000 -0.7378
26.518521 -0.000 -0.7438
26.710685 0.000 -0.7499
26.904242 -0.000 -0.7560
27.099201 -0.000 -0.7621
27.295573 0.000 -0.7683
27.493368 0.000 -0.7746
27.692596 -0.000 -0.7810
27.893268 -0.000 -0.7874
28.095394 0.000 -0.7938
28.298985 0.000 -0.8004
28.504051 -0.000 -0.8070
28.710603 -0.000 -0.8137
28.918652 0.000 -0.8204
29.128209 -0.000 -0.8272
29.339284 -0.000 -0.8341
29.551888 0.000 -0.8410
29.766033 0.000 -0.8481
29.981730 -0.000 -0.8552
30.198990 -0.000 -0.8623
30.417825 0.000 -0.8696
30.638245 -0.000 -0.8769
30.860262 -0.000 -0.8843
31.083888 0.000 -0.8918
31.309135 0.000 -0.8993
31.536014 -0.000 -0.9070
31.764537 0.000 -0.9147
31.994716 0.000 -0.9225
32.226563 -0.000 -0.9304
32.460089 0.000 -0.9384
32.695309 0.000 -0.9465
32.932232 -0.000 -0.9547
33.170873 0.000 -0.9629
33.411243 0.000 -0.9713
33.653354 -0.000 -0.9797
33.897220 0.000 -0.9883
34.142854 0.000 -0.9969
34.390267 -0.000 -1.0056
34.639473 0.000 -1.0145
34.890485 0.000 -1.0234
35.143316 -0.000 -1.0325
35.397979 0.000 -1.0417
35.654487 0.000 -1.0509
35.912854 -0.000 -1.0603
36.173093 0.000 -1.0698
36.435218 0.000 -1.0794
36.699243 -0.000 -1.0892
36.965181 0.000 -1.0990
37.233046 -0.000 -1.1090
37.502852 -0.000 -1.1191
37.774613 0.000 -1.1293
38.048343 -0.000 -1.1397
38.324057 0.000 -1.1502
38.601769 0.000 -1.1608
38.881494 -0.000 -1.1716
39.163245 0.000 -1.1825
39.447038 -0.000 -1.1935
39.732888 -0.000 -1.2047
40.020808 0.000 -1.2161
40.310816 -0.000 -1.2276
40.602924 0.000 -1.2392
40.897150 -0.000 -1.2510
41.193508 -0.000 -1.2630
41.492013 0.000 -1.2752
41.792681 -0.000 -1.2875
42.095528 0.000 -1.3000
42.400570 -0.000 -1.3127
42.707822 0.000 -1.3255
43.017300 -0.000 -1.3386
43.329021 -0.000 -1.3518
43.643001 0.000 -1.3652
43.959256 -0.000 -1.3789
44.277803 0.000 -1.3927
44.598658 -0.000 -1.4068
44.921839 0.000 -1.4211
45.247361 -0.000 -1.4355
45.575242 -0.000 -1.4503
45.905499 0.000 -1.4652
46.238149 -0.000 -1.4804
46.573210 0.000 -1.4959
46.910698 -0.000 -1.5116
47.250633 0.000 -1.5275
47.593030 -0.000 -1.5437
47.937909 0.000 -1.5602
48.285287 -0.000 -1.5770
48.635182 0.000 -1.5941
48.987612 -0.000 -1.6115
49.342597 0.000 -1.6292
49.700154 -0.000 -1.6472
50.060301 0.000 -1.6655
50.423059 -0.000 -1.6841
50.788445 0.000 -1.7032
51.156479 -0.000 -1.7225
51.527180 0.000 -1.7423
51.900567 -0.000 -1.7624
52.276660 0.000 -1.7829
52.655478 -0.000 -1.8039
53.037042 0.000 -1.8252
53.421370 -0.000 -1.8470
53.808483 0.000 -1.8693
54.198402 -0.000 -1.8920
54.591146 0.000 -1.9152
54.986736 -0.000 -1.9389
55.385192 0.000 -1.9632
55.786536 -0.000 -1.9880
56.190788 0.000 -2.0133
56.597970 0.000 -2.0393
57.008102 -0.000 -2.0659
57.421206 0.000 -2.0931
57.837304 -0.000 -2.1210
58.256417 0.000 -2.1496
58.678567 -0.000 -2.1789
59.103776 0.000 -2.2091
59.532067 0.000 -2.2400
59.963460 -0.000 -2.2717
60.397980 0.000 -2.3044
60.835649 -0.000 -2.3380
61.276489 0.000 -2.3726
61.720524 0.000 -2.4083
62.167776 -0.000 -2.4450
62.618270 0.000 -2.4830
63.072027 -0.000 -2.5221
63.529073 -0.000 -2.5627
63.989431 0.000 -2.6046
64.453125 -0.000 -2.6480
64.920179 0.000 -2.6931
65.390617 0.000 -2.7399
65.864465 -0.000 -2.7886
66.341746 0.000 -2.8393
66.822485 -0.000 -2.8923
67.306709 -0.000 -2.9476
67.794441 0.000 -3.0056
68.285707 -0.000 -3.0665
68.780534 -0.000 -3.1307
69.278946 0.000 -3.1984
69.780970 -0.000 -3.2700
70.286631 -0.000 -3.3462
70.795957 0.000 -3.4276
71.308974 0.000 -3.5148
71.825708 -0.000 -3.6089
72.346187 -0.000 -3.7109
72.870437 0.000 -3.8225
73.398486 -0.000 -3.9456
73.930362 -0.000 -4.0829
74.466092 -0.000 -4.2383
75.005704 -0.000 -4.4171
75.549226 -0.000 -4.6279
76.096687 -0.001 -4.8844
76.648115 -0.004 -5.2176
77.203539 -0.017 -5.6964
77.762987 -0.058 -6.3960
78.326490 -0.155 -7.1954
78.894076 -0.315 -7.7075
79.465775 -0.502 -7.6577
80.041617 -0.674 -7.0896
80.621631 -0.810 -6.1864
81.205849 -0.899 -5.0810
81.794300 -0.936 -3.8706
82.387015 -0.920 -2.6382
82.984025 -0.851 -1.4703
83.585362 -0.730 -0.4634
84.191056 -0.564 0.2563
84.801139 -0.372 0.4864
85.415643 -0.195 0.0807
86.034600 -0.076 -0.7646
86.658042 -0.023 -1.5847
87.286002 -0.005 -2.1729
87.918512 -0.001 -2.5935
88.555606 -0.000 -2.9334
89.197317 -0.000 -3.2294
89.843677 -0.000 -3.4984
90.494721 -0.000 -3.7505
91.150484 0.000 -3.9925
91.810997 0.000 -4.2292
92.476298 -0.000 -4.4645
93.146419 -0.000 -4.7013
93.821397 -0.000 -4.9424
94.501265 -0.000 -5.1901
95.186060 -0.000 -5.4470
95.875818 -0.000 -5.7155
96.570573 -0.000 -5.9981
97.270363 -0.000 -6.2978
97.975225 -0.000 -6.6176
98.685194 -0.000 -6.9614
99.400307 -0.000 -7.3335
100.120603 -0.000 -7.7392
100.846118 -0.000 -8.1852
101.576890 -0.000 -8.6797
102.312958 -0.000 -9.2338
103.054360 -0.000 -9.8620
103.801135 -0.000 -10.5847
104.553320 -0.000 -11.4322
105.310957 -0.002 -12.4531
106.074084 -0.011 -13.7392
106.842740 -0.045 -15.4871
107.616967 -0.156 -17.9405
108.396804 -0.419 -20.8464
109.182291 -0.859 -23.2254
109.973471 -1.413 -24.3643
110.770384 -2.000 -24.3522
111.573072 -2.569 -23.4923
112.381577 -3.095 -21.9552
113.195940 -3.562 -19.8466
114.016204 -3.959 -17.3067
114.842413 -4.284 -14.4780
115.674608 -4.535 -11.4432
116.512834 -4.714 -8.2604
117.357134 -4.822 -4.9922
118.207552 -4.858 -1.7057
119.064133 -4.823 1.5308
119.926921 -4.722 4.6494
120.795961 -4.559 7.5843
121.671298 -4.340 10.2738
122.552979 -4.073 12.6646
123.441048 -3.770 14.7147
124.335553 -3.439 16.3981
125.236539 -3.093 17.7077
126.144055 -2.742 18.6564
127.058147 -2.393 19.2749
127.978862 -2.052 19.6053
128.906250 -1.721 19.6915
129.840358 -1.399 19.5662
130.781235 -1.083 19.2328
131.728929 -0.775 18.6386
132.683491 -0.485 17.6343
133.644971 -0.249 16.0842
134.613417 -0.099 14.2416
135.588882 -0.030 12.6291
136.571415 -0.007 11.4171
137.561067 -0.002 10.4828
138.557891 -0.000 9.7153
139.561939 -0.000 9.0585
140.573262 -0.000 8.4817
141.591914 -0.000 7.9652
142.617948 -0.000 7.4951
143.651416 -0.000 7.0607
144.692373 -0.000 6.6530
145.740874 -0.000 6.2638
146.796972 -0.000 5.8850
147.860724 -0.000 5.5069
148.932184 -0.000 5.1168
150.011408 -0.002 4.6926
151.098452 -0.011 4.1883
152.193374 -0.040 3.5244
153.296230 -0.110 2.7278
154.407077 -0.232 2.1267
155.525975 -0.381 2.0165
156.652980 -0.525 2.3732
157.788152 -0.639 3.0698
158.931550 -0.709 3.9982
160.083234 -0.726 5.0477
161.243263 -0.686 6.0978
162.411698 -0.592 7.0263
163.588600 -0.451 7.6804
164.774030 -0.288 7.8429
165.968051 -0.144 7.3906
167.170724 -0.055 6.6336
168.382112 -0.016 6.0023
169.602278 -0.004 5.5722
170.831286 -0.001 5.2622
172.069200 -0.000 5.0176
173.316084 -0.000 4.8134
174.572004 -0.000 4.6373
175.837025 -0.000 4.4818
177.111212 -0.000 4.3424
178.394633 -0.000 4.2157
179.687354 -0.000 4.0995
180.989443 -0.000 3.9921
182.300967 -0.000 3.8921
183.621995 -0.000 3.7986
184.952596 -0.000 3.7107
186.292838 -0.000 3.6278
187.642793 -0.000 3.5493
189.002530 -0.000 3.4748
190.372120 -0.000 3.4038
191.751635 -0.000 3.3361
193.141147 -0.000 3.2714
194.540727 -0.000 3.2095
195.950449 -0.000 3.1500
197.370387 -0.000 3.0929
198.800614 -0.000 3.0379
200.241205 -0.000 2.9850
201.692236 -0.000 2.9340
203.153781 -0.000 2.8847
204.625917 -0.000 2.8370
206.108721 -0.000 2.7910
207.602269 -0.000 2.7464
209.106641 -0.000 2.7032
210.621914 -0.000 2.6613
212.148167 -0.000 2.6206
213.685480 -0.000 2.5811
215.233933 -0.000 2.5428
216.793607 -0.000 2.5055
218.364583 -0.000 2.4692
219.946943 -0.000 2.4339
221.540769 -0.000 2.3996
223.146145 -0.000 2.3661
224.763154 -0.000 2.3334
226.391880 -0.000 2.3016
228.032409 -0.000 2.2706
229.684826 -0.000 2.2403
231.349217 -0.000 2.2107
233.025668 -0.000 2.1818
234.714269 -0.000 2.1536
236.415105 -0.000 2.1260
238.128266 -0.000 2.0990
239.853842 -0.000 2.0726
241.591922 -0.000 2.0468
243.342596 -0.000 2.0215
245.105957 -0.000 1.9968
246.882096 -0.000 1.9725
248.671105 -0.000 1.9488
250.473079 -0.000 1.9256
