* Measurement data measured by REW V5.40 beta 133
* Source: EQ window target shape
* Format: 
* Dated: Aug 31, 2026, 3:05:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Target LR.RMS
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 2.5 Hz
*
* Freq(Hz) SPL(dB)
2.500000 29.234
2.518116 29.437
2.536363 29.682
2.554743 29.932
2.573256 30.182
2.591902 30.433
2.610684 30.684
2.629603 30.935
2.648658 31.186
2.667851 31.437
2.687183 31.688
2.706656 31.938
2.726269 32.189
2.746025 32.440
2.765924 32.691
2.785967 32.942
2.806155 33.193
2.826490 33.443
2.846972 33.694
2.867602 33.945
2.888382 34.196
2.909312 34.447
2.930394 34.698
2.951629 34.949
2.973018 35.199
2.994561 35.450
3.016261 35.701
3.038118 35.952
3.060134 36.203
3.082309 36.454
3.104645 36.704
3.127142 36.955
3.149803 37.206
3.172627 37.457
3.195618 37.708
3.218774 37.959
3.242099 38.209
3.265592 38.460
3.289256 38.711
3.313092 38.962
3.337100 39.213
3.361282 39.464
3.385639 39.714
3.410173 39.965
3.434884 40.216
3.459775 40.467
3.484846 40.718
3.510098 40.968
3.535534 41.219
3.561154 41.470
3.586959 41.721
3.612952 41.972
3.639133 42.222
3.665504 42.473
3.692065 42.724
3.718820 42.975
3.745768 43.225
3.772911 43.476
3.800251 43.727
3.827789 43.978
3.855527 44.228
3.883466 44.479
3.911607 44.730
3.939952 44.981
3.968503 45.231
3.997260 45.482
4.026226 45.733
4.055402 45.983
4.084789 46.234
4.114389 46.485
4.144203 46.735
4.174234 46.986
4.204482 47.237
4.234949 47.487
4.265638 47.738
4.296548 47.988
4.327683 48.239
4.359043 48.489
4.390630 48.740
4.422447 48.991
4.454494 49.241
4.486773 49.491
4.519286 49.742
4.552034 49.992
4.585020 50.243
4.618245 50.493
4.651711 50.743
4.685419 50.994
4.719372 51.244
4.753570 51.494
4.788016 51.744
4.822712 51.994
4.857660 52.245
4.892860 52.495
4.928316 52.745
4.964029 52.995
5.000000 53.244
5.036232 53.494
5.072727 53.744
5.109486 53.994
5.146511 54.244
5.183805 54.493
5.221369 54.743
5.259205 54.992
5.297315 55.241
5.335702 55.491
5.374367 55.740
5.413312 55.989
5.452539 56.238
5.492050 56.487
5.531848 56.735
5.571934 56.984
5.612310 57.233
5.652979 57.481
5.693943 57.729
5.735204 57.977
5.776763 58.225
5.818624 58.473
5.860788 58.720
5.903258 58.967
5.946036 59.215
5.989123 59.461
6.032523 59.708
6.076237 59.954
6.120268 60.201
6.164618 60.446
6.209289 60.692
6.254284 60.937
6.299605 61.182
6.345255 61.427
6.391235 61.671
6.437549 61.915
6.484198 62.158
6.531185 62.401
6.578513 62.644
6.626183 62.886
6.674199 63.128
6.722563 63.369
6.771278 63.609
6.820345 63.849
6.869768 64.088
6.919549 64.327
6.969691 64.565
7.020197 64.802
7.071068 65.039
7.122308 65.274
7.173919 65.509
7.225904 65.743
7.278266 65.976
7.331007 66.208
7.384131 66.439
7.437639 66.669
7.491535 66.898
7.545822 67.125
7.600502 67.352
7.655579 67.577
7.711054 67.800
7.766932 68.022
7.823214 68.243
7.879904 68.462
7.937005 68.680
7.994520 68.896
8.052452 69.110
8.110803 69.322
8.169577 69.532
8.228777 69.740
8.288407 69.946
8.348468 70.150
8.408964 70.352
8.469899 70.551
8.531275 70.749
8.593096 70.943
8.655366 71.135
8.718086 71.324
8.781261 71.511
8.844893 71.695
8.908987 71.876
8.973545 72.054
9.038571 72.229
9.104069 72.401
9.170040 72.569
9.236490 72.735
9.303422 72.897
9.370838 73.056
9.438743 73.212
9.507140 73.364
9.576033 73.512
9.645425 73.658
9.715319 73.799
9.785721 73.937
9.856632 74.072
9.928057 74.202
10.000000 74.329
10.072464 74.453
10.145453 74.572
10.218971 74.689
10.293022 74.801
10.367610 74.910
10.442738 75.016
10.518410 75.118
10.594631 75.217
10.671404 75.312
10.748733 75.404
10.826623 75.492
10.905077 75.577
10.984100 75.659
11.063695 75.738
11.143867 75.814
11.224620 75.887
11.305959 75.957
11.387886 76.024
11.470408 76.088
11.553527 76.149
11.637249 76.208
11.721577 76.264
11.806516 76.317
11.892071 76.368
11.978246 76.417
12.065045 76.464
12.152474 76.509
12.240535 76.551
12.329235 76.592
12.418578 76.630
12.508568 76.667
12.599210 76.702
12.690510 76.735
12.782470 76.767
12.875097 76.797
12.968396 76.825
13.062370 76.852
13.157025 76.878
13.252366 76.902
13.348399 76.926
13.445127 76.948
13.542555 76.969
13.640690 76.989
13.739536 77.007
13.839099 77.025
13.939383 77.042
14.040393 77.057
14.142136 77.072
14.244615 77.087
14.347838 77.100
14.451808 77.113
14.556532 77.125
14.662014 77.137
14.768261 77.147
14.875278 77.157
14.983071 77.167
15.091644 77.176
15.201005 77.185
15.311157 77.193
15.422108 77.201
15.533863 77.208
15.646428 77.215
15.759808 77.221
15.874011 77.227
15.989040 77.233
16.104903 77.238
16.221606 77.243
16.339155 77.248
16.457555 77.253
16.576813 77.257
16.696935 77.261
16.817928 77.265
16.939798 77.269
17.062551 77.272
17.186193 77.275
17.310731 77.278
17.436172 77.281
17.562522 77.283
17.689787 77.286
17.817974 77.288
17.947091 77.290
18.077143 77.292
18.208137 77.294
18.340081 77.296
18.472981 77.298
18.606843 77.299
18.741676 77.300
18.877486 77.302
19.014280 77.303
19.152066 77.304
19.290849 77.305
19.430639 77.305
19.571441 77.306
19.713264 77.307
19.856114 77.308
20.000000 77.309
20.144928 77.309
20.290907 77.310
20.437943 77.311
20.586045 77.311
20.735220 77.311
20.885476 77.312
21.036820 77.312
21.189262 77.312
21.342808 77.312
21.497467 77.312
21.653246 77.312
21.810155 77.312
21.968200 77.312
22.127391 77.312
22.287735 77.312
22.449241 77.312
22.611917 77.312
22.775773 77.312
22.940815 77.311
23.107054 77.311
23.274497 77.311
23.443154 77.311
23.613033 77.311
23.784142 77.310
23.956492 77.310
24.130091 77.309
24.304947 77.309
24.481071 77.308
24.658471 77.308
24.837156 77.307
25.017137 77.306
25.198421 77.306
25.381019 77.305
25.564940 77.305
25.750195 77.304
25.936791 77.303
26.124740 77.302
26.314050 77.301
26.504733 77.301
26.696797 77.300
26.890253 77.299
27.085111 77.298
27.281381 77.297
27.479073 77.296
27.678198 77.295
27.878765 77.294
28.080786 77.293
28.284271 77.292
28.489231 77.291
28.695675 77.290
28.903616 77.289
29.113064 77.287
29.324029 77.286
29.536523 77.285
29.750557 77.284
29.966142 77.283
30.183289 77.281
30.402009 77.280
30.622315 77.279
30.844217 77.277
31.067726 77.276
31.292856 77.274
31.519617 77.272
31.748021 77.271
31.978080 77.269
32.209807 77.268
32.443212 77.266
32.678309 77.264
32.915110 77.262
33.153626 77.260
33.393871 77.258
33.635857 77.256
33.879596 77.254
34.125101 77.252
34.372386 77.250
34.621462 77.248
34.872344 77.246
35.125043 77.244
35.379574 77.242
35.635949 77.239
35.894182 77.237
36.154286 77.234
36.416274 77.232
36.680162 77.229
36.945961 77.226
37.213687 77.224
37.483353 77.221
37.754973 77.218
38.028561 77.215
38.304131 77.212
38.581699 77.209
38.861278 77.206
39.142882 77.203
39.426528 77.199
39.712229 77.196
40.000000 77.193
40.289856 77.189
40.581813 77.186
40.875886 77.182
41.172089 77.178
41.470439 77.174
41.770951 77.170
42.073641 77.166
42.378524 77.162
42.685616 77.158
42.994934 77.154
43.306493 77.149
43.620309 77.145
43.936400 77.140
44.254781 77.135
44.575470 77.130
44.898482 77.126
45.223835 77.121
45.551545 77.115
45.881631 77.110
46.214108 77.105
46.548994 77.099
46.886308 77.093
47.226065 77.088
47.568285 77.082
47.912984 77.076
48.260181 77.070
48.609894 77.064
48.962142 77.057
49.316942 77.050
49.674312 77.044
50.034273 77.037
50.396842 77.030
50.762038 77.022
51.129881 77.015
51.500389 77.008
51.873582 77.000
52.249480 76.992
52.628101 76.985
53.009466 76.977
53.393594 76.968
53.780506 76.960
54.170222 76.951
54.562762 76.942
54.958146 76.933
55.356395 76.924
55.757531 76.914
56.161573 76.905
56.568542 76.895
56.978461 76.885
57.391351 76.875
57.807232 76.864
58.226127 76.853
58.648058 76.842
59.073046 76.831
59.501113 76.820
59.932283 76.809
60.366577 76.797
60.804018 76.785
61.244629 76.773
61.688433 76.760
62.135453 76.748
62.585712 76.734
63.039234 76.721
63.496042 76.708
