* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -26.7 dBFS, measurement signal peak level -17.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026, 4:41:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: multi point measurements for 120.blue geometry. GIK screens prolong the right side of the wall, instead of the legacy configuration having the 2 pyramidal foam panels as first prolongation. the first gik screen on the left has also moved closer to the left speaker to catch the first early reflection; mic moved for multi point measurements mic moved 10cm to the back -> 3.76m from the speakers 4.66m from front wall 2 screen panels prolongation - new setup DAC level -28dB Delay -0.0278 ms (-9.5 mm, -0.38 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -14.3 ppm
* Measurement: L 120.b.s-B+10
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
16.113281	71.287	-158.5149
16.479492	71.693	-165.1384
16.845703	72.367	-170.5168
17.211914	73.106	-178.1153
17.578125	73.352	176.0277
17.944336	73.610	173.2529
18.310547	73.942	171.0320
18.676758	74.697	170.1429
19.042969	76.097	164.5908
19.409179	76.804	153.8938
19.775390	76.558	147.0708
20.141601	76.681	145.7676
20.507812	77.247	141.5707
20.874023	77.442	135.7506
21.240234	77.696	130.8820
21.606445	78.095	124.2552
21.972656	78.249	117.2540
22.338867	78.272	111.8929
22.705078	78.106	107.6050
23.071288	77.783	105.7093
23.437499	77.900	104.3802
23.803710	78.269	99.7045
24.169921	78.523	95.0186
24.536132	79.070	92.3989
24.902343	79.777	88.0347
25.268554	80.037	81.8953
25.634765	80.133	76.2557
26.000976	80.606	68.9204
26.367187	81.051	58.1287
26.733398	80.954	47.0653
27.099608	80.479	37.7049
27.465819	79.914	27.5972
27.832030	79.239	15.4616
28.198241	78.547	2.7830
28.564452	77.625	-10.5999
28.930663	75.807	-24.2978
29.296874	73.211	-38.3482
29.663085	70.401	-63.0083
30.029296	66.978	-111.0129
30.395507	64.439	179.5732
30.761718	64.843	129.9763
31.127928	67.460	119.4333
31.494139	71.092	108.9558
31.860350	72.616	95.7274
32.226561	73.151	89.9530
32.592772	74.210	85.4881
32.958983	75.000	78.9216
33.325194	75.535	74.0995
33.691405	76.004	68.4501
34.057616	76.197	63.3934
34.423827	76.849	59.5417
34.790038	77.684	51.5727
35.156248	77.839	42.2389
35.522459	77.708	34.8427
35.888670	77.622	26.3989
36.254881	77.244	16.9814
36.621092	76.601	8.7399
36.987303	75.602	1.5515
37.353514	74.265	-2.6223
37.719725	73.205	-4.8113
38.085936	72.098	-7.1563
38.452147	70.967	-5.1642
38.818358	70.191	-4.1331
39.184568	68.502	-4.2981
39.550779	67.130	2.2383
39.916990	66.740	4.8165
40.283201	66.028	13.4836
40.649412	66.959	24.4461
41.015623	66.648	28.0120
41.381834	66.448	41.4524
41.748045	68.025	39.1136
42.114256	68.026	31.9146
42.480467	69.015	37.9078
42.846678	70.115	33.8268
43.212888	67.578	36.0375
43.579099	67.484	60.0051
43.945310	69.197	50.7722
44.311521	68.874	38.8400
44.677732	69.879	42.3364
45.043943	71.000	41.5417
45.410154	70.186	45.4255
45.776365	69.639	50.2552
46.142576	68.708	46.7985
46.508787	68.820	51.1978
46.874997	70.673	57.3291
47.241208	72.497	68.2589
47.607419	74.794	70.8456
47.973630	75.028	61.5773
48.339841	75.176	58.8035
48.706052	78.518	49.2255
49.072263	80.684	30.2335
49.438474	79.905	22.9180
49.804685	79.630	34.7953
50.170896	80.613	33.5341
50.537107	79.888	24.8203
50.903317	79.625	21.4970
51.269528	80.554	12.9738
51.635739	80.583	2.9274
52.001950	80.263	-1.2913
52.368161	80.361	-7.1226
52.734372	80.188	-15.3616
53.100583	80.040	-21.5272
53.466794	79.851	-27.4597
53.833005	79.231	-31.1787
54.199216	78.887	-33.4018
54.565427	78.636	-38.6915
54.931637	78.240	-43.0175
55.297848	78.166	-47.1996
55.664059	77.618	-53.2087
56.030270	76.675	-54.3483
56.396481	76.633	-54.2397
56.762692	76.620	-58.3854
57.128903	76.362	-60.6836
57.495114	76.393	-63.6001
57.861325	76.080	-68.2852
58.227536	75.847	-70.3618
58.593747	76.090	-73.9576
58.959957	75.980	-78.3947
59.326168	75.901	-80.3744
59.692379	76.089	-84.7936
60.058590	76.068	-90.5027
60.424801	76.374	-94.8206
60.791012	76.981	-101.2077
61.157223	77.350	-108.7966
61.523434	77.768	-116.9242
61.889645	78.260	-127.7427
62.255856	78.589	-139.7356
62.622067	78.847	-151.7927
62.988277	78.899	-165.2725
63.354488	78.548	-179.0942
63.720699	78.079	169.1008
64.086910	77.759	159.1500
64.453121	77.421	150.0455
64.819332	76.973	141.5955
65.185543	76.609	133.4952
65.551754	76.578	125.5913
65.917965	76.859	117.5898
66.284176	77.144	109.6594
66.650387	77.325	101.9131
67.016597	77.415	93.3125
67.382808	77.379	84.3303
67.749019	77.409	76.3855
68.115230	77.604	68.2731
68.481441	77.628	59.0861
68.847652	77.359	50.3088
69.213863	77.039	42.6331
69.580074	76.803	35.3229
69.946285	76.584	27.9425
70.312496	76.288	20.7792
70.678706	75.945	14.3339
71.044917	75.601	7.9576
71.411128	75.108	1.2047
71.777339	74.518	-5.1764
72.143550	74.017	-12.1399
72.509761	73.387	-19.5055
72.875972	72.708	-24.3939
73.242183	72.287	-28.8870
73.608394	71.600	-35.5304
73.974605	70.691	-40.8828
74.340816	70.455	-46.3668
74.707026	70.539	-55.6143
75.073237	70.434	-66.0688
75.439448	70.161	-78.8042
75.805659	69.361	-95.5480
76.171870	68.251	-112.3353
76.538081	67.802	-128.0009
76.904292	67.688	-145.7510
77.270503	67.177	-161.2142
77.636714	67.242	-171.1139
78.002925	68.241	175.8243
78.369136	68.821	158.6342
78.735346	68.678	144.0436
79.101557	68.151	135.0294
79.467768	67.099	134.1472
79.833979	66.438	149.0554
80.200190	68.858	167.2778
80.566401	72.495	168.2411
80.932612	75.415	157.7134
81.298823	77.452	143.4832
81.665034	78.835	129.6642
82.031245	79.747	116.8507
82.397456	80.221	104.7498
82.763666	80.392	94.0352
83.129877	80.492	84.9277
83.496088	80.523	76.9487
83.862299	80.396	70.1726
84.228510	80.175	64.3693
84.594721	79.954	59.0652
84.960932	79.841	54.3901
85.327143	79.852	50.2085
85.693354	79.866	46.8484
86.059565	79.999	44.2935
86.425776	80.297	40.4172
86.791986	80.492	34.7920
87.158197	80.535	28.9637
87.524408	80.479	22.8771
87.890619	80.189	16.3370
88.256830	79.699	10.3090
88.623041	79.177	5.2603
88.989252	78.689	1.7017
89.355463	78.322	-0.7041
89.721674	77.904	-3.7585
90.087885	77.250	-6.5751
90.454096	76.805	-8.7122
90.820306	76.577	-13.2814
91.186517	75.923	-18.9038
91.552728	74.870	-21.8126
91.918939	73.760	-23.0698
92.285150	72.449	-23.5348
92.651361	71.122	-20.3260
93.017572	70.278	-12.8452
93.383783	70.112	-3.4301
93.749994	70.341	3.8940
94.116205	70.494	8.8617
94.482415	70.771	11.9420
94.848626	71.101	12.5968
95.214837	71.484	13.5070
95.581048	72.100	13.4904
95.947259	72.516	11.6895
96.313470	72.872	9.9908
96.679681	73.226	6.5814
97.045892	73.031	4.4484
97.412103	72.925	6.7360
97.778314	72.960	5.3511
98.144525	71.990	2.2898
98.510735	71.310	4.9530
98.876946	71.729	4.2002
99.243157	71.590	4.9250
99.609368	72.289	13.5793
99.975579	73.421	13.0138
100.341790	72.734	8.9071
100.708001	71.700	13.1893
101.074212	72.060	15.9348
101.440423	72.408	14.9481
101.806634	72.875	16.6562
102.172845	73.482	17.4664
102.539055	73.866	18.4188
102.905266	74.517	18.7885
103.271477	75.147	16.5134
103.637688	75.628	14.6179
104.003899	76.212	12.5138
104.370110	76.715	9.2577
104.736321	77.311	5.5103
105.102532	78.037	-0.6342
105.468743	78.467	-8.6172
105.834954	78.551	-16.6755
106.201165	78.357	-25.6143
106.567375	77.826	-35.4473
106.933586	77.132	-45.2919
107.299797	76.249	-55.5992
107.666008	74.822	-65.1143
108.032219	73.007	-72.5129
108.398430	70.988	-82.2340
108.764641	67.905	-97.9784
109.130852	62.493	-119.4664
109.497063	53.468	-176.3606
109.863274	59.160	97.9810
110.229485	64.922	79.9943
110.595695	68.160	69.5585
110.961906	70.009	60.3069
111.328117	71.244	52.8199
111.694328	72.338	46.0829
112.060539	73.036	40.0338
112.426750	73.376	37.2177
112.792961	73.795	36.0602
113.159172	74.132	34.4755
113.525383	74.564	33.8821
113.891594	75.297	31.4297
114.257805	75.683	27.3274
114.624015	75.940	26.3146
114.990226	76.748	25.2527
115.356437	77.483	20.6074
115.722648	77.785	15.9583
116.088859	77.996	12.3594
116.455070	78.105	8.2932
116.821281	77.999	4.4054
117.187492	77.803	1.4509
117.553703	77.646	-0.3309
117.919914	77.688	-1.4866
118.286124	77.841	-3.5317
118.652335	77.912	-6.1830
119.018546	77.953	-9.1311
119.384757	77.890	-12.8684
119.750968	77.617	-16.4794
120.117179	77.222	-19.2019
120.483390	76.749	-20.8857
120.849601	76.299	-21.1934
121.215812	75.940	-21.0562
121.582023	75.521	-20.6404
121.948234	75.119	-19.1747
122.314444	74.843	-17.3485
122.680655	74.695	-14.9110
123.046866	74.883	-12.0825
123.413077	75.313	-10.6823
123.779288	75.680	-10.5823
124.145499	75.918	-10.8896
124.511710	76.096	-11.5522
124.877921	76.193	-13.1732
125.244132	76.047	-14.7747
125.610343	75.881	-14.1227
125.976554	76.044	-13.0383
126.342764	76.148	-12.9868
126.708975	76.205	-11.1423
127.075186	76.682	-9.2405
127.441397	77.222	-9.8712
127.807608	77.664	-10.9147
128.173819	78.247	-12.8037
128.540030	78.731	-16.5092
128.906241	78.992	-20.2881
129.272452	79.185	-23.9873
129.638663	79.217	-28.2959
130.004874	79.060	-32.1987
130.371084	78.920	-35.6039
130.737295	78.750	-39.5176
131.103506	78.362	-42.8817
131.469717	77.934	-44.3069
131.835928	77.665	-45.4561
132.202139	77.288	-47.2377
132.568350	76.822	-47.4965
132.934561	76.618	-47.0522
133.300772	76.402	-47.7284
133.666983	76.062	-47.3889
134.033194	75.970	-47.1592
134.399404	75.783	-49.1376
134.765615	75.324	-50.0542
135.131826	75.018	-49.5248
135.498037	74.628	-49.1869
135.864248	74.103	-46.3064
136.230459	73.971	-42.1636
136.596670	73.992	-39.2815
136.962881	74.168	-35.9042
137.329092	74.711	-33.8309
137.695303	75.248	-34.1625
138.061514	75.625	-35.8453
138.427724	75.750	-38.5138
