* Measurement data measured by REW V5.40 beta 122
* Source: U18dB [plughw:2,0], Mic (Mic), R, volume: 1.000. Timing signal peak level -26.4 dBFS, measurement signal peak level -14.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Aug 17, 2026, 4:31:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: multi point measurements for 120.blue geometry. GIK screens prolong the right side of the wall, instead of the legacy configuration having the 2 pyramidal foam panels as first prolongation. the first gik screen on the left has also moved closer to the left speaker to catch the first early reflection; mic moved for multi point measurements mic moved 10cm to the front -> 3.36m from the speakers 4.23m from front wall 2 screen panels prolongation - new setup DAC level -28dB Delay -0.0005 ms (-0.17 mm, -0.01 in) using estimated IR delay relative to Acoustic reference played from DAC8STEREO L with no timing offset Clock adjustment: -14.2 ppm
* Measurement: L 120.b.s-F+10
* Smoothing: None
* Frequency Step: 0.3662109 Hz
* Start Frequency: 16.113281 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
16.113281	70.115	-165.1271
16.479492	70.293	-167.3110
16.845703	70.856	-171.2975
17.211914	71.357	-179.4798
17.578125	71.179	175.1424
17.944336	71.121	176.9589
18.310547	71.675	178.5047
18.676758	72.485	177.5499
19.042969	73.835	172.3791
19.409179	74.750	162.5079
19.775390	74.668	157.1841
20.141601	75.054	158.6754
20.507812	76.001	154.7729
20.874023	76.255	147.5276
21.240234	76.453	143.0570
21.606445	76.976	137.6256
21.972656	77.148	131.6375
22.338867	77.325	128.0245
22.705078	77.779	123.4511
23.071288	78.071	118.3973
23.437499	78.425	114.2962
23.803710	78.724	108.2131
24.169921	78.597	102.0978
24.536132	78.670	97.9535
24.902343	79.062	91.6693
25.268554	79.084	84.4601
25.634765	79.059	79.4624
26.000976	79.314	72.6905
26.367187	79.238	63.4735
26.733398	78.863	56.0732
27.099608	78.607	48.7880
27.465819	77.975	38.3546
27.832030	76.714	27.2450
28.198241	75.322	16.1617
28.564452	73.406	2.4397
28.930663	69.580	-11.3414
29.296874	62.374	-21.6251
29.663085	46.872	-152.6840
30.029296	64.187	149.7877
30.395507	69.270	125.7839
30.761718	71.803	108.7733
31.127928	73.588	100.1229
31.494139	74.799	94.1246
31.860350	75.277	89.4510
32.226561	75.672	84.5894
32.592772	76.030	77.3464
32.958983	76.250	72.4775
33.325194	76.868	70.3170
33.691405	77.423	65.9490
34.057616	77.554	61.5643
34.423827	77.927	56.8335
34.790038	78.264	48.7904
35.156248	78.116	41.2098
35.522459	77.933	35.0816
35.888670	77.656	26.8405
36.254881	77.025	18.9143
36.621092	76.505	13.1700
36.987303	75.791	6.8699
37.353514	74.256	3.0438
37.719725	72.667	4.6045
38.085936	71.621	7.0565
38.452147	70.918	10.5206
38.818358	70.469	14.9000
39.184568	69.902	21.1644
39.550779	69.829	26.0414
39.916990	69.491	23.9919
40.283201	68.931	25.8282
40.649412	69.725	29.8842
41.015623	70.149	30.4359
41.381834	70.084	35.6284
41.748045	70.431	36.4876
42.114256	70.134	33.6455
42.480467	70.573	34.4095
42.846678	71.251	29.5315
43.212888	70.146	28.8146
43.579099	69.871	38.7261
43.945310	70.571	34.9446
44.311521	70.150	27.9780
44.677732	70.368	27.5330
45.043943	70.359	23.1922
45.410154	68.589	21.6577
45.776365	66.477	20.0438
46.142576	61.372	11.7361
46.508787	58.607	103.5583
46.874997	69.046	115.2769
47.241208	74.367	112.5533
47.607419	77.272	102.4025
47.973630	77.694	89.1839
48.339841	78.282	79.2764
48.706052	80.955	62.3929
49.072263	82.690	41.5026
49.438474	81.892	32.2968
49.804685	81.359	42.5819
50.170896	82.710	42.3232
50.537107	82.957	29.8584
50.903317	82.861	19.8005
51.269528	83.387	12.2069
51.635739	83.643	4.3398
52.001950	83.430	-2.2322
52.368161	83.224	-9.9943
52.734372	82.954	-19.2965
53.100583	82.653	-26.4596
53.466794	82.397	-31.6802
53.833005	81.953	-36.9923
54.199216	81.337	-42.9816
54.565427	80.732	-49.2126
54.931637	80.270	-54.1320
